rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.19303761041294,78.88847103852805,002553,南方精工,confirmed_rebound,2023-07-07,14.72,2023-07-07,14.54,1.2379642365887311,8.459422283356261,32.59156235512286,False,-8.9109,49.2381,3,3,3,100.0,23.500158591130926,32.14285714285715,6.762035763411268,1.2379642365887311,历史3/3次成功; 当前距低点1.24%; 最新日涨幅-8.91%; 状态confirmed_rebound; 底部未确认
12,77.59120227138648,75.59886637900657,688085,三友医疗,bottom_area,2023-07-07,25.59,2023-06-26,24.93,2.6474127557160054,6.498194945848379,29.25652667423383,False,0.235,0.3473,1,1,1,100.0,13.52133044107013,13.52133044107013,5.352587244283995,2.6474127557160054,历史1/1次成功; 当前距低点2.65%; 最新日涨幅0.23%; 状态bottom_area; 底部未确认
13,77.5563327987818,74.51931904161412,002063,远光软件,bottom_area,2023-07-07,6.89,2023-07-07,6.76,1.9230769230769214,3.2544378698224947,29.656607700312172,False,-0.8633,1.0346,1,1,1,100.0,21.311475409836078,21.311475409836078,6.076923076923078,1.9230769230769214,历史1/1次成功; 当前距低点1.92%; 最新日涨幅-0.86%; 状态bottom_area; 底部未确认
14,77.35314699448584,73.8856850574435,688338,赛科希德,bottom_area,2023-07-07,42.77,2023-07-07,42.09,1.615585649798051,3.041102399619848,27.053726169844015,False,-1.4062,0.5243,1,1,1,100.0,14.135593220338988,14.135593220338988,6.384414350201949,1.615585649798051,历史1/1次成功; 当前距低点1.62%; 最新日涨幅-1.41%; 状态bottom_area; 底部未确认
15,76.47085739713658,74.58775639803571,300357,我武生物,bottom_area,2023-07-07,33.43,2023-06-26,32.55,2.7035330261136794,6.2365591397849505,31.78960603520537,False,0.3603,0.5116,1,1,1,100.0,8.773181169757484,8.773181169757484,5.2964669738863215,2.7035330261136794,历史1/1次成功; 当前距低点2.70%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
16,76.39925615368878,75.78172570507347,605178,时空科技,bottom_area,2023-07-07,22.58,2023-06-26,21.8,3.577981651376136,5.137614678899087,29.4041450777202,False,0.5791,3.787,2,2,2,100.0,9.244751990382023,9.557235421166304,4.4220183486238644,3.577981651376136,历史2/2次成功; 当前距低点3.58%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
17,75.34244359872069,74.45920339295596,601669,中国电建,bottom_area,2023-07-07,5.8,2023-06-07,5.61,3.3868092691622014,5.882352941176471,29.78723404255319,False,0.1727,0.6044,1,1,1,100.0,16.457680250783696,16.457680250783696,4.613190730837799,3.3868092691622014,历史1/1次成功; 当前距低点3.39%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
18,74.50957174827592,73.59641096233264,000703,恒逸石化,bottom_area,2023-07-07,6.77,2023-06-12,6.55,3.3587786259541943,5.954198473282451,27.222222222222225,False,0.4451,0.2583,1,1,1,100.0,11.475409836065575,11.475409836065575,4.641221374045806,3.3587786259541943,历史1/1次成功; 当前距低点3.36%; 最新日涨幅0.45%; 状态bottom_area; 底部未确认
19,73.97515751935234,69.72466533508104,002825,纳尔股份,bottom_area,2023-07-07,8.74,2023-07-07,8.66,0.9237875288683611,2.3094688221708926,32.55451713395638,False,-0.3421,1.5552,1,1,1,100.0,23.123123123123136,23.123123123123136,7.076212471131639,0.9237875288683611,历史1/1次成功; 当前距低点0.92%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
20,73.88113278720479,74.42811103100217,600935,华塑股份,bottom_area,2023-07-07,3.81,2023-06-27,3.65,4.383561643835621,6.575342465753431,28.571428571428577,False,0.2632,0.154,1,1,1,100.0,28.50877192982458,28.50877192982458,3.6164383561643794,4.383561643835621,历史1/1次成功; 当前距低点4.38%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
21,72.67314072531842,68.02681011751683,002507,涪陵榨菜,bottom_area,2023-07-07,17.78,2023-06-26,17.68,0.5656108597285149,4.8076923076923155,28.967456809963842,False,-0.3922,0.5082,1,1,1,100.0,9.604316546762583,9.604316546762583,7.4343891402714855,0.5656108597285149,历史1/1次成功; 当前距低点0.57%; 最新日涨幅-0.39%; 状态bottom_area; 底部未确认
22,72.32533169006679,70.49632049456093,002626,金达威,bottom_area,2023-07-07,18.47,2023-06-26,17.99,2.6681489716509197,6.0589216231239575,27.165991902834012,False,-0.4849,0.2936,1,1,1,100.0,8.815592203898044,8.815592203898044,5.33185102834908,2.6681489716509197,历史1/1次成功; 当前距低点2.67%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
23,71.79284982555039,72.4801063209554,002395,双象股份,confirmed_rebound,2023-07-07,11.39,2023-06-26,10.9,4.495412844036699,8.34862385321101,29.677419354838708,True,-1.8949,1.9325,2,2,2,100.0,26.23466454494123,36.59976387249114,3.5045871559633013,4.495412844036699,历史2/2次成功; 当前距低点4.50%; 最新日涨幅-1.89%; 状态confirmed_rebound; 底部已确认
24,71.23528712779614,72.36115128873573,603335,迪生力,confirmed_rebound,2023-07-07,6.53,2023-06-27,6.23,4.815409309791329,8.18619582664526,27.134502923976612,True,-0.7599,2.9934,3,3,3,100.0,12.85099201645131,20.081135902636923,3.184590690208671,4.815409309791329,历史3/3次成功; 当前距低点4.82%; 最新日涨幅-0.76%; 状态confirmed_rebound; 底部已确认
25,70.21539254716984,69.56437500000001,002153,石基信息,bottom_area,2023-07-07,13.25,2023-07-07,12.8,3.5156249999999947,5.156250000000001,27.683615819209034,False,-0.9716,1.1811,1,1,1,100.0,14.193548387096769,14.193548387096769,4.484375000000005,3.5156249999999947,历史1/1次成功; 当前距低点3.52%; 最新日涨幅-0.97%; 状态bottom_area; 底部未确认
26,67.91719130545981,67.8373470806302,002858,力盛体育,bottom_area,2023-07-07,22.43,2023-07-07,21.58,3.938832252085271,6.116774791473588,28.802375453645663,False,-0.5762,5.1843,1,1,1,100.0,10.096153846153843,10.096153846153843,4.061167747914729,3.938832252085271,历史1/1次成功; 当前距低点3.94%; 最新日涨幅-0.58%; 状态bottom_area; 底部未确认
27,60.42653489623579,60.975867031656136,600984,建设机械,confirmed_rebound,2023-07-07,4.44,2023-06-12,4.25,4.470588235294127,8.23529411764705,32.0,True,-0.4484,0.4145,2,3,2,66.66666666666666,19.63516957774231,20.21439509954057,3.5294117647058734,4.470588235294127,历史2/3次成功; 当前距低点4.47%; 最新日涨幅-0.45%; 状态confirmed_rebound; 底部已确认
