rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
35,72.66175053379224,71.12995729136628,688289,圣湘生物,confirmed_rebound,2023-05-04,18.5,2023-04-26,17.98,2.8921023359288074,12.45828698553948,27.058823529411757,False,-1.228,1.6659,1,1,1,100.0,25.182530200451346,25.182530200451346,5.107897664071192,2.8921023359288074,历史1/1次成功; 当前距低点2.89%; 最新日涨幅-1.23%; 状态confirmed_rebound; 底部未确认
36,72.59985060749268,73.07795025333948,000158,常山北明,bottom_area,2023-05-04,6.97,2023-04-27,6.68,4.341317365269462,7.035928143712584,30.705394190871377,True,0.7225,4.3398,1,1,1,100.0,11.538461538461533,11.538461538461533,3.658682634730538,4.341317365269462,历史1/1次成功; 当前距低点4.34%; 最新日涨幅0.72%; 状态bottom_area; 底部已确认
37,72.38190945000682,70.52366680096549,002748,世龙实业,bottom_area,2023-05-04,10.08,2023-04-26,9.82,2.647657841140527,3.767820773930745,29.857142857142854,False,-1.0795,0.8223,1,1,1,100.0,8.711433756805816,8.711433756805816,5.352342158859473,2.647657841140527,历史1/1次成功; 当前距低点2.65%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
38,72.31919007547762,73.66487920745635,300432,富临精工,bottom_area,2023-05-04,10.16,2023-04-26,9.68,4.958677685950417,7.334710743801661,32.54355400696864,True,-0.1965,1.0978,3,3,3,100.0,11.40142113668444,13.323239969719907,3.0413223140495833,4.958677685950417,历史3/3次成功; 当前距低点4.96%; 最新日涨幅-0.20%; 状态bottom_area; 底部已确认
39,72.2005380211953,72.09331191221041,300552,万集科技,bottom_area,2023-05-04,17.75,2023-05-04,17.08,3.922716627634671,5.56206088992976,31.129032258064527,False,-2.3115,7.5583,2,2,2,100.0,16.113472167835834,23.929299796057098,4.077283372365329,3.922716627634671,历史2/2次成功; 当前距低点3.92%; 最新日涨幅-2.31%; 状态bottom_area; 底部未确认
40,71.83117586203669,68.7727123798044,688313,仕佳光子,confirmed_rebound,2023-05-04,12.88,2023-05-04,12.66,1.7377567140600365,10.663507109004737,31.4192849404117,False,-6.8691,8.4516,1,1,1,100.0,8.574181117533707,8.574181117533707,6.262243285939964,1.7377567140600365,历史1/1次成功; 当前距低点1.74%; 最新日涨幅-6.87%; 状态confirmed_rebound; 底部未确认
41,71.44588648987363,67.363264404738,688004,博汇科技,confirmed_rebound,2023-05-04,34.32,2023-04-26,34.0,0.9411764705882361,14.970588235294127,31.313131313131315,True,-4.6931,11.3166,1,1,1,100.0,21.87713310580205,21.87713310580205,7.0588235294117645,0.9411764705882361,历史1/1次成功; 当前距低点0.94%; 最新日涨幅-4.69%; 状态confirmed_rebound; 底部已确认
42,70.55429337689746,71.88262656214923,002642,荣联科技,bottom_area,2023-05-04,6.97,2023-04-27,6.64,4.969879518072291,6.626506024096392,28.138528138528144,False,-0.8535,3.469,2,2,2,100.0,27.816945501903422,35.253456221198164,3.0301204819277094,4.969879518072291,历史2/2次成功; 当前距低点4.97%; 最新日涨幅-0.85%; 状态bottom_area; 底部未确认
43,69.31285258266072,69.94535507200838,688225,亚信安全,confirmed_rebound,2023-05-04,20.79,2023-04-28,19.9,4.472361809045229,8.492462311557796,30.902777777777786,True,-0.2878,2.5474,2,2,2,100.0,12.324408584040366,12.640845070422536,3.527638190954771,4.472361809045229,历史2/2次成功; 当前距低点4.47%; 最新日涨幅-0.29%; 状态confirmed_rebound; 底部已确认
44,69.26628016812397,68.40771378926166,688229,博睿数据,confirmed_rebound,2023-05-04,55.2,2023-05-04,53.41,3.3514323160456967,10.166635461524072,31.525641025641033,False,-5.4795,5.9038,2,2,2,100.0,9.725696074440098,11.21206614573869,4.648567683954304,3.3514323160456967,历史2/2次成功; 当前距低点3.35%; 最新日涨幅-5.48%; 状态confirmed_rebound; 底部未确认
45,68.9436683505708,69.89772257337326,002758,浙农股份,bottom_area,2023-05-04,12.66,2023-04-25,12.09,4.714640198511169,5.789909015715462,28.249258160237396,False,-0.6279,1.7615,2,2,2,100.0,14.016678634294234,19.064430714916153,3.285359801488832,4.714640198511169,历史2/2次成功; 当前距低点4.71%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
46,68.65954068282585,64.58971060942014,688020,方邦股份,bottom_area,2023-05-04,51.42,2023-05-04,51.0,0.8235294117647093,6.15686274509804,29.245283018867923,False,-3.3095,0.7938,3,4,3,75.0,8.668589614213264,9.28211586901762,7.176470588235291,0.8235294117647093,历史3/4次成功; 当前距低点0.82%; 最新日涨幅-3.31%; 状态bottom_area; 底部未确认
47,67.32969565852795,67.52293201682,688227,品高股份,confirmed_rebound,2023-05-04,24.6,2023-05-04,23.62,4.149026248941577,12.066045723962734,29.132913291329128,False,-7.2048,6.4459,1,1,1,100.0,31.412429378531087,31.412429378531087,3.8509737510584237,4.149026248941577,历史1/1次成功; 当前距低点4.15%; 最新日涨幅-7.20%; 状态confirmed_rebound; 底部未确认
48,67.205590020093,67.47412438679457,688191,智洋创新,confirmed_rebound,2023-05-04,13.87,2023-04-27,13.31,4.207362885048826,10.368144252441764,28.8235294117647,True,-3.007,4.1173,1,1,1,100.0,22.671568627450974,22.671568627450974,3.7926371149511744,4.207362885048826,历史1/1次成功; 当前距低点4.21%; 最新日涨幅-3.01%; 状态confirmed_rebound; 底部已确认
49,57.12967225280174,54.833849346967725,300602,飞荣达,confirmed_rebound,2023-05-04,16.91,2023-05-04,16.6,1.8674698795180644,11.987951807228905,27.668845315904132,False,-11.2336,9.4832,1,2,1,50.0,26.890756302520995,26.890756302520995,6.132530120481936,1.8674698795180644,历史1/2次成功; 当前距低点1.87%; 最新日涨幅-11.23%; 状态confirmed_rebound; 底部未确认
50,54.288713349979346,54.44134918437173,603068,博通集成,bottom_area,2023-05-04,29.39,2023-04-27,28.22,4.145995747696675,4.394046775336648,29.290904535204206,False,0.2046,1.7098,1,2,1,50.0,9.807631661936297,9.807631661936297,3.8540042523033247,4.145995747696675,历史1/2次成功; 当前距低点4.15%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
