rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
29,79.06472707340166,75.40855472318655,300353,东土科技,bottom_area,2023-05-10,10.56,2023-05-10,10.4,1.5384615384615397,3.8461538461538494,32.90322580645161,False,-1.676,3.0227,1,1,1,100.0,21.377672209026137,21.377672209026137,6.46153846153846,1.5384615384615397,历史1/1次成功; 当前距低点1.54%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
30,78.85314762405511,76.45122536700588,688289,圣湘生物,confirmed_rebound,2023-05-10,18.41,2023-04-26,17.98,2.391546162402668,12.45828698553948,27.058823529411757,False,0.327,0.7861,1,1,1,100.0,25.182530200451346,25.182530200451346,5.608453837597333,2.391546162402668,历史1/1次成功; 当前距低点2.39%; 最新日涨幅0.33%; 状态confirmed_rebound; 底部未确认
31,78.71508977484153,77.8612007050602,000059,华锦股份,bottom_area,2023-05-10,6.93,2023-04-25,6.7,3.4328358208955154,5.970149253731335,29.916317991631804,False,1.7621,0.8925,2,2,2,100.0,18.645518154311638,25.41603630862328,4.567164179104485,3.4328358208955154,历史2/2次成功; 当前距低点3.43%; 最新日涨幅1.76%; 状态bottom_area; 底部未确认
32,78.62170381822537,76.23147811725845,002079,苏州固锝,bottom_area,2023-05-10,12.4,2023-05-10,12.11,2.394715111478125,2.559867877786957,28.512396694214885,False,-0.0806,2.1862,2,2,2,100.0,19.631336405529957,22.488479262672804,5.605284888521875,2.394715111478125,历史2/2次成功; 当前距低点2.39%; 最新日涨幅-0.08%; 状态bottom_area; 底部未确认
33,78.06044975431699,76.12728900255755,000629,钒钛股份,confirmed_rebound,2023-05-10,4.19,2023-04-25,4.08,2.6960784313725568,9.803921568627459,31.08108108108108,False,0.4796,0.5656,1,1,1,100.0,27.173913043478265,27.173913043478265,5.303921568627444,2.6960784313725568,历史1/1次成功; 当前距低点2.70%; 最新日涨幅0.48%; 状态confirmed_rebound; 底部未确认
34,77.55129626361995,78.2273542707967,300758,七彩化学,bottom_area,2023-05-10,10.09,2023-04-26,9.66,4.451345755693579,7.142857142857137,30.252707581227433,True,1.3052,0.9709,2,2,2,100.0,23.905497816011056,38.59480269489894,3.5486542443064213,4.451345755693579,历史2/2次成功; 当前距低点4.45%; 最新日涨幅1.31%; 状态bottom_area; 底部已确认
35,77.54806350427722,74.88403472662614,688049,炬芯科技,bottom_area,2023-05-10,31.37,2023-05-10,30.7,2.1824104234527746,3.09446254071661,32.07964601769912,False,-0.2226,1.7794,2,2,2,100.0,9.784572538163834,11.287895076327672,5.817589576547226,2.1824104234527746,历史2/2次成功; 当前距低点2.18%; 最新日涨幅-0.22%; 状态bottom_area; 底部未确认
36,77.4193601587835,72.90501568474505,300454,深信服,bottom_area,2023-05-10,115.05,2023-05-10,114.05,0.8768084173608066,2.586584831214382,31.910447761194032,False,-0.8446,0.8803,2,2,2,100.0,22.979241270579003,29.49391262831224,7.123191582639193,0.8768084173608066,历史2/2次成功; 当前距低点0.88%; 最新日涨幅-0.84%; 状态bottom_area; 底部未确认
37,77.10009104187219,72.60921728846357,600203,福日电子,bottom_area,2023-05-10,5.73,2023-05-09,5.68,0.8802816901408576,3.3450704225352186,28.19216182048041,False,-0.1742,1.2989,2,2,2,100.0,21.43150291389641,24.045801526717554,7.119718309859143,0.8802816901408576,历史2/2次成功; 当前距低点0.88%; 最新日涨幅-0.17%; 状态bottom_area; 底部未确认
38,77.0894984063027,73.81339695251964,601138,工业富联,bottom_area,2023-05-10,14.6,2023-05-08,14.35,1.7421602787456445,6.132404181184675,27.780573729240064,False,-0.6803,0.5185,1,1,1,100.0,15.298507462686556,15.298507462686556,6.257839721254356,1.7421602787456445,历史1/1次成功; 当前距低点1.74%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
