rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.34711073744513,85.88932498171569,300604,长川科技,bottom_area,2023-08-22,34.8,2023-08-22,33.81,2.928127772848254,4.229517894114166,31.93074290316086,False,0.1439,1.8923,4,4,4,100.0,22.28739948284786,36.28082648300379,7.071872227151746,2.928127772848254,历史4/4次成功; 当前距低点2.93%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
13,83.28520536928637,77.95535071945766,600990,四创电子,bottom_area,2023-08-22,21.91,2023-08-22,21.58,1.5291936978684053,1.9462465245597855,32.7516360236834,False,0.9212,0.719,1,1,1,100.0,12.483399734395755,12.483399734395755,8.470806302131596,1.5291936978684053,历史1/1次成功; 当前距低点1.53%; 最新日涨幅0.92%; 状态bottom_area; 底部未确认
14,82.46930474332214,80.04995251439372,688355,明志科技,bottom_area,2023-08-22,21.97,2023-08-22,21.24,3.436911487758948,4.566854990583816,30.246305418719217,False,-1.0806,3.2912,4,4,4,100.0,19.602745733785582,35.08474576271185,6.563088512241053,3.436911487758948,历史4/4次成功; 当前距低点3.44%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
15,82.46698589612382,79.0089753410316,300455,航天智装,bottom_area,2023-08-22,10.83,2023-08-17,10.54,2.7514231499051323,6.451612903225821,32.43589743589744,False,2.1698,1.1418,2,2,2,100.0,16.463549047394118,18.904109589041095,7.248576850094867,2.7514231499051323,历史2/2次成功; 当前距低点2.75%; 最新日涨幅2.17%; 状态bottom_area; 底部未确认
16,82.33003244746558,79.95665833577912,600072,中船科技,bottom_area,2023-08-22,22.1,2023-08-21,21.36,3.46441947565544,4.822097378277159,30.423452768729643,False,3.271,4.3634,3,3,3,100.0,13.631907205771569,14.0952380952381,6.535580524344561,3.46441947565544,历史3/3次成功; 当前距低点3.46%; 最新日涨幅3.27%; 状态bottom_area; 底部未确认
17,82.2457679411964,79.58236872030275,688328,深科达,bottom_area,2023-08-22,22.41,2023-08-17,21.7,3.2718894009216632,5.898617511520743,31.04544010168414,False,0.6739,3.4867,2,2,2,100.0,25.92621803443088,29.170984455958543,6.728110599078338,3.2718894009216632,历史2/2次成功; 当前距低点3.27%; 最新日涨幅0.67%; 状态bottom_area; 底部未确认
18,81.9667302819602,77.72776260973836,300438,鹏辉能源,bottom_area,2023-08-22,38.8,2023-08-22,37.96,2.212855637513162,3.082191780821922,30.027649769585253,False,0.4921,2.3082,1,1,1,100.0,19.640179910044974,19.640179910044974,7.787144362486839,2.212855637513162,历史1/1次成功; 当前距低点2.21%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
19,81.69545384087654,76.74875663583262,002755,奥赛康,bottom_area,2023-08-22,7.68,2023-08-22,7.55,1.7218543046357602,3.4437086092715203,32.34767025089606,False,-1.5385,0.3474,1,1,1,100.0,30.831099195710454,30.831099195710454,8.278145695364241,1.7218543046357602,历史1/1次成功; 当前距低点1.72%; 最新日涨幅-1.54%; 状态bottom_area; 底部未确认
20,80.61183322149564,77.04095675859719,002519,银河电子,bottom_area,2023-08-22,5.48,2023-08-17,5.34,2.621722846441958,4.494382022471914,28.03234501347709,False,1.8587,1.3542,1,1,1,100.0,20.959595959595962,20.959595959595962,7.3782771535580425,2.621722846441958,历史1/1次成功; 当前距低点2.62%; 最新日涨幅1.86%; 状态bottom_area; 底部未确认
21,80.5309877085214,75.5819246942924,002219,新里程,bottom_area,2023-08-22,3.65,2023-08-22,3.59,1.6713091922005585,4.735376044568243,30.961538461538467,False,-1.6173,0.8216,1,1,1,100.0,23.938223938223942,23.938223938223942,8.328690807799441,1.6713091922005585,历史1/1次成功; 当前距低点1.67%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
22,80.1033678108573,79.24954119104484,002765,蓝黛科技,bottom_area,2023-08-22,6.59,2023-08-21,6.31,4.437400950871637,8.874801901743274,29.339305711086226,False,0.0,3.5668,3,3,3,100.0,21.75707182275358,28.213879408418663,5.562599049128364,4.437400950871637,历史3/3次成功; 当前距低点4.44%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
23,79.97559139354726,74.73088318681123,300683,海特生物,bottom_area,2023-08-22,33.1,2023-08-22,32.63,1.4403922770456599,4.229236898559593,30.50053248136315,False,-1.955,1.2729,1,1,1,100.0,16.532137518684582,16.532137518684582,8.55960772295434,1.4403922770456599,历史1/1次成功; 当前距低点1.44%; 最新日涨幅-1.96%; 状态bottom_area; 底部未确认
24,79.93589761202122,76.39995672379331,603070,万控智造,bottom_area,2023-08-22,16.81,2023-08-22,16.38,2.6251526251526234,3.235653235653243,27.200000000000003,False,0.3582,2.3849,1,1,1,100.0,17.555401662049874,17.555401662049874,7.374847374847376,2.6251526251526234,历史1/1次成功; 当前距低点2.63%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
25,78.11909169373828,75.5434153846154,002819,东方中科,bottom_area,2023-08-22,25.81,2023-08-22,25.0,3.239999999999995,3.920000000000002,28.57142857142857,False,1.0176,0.9093,1,1,1,100.0,20.487179487179493,20.487179487179493,6.760000000000005,3.239999999999995,历史1/1次成功; 当前距低点3.24%; 最新日涨幅1.02%; 状态bottom_area; 底部未确认
26,77.92178825241885,74.3961263163417,002176,江特电机,bottom_area,2023-08-22,9.58,2023-08-22,9.34,2.5695931477516085,5.46038543897216,30.814814814814817,False,-1.6427,2.4722,2,2,2,100.0,11.907519855996531,13.689095127610203,7.4304068522483915,2.5695931477516085,历史2/2次成功; 当前距低点2.57%; 最新日涨幅-1.64%; 状态bottom_area; 底部未确认
27,77.19329091946328,72.75467669159414,000980,众泰汽车,bottom_area,2023-08-22,3.77,2023-08-22,3.7,1.8918918918918874,7.837837837837839,30.188679245283012,False,-3.0848,6.2361,3,4,3,75.0,25.823603253266942,43.49775784753364,8.108108108108112,1.8918918918918874,历史3/4次成功; 当前距低点1.89%; 最新日涨幅-3.08%; 状态bottom_area; 底部未确认
28,77.1289705146693,76.40834207519238,688300,联瑞新材,bottom_area,2023-08-22,42.2,2023-08-22,40.38,4.507181773155028,4.531946508172358,30.974358974358967,False,1.6623,0.5273,2,2,2,100.0,24.003852247235756,26.809910956252438,5.492818226844973,4.507181773155028,历史2/2次成功; 当前距低点4.51%; 最新日涨幅1.66%; 状态bottom_area; 底部未确认
29,76.73384242254872,74.18377515170873,601360,三六零,bottom_area,2023-08-22,11.2,2023-08-21,10.85,3.2258064516129004,3.6866359447004644,32.85891089108911,False,2.5641,1.482,1,1,1,100.0,13.003300330033007,13.003300330033007,6.7741935483871005,3.2258064516129004,历史1/1次成功; 当前距低点3.23%; 最新日涨幅2.56%; 状态bottom_area; 底部未确认
30,76.61021050377406,75.51374722391289,300473,德尔股份,bottom_area,2023-08-22,16.46,2023-08-17,15.79,4.243191893603558,6.079797340088669,29.665924276169264,False,0.0608,1.8307,2,2,2,100.0,15.958197534026922,21.37137137137137,5.756808106396443,4.243191893603558,历史2/2次成功; 当前距低点4.24%; 最新日涨幅0.06%; 状态bottom_area; 底部未确认
31,76.58240322251561,76.45602961983819,688262,国芯科技,bottom_area,2023-08-22,32.67,2023-08-17,31.14,4.913294797687865,7.4823378291586335,32.74298056155507,True,1.9345,1.5708,2,2,2,100.0,20.044848164336123,27.063197026022312,5.086705202312136,4.913294797687865,历史2/2次成功; 当前距低点4.91%; 最新日涨幅1.93%; 状态bottom_area; 底部已确认
32,76.50205570128169,74.02783156202435,603255,鼎际得,bottom_area,2023-08-22,37.22,2023-08-22,36.04,3.274139844617091,3.6903440621531587,31.063504208110178,False,0.4588,1.2644,1,1,1,100.0,12.757367783609205,12.757367783609205,6.725860155382909,3.274139844617091,历史1/1次成功; 当前距低点3.27%; 最新日涨幅0.46%; 状态bottom_area; 底部未确认
33,75.09059421959763,74.58150544522745,603015,弘讯科技,bottom_area,2023-08-22,8.79,2023-08-17,8.4,4.642857142857128,8.095238095238091,29.883138564273786,True,0.8028,1.5206,1,1,1,100.0,23.318385650224208,23.318385650224208,5.357142857142872,4.642857142857128,历史1/1次成功; 当前距低点4.64%; 最新日涨幅0.80%; 状态bottom_area; 底部已确认
34,74.79945865036218,72.50476813009911,300614,百川畅银,bottom_area,2023-08-22,23.35,2023-08-17,22.59,3.3643204957946065,5.444887118193893,27.596153846153843,False,-0.9334,1.8848,2,2,2,100.0,11.480746561886047,11.8614931237721,6.6356795042053935,3.3643204957946065,历史2/2次成功; 当前距低点3.36%; 最新日涨幅-0.93%; 状态bottom_area; 底部未确认
35,74.30771341268117,70.26011956800275,301408,华人健康,bottom_area,2023-08-22,19.32,2023-08-22,18.93,2.0602218700475468,8.557844690966725,28.968105065666037,False,-5.1081,31.2486,1,1,1,100.0,10.308738880167446,10.308738880167446,7.939778129952455,2.0602218700475468,历史1/1次成功; 当前距低点2.06%; 最新日涨幅-5.11%; 状态bottom_area; 底部未确认
36,73.4826356764307,72.94836595395108,688287,退市观典,bottom_area,2023-08-22,10.65,2023-08-16,10.18,4.6168958742632675,7.662082514734786,31.951871657754015,True,1.2357,0.6268,1,1,1,100.0,14.219830899308223,14.219830899308223,5.383104125736733,4.6168958742632675,历史1/1次成功; 当前距低点4.62%; 最新日涨幅1.24%; 状态bottom_area; 底部已确认
37,72.73961154208307,71.60772473312376,603061,金海通,bottom_area,2023-08-22,91.29,2023-08-22,87.63,4.176651831564545,5.215108980942608,29.438763185441662,False,0.9398,6.8807,1,1,1,100.0,10.80909090909091,10.80909090909091,5.823348168435456,4.176651831564545,历史1/1次成功; 当前距低点4.18%; 最新日涨幅0.94%; 状态bottom_area; 底部未确认
38,72.71745816900527,69.44427155097517,001266,宏英智能,bottom_area,2023-08-22,25.82,2023-08-22,25.17,2.582439411998405,3.655145013905435,28.534923339011918,False,0.0775,4.1515,2,3,2,66.66666666666666,18.524552385295017,23.285351397121083,7.417560588001596,2.582439411998405,历史2/3次成功; 当前距低点2.58%; 最新日涨幅0.08%; 状态bottom_area; 底部未确认
39,72.36390858048314,68.64879720246726,002386,天原股份,bottom_area,2023-08-22,5.95,2023-08-22,5.82,2.233676975945015,3.092783505154634,29.794933655006023,False,-0.1678,0.8457,2,3,2,66.66666666666666,32.445774413737794,48.85290148448042,7.766323024054985,2.233676975945015,历史2/3次成功; 当前距低点2.23%; 最新日涨幅-0.17%; 状态bottom_area; 底部未确认
40,70.57971300262733,68.86244504635901,000534,万泽股份,bottom_area,2023-08-22,12.03,2023-08-22,11.6,3.7068965517241357,7.758620689655175,31.764705882352946,False,-2.6699,2.5442,1,1,1,100.0,12.764350453172202,12.764350453172202,6.293103448275865,3.7068965517241357,历史1/1次成功; 当前距低点3.71%; 最新日涨幅-2.67%; 状态bottom_area; 底部未确认
41,69.33205350053278,67.55430853898065,688117,圣诺生物,bottom_area,2023-08-22,25.08,2023-08-22,24.2,3.6363636363636322,5.1652892561983474,30.995152552038785,False,1.6207,8.8533,2,3,2,66.66666666666666,21.282532060339015,24.6076585059636,6.363636363636369,3.6363636363636322,历史2/3次成功; 当前距低点3.64%; 最新日涨幅1.62%; 状态bottom_area; 底部未确认
42,68.32748003938657,66.87440320545281,688286,敏芯股份,bottom_area,2023-08-22,48.83,2023-08-16,47.01,3.871516698574772,7.679217187832375,28.338414634146336,False,2.4334,0.7287,2,3,2,66.66666666666666,20.509648449121638,25.016501650165008,6.128483301425228,3.871516698574772,历史2/3次成功; 当前距低点3.87%; 最新日涨幅2.43%; 状态bottom_area; 底部未确认
43,65.3232323234356,61.90763847645857,002272,川润股份,bottom_area,2023-08-22,6.09,2023-08-22,5.96,2.1812080536912735,4.026845637583897,27.228327228327228,False,-0.8143,1.9823,1,2,1,50.0,48.337595907928375,48.337595907928375,7.818791946308727,2.1812080536912735,历史1/2次成功; 当前距低点2.18%; 最新日涨幅-0.81%; 状态bottom_area; 底部未确认
44,62.029904882632,59.29932339053806,002487,大金重工,bottom_area,2023-08-22,25.3,2023-08-22,24.65,2.6369168356998056,4.949290060851937,29.308861485517635,False,0.1187,2.1736,1,2,1,50.0,17.427385892116188,17.427385892116188,7.363083164300195,2.6369168356998056,历史1/2次成功; 当前距低点2.64%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
45,56.81161445497939,56.016540970240506,000890,法尔胜,bottom_area,2023-08-22,4.65,2023-08-14,4.46,4.260089686098664,8.96860986547086,27.47967479674797,True,-2.3109,8.8942,1,2,1,50.0,32.954545454545446,32.954545454545446,5.739910313901336,4.260089686098664,历史1/2次成功; 当前距低点4.26%; 最新日涨幅-2.31%; 状态bottom_area; 底部已确认
46,54.227806686312,52.595679699428686,300458,全志科技,bottom_area,2023-08-22,23.75,2023-08-22,22.97,3.3957335655202487,3.7875489769264306,27.194928684627577,False,1.4524,2.0676,1,3,1,33.33333333333333,10.132359653126422,10.132359653126422,6.604266434479753,3.3957335655202487,历史1/3次成功; 当前距低点3.40%; 最新日涨幅1.45%; 状态bottom_area; 底部未确认
