rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.94244793792005,82.36073532579053,300437,清水源,confirmed_rebound,2022-04-26,17.66,2022-04-26,17.35,1.7867435158501366,8.126801152737752,29.643146796431463,False,-1.1198,7.5548,5,5,5,100.0,22.01349753725175,30.330330330330323,6.213256484149864,1.7867435158501366,历史5/5次成功; 当前距低点1.79%; 最新日涨幅-1.12%; 状态confirmed_rebound; 底部未确认
12,81.62057412775646,75.57460567384857,603222,济民健康,confirmed_rebound,2022-04-26,13.74,2022-04-26,13.74,0.0,9.097525473071325,31.093279839518562,False,-9.9016,5.15,5,5,5,100.0,25.93874018198151,68.46504559270518,8.0,0.0,历史5/5次成功; 当前距低点0.00%; 最新日涨幅-9.90%; 状态confirmed_rebound; 底部未确认
13,81.52069725216194,76.22165993666577,605162,新中港,bottom_area,2022-04-26,7.94,2022-04-26,7.9,0.5063291139240511,6.075949367088613,31.542461005199296,False,-2.934,2.0816,3,3,3,100.0,19.602636109745223,26.46502835538753,7.493670886075949,0.5063291139240511,历史3/3次成功; 当前距低点0.51%; 最新日涨幅-2.93%; 状态bottom_area; 底部未确认
14,81.436749754698,79.39600249706223,688105,诺唯赞,bottom_area,2022-04-26,70.87,2022-04-26,69.02,2.6803824978267294,6.534337873080275,29.549862202715122,False,2.0006,4.7043,2,2,2,100.0,17.673519312404096,25.237580993520524,5.319617502173271,2.6803824978267294,历史2/2次成功; 当前距低点2.68%; 最新日涨幅2.00%; 状态bottom_area; 底部未确认
15,81.22367949273766,76.41688129410498,300584,海辰药业,bottom_area,2022-04-26,31.63,2022-04-26,31.37,0.8288173414089831,5.196047178833277,32.970085470085465,False,-1.4949,10.0832,2,2,2,100.0,41.271961465147655,54.23197492163009,7.171182658591017,0.8288173414089831,历史2/2次成功; 当前距低点0.83%; 最新日涨幅-1.49%; 状态bottom_area; 底部未确认
16,81.1819596056916,77.94853873946207,605299,舒华体育,bottom_area,2022-04-26,9.18,2022-04-26,9.01,1.8867924528301878,7.325194228634851,32.255639097744364,False,-3.0623,3.0301,2,2,2,100.0,32.85175017158546,56.12903225806454,6.113207547169812,1.8867924528301878,历史2/2次成功; 当前距低点1.89%; 最新日涨幅-3.06%; 状态bottom_area; 底部未确认
17,80.96350390368359,75.24706054448978,000037,深南电A,bottom_area,2022-04-26,5.16,2022-04-26,5.15,0.19417475728154926,7.961165048543674,27.871148459383743,False,-5.3211,0.8084,3,3,3,100.0,20.751499952106027,34.43271767810025,7.80582524271845,0.19417475728154926,历史3/3次成功; 当前距低点0.19%; 最新日涨幅-5.32%; 状态bottom_area; 底部未确认
18,80.93734056698936,75.82841545869489,002584,西陇科学,bottom_area,2022-04-26,6.59,2022-04-26,6.55,0.6106870229007639,6.259541984732826,28.021978021978022,False,-4.0757,5.9827,3,3,3,100.0,28.98269823069161,68.08510638297875,7.389312977099236,0.6106870229007639,历史3/3次成功; 当前距低点0.61%; 最新日涨幅-4.08%; 状态bottom_area; 底部未确认
19,80.71910906745816,76.4187389659521,000809,和展能源,confirmed_rebound,2022-04-26,2.63,2022-04-25,2.6,1.1538461538461462,11.153846153846155,28.767123287671232,False,1.1538,2.0168,1,1,1,100.0,9.836065573770501,9.836065573770501,6.846153846153855,1.1538461538461462,历史1/1次成功; 当前距低点1.15%; 最新日涨幅1.15%; 状态confirmed_rebound; 底部未确认
20,80.60348371048283,76.89825242718446,000430,张家界,confirmed_rebound,2022-04-26,5.23,2022-04-26,5.15,1.5533980582524285,9.126213592233004,28.670360110803315,False,-3.1481,6.8575,1,1,1,100.0,53.99999999999999,53.99999999999999,6.446601941747572,1.5533980582524285,历史1/1次成功; 当前距低点1.55%; 最新日涨幅-3.15%; 状态confirmed_rebound; 底部未确认
21,80.58171917320031,77.04521739130436,000753,漳州发展,bottom_area,2022-04-26,3.05,2022-04-26,3.0,1.6666666666666607,5.666666666666664,28.05755395683453,False,0.6601,1.62,1,1,1,100.0,9.275362318840575,9.275362318840575,6.333333333333339,1.6666666666666607,历史1/1次成功; 当前距低点1.67%; 最新日涨幅0.66%; 状态bottom_area; 底部未确认
22,80.57162200274355,76.19260990973633,300417,南华仪器,confirmed_rebound,2022-04-26,8.31,2022-04-26,8.22,1.0948905109489033,10.34063260340632,28.02101576182136,False,-5.5682,1.1913,2,2,2,100.0,23.919141261827036,25.514403292181065,6.905109489051096,1.0948905109489033,历史2/2次成功; 当前距低点1.09%; 最新日涨幅-5.57%; 状态confirmed_rebound; 底部未确认
23,80.53393574877418,76.2416095795551,300516,久之洋,bottom_area,2022-04-26,21.94,2022-04-26,21.69,1.152604887044721,6.546795758414007,32.19756173804313,False,-3.0062,0.7274,2,2,2,100.0,14.674993129123969,18.853135313531354,6.8473951129552795,1.152604887044721,历史2/2次成功; 当前距低点1.15%; 最新日涨幅-3.01%; 状态bottom_area; 底部未确认
24,80.3548094609953,76.61823259223296,300665,飞鹿股份,bottom_area,2022-04-26,6.66,2022-04-26,6.56,1.5243902439024473,7.012195121951219,32.371134020618555,False,-3.7572,2.8135,2,2,2,100.0,21.25721692650826,22.6044226044226,6.475609756097553,1.5243902439024473,历史2/2次成功; 当前距低点1.52%; 最新日涨幅-3.76%; 状态bottom_area; 底部未确认
25,80.28865787943113,76.55287745941183,300711,广哈通信,confirmed_rebound,2022-04-26,10.0,2022-04-26,9.85,1.5228426395939123,10.0507614213198,31.597222222222225,False,-4.943,1.6681,1,1,1,100.0,47.76859504132231,47.76859504132231,6.477157360406088,1.5228426395939123,历史1/1次成功; 当前距低点1.52%; 最新日涨幅-4.94%; 状态confirmed_rebound; 底部未确认
26,80.2371472786908,76.24283251338764,001213,中铁特货,bottom_area,2022-04-26,4.52,2022-04-26,4.46,1.345291479820619,5.829596412556049,30.42121684867395,False,-1.5251,5.2371,1,1,1,100.0,23.49514563106796,23.49514563106796,6.654708520179381,1.345291479820619,历史1/1次成功; 当前距低点1.35%; 最新日涨幅-1.53%; 状态bottom_area; 底部未确认
27,80.15301901303903,74.31932818690619,603368,柳药集团,bottom_area,2022-04-26,13.82,2022-04-25,13.81,0.07241129616219975,6.444605358435906,29.17948717948718,False,-3.0856,1.5258,2,2,2,100.0,30.93777388255915,42.85714285714285,7.9275887038378,0.07241129616219975,历史2/2次成功; 当前距低点0.07%; 最新日涨幅-3.09%; 状态bottom_area; 底部未确认
28,80.08235359586781,74.46517793434407,603113,金能科技,bottom_area,2022-04-26,9.11,2022-04-26,9.09,0.22002200220021534,5.3905390539053935,30.927051671732524,False,-6.2757,2.1641,3,3,3,100.0,16.864667200863174,20.395634379263292,7.779977997799785,0.22002200220021534,历史3/3次成功; 当前距低点0.22%; 最新日涨幅-6.28%; 状态bottom_area; 底部未确认
29,79.97929747400575,76.29833941956564,000928,中钢国际,confirmed_rebound,2022-04-26,5.24,2022-04-25,5.16,1.5503875968992262,9.883720930232553,30.081300813008127,False,1.5504,1.5176,1,1,1,100.0,14.049586776859499,14.049586776859499,6.449612403100774,1.5503875968992262,历史1/1次成功; 当前距低点1.55%; 最新日涨幅1.55%; 状态confirmed_rebound; 底部未确认
30,79.88167324563263,75.64662669165712,688350,富淼科技,confirmed_rebound,2022-04-26,15.59,2022-04-26,15.41,1.1680726800778696,9.669046073977926,28.158508158508155,False,-6.6467,0.574,1,1,1,100.0,38.54748603351957,38.54748603351957,6.831927319922131,1.1680726800778696,历史1/1次成功; 当前距低点1.17%; 最新日涨幅-6.65%; 状态confirmed_rebound; 底部未确认
31,79.60581862796579,75.27467940680532,601886,江河集团,bottom_area,2022-04-26,4.63,2022-04-26,4.58,1.091703056768555,5.676855895196502,32.047477744807125,False,-2.3207,1.1681,1,1,1,100.0,15.181518151815196,15.181518151815196,6.908296943231446,1.091703056768555,历史1/1次成功; 当前距低点1.09%; 最新日涨幅-2.32%; 状态bottom_area; 底部未确认
32,79.31474633961534,75.05862222497062,002793,罗欣药业,bottom_area,2022-04-26,6.25,2022-04-26,6.18,1.1326860841423994,5.177993527508096,32.6797385620915,False,-1.5748,0.6469,1,1,1,100.0,14.52229299363058,14.52229299363058,6.867313915857601,1.1326860841423994,历史1/1次成功; 当前距低点1.13%; 最新日涨幅-1.57%; 状态bottom_area; 底部未确认
33,79.21150109423428,75.19269169956803,000912,泸天化,confirmed_rebound,2022-04-26,4.7,2022-04-26,4.64,1.2931034482758728,9.051724137931034,30.120481927710845,False,-5.6225,2.2369,2,2,2,100.0,20.97294387976897,33.20388349514563,6.706896551724127,1.2931034482758728,历史2/2次成功; 当前距低点1.29%; 最新日涨幅-5.62%; 状态confirmed_rebound; 底部未确认
34,79.19459785470204,75.27427328623757,600397,江钨装备,confirmed_rebound,2022-04-26,2.98,2022-04-26,2.94,1.360544217687076,10.544217687074832,29.665071770334922,False,-6.5831,8.7234,2,2,2,100.0,22.238247863247857,28.36538461538461,6.639455782312924,1.360544217687076,历史2/2次成功; 当前距低点1.36%; 最新日涨幅-6.58%; 状态confirmed_rebound; 底部未确认
35,79.04532281190393,75.82531254676032,601666,平煤股份,bottom_area,2022-04-26,13.3,2022-04-26,13.06,1.8376722817764182,7.886676875957116,31.0454065469905,False,-3.8322,2.1108,2,2,2,100.0,20.834437361347057,27.30923694779115,6.162327718223582,1.8376722817764182,历史2/2次成功; 当前距低点1.84%; 最新日涨幅-3.83%; 状态bottom_area; 底部未确认
36,78.85358745874586,74.50732673267326,600281,华阳新材,bottom_area,2022-04-26,3.84,2022-04-26,3.8,1.0526315789473695,7.894736842105258,28.166351606805296,False,-6.3415,1.0726,1,1,1,100.0,20.79207920792079,20.79207920792079,6.947368421052631,1.0526315789473695,历史1/1次成功; 当前距低点1.05%; 最新日涨幅-6.34%; 状态bottom_area; 底部未确认
37,78.72197417726466,75.19798994269522,300559,佳发教育,bottom_area,2022-04-26,8.16,2022-04-26,8.03,1.6189290161893002,3.9850560398505643,27.592425608656452,False,-0.7299,1.8444,1,1,1,100.0,21.231979030144167,21.231979030144167,6.3810709838107,1.6189290161893002,历史1/1次成功; 当前距低点1.62%; 最新日涨幅-0.73%; 状态bottom_area; 底部未确认
38,78.70573077544897,75.65087634037111,600257,大湖股份,bottom_area,2022-04-26,5.25,2022-04-26,5.15,1.941747572815527,5.825242718446598,29.355281207133054,False,-2.7778,5.6091,2,2,2,100.0,10.95731616338992,13.44902386117137,6.058252427184473,1.941747572815527,历史2/2次成功; 当前距低点1.94%; 最新日涨幅-2.78%; 状态bottom_area; 底部未确认
39,78.36518783415265,74.05037212129398,601686,友发集团,bottom_area,2022-04-26,6.7,2022-04-26,6.63,1.0558069381598836,6.485671191553541,27.46170678336981,False,-1.7595,1.1758,1,1,1,100.0,8.159203980099488,8.159203980099488,6.944193061840116,1.0558069381598836,历史1/1次成功; 当前距低点1.06%; 最新日涨幅-1.76%; 状态bottom_area; 底部未确认
40,78.23160103673342,73.10393188109279,300409,道氏技术,bottom_area,2022-04-26,14.77,2022-04-26,14.7,0.47619047619047816,4.897959183673474,27.083333333333336,False,-1.6644,2.0089,1,1,1,100.0,35.80454928390903,35.80454928390903,7.523809523809522,0.47619047619047816,历史1/1次成功; 当前距低点0.48%; 最新日涨幅-1.66%; 状态bottom_area; 底部未确认
41,78.15149987237595,72.88016722896582,300488,恒锋工具,confirmed_rebound,2022-04-26,18.98,2022-04-26,18.91,0.3701745108408265,9.095716552088835,31.1863173216885,False,-4.3347,1.3648,2,2,2,100.0,37.065403837004936,65.52470248827983,7.629825489159174,0.3701745108408265,历史2/2次成功; 当前距低点0.37%; 最新日涨幅-4.33%; 状态confirmed_rebound; 底部未确认
42,78.04512153674852,73.50859132901502,601778,晶科科技,bottom_area,2022-04-26,4.55,2022-04-26,4.51,0.8869179600886926,5.543237250554324,32.48502994011976,False,-1.3015,2.0307,2,2,2,100.0,26.348195043103452,42.344827586206904,7.1130820399113075,0.8869179600886926,历史2/2次成功; 当前距低点0.89%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
43,77.94449183736181,73.62722769255117,001203,大中矿业,bottom_area,2022-04-26,10.71,2022-04-26,10.6,1.037735849056615,6.60377358490567,28.23290453622207,False,-4.2895,2.7781,1,1,1,100.0,15.877771120431387,15.877771120431387,6.962264150943385,1.037735849056615,历史1/1次成功; 当前距低点1.04%; 最新日涨幅-4.29%; 状态bottom_area; 底部未确认
44,77.9249319740402,73.85174365504523,002758,浙农股份,bottom_area,2022-04-26,11.72,2022-04-26,11.58,1.2089810017271208,6.131260794473222,27.169811320754718,False,-1.097,5.9277,1,1,1,100.0,8.968926553672313,8.968926553672313,6.79101899827288,1.2089810017271208,历史1/1次成功; 当前距低点1.21%; 最新日涨幅-1.10%; 状态bottom_area; 底部未确认
45,77.84087769785044,72.93533423735342,600966,博汇纸业,bottom_area,2022-04-26,6.53,2022-04-26,6.49,0.6163328197226507,7.704160246533127,31.684210526315788,False,-5.0872,1.2213,3,3,3,100.0,13.49770465764015,15.231788079470201,7.3836671802773495,0.6163328197226507,历史3/3次成功; 当前距低点0.62%; 最新日涨幅-5.09%; 状态bottom_area; 底部未确认
46,77.7707574765086,73.6874617251213,002108,沧州明珠,confirmed_rebound,2022-04-26,4.23,2022-04-26,4.18,1.1961722488038447,8.612440191387568,30.564784053156146,False,-3.4247,1.643,2,2,2,100.0,11.692120711795996,14.398734177215191,6.803827751196155,1.1961722488038447,历史2/2次成功; 当前距低点1.20%; 最新日涨幅-3.42%; 状态confirmed_rebound; 底部未确认
47,77.73464068007819,73.8107651642497,600409,三友化工,confirmed_rebound,2022-04-26,6.2,2022-04-26,6.12,1.3071895424836613,11.111111111111107,31.313131313131315,False,-8.284,2.2687,2,2,2,100.0,13.715899575873387,18.95551257253386,6.692810457516339,1.3071895424836613,历史2/2次成功; 当前距低点1.31%; 最新日涨幅-8.28%; 状态confirmed_rebound; 底部未确认
48,77.56668852452064,73.88189861860533,000422,湖北宜化,confirmed_rebound,2022-04-26,15.88,2022-04-26,15.65,1.4696485623003221,8.753993610223636,32.601205857019806,False,-6.7528,7.9317,1,1,1,100.0,32.75643731532291,32.75643731532291,6.530351437699677,1.4696485623003221,历史1/1次成功; 当前距低点1.47%; 最新日涨幅-6.75%; 状态confirmed_rebound; 底部未确认
49,77.42966798885439,71.91019585751329,605228,神通科技,bottom_area,2022-04-26,6.41,2022-04-26,6.4,0.15624999999999667,7.9687499999999964,27.189988623435713,False,-7.1014,1.265,2,2,2,100.0,19.01314977157674,20.32967032967033,7.8437500000000036,0.15624999999999667,历史2/2次成功; 当前距低点0.16%; 最新日涨幅-7.10%; 状态bottom_area; 底部未确认
50,77.42097470489297,74.0523201415893,002796,世嘉科技,confirmed_rebound,2022-04-26,6.63,2022-04-26,6.52,1.687116564417183,12.730061349693253,27.796234772978956,False,-8.2988,3.5663,1,1,1,100.0,36.33841886269071,36.33841886269071,6.312883435582817,1.687116564417183,历史1/1次成功; 当前距低点1.69%; 最新日涨幅-8.30%; 状态confirmed_rebound; 底部未确认
51,77.41718726628402,72.07507255758601,000338,潍柴动力,bottom_area,2022-04-26,10.61,2022-04-26,10.58,0.28355387523628883,4.4423440453686265,27.3850377487989,False,-1.2104,1.4544,2,2,2,100.0,11.245028995294298,13.774104683195592,7.716446124763711,0.28355387523628883,历史2/2次成功; 当前距低点0.28%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
52,77.31379205070215,74.30150468194874,688037,芯源微,confirmed_rebound,2022-04-26,93.83,2022-04-26,92.05,1.9337316675719731,8.419337316675719,29.73282442748092,False,-4.4404,3.0534,2,2,2,100.0,24.034477871036746,27.322614278658854,6.066268332428027,1.9337316675719731,历史2/2次成功; 当前距低点1.93%; 最新日涨幅-4.44%; 状态confirmed_rebound; 底部未确认
53,77.21237921517013,71.94280251171466,688079,美迪凯,bottom_area,2022-04-26,9.24,2022-04-26,9.21,0.32573289902279434,5.4288816503800215,31.422189128816076,False,-4.0498,0.5114,2,2,2,100.0,21.265986674659317,29.007036747458958,7.674267100977206,0.32573289902279434,历史2/2次成功; 当前距低点0.33%; 最新日涨幅-4.05%; 状态bottom_area; 底部未确认
54,77.16412385308224,73.38151446589679,002829,星网宇达,confirmed_rebound,2022-04-26,21.2,2022-04-26,20.91,1.3868962219033913,8.560497369679574,30.830301025471385,False,-5.5679,2.6014,2,2,2,100.0,12.385149741056448,15.794091839719234,6.613103778096609,1.3868962219033913,历史2/2次成功; 当前距低点1.39%; 最新日涨幅-5.57%; 状态confirmed_rebound; 底部未确认
55,77.15444011592672,72.75387463054707,300480,光力科技,bottom_area,2022-04-26,18.12,2022-04-26,17.95,0.9470752089136586,7.353760445682453,29.330708661417322,False,-2.4233,2.133,1,1,1,100.0,39.69465648854962,39.69465648854962,7.052924791086341,0.9470752089136586,历史1/1次成功; 当前距低点0.95%; 最新日涨幅-2.42%; 状态bottom_area; 底部未确认
56,77.05968022936183,73.69983481851767,002588,史丹利,bottom_area,2022-04-26,5.44,2022-04-26,5.35,1.6822429906542196,5.607476635514033,27.2108843537415,False,-1.982,4.3668,1,1,1,100.0,13.953488372093029,13.953488372093029,6.317757009345781,1.6822429906542196,历史1/1次成功; 当前距低点1.68%; 最新日涨幅-1.98%; 状态bottom_area; 底部未确认
57,76.80298786102354,72.13085186331757,002045,国光电器,bottom_area,2022-04-26,6.83,2022-04-26,6.78,0.7374631268436552,5.014749262536871,28.78151260504201,False,-0.8708,1.8349,1,1,1,100.0,33.77563329312426,33.77563329312426,7.262536873156344,0.7374631268436552,历史1/1次成功; 当前距低点0.74%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
58,76.62191849109932,72.949201076417,002036,联创电子,confirmed_rebound,2022-04-26,9.82,2022-04-26,9.68,1.446280991735543,13.119834710743797,28.18991097922849,False,-8.2243,6.7857,2,2,2,100.0,10.788826546096915,11.589403973509937,6.553719008264457,1.446280991735543,历史2/2次成功; 当前距低点1.45%; 最新日涨幅-8.22%; 状态confirmed_rebound; 底部未确认
59,76.58572261849346,72.47518948360259,002167,东方锆业,bottom_area,2022-04-26,5.36,2022-04-26,5.3,1.1320754716981227,7.735849056603776,28.763440860215063,False,-6.9444,2.5978,1,1,1,100.0,10.840438489646756,10.840438489646756,6.867924528301877,1.1320754716981227,历史1/1次成功; 当前距低点1.13%; 最新日涨幅-6.94%; 状态bottom_area; 底部未确认
60,76.57319190405912,71.75338728171714,002240,盛新锂能,bottom_area,2022-04-26,34.05,2022-04-26,33.84,0.6205673758865062,4.905437352245853,27.692307692307683,False,-2.7421,3.0245,2,2,2,100.0,13.646671498593415,15.073891625615756,7.379432624113494,0.6205673758865062,历史2/2次成功; 当前距低点0.62%; 最新日涨幅-2.74%; 状态bottom_area; 底部未确认
61,76.54741776030949,73.0664970041564,605319,无锡振华,confirmed_rebound,2022-04-26,11.57,2022-04-26,11.39,1.5803336259877059,10.711150131694458,30.07980356046654,False,-7.5879,6.1829,2,2,2,100.0,13.062675652733196,17.248790972595383,6.419666374012295,1.5803336259877059,历史2/2次成功; 当前距低点1.58%; 最新日涨幅-7.59%; 状态confirmed_rebound; 底部未确认
62,76.44423568341381,71.60368230468704,002805,丰元股份,bottom_area,2022-04-26,21.81,2022-04-26,21.68,0.5996309963099585,7.011070110701105,29.701686121919586,False,-6.435,5.2548,2,2,2,100.0,22.800220302547018,33.907595927956166,7.400369003690041,0.5996309963099585,历史2/2次成功; 当前距低点0.60%; 最新日涨幅-6.43%; 状态bottom_area; 底部未确认
63,76.44190899177242,72.90200407559597,002824,和胜股份,confirmed_rebound,2022-04-26,21.83,2022-04-26,21.5,1.5348837209302246,8.511627906976736,27.755376344086024,False,-5.0044,2.9291,2,2,2,100.0,11.621177200628393,12.93842556508184,6.465116279069775,1.5348837209302246,历史2/2次成功; 当前距低点1.53%; 最新日涨幅-5.00%; 状态confirmed_rebound; 底部未确认
64,76.25017305731775,70.82936560934891,001218,丽臣实业,bottom_area,2022-04-26,30.0,2022-04-26,29.95,0.16694490818030286,6.343906510851427,30.186480186480185,False,-4.2146,1.8903,1,1,1,100.0,29.999999999999993,29.999999999999993,7.8330550918196975,0.16694490818030286,历史1/1次成功; 当前距低点0.17%; 最新日涨幅-4.21%; 状态bottom_area; 底部未确认
65,76.08266276813708,70.77378061549291,300543,朗科智能,bottom_area,2022-04-26,8.34,2022-04-26,8.32,0.24038461538461023,7.331730769230763,31.353135313531343,False,-5.2273,1.181,2,2,2,100.0,13.934717949300124,18.559322033898297,7.7596153846153895,0.24038461538461023,历史2/2次成功; 当前距低点0.24%; 最新日涨幅-5.23%; 状态bottom_area; 底部未确认
66,76.03624142668824,70.64602513192497,300441,鲍斯股份,bottom_area,2022-04-26,5.62,2022-04-26,5.61,0.17825311942958622,6.595365418894832,28.443877551020403,False,-4.7458,0.9899,1,1,1,100.0,29.15291529152916,29.15291529152916,7.821746880570414,0.17825311942958622,历史1/1次成功; 当前距低点0.18%; 最新日涨幅-4.75%; 状态bottom_area; 底部未确认
67,75.90304196188926,72.05518453699791,000811,冰轮环境,confirmed_rebound,2022-04-26,7.82,2022-04-26,7.72,1.2953367875647739,8.031088082901556,27.64761012183693,False,-6.4593,2.2112,1,1,1,100.0,20.798668885191347,20.798668885191347,6.704663212435226,1.2953367875647739,历史1/1次成功; 当前距低点1.30%; 最新日涨幅-6.46%; 状态confirmed_rebound; 底部未确认
68,75.81996716924252,70.49974238823097,300620,光库科技,bottom_area,2022-04-26,22.93,2022-04-26,22.88,0.21853146853147162,7.517482517482528,27.20330894050271,False,-6.6748,2.0468,2,2,2,100.0,12.19351686281033,13.057553956834528,7.781468531468529,0.21853146853147162,历史2/2次成功; 当前距低点0.22%; 最新日涨幅-6.67%; 状态bottom_area; 底部未确认
69,75.80084632443486,71.23159980063784,601369,陕鼓动力,bottom_area,2022-04-26,6.56,2022-04-26,6.51,0.7680491551459266,6.144393241167441,31.832460732984302,False,-2.381,0.7824,2,2,2,100.0,12.649203625648104,16.563467492260067,7.231950844854074,0.7680491551459266,历史2/2次成功; 当前距低点0.77%; 最新日涨幅-2.38%; 状态bottom_area; 底部未确认
70,75.71720761494011,70.60663232299032,300735,光弘科技,bottom_area,2022-04-26,8.19,2022-04-26,8.16,0.36764705882352156,7.843137254901968,30.017152658662095,False,-5.6452,1.4464,1,1,1,100.0,31.262729124236255,31.262729124236255,7.632352941176479,0.36764705882352156,历史1/1次成功; 当前距低点0.37%; 最新日涨幅-5.65%; 状态bottom_area; 底部未确认
71,75.7011916858272,70.1550833265287,688258,卓易信息,confirmed_rebound,2022-04-26,22.01,2022-04-26,22.0,0.04545454545455256,8.409090909090915,27.86885245901639,False,-3.634,1.1165,2,2,2,100.0,18.433976828844497,19.85157699443413,7.954545454545448,0.04545454545455256,历史2/2次成功; 当前距低点0.05%; 最新日涨幅-3.63%; 状态confirmed_rebound; 底部未确认
