rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.72705476059257,86.15842783451025,603333,尚纬股份,bottom_area,2025-06-30,7.48,2025-06-23,7.23,3.457814661134163,7.1922544951590535,28.838582677165352,True,1.355,2.3784,5,5,5,100.0,21.03357667686099,47.19626168224298,6.542185338865838,3.457814661134163,历史5/5次成功; 当前距低点3.46%; 最新日涨幅1.35%; 状态bottom_area; 底部已确认
12,75.13902251577254,74.08783305696208,605377,华旺科技,bottom_area,2025-06-30,8.81,2025-06-23,8.45,4.2603550295858135,4.378698224852083,30.04966887417219,False,1.3809,0.9002,1,1,1,100.0,25.16904583020285,25.16904583020285,5.739644970414187,4.2603550295858135,历史1/1次成功; 当前距低点4.26%; 最新日涨幅1.38%; 状态bottom_area; 底部未确认
13,75.10752255205016,73.12502742080068,002896,中大力德,bottom_area,2025-06-30,57.91,2025-06-27,55.9,3.595706618962429,4.114490161001797,27.090126516238428,False,1.4008,3.6964,1,1,1,100.0,11.84536834427426,11.84536834427426,6.40429338103757,3.595706618962429,历史1/1次成功; 当前距低点3.60%; 最新日涨幅1.40%; 状态bottom_area; 底部未确认
14,74.56458808348165,73.71183661866598,688114,华大智造,bottom_area,2025-06-30,64.83,2025-06-23,62.1,4.396135265700478,7.004830917874398,28.20809248554913,True,0.3716,1.7705,3,4,3,75.0,19.785080776683152,27.745919717688572,5.603864734299522,4.396135265700478,历史3/4次成功; 当前距低点4.40%; 最新日涨幅0.37%; 状态bottom_area; 底部已确认
15,74.2369113905515,74.04758517844752,002811,郑中设计,bottom_area,2025-06-30,10.56,2025-06-23,10.07,4.86593843098312,5.56107249255214,31.728813559322035,False,1.2464,2.3607,2,2,2,100.0,15.709273124134537,16.78832116788322,5.134061569016881,4.86593843098312,历史2/2次成功; 当前距低点4.87%; 最新日涨幅1.25%; 状态bottom_area; 底部未确认
16,73.82367883992852,73.46329287488193,600770,综艺股份,bottom_area,2025-06-30,5.3,2025-06-23,5.06,4.743083003952574,6.719367588932822,32.980132450331126,False,1.3384,2.4956,1,1,1,100.0,27.72861356932153,27.72861356932153,5.256916996047427,4.743083003952574,历史1/1次成功; 当前距低点4.74%; 最新日涨幅1.34%; 状态bottom_area; 底部未确认
17,71.17009332428238,70.38436887735537,002575,群兴玩具,bottom_area,2025-06-30,8.51,2025-06-20,8.15,4.417177914110422,8.957055214723932,27.748226950354603,True,-0.1174,2.6107,3,4,3,75.0,24.626529685629794,39.02759526938239,5.582822085889578,4.417177914110422,历史3/4次成功; 当前距低点4.42%; 最新日涨幅-0.12%; 状态bottom_area; 底部已确认
18,70.52399543572776,70.34560705420273,300871,回盛生物,bottom_area,2025-06-30,20.9,2025-06-23,19.93,4.867034621174104,5.067737079779235,29.301170627882232,False,1.4563,3.9025,1,1,1,100.0,12.486268766019775,12.486268766019775,5.132965378825896,4.867034621174104,历史1/1次成功; 当前距低点4.87%; 最新日涨幅1.46%; 状态bottom_area; 底部未确认
19,62.281939142276464,61.273751192884696,001282,三联锻造,bottom_area,2025-06-30,20.36,2025-06-26,19.55,4.1432225063938555,7.161125319693087,30.62455642299503,True,0.9921,10.3087,1,2,1,50.0,37.31343283582089,37.31343283582089,5.856777493606145,4.1432225063938555,历史1/2次成功; 当前距低点4.14%; 最新日涨幅0.99%; 状态bottom_area; 底部已确认
20,62.18577394437746,60.64247736473596,688059,华锐精密,bottom_area,2025-06-30,46.76,2025-06-27,45.1,3.680709534368063,6.430155210643012,32.1498420340003,False,2.2077,2.7221,2,5,2,40.0,25.7768553929846,38.29213483146067,6.319290465631938,3.680709534368063,历史2/5次成功; 当前距低点3.68%; 最新日涨幅2.21%; 状态bottom_area; 底部未确认
21,60.0896705028284,60.07424707610796,603011,合锻智能,bottom_area,2025-06-30,15.58,2025-06-20,14.84,4.986522911051215,7.614555256064695,28.170377541142305,True,1.9634,11.4174,1,2,1,50.0,41.201716738197426,41.201716738197426,5.013477088948786,4.986522911051215,历史1/2次成功; 当前距低点4.99%; 最新日涨幅1.96%; 状态bottom_area; 底部已确认
