rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.4554843284726,88.37860906504172,688095,福昕软件,bottom_area,2024-06-07,45.71,2024-06-06,45.03,1.510104374861203,8.261159227181876,27.951999999999998,False,0.3513,1.7729,4,4,4,100.0,18.288424944759377,31.679509356817103,8.489895625138798,1.510104374861203,历史4/4次成功; 当前距低点1.51%; 最新日涨幅0.35%; 状态bottom_area; 底部未确认
12,83.88909537299342,81.08666666666669,002491,通鼎互联,bottom_area,2024-06-07,3.53,2024-06-06,3.42,3.2163742690058443,8.479532163742691,29.48453608247422,False,2.0231,0.792,1,1,1,100.0,52.39520958083833,52.39520958083833,6.783625730994156,3.2163742690058443,历史1/1次成功; 当前距低点3.22%; 最新日涨幅2.02%; 状态bottom_area; 底部未确认
13,83.72482063081469,77.53778500275945,605198,安德利,bottom_area,2024-06-07,29.1,2024-06-06,28.82,0.9715475364330366,5.621096460791121,28.62803368003963,False,0.2757,0.3903,1,1,1,100.0,43.241469816272954,43.241469816272954,9.028452463566964,0.9715475364330366,历史1/1次成功; 当前距低点0.97%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
14,83.62745483808008,79.46740210127801,605266,健之佳,bottom_area,2024-06-07,37.46,2024-06-06,36.61,2.3217700081944863,7.620868615132475,31.570093457943926,False,1.1612,0.4873,4,5,4,80.0,23.661493118072226,33.154615273148806,7.678229991805514,2.3217700081944863,历史4/5次成功; 当前距低点2.32%; 最新日涨幅1.16%; 状态bottom_area; 底部未确认
15,83.30774672228527,81.29903327351641,300752,隆利科技,confirmed_rebound,2024-06-07,12.83,2024-06-06,12.37,3.7186742118027554,10.024252223120456,31.086350974930365,False,2.0684,4.0214,4,4,4,100.0,17.51403481949826,21.807655194596325,6.281325788197245,3.7186742118027554,历史4/4次成功; 当前距低点3.72%; 最新日涨幅2.07%; 状态confirmed_rebound; 底部未确认
16,82.54259949300946,78.98281083562901,603217,元利科技,bottom_area,2024-06-07,14.91,2024-06-06,14.52,2.685950413223144,6.404958677685949,29.37743190661478,False,1.4976,0.8458,2,2,2,100.0,15.520310633213857,19.81481481481482,7.314049586776856,2.685950413223144,历史2/2次成功; 当前距低点2.69%; 最新日涨幅1.50%; 状态bottom_area; 底部未确认
17,82.51285396212296,79.21233980363802,001322,箭牌家居,bottom_area,2024-06-07,8.28,2024-06-06,8.05,2.85714285714284,6.211180124223602,28.634751773049633,False,1.5951,1.441,2,2,2,100.0,18.85282536518115,26.897069872276486,7.14285714285716,2.85714285714284,历史2/2次成功; 当前距低点2.86%; 最新日涨幅1.60%; 状态bottom_area; 底部未确认
18,82.25832698250574,78.57178358220331,002615,哈尔斯,bottom_area,2024-06-07,6.33,2024-06-06,6.17,2.5931928687196133,6.807131280388978,27.41176470588235,False,1.7685,3.5582,1,1,1,100.0,28.84012539184954,28.84012539184954,7.406807131280388,2.5931928687196133,历史1/1次成功; 当前距低点2.59%; 最新日涨幅1.77%; 状态bottom_area; 底部未确认
19,82.05155018765198,75.59761372629923,002837,英维克,bottom_area,2024-06-07,22.97,2024-06-07,22.81,0.701446733888646,4.252520824199923,31.46033653846154,False,-2.6695,1.9389,3,3,3,100.0,18.639313330996423,24.517374517374524,9.298553266111355,0.701446733888646,历史3/3次成功; 当前距低点0.70%; 最新日涨幅-2.67%; 状态bottom_area; 底部未确认
20,82.05025301011148,81.10533646872821,300584,海辰药业,bottom_area,2024-06-07,15.45,2024-06-06,14.8,4.391891891891882,7.635135135135128,27.734375,False,2.7261,1.6939,3,3,3,100.0,31.17661280775102,54.23197492163009,5.6081081081081186,4.391891891891882,历史3/3次成功; 当前距低点4.39%; 最新日涨幅2.73%; 状态bottom_area; 底部未确认
21,82.0421951420781,79.70470149253732,603273,天元智能,bottom_area,2024-06-07,18.72,2024-06-06,18.09,3.4825870646766113,7.6838032061912696,29.418650019508384,False,2.4631,5.2187,3,4,3,75.0,74.3255125585847,201.34228187919464,6.517412935323389,3.4825870646766113,历史3/4次成功; 当前距低点3.48%; 最新日涨幅2.46%; 状态bottom_area; 底部未确认
22,81.9964039916313,76.89596290763143,605108,同庆楼,bottom_area,2024-06-07,23.7,2024-06-07,23.32,1.629502572898795,4.716981132075477,32.698412698412696,False,-2.4691,0.9323,2,2,2,100.0,13.82381061204675,17.52165223184544,8.370497427101206,1.629502572898795,历史2/2次成功; 当前距低点1.63%; 最新日涨幅-2.47%; 状态bottom_area; 底部未确认
