rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.14324077599187,77.67138543227088,002130,沃尔核材,bottom_area,2024-09-20,10.73,2024-09-19,10.59,1.3220018885741318,3.3994334277620344,27.416038382453735,False,-0.6481,3.4216,1,1,1,100.0,30.89005235602093,30.89005235602093,13.677998111425868,1.3220018885741318,历史1/1次成功; 当前距低点1.32%; 最新日涨幅-0.65%; 状态bottom_area; 底部未确认
12,74.57336773049674,69.74369847023407,000539,粤电力A,bottom_area,2024-09-20,4.26,2024-09-18,4.1,3.9024390243902474,4.87804878048781,31.8936877076412,False,-0.6993,0.3396,1,1,1,100.0,19.89924433249369,19.89924433249369,11.097560975609753,3.9024390243902474,历史1/1次成功; 当前距低点3.90%; 最新日涨幅-0.70%; 状态bottom_area; 底部未确认
13,74.09365649584008,69.39365272098748,000690,宝新能源,bottom_area,2024-09-20,3.92,2024-09-18,3.77,3.978779840848804,5.0397877984084865,27.91586998087955,False,-0.5076,0.6515,1,1,1,100.0,18.953068592057758,18.953068592057758,11.021220159151197,3.978779840848804,历史1/1次成功; 当前距低点3.98%; 最新日涨幅-0.51%; 状态bottom_area; 底部未确认
14,73.46617456566617,68.95015250517821,603306,华懋科技,bottom_area,2024-09-20,17.81,2024-09-19,17.11,4.091174751607244,8.12390414962011,31.367829923786605,False,0.6215,6.6565,2,3,2,66.66666666666666,34.36217350632288,49.205252246026255,10.908825248392755,4.091174751607244,历史2/3次成功; 当前距低点4.09%; 最新日涨幅0.62%; 状态bottom_area; 底部未确认
15,72.2826814655132,66.8583850599951,300455,航天智装,bottom_area,2024-09-20,9.99,2024-09-18,9.67,3.3092037228541913,5.3774560496380515,29.82583454281567,False,-1.382,1.0191,2,3,2,66.66666666666666,36.00377893245158,53.103448275862064,11.690796277145807,3.3092037228541913,历史2/3次成功; 当前距低点3.31%; 最新日涨幅-1.38%; 状态bottom_area; 底部未确认
16,71.87880000724607,65.94197830357217,688358,祥生医疗,bottom_area,2024-09-20,19.36,2024-09-18,18.82,2.8692879914984015,5.5791710945802375,29.274708756106726,False,-1.7259,0.4685,2,3,2,66.66666666666666,25.684345470547626,29.46360153256704,12.130712008501598,2.8692879914984015,历史2/3次成功; 当前距低点2.87%; 最新日涨幅-1.73%; 状态bottom_area; 底部未确认
17,70.67269195207759,62.78845928099776,000922,佳电股份,bottom_area,2024-09-20,8.8,2024-09-18,8.7,1.1494252873563382,3.6781609195402334,30.6772908366534,False,-0.6772,0.7713,1,2,1,50.0,40.42553191489362,40.42553191489362,13.850574712643663,1.1494252873563382,历史1/2次成功; 当前距低点1.15%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
18,70.59116867315736,61.383624933180315,000566,海南海药,bottom_area,2024-09-20,3.96,2024-09-20,3.96,0.0,8.585858585858583,30.404217926186295,False,-10.0,21.9271,2,3,2,66.66666666666666,28.31697992749272,37.53581661891116,15.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态bottom_area; 底部未确认
19,67.83917737496583,62.95979338743927,002806,华锋股份,bottom_area,2024-09-20,8.6,2024-09-18,8.31,3.4897713598074502,7.701564380264727,32.05233033524121,True,-0.6928,4.0274,2,4,2,50.0,27.507914450538966,34.66407010710809,11.51022864019255,3.4897713598074502,历史2/4次成功; 当前距低点3.49%; 最新日涨幅-0.69%; 状态bottom_area; 底部已确认
20,65.81062425825242,61.34829255691399,301326,捷邦科技,bottom_area,2024-09-20,30.61,2024-09-18,29.51,3.7275499830565835,6.743476787529645,30.054515287982923,False,0.7903,7.2215,1,2,1,50.0,41.81240063593006,41.81240063593006,11.272450016943417,3.7275499830565835,历史1/2次成功; 当前距低点3.73%; 最新日涨幅0.79%; 状态bottom_area; 底部未确认
21,64.88287961791293,59.40697954718242,000591,太阳能,bottom_area,2024-09-20,4.09,2024-08-23,3.98,2.763819095477384,7.035175879396981,28.158844765342963,True,-0.4866,0.35,1,2,1,50.0,32.84132841328414,32.84132841328414,12.236180904522616,2.763819095477384,历史1/2次成功; 当前距低点2.76%; 最新日涨幅-0.49%; 状态bottom_area; 底部已确认
22,59.384603841683536,54.71529138166894,000966,长源电力,bottom_area,2024-09-20,3.99,2024-09-18,3.87,3.1007751937984525,4.134366925064603,28.33333333333334,False,-0.9926,0.2955,1,2,1,50.0,20.94117647058823,20.94117647058823,11.899224806201547,3.1007751937984525,历史1/2次成功; 当前距低点3.10%; 最新日涨幅-0.99%; 状态bottom_area; 底部未确认
23,59.348157976791555,55.39993710691823,603132,金徽股份,bottom_area,2024-09-20,10.65,2024-09-18,10.26,3.8011695906432803,5.165692007797265,31.554369579719815,False,-0.4673,1.0006,1,2,1,50.0,33.20754716981132,33.20754716981132,11.19883040935672,3.8011695906432803,历史1/2次成功; 当前距低点3.80%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
24,58.03754066500434,55.34156506494543,000155,川能动力,bottom_area,2024-09-20,9.34,2024-08-23,8.9,4.943820224719095,7.752808988764039,29.08366533864542,True,-0.6383,0.3587,1,2,1,50.0,37.70685579196216,37.70685579196216,10.056179775280905,4.943820224719095,历史1/2次成功; 当前距低点4.94%; 最新日涨幅-0.64%; 状态bottom_area; 底部已确认
25,57.91768523761379,51.22028866447963,301509,金凯生科,bottom_area,2024-09-20,24.58,2024-09-20,24.36,0.9031198686371055,3.0788177339901477,32.05020920502093,False,-2.499,2.1424,1,2,1,50.0,15.05054819877544,15.05054819877544,14.096880131362893,0.9031198686371055,历史1/2次成功; 当前距低点0.90%; 最新日涨幅-2.50%; 状态bottom_area; 底部未确认
26,57.3012357401236,53.474890532431395,000899,赣能股份,bottom_area,2024-09-20,7.4,2024-09-18,7.13,3.7868162692847194,4.908835904628338,28.628628628628633,False,-0.9371,0.7251,2,6,2,33.33333333333333,25.459668242296914,27.473958333333325,11.21318373071528,3.7868162692847194,历史2/6次成功; 当前距低点3.79%; 最新日涨幅-0.94%; 状态bottom_area; 底部未确认
27,57.03084633438355,52.88795641519341,603060,国检集团,bottom_area,2024-09-20,5.7,2024-09-18,5.51,3.4482758620689724,4.537205081669692,29.719387755102044,False,-0.5236,0.7077,1,4,1,25.0,36.2098138747885,36.2098138747885,11.551724137931027,3.4482758620689724,历史1/4次成功; 当前距低点3.45%; 最新日涨幅-0.52%; 状态bottom_area; 底部未确认
28,56.94832115868927,53.23543704274165,000683,博源化工,bottom_area,2024-09-20,5.09,2024-09-18,4.9,3.877551020408153,6.530612244897946,29.69870875179339,False,-0.7797,0.674,1,2,1,50.0,22.50673854447439,22.50673854447439,11.122448979591846,3.877551020408153,历史1/2次成功; 当前距低点3.88%; 最新日涨幅-0.78%; 状态bottom_area; 底部未确认
29,55.979944178244004,52.340268419564126,300400,劲拓股份,bottom_area,2024-09-20,11.49,2024-09-18,11.06,3.8878842676311005,4.339963833634707,28.64516129032258,False,0.7011,3.1128,1,5,1,20.0,27.014218009478668,27.014218009478668,11.112115732368899,3.8878842676311005,历史1/5次成功; 当前距低点3.89%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
30,54.75534188888543,52.01137145552841,600262,北方股份,bottom_area,2024-09-20,16.14,2024-08-29,15.41,4.737183646982482,7.722258273848159,31.48065807025344,True,-0.6769,2.2259,1,2,1,50.0,17.269624573378834,17.269624573378834,10.262816353017518,4.737183646982482,历史1/2次成功; 当前距低点4.74%; 最新日涨幅-0.68%; 状态bottom_area; 底部已确认
