rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.28786537987322,83.73739963533502,603289,泰瑞机器,bottom_area,2025-03-31,8.75,2025-03-31,8.51,2.8202115158636922,3.5252643948296205,27.512776831345832,False,0.4592,4.6536,3,3,3,100.0,26.061730599485188,40.702947845804985,7.179788484136308,2.8202115158636922,历史3/3次成功; 当前距低点2.82%; 最新日涨幅0.46%; 状态bottom_area; 底部未确认
12,80.88379611593426,77.24651907597871,002300,太阳电缆,bottom_area,2025-03-31,6.35,2025-03-31,6.19,2.584814216478178,6.623586429725351,29.579067121729224,False,-7.7035,14.2605,2,2,2,100.0,37.633846718005124,38.41584158415842,7.415185783521822,2.584814216478178,历史2/2次成功; 当前距低点2.58%; 最新日涨幅-7.70%; 状态bottom_area; 底部未确认
13,80.30676587970794,73.00615079973448,002278,神开股份,bottom_area,2025-03-31,8.42,2025-03-31,8.42,0.0,3.087885985748216,29.833333333333336,False,-10.0427,5.4691,3,3,3,100.0,18.581455912550933,33.74485596707818,10.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-10.04%; 状态bottom_area; 底部未确认
14,79.39245610182196,73.67661877348736,603081,大丰实业,bottom_area,2025-03-31,11.24,2025-03-31,11.12,1.079136690647491,5.6654676258992875,32.68765133171913,False,-7.8689,7.2185,1,1,1,100.0,16.65080875356803,16.65080875356803,8.92086330935251,1.079136690647491,历史1/1次成功; 当前距低点1.08%; 最新日涨幅-7.87%; 状态bottom_area; 底部未确认
15,78.36930132708112,73.93035406403942,603280,南方路机,bottom_area,2025-03-31,23.65,2025-03-31,23.2,1.93965517241379,5.6896551724137945,28.240024744819053,False,-1.0046,18.639,1,1,1,100.0,18.348214285714302,18.348214285714302,8.06034482758621,1.93965517241379,历史1/1次成功; 当前距低点1.94%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
16,78.32389687720627,75.82891424665686,300386,飞天诚信,bottom_area,2025-03-31,14.71,2025-03-31,14.24,3.3005617977528137,4.494382022471914,30.536585365853657,False,-2.1941,4.9801,8,9,8,88.88888888888889,19.31168238339282,31.195335276967924,6.699438202247188,3.3005617977528137,历史8/9次成功; 当前距低点3.30%; 最新日涨幅-2.19%; 状态bottom_area; 底部未确认
17,78.24763453154823,74.8519135742762,002178,延华智能,bottom_area,2025-03-31,6.15,2025-03-31,5.99,2.67111853088481,4.674457429048403,27.305825242718445,False,-2.6899,3.3621,5,6,5,83.33333333333334,18.38027145892594,29.076086956521735,7.328881469115191,2.67111853088481,历史5/6次成功; 当前距低点2.67%; 最新日涨幅-2.69%; 状态bottom_area; 底部未确认
18,77.82390987288258,77.52800147032409,002279,久其软件,bottom_area,2025-03-31,6.55,2025-03-31,6.25,4.799999999999997,4.799999999999997,28.977272727272734,False,1.0802,3.5353,3,3,3,100.0,16.94624446410791,25.915492957746476,5.200000000000003,4.799999999999997,历史3/3次成功; 当前距低点4.80%; 最新日涨幅1.08%; 状态bottom_area; 底部未确认
19,77.1672874734041,74.74973111395644,002401,中远海科,bottom_area,2025-03-31,16.14,2025-03-31,15.62,3.329065300896296,5.953905249679908,28.414298808432637,False,-3.4689,6.1841,1,1,1,100.0,68.49925705794946,68.49925705794946,6.670934699103705,3.329065300896296,历史1/1次成功; 当前距低点3.33%; 最新日涨幅-3.47%; 状态bottom_area; 底部未确认
20,76.71622829934013,76.42961723470997,000536,华映科技,bottom_area,2025-03-31,4.8,2025-03-31,4.58,4.803493449781654,5.458515283842795,27.3015873015873,False,0.2088,2.9228,3,3,3,100.0,11.083775807592168,11.280487804878053,5.196506550218347,4.803493449781654,历史3/3次成功; 当前距低点4.80%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
21,76.54530451501216,75.54399509298977,301389,隆扬电子,bottom_area,2025-03-31,22.03,2025-03-31,21.12,4.308712121212121,6.250000000000002,31.428571428571427,False,0.7316,10.1562,2,2,2,100.0,16.92397166319034,18.998628257887525,5.69128787878788,4.308712121212121,历史2/2次成功; 当前距低点4.31%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
22,76.47909700312184,74.57000476842036,301366,一博科技,bottom_area,2025-03-31,53.63,2025-03-31,51.73,3.672917069398813,3.7115793543398454,31.483443708609276,False,-0.5747,6.6421,2,2,2,100.0,26.366966057256242,36.479591836734706,6.327082930601188,3.672917069398813,历史2/2次成功; 当前距低点3.67%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
23,75.80634152029678,72.32293919574235,300697,电工合金,bottom_area,2025-03-31,15.8,2025-03-31,15.41,2.530824140168725,3.634003893575603,27.34559170202735,False,-1.3117,9.3248,3,4,3,75.0,21.11945287810241,31.64400494437578,7.469175859831275,2.530824140168725,历史3/4次成功; 当前距低点2.53%; 最新日涨幅-1.31%; 状态bottom_area; 底部未确认
24,75.18660056386749,72.69999499106602,002406,远东传动,bottom_area,2025-03-31,7.66,2025-03-31,7.42,3.234501347708898,5.929919137466313,31.801470588235297,False,-3.4048,15.0201,4,5,4,80.0,31.154075612055404,67.88321167883211,6.765498652291102,3.234501347708898,历史4/5次成功; 当前距低点3.23%; 最新日涨幅-3.40%; 状态bottom_area; 底部未确认
25,75.00139113623378,71.91786605039434,300509,新美星,bottom_area,2025-03-31,7.72,2025-03-31,7.51,2.7962716378162447,3.8615179760319576,30.783410138248847,False,-0.5155,2.952,1,1,1,100.0,18.028846153846153,18.028846153846153,7.203728362183756,2.7962716378162447,历史1/1次成功; 当前距低点2.80%; 最新日涨幅-0.52%; 状态bottom_area; 底部未确认
26,73.85393998898064,67.13994544452785,605069,正和生态,bottom_area,2025-03-31,9.41,2025-03-31,9.41,0.0,0.9564293304994672,27.11076684740511,False,-10.0382,8.0041,4,5,4,80.0,13.70938411036484,18.036809815950903,10.0,0.0,历史4/5次成功; 当前距低点0.00%; 最新日涨幅-10.04%; 状态bottom_area; 底部未确认
27,73.83210732803002,73.12692038115756,688023,安恒信息,bottom_area,2025-03-31,52.99,2025-03-31,50.71,4.4961546046144765,6.487872214553341,29.451864218141345,False,1.8843,2.9006,3,4,3,75.0,27.05996171870196,39.261744966442954,5.5038453953855235,4.4961546046144765,历史3/4次成功; 当前距低点4.50%; 最新日涨幅1.88%; 状态bottom_area; 底部未确认
28,73.81895427756635,69.55975685766617,601798,蓝科高新,bottom_area,2025-03-31,6.5,2025-03-31,6.38,1.8808777429467103,4.231974921630101,29.96706915477497,False,-2.4024,4.5272,4,6,4,66.66666666666666,16.35210454256991,21.74721189591078,8.119122257053291,1.8808777429467103,历史4/6次成功; 当前距低点1.88%; 最新日涨幅-2.40%; 状态bottom_area; 底部未确认
29,73.52409775737517,71.16323223305578,002123,梦网科技,bottom_area,2025-03-31,14.77,2025-03-31,14.3,3.2867132867132782,3.6363636363636336,30.141670737664867,False,0.2716,5.0009,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,6.713286713286723,3.2867132867132782,历史2/3次成功; 当前距低点3.29%; 最新日涨幅0.27%; 状态bottom_area; 底部未确认
30,72.74418323792234,69.24564664063378,000757,浩物股份,bottom_area,2025-03-31,3.82,2025-03-31,3.73,2.412868632707771,3.4852546916890055,28.952380952380953,False,-1.7995,3.7765,2,3,2,66.66666666666666,37.851185250219494,52.941176470588246,7.58713136729223,2.412868632707771,历史2/3次成功; 当前距低点2.41%; 最新日涨幅-1.80%; 状态bottom_area; 底部未确认
31,72.36939349514934,71.29566362133406,300608,思特奇,bottom_area,2025-03-31,11.62,2025-03-31,11.15,4.21524663677129,4.932735426008959,27.456083279115152,False,0.2588,4.0554,3,4,3,75.0,13.771107275121553,16.384180790960464,5.7847533632287105,4.21524663677129,历史3/4次成功; 当前距低点4.22%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
32,71.81662480745238,70.28253893228077,603211,晋拓股份,bottom_area,2025-03-31,17.73,2025-03-31,17.07,3.8664323374340954,5.448154657293496,27.36170212765957,False,-2.5824,14.6075,4,5,4,80.0,15.68819710554038,17.962003454231418,6.1335676625659055,3.8664323374340954,历史4/5次成功; 当前距低点3.87%; 最新日涨幅-2.58%; 状态bottom_area; 底部未确认
33,70.88057047931407,67.35437105356844,300746,汉嘉数智,bottom_area,2025-03-31,11.9,2025-03-31,11.63,2.321582115219257,2.923473774720549,27.584059775840586,False,-1.0806,1.7359,2,3,2,66.66666666666666,26.564040911837,36.90896259703598,7.678417884780743,2.321582115219257,历史2/3次成功; 当前距低点2.32%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
34,70.80109418246295,70.57585210128863,601789,宁波建工,bottom_area,2025-03-31,5.64,2025-03-31,5.38,4.832713754646837,5.762081784386627,27.882037533512065,False,0.3559,6.5598,1,1,1,100.0,13.303437967115093,13.303437967115093,5.167286245353164,4.832713754646837,历史1/1次成功; 当前距低点4.83%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
35,70.7368795674198,65.67096951014247,300721,怡达股份,bottom_area,2025-03-31,13.78,2025-03-31,13.63,1.1005135730007232,9.170946441672779,31.5075376884422,False,-9.8168,19.5216,4,7,4,57.14285714285714,16.728865742003688,22.270742358078603,8.899486426999276,1.1005135730007232,历史4/7次成功; 当前距低点1.10%; 最新日涨幅-9.82%; 状态bottom_area; 底部未确认
36,70.01336507666991,66.48295819016109,688111,金山办公,bottom_area,2025-03-31,299.12,2025-03-31,292.44,2.284229243605528,3.2211735740664804,27.251921689594273,False,-1.5405,1.7581,3,5,3,60.0,19.198929384847716,27.68058076225045,7.715770756394473,2.284229243605528,历史3/5次成功; 当前距低点2.28%; 最新日涨幅-1.54%; 状态bottom_area; 底部未确认
37,69.86477183450835,68.2290812767479,300530,领湃科技,bottom_area,2025-03-31,22.65,2025-03-31,21.83,3.7562986715529108,5.222171323866242,28.660130718954257,False,-1.436,2.608,5,7,5,71.42857142857143,21.869505172979846,34.07510431154381,6.24370132844709,3.7562986715529108,历史5/7次成功; 当前距低点3.76%; 最新日涨幅-1.44%; 状态bottom_area; 底部未确认
38,68.90006130777158,67.70355785837651,002730,电光科技,bottom_area,2025-03-31,16.07,2025-03-31,15.44,4.080310880829021,4.404145077720218,31.071428571428566,False,-1.2293,4.1429,2,3,2,66.66666666666666,66.31186981320792,113.1578947368421,5.91968911917098,4.080310880829021,历史2/3次成功; 当前距低点4.08%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
39,67.11185449700855,63.246773871526365,300671,富满微,confirmed_rebound,2025-03-31,27.0,2025-03-31,26.5,1.8867924528301887,14.943396226415098,30.023765513599148,False,-14.5028,7.3503,2,3,2,66.66666666666666,19.580612888777,20.266753415744958,8.113207547169813,1.8867924528301887,历史2/3次成功; 当前距低点1.89%; 最新日涨幅-14.50%; 状态confirmed_rebound; 底部未确认
40,66.58934378964365,60.53576708149422,600960,渤海汽车,bottom_area,2025-03-31,3.38,2025-03-31,3.38,0.0,4.733727810650891,30.737704918032787,False,-10.1064,5.5565,2,4,2,50.0,43.20304882523773,69.9604743083004,10.0,0.0,历史2/4次成功; 当前距低点0.00%; 最新日涨幅-10.11%; 状态bottom_area; 底部未确认
41,66.5220808975698,63.084650997988966,000890,法尔胜,bottom_area,2025-03-31,3.23,2025-03-31,3.16,2.2151898734177164,3.797468354430369,27.853881278538807,False,-2.4169,4.8477,2,4,2,50.0,21.748838222480394,32.954545454545446,7.7848101265822836,2.2151898734177164,历史2/4次成功; 当前距低点2.22%; 最新日涨幅-2.42%; 状态bottom_area; 底部未确认
42,65.76274299340115,64.39301384797956,300397,天和防务,bottom_area,2025-03-31,12.27,2025-03-31,11.81,3.895004233700246,4.995766299745977,28.42424242424242,False,-1.5249,7.6524,2,3,2,66.66666666666666,29.929875452416432,45.75260804769001,6.104995766299755,3.895004233700246,历史2/3次成功; 当前距低点3.90%; 最新日涨幅-1.52%; 状态bottom_area; 底部未确认
43,64.53479199160044,62.83504142532772,000710,贝瑞基因,bottom_area,2025-03-31,13.53,2025-03-31,13.06,3.5987748851454735,4.5941807044410385,31.443569553805773,False,-1.6715,7.6467,3,5,3,60.0,15.70025894333007,17.3469387755102,6.401225114854528,3.5987748851454735,历史3/5次成功; 当前距低点3.60%; 最新日涨幅-1.67%; 状态bottom_area; 底部未确认
44,58.86032063375657,58.157809644256254,301596,瑞迪智驱,bottom_area,2025-03-31,128.98,2025-03-31,123.58,4.3696391001780155,7.242272212332095,28.151162790697676,False,-3.8897,10.734,2,3,2,66.66666666666666,12.440430784921833,12.830898307536534,5.630360899821985,4.3696391001780155,历史2/3次成功; 当前距低点4.37%; 最新日涨幅-3.89%; 状态bottom_area; 底部未确认
45,58.180123276091,55.804840328764115,300676,华大基因,bottom_area,2025-03-31,52.65,2025-03-31,51.21,2.8119507908611556,3.964069517672332,27.155049786628734,False,-0.7727,1.1522,1,2,1,50.0,23.258538343696497,23.258538343696497,7.188049209138844,2.8119507908611556,历史1/2次成功; 当前距低点2.81%; 最新日涨幅-0.77%; 状态bottom_area; 底部未确认
46,56.221277345991616,55.55941186902835,000555,神州信息,bottom_area,2025-03-31,11.92,2025-03-31,11.42,4.378283712784588,4.903677758318743,28.580362726704188,False,-1.1609,5.4043,1,2,1,50.0,41.139240506329116,41.139240506329116,5.6217162872154125,4.378283712784588,历史1/2次成功; 当前距低点4.38%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
47,54.261904502441624,53.128568748697305,002599,盛通股份,bottom_area,2025-03-31,9.61,2025-03-31,9.25,3.8918918918918854,5.081081081081088,31.53219837157661,False,-1.8386,6.4902,1,2,1,50.0,22.107969151670947,22.107969151670947,6.108108108108115,3.8918918918918854,历史1/2次成功; 当前距低点3.89%; 最新日涨幅-1.84%; 状态bottom_area; 底部未确认
48,54.01025195075756,53.05967151642421,300451,创业慧康,bottom_area,2025-03-31,6.14,2025-03-31,5.9,4.06779661016948,4.745762711864396,27.60736196319018,False,-0.9677,4.3912,1,2,1,50.0,23.89380530973452,23.89380530973452,5.93220338983052,4.06779661016948,历史1/2次成功; 当前距低点4.07%; 最新日涨幅-0.97%; 状态bottom_area; 底部未确认
