rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.56015531467243,84.69879121982929,688322,奥比中光,bottom_area,2023-07-28,33.85,2023-07-28,33.29,1.6821868428957714,2.1327726043857043,27.6304347826087,False,0.3558,1.4361,3,3,3,100.0,17.28052269694434,28.749462827675128,6.317813157104229,1.6821868428957714,历史3/3次成功; 当前距低点1.68%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
12,81.48686272346123,77.24211539097058,688320,禾川科技,bottom_area,2023-07-28,35.71,2023-07-28,35.28,1.2188208616780039,5.2721088435374135,30.510143785700215,False,-3.8244,5.1232,2,2,2,100.0,20.865736320411,33.54902936784469,6.781179138321996,1.2188208616780039,历史2/2次成功; 当前距低点1.22%; 最新日涨幅-3.82%; 状态bottom_area; 底部未确认
13,80.31712124175583,77.1267715055272,600990,四创电子,bottom_area,2023-07-28,23.15,2023-07-24,22.72,1.8926056338028157,3.2570422535211354,29.199127454035533,False,0.6522,0.506,1,1,1,100.0,12.483399734395755,12.483399734395755,6.107394366197185,1.8926056338028157,历史1/1次成功; 当前距低点1.89%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
14,79.11811337638426,76.39439571884309,605118,力鼎光电,bottom_area,2023-07-28,14.54,2023-07-28,14.23,2.178496134926203,2.248770203794802,30.210887690044142,False,0.5533,7.1833,1,1,1,100.0,12.050359712230225,12.050359712230225,5.821503865073797,2.178496134926203,历史1/1次成功; 当前距低点2.18%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
15,78.2733098463853,76.05431340812474,688287,退市观典,bottom_area,2023-07-28,11.05,2023-07-28,10.78,2.504638218923946,2.7829313543599326,27.941176470588243,False,0.546,0.854,1,1,1,100.0,14.219830899308223,14.219830899308223,5.4953617810760536,2.504638218923946,历史1/1次成功; 当前距低点2.50%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
16,78.26851150615008,75.96306800985774,601360,三六零,bottom_area,2023-07-28,11.73,2023-07-24,11.45,2.445414847161582,5.065502183406115,29.1460396039604,False,1.3829,1.444,1,1,1,100.0,13.003300330033007,13.003300330033007,5.554585152838418,2.445414847161582,历史1/1次成功; 当前距低点2.45%; 最新日涨幅1.38%; 状态bottom_area; 底部未确认
17,73.8414925024921,70.32895344210111,688035,德邦科技,confirmed_rebound,2023-07-28,53.98,2023-07-28,53.2,1.4661654135338233,8.06390977443609,29.076123183575525,False,-5.7941,12.9488,1,1,1,100.0,13.611884865366756,13.611884865366756,6.533834586466177,1.4661654135338233,历史1/1次成功; 当前距低点1.47%; 最新日涨幅-5.79%; 状态confirmed_rebound; 底部未确认
18,73.71761833621076,74.11998396344086,600995,南网储能,confirmed_rebound,2023-07-28,11.2,2023-06-07,10.74,4.283054003724386,8.379888268156428,32.7909887359199,True,0.9919,0.9809,1,1,1,100.0,26.64165103189493,26.64165103189493,3.716945996275614,4.283054003724386,历史1/1次成功; 当前距低点4.28%; 最新日涨幅0.99%; 状态confirmed_rebound; 底部已确认
19,71.90951090311937,71.61309706623791,600081,东风科技,bottom_area,2023-07-28,11.79,2023-07-28,11.36,3.7852112676056313,4.313380281690143,31.27646702964308,False,-1.586,4.2715,2,2,2,100.0,11.84612234612234,13.923013923013915,4.214788732394369,3.7852112676056313,历史2/2次成功; 当前距低点3.79%; 最新日涨幅-1.59%; 状态bottom_area; 底部未确认
20,67.40349423796751,68.44850965250964,002219,新里程,bottom_area,2023-07-28,3.93,2023-07-28,3.75,4.800000000000004,6.400000000000006,27.884615384615387,False,-1.2563,1.1671,1,1,1,100.0,23.938223938223942,23.938223938223942,3.1999999999999957,4.800000000000004,历史1/1次成功; 当前距低点4.80%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
21,55.87207459848744,53.6106786970832,300378,鼎捷数智,bottom_area,2023-07-28,27.5,2023-07-28,27.0,1.8518518518518516,6.481481481481481,28.947368421052634,False,-4.3811,7.5211,1,2,1,50.0,9.908069458631264,9.908069458631264,6.148148148148149,1.8518518518518516,历史1/2次成功; 当前距低点1.85%; 最新日涨幅-4.38%; 状态bottom_area; 底部未确认
