rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.82779982521615,85.51178113910044,300604,长川科技,bottom_area,2023-08-18,35.35,2023-08-17,34.91,1.2603838441707387,4.726439415640234,29.716126434467494,False,-1.9417,1.976,4,4,4,100.0,22.28739948284786,36.28082648300379,8.739616155829262,1.2603838441707387,历史4/4次成功; 当前距低点1.26%; 最新日涨幅-1.94%; 状态bottom_area; 底部未确认
24,77.33679000701005,70.3061727336455,688234,天岳先进,bottom_area,2023-08-18,53.9,2023-08-18,53.9,0.0,3.2653061224489757,30.897435897435898,False,-1.9108,0.832,2,2,2,100.0,10.517057707771569,10.647803425167522,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-1.91%; 状态bottom_area; 底部未确认
25,77.31660869366807,70.40538609904729,300683,海特生物,bottom_area,2023-08-18,34.3,2023-08-18,34.27,0.08754012255615415,2.655383717537194,27.00745473908413,False,-2.2792,0.6904,1,1,1,100.0,16.532137518684582,16.532137518684582,9.912459877443847,0.08754012255615415,历史1/1次成功; 当前距低点0.09%; 最新日涨幅-2.28%; 状态bottom_area; 底部未确认
26,77.30104541874479,74.41235038907425,300635,中达安,bottom_area,2023-08-18,13.73,2023-08-14,13.33,3.0007501875468896,6.826706676669168,27.475516866158866,False,-1.6476,3.4809,2,2,2,100.0,17.279896863877134,23.97914856646394,6.999249812453111,3.0007501875468896,历史2/2次成功; 当前距低点3.00%; 最新日涨幅-1.65%; 状态bottom_area; 底部未确认
27,76.1125192847021,69.43509333780051,600990,四创电子,bottom_area,2023-08-18,21.92,2023-08-17,21.88,0.1828153564899575,3.6563071297989067,31.81676534746028,False,-2.6643,1.0141,1,1,1,100.0,12.483399734395755,12.483399734395755,9.817184643510043,0.1828153564899575,历史1/1次成功; 当前距低点0.18%; 最新日涨幅-2.66%; 状态bottom_area; 底部未确认
28,74.88134430165502,68.73991738761711,603255,鼎际得,bottom_area,2023-08-18,37.44,2023-08-18,37.25,0.5100671140939537,3.3020134228187836,28.749043611323643,False,-1.4737,2.5292,1,1,1,100.0,12.757367783609205,12.757367783609205,9.489932885906047,0.5100671140939537,历史1/1次成功; 当前距低点0.51%; 最新日涨幅-1.47%; 状态bottom_area; 底部未确认
29,72.94055308037137,70.31012714710327,000534,万泽股份,bottom_area,2023-08-18,12.75,2023-08-17,12.37,3.071948261924016,6.305578011317714,27.23529411764706,False,-2.3737,0.8949,1,1,1,100.0,12.764350453172202,12.764350453172202,6.928051738075984,3.071948261924016,历史1/1次成功; 当前距低点3.07%; 最新日涨幅-2.37%; 状态bottom_area; 底部未确认
30,72.34547524752476,65.76861386138614,601360,三六零,bottom_area,2023-08-18,10.88,2023-08-18,10.88,0.0,4.871323529411758,32.67326732673267,False,-3.7168,1.4225,1,1,1,100.0,13.003300330033007,13.003300330033007,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-3.72%; 状态bottom_area; 底部未确认
31,69.74591651494335,64.42522619257174,002386,天原股份,bottom_area,2023-08-18,6.03,2023-08-17,5.98,0.8361204013377896,2.508361204013369,27.864897466827493,False,-0.1656,0.5402,2,3,2,66.66666666666666,32.445774413737794,48.85290148448042,9.163879598662211,0.8361204013377896,历史2/3次成功; 当前距低点0.84%; 最新日涨幅-0.17%; 状态bottom_area; 底部未确认
32,68.28750299913905,65.36192075491036,688286,敏芯股份,bottom_area,2023-08-18,48.28,2023-08-16,47.01,2.701552861093391,7.679217187832375,28.338414634146336,False,-0.8624,0.8509,2,3,2,66.66666666666666,20.509648449121638,25.016501650165008,7.298447138906609,2.701552861093391,历史2/3次成功; 当前距低点2.70%; 最新日涨幅-0.86%; 状态bottom_area; 底部未确认
33,67.6780528237899,61.80801762988975,688117,圣诺生物,bottom_area,2023-08-18,25.06,2023-08-18,25.0,0.2399999999999949,7.920000000000002,28.714000570287997,False,-6.8401,16.7321,2,3,2,66.66666666666666,21.282532060339015,24.6076585059636,9.760000000000007,0.2399999999999949,历史2/3次成功; 当前距低点0.24%; 最新日涨幅-6.84%; 状态bottom_area; 底部未确认
34,67.60990990043082,64.8114578521647,001266,宏英智能,bottom_area,2023-08-18,26.24,2023-08-17,25.53,2.7810419114766836,5.875440658049354,27.51277683134582,False,-0.6061,5.7786,2,3,2,66.66666666666666,18.524552385295017,23.285351397121083,7.218958088523316,2.7810419114766836,历史2/3次成功; 当前距低点2.78%; 最新日涨幅-0.61%; 状态bottom_area; 底部未确认
35,60.322914042553194,54.83901276595744,300763,锦浪科技,bottom_area,2023-08-18,81.09,2023-08-18,81.09,0.0,3.8352447897397948,30.603337612323482,False,-2.4423,1.6873,1,2,1,50.0,35.693617021276594,35.693617021276594,10.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-2.44%; 状态bottom_area; 底部未确认
