rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.10705795595297,83.62767134599503,002079,苏州固锝,bottom_area,2023-06-07,12.32,2023-05-10,12.11,1.7341040462427817,7.101568951279945,28.512396694214885,True,0.2441,1.3368,2,2,2,100.0,19.631336405529957,22.488479262672804,13.265895953757218,1.7341040462427817,历史2/2次成功; 当前距低点1.73%; 最新日涨幅0.24%; 状态bottom_area; 底部已确认
21,81.68829196721109,71.20869829230874,002041,登海种业,bottom_area,2023-06-07,15.18,2023-06-07,15.16,0.13192612137202883,1.3852242744063263,28.49056603773585,False,-0.3937,0.2859,1,1,1,100.0,21.395106715252467,21.395106715252467,14.868073878627971,0.13192612137202883,历史1/1次成功; 当前距低点0.13%; 最新日涨幅-0.39%; 状态bottom_area; 底部未确认
22,80.06526594343364,70.20271621034335,002481,双塔食品,bottom_area,2023-06-07,4.52,2023-06-01,4.5,0.444444444444435,6.222222222222228,27.41935483870968,False,-0.6593,0.6162,1,1,1,100.0,19.817470664928287,19.817470664928287,14.555555555555562,0.444444444444435,历史1/1次成功; 当前距低点0.44%; 最新日涨幅-0.66%; 状态bottom_area; 底部未确认
23,75.85424925693646,70.86729169333164,600160,巨化股份,bottom_area,2023-06-07,13.5,2023-05-31,13.0,3.8461538461538463,10.384615384615383,31.758530183727036,True,-2.0319,0.5566,1,1,1,100.0,16.05657237936772,16.05657237936772,11.153846153846153,3.8461538461538463,历史1/1次成功; 当前距低点3.85%; 最新日涨幅-2.03%; 状态bottom_area; 底部已确认
24,71.71668247465279,62.90053234605776,600984,建设机械,bottom_area,2023-06-07,4.37,2023-06-07,4.35,0.4597701149425394,2.9885057471264553,30.400000000000006,False,-1.5766,1.1071,2,3,2,66.66666666666666,19.63516957774231,20.21439509954057,14.54022988505746,0.4597701149425394,历史2/3次成功; 当前距低点0.46%; 最新日涨幅-1.58%; 状态bottom_area; 底部未确认
25,65.19689875314475,60.78950325456459,300546,雄帝科技,bottom_area,2023-06-07,19.42,2023-06-07,18.72,3.7393162393162545,4.113247863247861,27.441860465116285,False,1.569,3.0456,2,5,2,40.0,27.285721936589546,33.791666666666664,11.260683760683746,3.7393162393162545,历史2/5次成功; 当前距低点3.74%; 最新日涨幅1.57%; 状态bottom_area; 底部未确认
26,64.28034869444343,58.79558106072147,002570,贝因美,bottom_area,2023-06-07,4.17,2023-05-30,4.06,2.709359605911338,3.694581280788187,29.636048526863085,False,0.7246,0.4982,1,3,1,33.33333333333333,35.05154639175259,35.05154639175259,12.290640394088662,2.709359605911338,历史1/3次成功; 当前距低点2.71%; 最新日涨幅0.72%; 状态bottom_area; 底部未确认
27,61.03016201013051,53.672006919804396,603078,江化微,bottom_area,2023-06-07,16.66,2023-06-07,16.56,0.6038647342995256,2.958937198067645,29.50191570881226,False,-1.4201,1.4847,1,2,1,50.0,24.563540397888758,24.563540397888758,14.396135265700474,0.6038647342995256,历史1/2次成功; 当前距低点0.60%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
28,60.59675425122322,53.054835164835154,601388,怡球资源,bottom_area,2023-06-07,2.74,2023-05-30,2.73,0.36630036630037477,4.3956043956043995,27.777777777777775,False,-0.7246,0.5226,1,2,1,50.0,18.333333333333325,18.333333333333325,14.633699633699623,0.36630036630037477,历史1/2次成功; 当前距低点0.37%; 最新日涨幅-0.72%; 状态bottom_area; 底部未确认
29,59.299902247133595,53.4395940446736,600409,三友化工,bottom_area,2023-06-07,5.33,2023-05-31,5.23,1.9120458891013314,5.927342256214141,29.324324324324323,False,-1.1132,0.4635,1,3,1,33.33333333333333,18.95551257253386,18.95551257253386,13.087954110898666,1.9120458891013314,历史1/3次成功; 当前距低点1.91%; 最新日涨幅-1.11%; 状态bottom_area; 底部未确认
30,57.118014848785705,54.00299471885681,000792,盐湖股份,bottom_area,2023-06-07,19.33,2023-05-30,18.5,4.486486486486477,7.5675675675675595,29.49695121951219,True,-0.4634,0.2149,1,2,1,50.0,24.904214559386965,24.904214559386965,10.513513513513523,4.486486486486477,历史1/2次成功; 当前距低点4.49%; 最新日涨幅-0.46%; 状态bottom_area; 底部已确认
31,56.91828020644712,53.51834855681405,601068,中铝国际,bottom_area,2023-06-07,5.47,2023-05-26,5.25,4.190476190476185,10.0952380952381,29.90654205607477,True,-0.5455,0.4662,1,2,1,50.0,18.6700767263427,18.6700767263427,10.809523809523814,4.190476190476185,历史1/2次成功; 当前距低点4.19%; 最新日涨幅-0.55%; 状态bottom_area; 底部已确认
