rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.6168201555672,85.94946216340257,603368,柳药集团,bottom_area,2024-08-19,16.61,2024-07-31,16.41,1.2187690432662968,8.470444850700796,31.908713692946062,True,-1.8322,1.7707,3,3,3,100.0,31.603524634675978,42.85714285714285,13.781230956733703,1.2187690432662968,历史3/3次成功; 当前距低点1.22%; 最新日涨幅-1.83%; 状态bottom_area; 底部已确认
12,80.40434490792626,74.56353469050347,000983,山西焦煤,bottom_area,2024-08-19,8.1,2024-08-14,7.83,3.44827586206896,4.725415070242646,27.834101382488473,False,0.4963,0.3639,3,4,3,75.0,21.938729333444627,27.212389380530986,11.55172413793104,3.44827586206896,历史3/4次成功; 当前距低点3.45%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
13,80.0327387630924,70.19016355543285,000539,粤电力A,bottom_area,2024-08-19,4.4,2024-08-19,4.38,0.4566210045662206,1.3698630136986416,27.242524916943516,False,-0.2268,0.386,1,1,1,100.0,19.89924433249369,19.89924433249369,14.543378995433779,0.4566210045662206,历史1/1次成功; 当前距低点0.46%; 最新日涨幅-0.23%; 状态bottom_area; 底部未确认
14,80.02362738158989,69.63240655401945,301606,绿联科技,bottom_area,2024-08-19,27.91,2024-08-19,27.9,0.03584229390681564,2.6881720430107525,32.754880694143175,False,-3.6922,15.0378,1,1,1,100.0,21.957671957671955,21.957671957671955,14.964157706093184,0.03584229390681564,历史1/1次成功; 当前距低点0.04%; 最新日涨幅-3.69%; 状态bottom_area; 底部未确认
15,77.90565702517662,69.665690515807,600058,五矿发展,bottom_area,2024-08-19,6.1,2024-07-25,6.01,1.4975041597337746,8.153078202995012,31.85941043083901,True,0.3289,0.3312,1,2,1,50.0,99.54954954954954,99.54954954954954,13.502495840266224,1.4975041597337746,历史1/2次成功; 当前距低点1.50%; 最新日涨幅0.33%; 状态bottom_area; 底部已确认
16,74.86947519705379,65.94642779194744,000597,东北制药,bottom_area,2024-08-19,4.39,2024-08-19,4.36,0.6880733944953982,3.2110091743119193,27.212020033388978,False,-2.4444,4.3313,2,3,2,66.66666666666666,38.80950787489403,61.02150537634409,14.311926605504603,0.6880733944953982,历史2/3次成功; 当前距低点0.69%; 最新日涨幅-2.44%; 状态bottom_area; 底部未确认
17,73.68024240207187,65.86853069945656,300564,筑博设计,bottom_area,2024-08-19,8.9,2024-08-19,8.77,1.482326111744593,8.095781071835814,30.452022204599526,False,-8.4362,12.5263,2,3,2,66.66666666666666,18.503051438535305,19.006102877070617,13.517673888255407,1.482326111744593,历史2/3次成功; 当前距低点1.48%; 最新日涨幅-8.44%; 状态bottom_area; 底部未确认
18,73.01683789034077,64.76645134914148,300424,航新科技,bottom_area,2024-08-19,12.36,2024-08-19,12.23,1.0629599345870728,2.2894521668029384,29.873853211009177,False,-0.3226,4.9518,1,2,1,50.0,52.29885057471265,52.29885057471265,13.937040065412926,1.0629599345870728,历史1/2次成功; 当前距低点1.06%; 最新日涨幅-0.32%; 状态bottom_area; 底部未确认
19,70.2373684563911,65.51771701454813,002346,柘中股份,bottom_area,2024-08-19,7.17,2024-07-25,6.91,3.7626628075253223,8.248914616497833,29.989868287740624,True,-0.1393,0.4314,2,3,2,66.66666666666666,25.160868543221483,34.89010989010989,11.237337192474678,3.7626628075253223,历史2/3次成功; 当前距低点3.76%; 最新日涨幅-0.14%; 状态bottom_area; 底部已确认
20,68.99350919899013,61.18172494172492,002685,华东重机,bottom_area,2024-08-19,2.89,2024-08-19,2.86,1.0489510489510576,2.0979020979020997,27.41116751269036,False,-1.7007,4.0419,1,3,1,33.33333333333333,109.52380952380952,109.52380952380952,13.951048951048941,1.0489510489510576,历史1/3次成功; 当前距低点1.05%; 最新日涨幅-1.70%; 状态bottom_area; 底部未确认
21,67.83866712096398,62.490681805407554,002316,亚联发展,bottom_area,2024-08-19,2.67,2024-08-13,2.59,3.0888030888030915,8.880308880308881,27.247191011235962,True,-0.3731,3.9555,4,8,4,50.0,20.070714235906443,24.890829694323134,11.911196911196908,3.0888030888030915,历史4/8次成功; 当前距低点3.09%; 最新日涨幅-0.37%; 状态bottom_area; 底部已确认
22,67.44768143706784,61.65355025307304,001239,永达股份,bottom_area,2024-08-19,14.2,2024-08-16,13.83,2.6753434562545135,4.989154013015181,32.83147158814958,False,2.3792,13.3656,1,3,1,33.33333333333333,62.04678362573098,62.04678362573098,12.324656543745485,2.6753434562545135,历史1/3次成功; 当前距低点2.68%; 最新日涨幅2.38%; 状态bottom_area; 底部未确认
23,63.04765238387537,59.78382897099037,002833,弘亚数控,bottom_area,2024-08-19,16.0,2024-07-30,15.29,4.6435578809679585,9.875735775016361,31.923419412288517,True,0.1879,0.4982,1,2,1,50.0,35.43624161073825,35.43624161073825,10.356442119032042,4.6435578809679585,历史1/2次成功; 当前距低点4.64%; 最新日涨幅0.19%; 状态bottom_area; 底部已确认
24,59.529270668671224,54.8504744137058,002196,方正电机,bottom_area,2024-08-19,4.32,2024-08-13,4.19,3.1026252983293525,6.205250596658705,28.49829351535836,False,0.6993,2.5812,1,3,1,33.33333333333333,18.661971830985923,18.661971830985923,11.897374701670648,3.1026252983293525,历史1/3次成功; 当前距低点3.10%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
25,55.54789490618961,48.49708482676226,000421,南京公用,bottom_area,2024-08-19,4.66,2024-08-19,4.65,0.2150537634408556,2.7956989247311803,29.007633587786252,False,-2.714,4.5218,1,6,1,16.666666666666664,30.864197530864196,30.864197530864196,14.784946236559144,0.2150537634408556,历史1/6次成功; 当前距低点0.22%; 最新日涨幅-2.71%; 状态bottom_area; 底部未确认
