code,bs_code,name,requested_until,updated_at
000559,sz.000559,万向钱潮,2026-06-08,2026-06-08 00:52:17
000560,sz.000560,我爱我家,2026-06-08,2026-06-08 00:52:17
000561,sz.000561,烽火电子,2026-06-08,2026-06-08 00:52:17
000563,sz.000563,陕国投A,2026-06-08,2026-06-08 00:52:17
000564,sz.000564,供销大集,2026-06-08,2026-06-08 00:52:17
000565,sz.000565,渝三峡A,2026-06-08,2026-06-08 00:52:17
000566,sz.000566,海南海药,2026-06-08,2026-06-08 00:52:17
000567,sz.000567,海德股份,2026-06-08,2026-06-08 00:52:17
000568,sz.000568,泸州老窖,2026-06-08,2026-06-08 00:52:17
000570,sz.000570,苏常柴A,2026-06-08,2026-06-08 00:52:17
000571,sz.000571,新大洲A,2026-06-08,2026-06-08 00:52:17
000572,sz.000572,海马汽车,2026-06-08,2026-06-08 00:52:17
000573,sz.000573,粤宏远A,2026-06-08,2026-06-08 00:52:17
000576,sz.000576,甘化科工,2026-06-08,2026-06-08 00:52:17
000581,sz.000581,威孚高科,2026-06-08,2026-06-08 00:52:17
000582,sz.000582,北部湾港,2026-06-08,2026-06-08 00:52:17
000586,sz.000586,汇源通信,2026-06-08,2026-06-08 00:52:17
000589,sz.000589,贵州轮胎,2026-06-08,2026-06-08 00:52:17
000590,sz.000590,古汉医药,2026-06-08,2026-06-08 00:52:17
000591,sz.000591,太阳能,2026-06-08,2026-06-08 00:52:17
000592,sz.000592,平潭发展,2026-06-08,2026-06-08 00:52:17
000593,sz.000593,德龙汇能,2026-06-08,2026-06-08 00:52:17
000595,sz.000595,*ST宝实,2026-06-08,2026-06-08 00:52:17
000596,sz.000596,古井贡酒,2026-06-08,2026-06-08 00:52:17
000597,sz.000597,东北制药,2026-06-08,2026-06-08 00:52:17
000598,sz.000598,兴蓉环境,2026-06-08,2026-06-08 00:52:17
000599,sz.000599,青岛双星,2026-06-08,2026-06-08 00:52:17
000600,sz.000600,建投能源,2026-06-08,2026-06-08 00:52:17
000601,sz.000601,韶能股份,2026-06-08,2026-06-08 00:52:17
000603,sz.000603,盛达资源,2026-06-08,2026-06-08 00:52:17
000605,sz.000605,渤海股份,2026-06-08,2026-06-08 00:52:17
000607,sz.000607,华媒控股,2026-06-08,2026-06-08 00:52:17
000608,sz.000608,阳光股份,2026-06-08,2026-06-08 00:52:17
000609,sz.000609,*ST中迪,2026-06-08,2026-06-08 00:52:17
000610,sz.000610,*ST西旅,2026-06-08,2026-06-08 00:52:17
000612,sz.000612,焦作万方,2026-06-08,2026-06-08 00:52:17
000615,sz.000615,*ST美谷,2026-06-08,2026-06-08 00:52:17
000617,sz.000617,中油资本,2026-06-08,2026-06-08 00:52:17
000619,sz.000619,海螺新材,2026-06-08,2026-06-08 00:52:17
000620,sz.000620,盈新发展,2026-06-08,2026-06-08 00:52:17
000623,sz.000623,吉林敖东,2026-06-08,2026-06-08 00:52:17
000625,sz.000625,长安汽车,2026-06-08,2026-06-08 00:52:17
000626,sz.000626,远大控股,2026-06-08,2026-06-08 00:52:17
000628,sz.000628,高新发展,2026-06-08,2026-06-08 00:52:17
000629,sz.000629,钒钛股份,2026-06-08,2026-06-08 00:52:17
000630,sz.000630,铜陵有色,2026-06-08,2026-06-08 00:52:17
000631,sz.000631,顺发恒能,2026-06-08,2026-06-08 00:52:17
000632,sz.000632,ST三木,2026-06-08,2026-06-08 00:52:17
000633,sz.000633,合金投资,2026-06-08,2026-06-08 00:52:17
000635,sz.000635,英力特,2026-06-08,2026-06-08 00:52:17
000636,sz.000636,风华高科,2026-06-08,2026-06-08 00:52:17
000637,sz.000637,茂化实华,2026-06-08,2026-06-08 00:52:17
000638,sz.000638,,2026-06-03,2026-06-08 00:52:17
000639,sz.000639,ST西王,2026-06-08,2026-06-08 00:52:17
000650,sz.000650,仁和药业,2026-06-08,2026-06-08 00:52:17
000651,sz.000651,格力电器,2026-06-08,2026-06-08 00:52:17
000652,sz.000652,泰达股份,2026-06-08,2026-06-08 00:52:17
000655,sz.000655,金岭矿业,2026-06-08,2026-06-08 00:52:17
000656,sz.000656,*ST金科,2026-06-08,2026-06-08 00:52:17
000657,sz.000657,中钨高新,2026-06-08,2026-06-08 00:52:17
000659,sz.000659,珠海中富,2026-06-08,2026-06-08 00:52:17
000661,sz.000661,长春高新,2026-06-08,2026-06-08 00:52:17
000663,sz.000663,永安林业,2026-06-08,2026-06-08 00:52:17
000665,sz.000665,湖北广电,2026-06-08,2026-06-08 00:52:17
000668,sz.000668,荣丰控股,2026-06-08,2026-06-08 00:52:17
000669,sz.000669,ST金鸿,2026-06-08,2026-06-08 00:52:17
000670,sz.000670,盈方微,2026-06-08,2026-06-08 00:52:17
000672,sz.000672,上峰材料,2026-06-08,2026-06-08 00:52:17
000676,sz.000676,智度股份,2026-06-08,2026-06-08 00:52:17
000677,sz.000677,ST海龙,2026-06-08,2026-06-08 00:52:17
000678,sz.000678,襄阳轴承,2026-06-08,2026-06-08 00:52:17
000679,sz.000679,大连友谊,2026-06-08,2026-06-08 00:52:17
000680,sz.000680,山推股份,2026-06-08,2026-06-08 00:52:17
000681,sz.000681,视觉中国,2026-06-08,2026-06-08 00:52:17
000682,sz.000682,东方电子,2026-06-08,2026-06-08 00:52:17
