rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.89507121827411,85.0679187817259,002269,美邦服饰,bottom_area,2022-12-23,2.0,2022-12-23,1.97,1.52284263959391,4.56852791878173,27.30627306273063,False,-3.3816,4.9817,3,3,3,100.0,67.6633252638804,173.50993377483442,8.47715736040609,1.52284263959391,历史3/3次成功; 当前距低点1.52%; 最新日涨幅-3.38%; 状态bottom_area; 底部未确认
14,81.08396634561527,75.19980621027725,002860,星帅尔,bottom_area,2022-12-23,12.55,2022-12-23,12.42,1.0466988727858357,3.6231884057970962,27.664531158998262,False,-2.3346,3.5385,1,1,1,100.0,14.227309893704007,14.227309893704007,8.953301127214166,1.0466988727858357,历史1/1次成功; 当前距低点1.05%; 最新日涨幅-2.33%; 状态bottom_area; 底部未确认
15,81.02014395044827,74.55336072715373,300360,炬华科技,bottom_area,2022-12-23,12.67,2022-12-23,12.59,0.6354249404289124,3.415409054805399,30.748074807480748,False,-1.4774,1.1721,2,2,2,100.0,28.882417157697027,45.323741007194236,9.364575059571088,0.6354249404289124,历史2/2次成功; 当前距低点0.64%; 最新日涨幅-1.48%; 状态bottom_area; 底部未确认
16,79.98148092453799,76.17361720254834,688248,南网科技,bottom_area,2022-12-23,46.61,2022-12-23,45.5,2.4395604395604384,5.384615384615391,29.89214175654854,False,-1.3336,7.1991,2,2,2,100.0,19.869973143796457,28.835690968443974,7.560439560439562,2.4395604395604384,历史2/2次成功; 当前距低点2.44%; 最新日涨幅-1.33%; 状态bottom_area; 底部未确认
17,79.71191967196388,75.50097220270618,603212,赛伍技术,bottom_area,2022-12-23,27.54,2022-12-23,26.96,2.151335311572694,4.562314540059349,27.09572742022714,False,-1.7832,4.5107,1,1,1,100.0,29.387186629526475,29.387186629526475,7.848664688427307,2.151335311572694,历史1/1次成功; 当前距低点2.15%; 最新日涨幅-1.78%; 状态bottom_area; 底部未确认
18,79.0602357408509,74.59547704145777,000159,国际实业,bottom_area,2022-12-23,6.8,2022-12-23,6.67,1.9490254872563704,6.296851574212893,32.48987854251013,False,-3.2717,7.7242,2,2,2,100.0,15.587393292485462,19.8744769874477,8.05097451274363,1.9490254872563704,历史2/2次成功; 当前距低点1.95%; 最新日涨幅-3.27%; 状态bottom_area; 底部未确认
19,78.71472886328729,72.7448090118455,300758,七彩化学,bottom_area,2022-12-23,11.71,2022-12-23,11.61,0.8613264427218038,3.9621016365202486,27.437500000000004,False,-2.4979,2.3308,1,1,1,100.0,38.59480269489894,38.59480269489894,9.138673557278198,0.8613264427218038,历史1/1次成功; 当前距低点0.86%; 最新日涨幅-2.50%; 状态bottom_area; 底部未确认
20,78.70852667474061,75.4337099264372,002395,双象股份,bottom_area,2022-12-23,10.02,2022-12-20,9.75,2.7692307692307647,5.230769230769228,28.62371888726208,False,-0.6938,0.7031,1,1,1,100.0,36.59976387249114,36.59976387249114,7.230769230769235,2.7692307692307647,历史1/1次成功; 当前距低点2.77%; 最新日涨幅-0.69%; 状态bottom_area; 底部未确认
21,78.69872314426554,72.74144928075539,002534,西子洁能,bottom_area,2022-12-23,13.92,2022-12-23,13.8,0.8695652173912987,1.8115942028985508,29.375639713408386,False,-0.1435,0.3941,2,2,2,100.0,22.01106438928788,26.532951289398277,9.1304347826087,0.8695652173912987,历史2/2次成功; 当前距低点0.87%; 最新日涨幅-0.14%; 状态bottom_area; 底部未确认
22,78.55450565928528,73.0063463719481,603130,云中马,confirmed_rebound,2022-12-23,27.12,2022-12-23,26.81,1.1562849682954206,11.376352107422607,30.508035251425607,False,-8.2854,19.6375,1,1,1,100.0,24.207936019686265,24.207936019686265,8.84371503170458,1.1562849682954206,历史1/1次成功; 当前距低点1.16%; 最新日涨幅-8.29%; 状态confirmed_rebound; 底部未确认
23,77.92760742117144,72.58410426778897,002729,好利科技,bottom_area,2022-12-23,27.86,2022-12-23,27.51,1.272264631043249,6.506724827335511,27.605263157894733,False,-5.0119,0.8605,1,1,1,100.0,13.144449605202036,13.144449605202036,8.727735368956752,1.272264631043249,历史1/1次成功; 当前距低点1.27%; 最新日涨幅-5.01%; 状态bottom_area; 底部未确认
24,76.27668073097877,70.43310022558813,002795,永和智控,bottom_area,2022-12-23,8.63,2022-12-23,8.56,0.8177570093457976,2.3364485981308327,30.40650406504065,False,-1.2586,1.7918,1,1,1,100.0,25.632183908045985,25.632183908045985,9.182242990654203,0.8177570093457976,历史1/1次成功; 当前距低点0.82%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
25,75.14887960472944,69.11241662459506,001332,锡装股份,bottom_area,2022-12-23,56.41,2022-12-23,56.07,0.6063848760477908,4.351703228107719,32.874416377349455,False,-3.5891,4.4279,1,1,1,100.0,26.155774956903304,26.155774956903304,9.393615123952209,0.6063848760477908,历史1/1次成功; 当前距低点0.61%; 最新日涨幅-3.59%; 状态bottom_area; 底部未确认
26,74.66068902296449,69.16471531232725,000919,金陵药业,bottom_area,2022-12-23,8.18,2022-12-23,8.1,0.9876543209876552,3.4567901234568046,27.354260089686104,False,-0.6075,2.4965,1,1,1,100.0,20.8955223880597,20.8955223880597,9.012345679012345,0.9876543209876552,历史1/1次成功; 当前距低点0.99%; 最新日涨幅-0.61%; 状态bottom_area; 底部未确认
27,74.04015616813265,69.7188496688845,605289,罗曼股份,bottom_area,2022-12-23,20.99,2022-12-23,20.61,1.8437651625424503,2.668607472100925,28.36287799791449,False,0.0,3.9235,2,3,2,66.66666666666666,10.946062219433427,11.881750994883456,8.15623483745755,1.8437651625424503,历史2/3次成功; 当前距低点1.84%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
28,73.19449321238827,67.69084580838323,000059,华锦股份,bottom_area,2022-12-23,6.74,2022-12-23,6.68,0.8982035928143787,3.293413173652705,27.233115468409586,False,-1.3177,1.0965,1,1,1,100.0,11.874999999999996,11.874999999999996,9.101796407185622,0.8982035928143787,历史1/1次成功; 当前距低点0.90%; 最新日涨幅-1.32%; 状态bottom_area; 底部未确认
29,72.85063957488654,67.40848653363865,603318,水发燃气,bottom_area,2022-12-23,8.72,2022-12-23,8.64,0.9259259259259267,2.4305555555555447,29.92700729927007,False,-1.1338,2.6947,1,1,1,100.0,10.696761530912658,10.696761530912658,9.074074074074073,0.9259259259259267,历史1/1次成功; 当前距低点0.93%; 最新日涨幅-1.13%; 状态bottom_area; 底部未确认
30,67.65971850957625,62.78124814011758,688115,思林杰,bottom_area,2022-12-23,38.62,2022-12-23,38.21,1.0730175346767772,1.753467678618167,31.375718390804597,False,0.0259,0.9089,1,2,1,50.0,16.977032898820603,16.977032898820603,8.926982465323222,1.0730175346767772,历史1/2次成功; 当前距低点1.07%; 最新日涨幅0.03%; 状态bottom_area; 底部未确认
31,66.78893307092967,62.38199499937479,603283,赛腾股份,bottom_area,2022-12-23,29.33,2022-12-23,28.92,1.4177040110649952,5.463347164591972,28.29159434664021,False,-3.2013,1.9512,2,4,2,50.0,18.410538411843913,18.522815158546013,8.582295988935005,1.4177040110649952,历史2/4次成功; 当前距低点1.42%; 最新日涨幅-3.20%; 状态bottom_area; 底部未确认
32,55.398732714042794,53.53849680800204,002786,银宝山新,bottom_area,2022-12-23,7.08,2022-12-22,6.86,3.2069970845481013,5.685131195335272,31.05527638190954,False,-1.2552,4.589,1,2,1,50.0,15.916398713826371,15.916398713826371,6.793002915451899,3.2069970845481013,历史1/2次成功; 当前距低点3.21%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
