rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.95232114368595,79.84673469387758,002150,正泰电源,bottom_area,2023-08-21,13.79,2023-08-21,13.72,0.5102040816326422,1.6763848396501357,28.54166666666666,False,0.0,0.9159,1,1,1,100.0,164.87025948103792,164.87025948103792,14.489795918367356,0.5102040816326422,历史1/1次成功; 当前距低点0.51%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
15,77.05635983336654,68.67014373826412,688117,圣诺生物,bottom_area,2023-08-21,24.68,2023-08-21,24.36,1.3136288998357974,4.967159277504109,30.538922155688624,False,-1.5164,9.5821,2,3,2,66.66666666666666,21.282532060339015,24.6076585059636,13.686371100164202,1.3136288998357974,历史2/3次成功; 当前距低点1.31%; 最新日涨幅-1.52%; 状态bottom_area; 底部未确认
16,76.53480151766607,68.3204402188542,688286,敏芯股份,bottom_area,2023-08-21,47.67,2023-08-16,47.01,1.4039566049776722,7.679217187832375,28.338414634146336,False,-1.2635,0.552,2,3,2,66.66666666666666,20.509648449121638,25.016501650165008,13.596043395022328,1.4039566049776722,历史2/3次成功; 当前距低点1.40%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
17,74.50435844545972,66.0562858923848,000980,众泰汽车,bottom_area,2023-08-21,3.89,2023-08-18,3.85,1.0389610389610398,8.571428571428562,27.35849056603773,False,-4.1872,5.0305,2,4,2,50.0,33.52213473772031,43.49775784753364,13.96103896103896,1.0389610389610398,历史2/4次成功; 当前距低点1.04%; 最新日涨幅-4.19%; 状态bottom_area; 底部未确认
18,74.20150070425092,64.62126658847215,002240,盛新锂能,bottom_area,2023-08-21,24.6,2023-08-21,24.58,0.08136696501221777,2.5223759153783605,30.36827195467422,False,-1.1254,0.9024,2,3,2,66.66666666666666,24.247938720609284,33.42198581560282,14.918633034987783,0.08136696501221777,历史2/3次成功; 当前距低点0.08%; 最新日涨幅-1.13%; 状态bottom_area; 底部未确认
19,73.65931781376517,64.0515807076219,002386,天原股份,bottom_area,2023-08-21,5.96,2023-08-21,5.96,0.0,1.6778523489932826,28.106151990349815,False,-1.1609,0.4994,2,3,2,66.66666666666666,32.445774413737794,48.85290148448042,15.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
20,70.58639411995743,61.61053616773698,603348,文灿股份,bottom_area,2023-08-21,39.88,2023-08-21,39.8,0.20100502512564172,3.5427135678392054,32.1745057941377,False,-2.9211,1.139,2,4,2,50.0,28.97219153238415,31.539888682745836,14.798994974874358,0.20100502512564172,历史2/4次成功; 当前距低点0.20%; 最新日涨幅-2.92%; 状态bottom_area; 底部未确认
21,68.63392880185899,59.713989577301696,300474,景嘉微,bottom_area,2023-08-21,69.1,2023-08-21,69.08,0.0289519397799595,3.155761436016223,27.40647330811265,False,-1.8047,1.7046,1,2,1,50.0,59.857142857142854,59.857142857142854,14.97104806022004,0.0289519397799595,历史1/2次成功; 当前距低点0.03%; 最新日涨幅-1.80%; 状态bottom_area; 底部未确认
22,66.74921186320579,61.67703265790778,688355,明志科技,bottom_area,2023-08-21,22.21,2023-08-17,21.51,3.254300325430029,6.741050674105063,29.359605911330043,False,-1.069,1.901,2,4,2,50.0,26.91848064456046,35.08474576271185,11.74569967456997,3.254300325430029,历史2/4次成功; 当前距低点3.25%; 最新日涨幅-1.07%; 状态bottom_area; 底部未确认
23,66.65385656095073,59.06677154812156,603051,鹿山新材,bottom_area,2023-08-21,33.92,2023-08-17,33.58,1.0125074449076934,5.002977963073257,32.46178600160901,False,-1.7096,2.2777,1,2,1,50.0,18.738110336081178,18.738110336081178,13.987492555092306,1.0125074449076934,历史1/2次成功; 当前距低点1.01%; 最新日涨幅-1.71%; 状态bottom_area; 底部未确认
24,66.34880639186977,60.134396729817055,300539,横河精密,bottom_area,2023-08-21,11.52,2023-08-17,11.27,2.218278615794144,5.146406388642414,27.524115755627015,False,-0.2597,1.4903,1,2,1,50.0,39.25845147219192,39.25845147219192,12.781721384205854,2.218278615794144,历史1/2次成功; 当前距低点2.22%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
25,63.35775164764405,56.193127847134406,001266,宏英智能,bottom_area,2023-08-21,25.8,2023-08-17,25.53,1.057579318448882,5.875440658049354,27.51277683134582,False,-1.6768,5.6201,1,3,1,33.33333333333333,23.285351397121083,23.285351397121083,13.942420681551118,1.057579318448882,历史1/3次成功; 当前距低点1.06%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
26,63.12773263189697,57.97094154472071,688262,国芯科技,bottom_area,2023-08-21,32.05,2023-08-17,31.14,2.922286448297998,7.4823378291586335,32.74298056155507,True,-1.5663,1.1455,1,2,1,50.0,27.063197026022312,27.063197026022312,12.077713551702002,2.922286448297998,历史1/2次成功; 当前距低点2.92%; 最新日涨幅-1.57%; 状态bottom_area; 底部已确认
27,60.11717936409666,56.5149927444861,300473,德尔股份,bottom_area,2023-08-21,16.45,2023-08-17,15.79,4.179860671310958,5.889803673210892,29.665924276169264,False,0.1827,1.5276,1,2,1,50.0,21.37137137137137,21.37137137137137,10.820139328689041,4.179860671310958,历史1/2次成功; 当前距低点4.18%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
28,59.96166164084388,52.69825167008915,300455,航天智装,bottom_area,2023-08-21,10.6,2023-08-17,10.54,0.5692599620493406,6.451612903225821,32.43589743589744,False,-1.5785,1.0455,1,2,1,50.0,18.904109589041095,18.904109589041095,14.43074003795066,0.5692599620493406,历史1/2次成功; 当前距低点0.57%; 最新日涨幅-1.58%; 状态bottom_area; 底部未确认
29,59.29916135830399,51.64089971652768,002487,大金重工,bottom_area,2023-08-21,25.27,2023-08-21,25.25,0.07920792079207752,3.8811881188118824,27.58818468597648,False,-3.1801,2.3498,1,2,1,50.0,17.427385892116188,17.427385892116188,14.920792079207922,0.07920792079207752,历史1/2次成功; 当前距低点0.08%; 最新日涨幅-3.18%; 状态bottom_area; 底部未确认
30,58.97030164063607,55.92547047057161,300635,中达安,bottom_area,2023-08-21,13.95,2023-08-14,13.33,4.6511627906976685,6.826706676669168,27.475516866158866,False,1.6023,4.2112,1,2,1,50.0,23.97914856646394,23.97914856646394,10.348837209302332,4.6511627906976685,历史1/2次成功; 当前距低点4.65%; 最新日涨幅1.60%; 状态bottom_area; 底部未确认
31,57.51121259957903,50.009750086590465,603236,移远通信,bottom_area,2023-08-21,44.51,2023-08-21,44.51,0.0,4.875308919343971,28.452017360552972,False,-3.176,2.1157,1,3,1,33.33333333333333,39.389337383102855,39.389337383102855,15.0,0.0,历史1/3次成功; 当前距低点0.00%; 最新日涨幅-3.18%; 状态bottom_area; 底部未确认
