rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.00498847741513,82.68174794513202,000882,华联股份,bottom_area,2024-12-24,2.1,2024-12-24,2.04,2.9411764705882377,4.901960784313729,30.136986301369863,False,0.9615,4.8799,3,3,3,100.0,21.868980097167658,29.268292682926838,12.058823529411763,2.9411764705882377,历史3/3次成功; 当前距低点2.94%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
24,74.23341423647956,64.5507949882431,600272,开开实业,bottom_area,2024-12-24,14.99,2024-12-24,14.99,0.0,11.007338225483657,29.822097378277153,False,-10.024,16.6013,2,3,2,66.66666666666666,45.344775922453934,64.5397489539749,15.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-10.02%; 状态bottom_area; 底部未确认
25,73.01460425671337,68.2877498927499,000716,黑芝麻,bottom_area,2024-12-24,6.92,2024-12-24,6.66,3.9039039039039007,5.855855855855851,32.86290322580645,False,0.4354,10.8435,2,3,2,66.66666666666666,28.50529100529101,40.211640211640216,11.0960960960961,3.9039039039039007,历史2/3次成功; 当前距低点3.90%; 最新日涨幅0.44%; 状态bottom_area; 底部未确认
26,72.93926466564413,66.73235193175114,300533,冰川网络,bottom_area,2024-12-24,20.75,2024-12-24,20.2,2.722772277227726,5.198019801980202,27.908636688079945,False,-0.9074,5.2542,2,3,2,66.66666666666666,28.13766697399834,40.564081294068856,12.277227722772272,2.722772277227726,历史2/3次成功; 当前距低点2.72%; 最新日涨幅-0.91%; 状态bottom_area; 底部未确认
27,72.28705995723077,66.80961116813825,002235,安妮股份,bottom_area,2024-12-24,5.69,2024-12-24,5.51,3.2667876588021887,9.437386569872967,32.80487804878048,False,-0.1754,14.1882,2,3,2,66.66666666666666,35.221614857744996,46.16438356164384,11.73321234119781,3.2667876588021887,历史2/3次成功; 当前距低点3.27%; 最新日涨幅-0.18%; 状态bottom_area; 底部未确认
28,69.36281851555327,64.03742632624625,601929,吉视传媒,bottom_area,2024-12-24,1.93,2024-12-24,1.87,3.208556149732611,5.347593582887693,32.49097472924187,False,-0.5155,6.1647,2,3,2,66.66666666666666,19.603589682634013,20.212765957446805,11.791443850267388,3.208556149732611,历史2/3次成功; 当前距低点3.21%; 最新日涨幅-0.52%; 状态bottom_area; 底部未确认
29,68.42463334189921,63.41430499883119,600408,安泰集团,bottom_area,2024-12-24,2.12,2024-12-24,2.05,3.4146341463414775,4.87804878048781,28.321678321678323,False,-0.4695,3.1858,2,3,2,66.66666666666666,18.779592396898376,21.457489878542503,11.585365853658521,3.4146341463414775,历史2/3次成功; 当前距低点3.41%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
30,68.42296258947329,64.46958762445514,605337,李子园,bottom_area,2024-12-24,11.88,2024-12-24,11.39,4.302019315188764,5.531167690956971,31.673665266946614,False,2.7682,3.5461,2,4,2,50.0,32.30210571551354,37.98882681564246,10.697980684811236,4.302019315188764,历史2/4次成功; 当前距低点4.30%; 最新日涨幅2.77%; 状态bottom_area; 底部未确认
31,68.0117092633092,61.38457561140728,002162,悦心健康,bottom_area,2024-12-24,3.58,2024-12-24,3.51,1.9943019943020026,6.267806267806273,30.21868787276343,False,-2.1858,3.1209,1,2,1,50.0,43.23432343234324,43.23432343234324,13.005698005697997,1.9943019943020026,历史1/2次成功; 当前距低点1.99%; 最新日涨幅-2.19%; 状态bottom_area; 底部未确认
32,66.38208328494314,60.37239328813824,002167,东方锆业,bottom_area,2024-12-24,7.67,2024-12-24,7.49,2.4032042723631473,3.337783711615487,28.049951969260327,False,0.0,4.2358,1,4,1,25.0,41.1650485436893,41.1650485436893,12.596795727636852,2.4032042723631473,历史1/4次成功; 当前距低点2.40%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
33,66.10142257031039,62.73616338588543,000692,惠天热电,bottom_area,2024-12-24,3.57,2024-12-24,3.41,4.6920821114369415,7.038123167155417,29.69072164948453,False,-4.5455,7.8837,2,3,2,66.66666666666666,41.00776308223117,59.042553191489375,10.307917888563058,4.6920821114369415,历史2/3次成功; 当前距低点4.69%; 最新日涨幅-4.55%; 状态bottom_area; 底部未确认
34,65.90728860983214,60.733127646344784,002712,思美传媒,bottom_area,2024-12-24,5.64,2024-12-24,5.47,3.1078610603290664,7.312614259597813,32.55240443896424,False,-2.926,8.0099,2,4,2,50.0,20.048660558575577,22.379603399433442,11.892138939670934,3.1078610603290664,历史2/4次成功; 当前距低点3.11%; 最新日涨幅-2.93%; 状态bottom_area; 底部未确认
35,63.06331946712931,56.98762127918078,600382,广东明珠,bottom_area,2024-12-24,4.46,2024-12-24,4.37,2.0594965675057177,2.2883295194507927,30.079999999999995,False,1.1338,0.9723,1,3,1,33.33333333333333,17.365269461077848,17.365269461077848,12.940503432494282,2.0594965675057177,历史1/3次成功; 当前距低点2.06%; 最新日涨幅1.13%; 状态bottom_area; 底部未确认
36,62.8257142857143,59.97000000000001,002021,中捷资源,bottom_area,2024-12-24,2.73,2024-12-24,2.6,4.999999999999996,5.3846153846153895,27.170868347338928,False,0.738,4.5427,1,2,1,50.0,50.76923076923077,50.76923076923077,10.000000000000004,4.999999999999996,历史1/2次成功; 当前距低点5.00%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
37,59.29615068900193,54.44665137614676,002495,佳隆股份,bottom_area,2024-12-24,2.47,2024-12-24,2.4,2.9166666666666785,5.833333333333339,27.927927927927932,False,-1.9841,6.6296,1,4,1,25.0,38.07339449541283,38.07339449541283,12.083333333333321,2.9166666666666785,历史1/4次成功; 当前距低点2.92%; 最新日涨幅-1.98%; 状态bottom_area; 底部未确认
38,58.45615007654381,54.128499931942265,688196,卓越新能,bottom_area,2024-12-24,34.99,2024-12-23,33.85,3.3677991137370773,9.010339734121114,29.272879231090677,False,2.3099,1.3788,1,4,1,25.0,19.41979522184301,19.41979522184301,11.632200886262922,3.3677991137370773,历史1/4次成功; 当前距低点3.37%; 最新日涨幅2.31%; 状态bottom_area; 底部未确认
39,57.74395725880812,53.657563293589526,300377,赢时胜,bottom_area,2024-12-24,27.66,2024-12-24,26.71,3.5567203294646172,4.8296518157993225,27.021857923497265,False,-0.2524,12.3475,1,2,1,50.0,20.843471208434714,20.843471208434714,11.443279670535382,3.5567203294646172,历史1/2次成功; 当前距低点3.56%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
40,57.69462922031908,52.35114456055538,600250,南京商旅,bottom_area,2024-12-24,9.42,2024-12-24,9.21,2.280130293159599,5.320304017372403,28.10304449648712,False,-1.6701,4.6629,1,4,1,25.0,19.004524886877824,19.004524886877824,12.7198697068404,2.280130293159599,历史1/4次成功; 当前距低点2.28%; 最新日涨幅-1.67%; 状态bottom_area; 底部未确认
41,56.972555108949095,52.08416426895922,002474,榕基软件,bottom_area,2024-12-24,6.51,2024-12-24,6.34,2.6813880126182954,6.15141955835963,30.634573304157552,False,-1.3636,6.9597,1,3,1,33.33333333333333,21.0989010989011,21.0989010989011,12.318611987381704,2.6813880126182954,历史1/3次成功; 当前距低点2.68%; 最新日涨幅-1.36%; 状态bottom_area; 底部未确认
42,54.65584930126916,51.43587960257159,002638,勤上股份,bottom_area,2024-12-24,2.46,2024-12-24,2.36,4.237288135593224,7.627118644067804,31.3953488372093,False,-1.992,5.0746,1,2,1,50.0,17.241379310344833,17.241379310344833,10.762711864406775,4.237288135593224,历史1/2次成功; 当前距低点4.24%; 最新日涨幅-1.99%; 状态bottom_area; 底部未确认
43,53.9956683958165,51.2837030995106,300749,顶固集创,bottom_area,2024-12-24,6.42,2024-12-24,6.13,4.730831973898859,7.340946166394782,31.35498320268757,False,0.156,6.009,1,4,1,25.0,20.833333333333336,20.833333333333336,10.269168026101141,4.730831973898859,历史1/4次成功; 当前距低点4.73%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
44,53.927337982817534,50.0210146017138,002374,中锐股份,bottom_area,2024-12-24,2.99,2024-12-24,2.89,3.4602076124567507,6.920415224913485,29.166666666666664,False,-1.6447,2.8773,1,4,1,25.0,20.94240837696336,20.94240837696336,11.53979238754325,3.4602076124567507,历史1/4次成功; 当前距低点3.46%; 最新日涨幅-1.64%; 状态bottom_area; 底部未确认
