rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
52,64.34420473328234,58.93589458054937,300474,景嘉微,bottom_area,2024-01-29,55.38,2024-01-23,53.88,2.7839643652561246,8.314773570898286,27.842507030936115,True,-2.0516,1.9245,1,3,1,33.33333333333333,59.857142857142854,59.857142857142854,12.216035634743875,2.7839643652561246,历史1/3次成功; 当前距低点2.78%; 最新日涨幅-2.05%; 状态bottom_area; 底部已确认
53,64.22175246474922,57.36527184189397,603158,腾龙股份,bottom_area,2024-01-29,7.76,2024-01-22,7.65,1.4379084967320186,7.581699346405229,29.622815087396496,True,-3.1211,2.3638,1,3,1,33.33333333333333,35.270805812417436,35.270805812417436,13.56209150326798,1.4379084967320186,历史1/3次成功; 当前距低点1.44%; 最新日涨幅-3.12%; 状态bottom_area; 底部已确认
54,64.12976358029519,58.372946352682334,300507,苏奥传感,bottom_area,2024-01-29,5.44,2024-01-24,5.31,2.448210922787209,8.0979284369115,28.532974427994617,True,-3.5461,1.5133,1,2,1,50.0,33.6283185840708,33.6283185840708,12.55178907721279,2.448210922787209,历史1/2次成功; 当前距低点2.45%; 最新日涨幅-3.55%; 状态bottom_area; 底部已确认
55,63.8576498963065,58.07650141752189,300655,晶瑞电材,bottom_area,2024-01-29,7.67,2024-01-24,7.49,2.4032042723631473,8.678237650200272,29.13907284768212,True,-3.6432,1.1439,1,2,1,50.0,31.482834185536895,31.482834185536895,12.596795727636852,2.4032042723631473,历史1/2次成功; 当前距低点2.40%; 最新日涨幅-3.64%; 状态bottom_area; 底部已确认
56,63.53815338148678,55.70039764390491,300421,力星股份,bottom_area,2024-01-29,9.26,2024-01-29,9.22,0.43383947939261547,5.639913232104116,29.618320610687014,False,-4.3388,3.7863,1,2,1,50.0,43.59974009096816,43.59974009096816,14.566160520607385,0.43383947939261547,历史1/2次成功; 当前距低点0.43%; 最新日涨幅-4.34%; 状态bottom_area; 底部未确认
57,63.5248790321938,57.61654576506402,603087,甘李药业,bottom_area,2024-01-29,39.87,2024-01-24,38.99,2.25698897153115,8.104642215952799,27.79629629629629,True,-1.5312,1.6811,1,2,1,50.0,17.002583979328158,17.002583979328158,12.743011028468848,2.25698897153115,历史1/2次成功; 当前距低点2.26%; 最新日涨幅-1.53%; 状态bottom_area; 底部已确认
58,63.471466546999906,59.124105824602644,002331,皖通科技,bottom_area,2024-01-29,7.31,2024-01-24,7.05,3.6879432624113444,10.496453900709222,29.710867397806577,True,-4.0682,1.6524,2,4,2,50.0,19.530196037099497,21.247892074199,11.312056737588655,3.6879432624113444,历史2/4次成功; 当前距低点3.69%; 最新日涨幅-4.07%; 状态bottom_area; 底部已确认
59,63.147737568974044,57.526741249462866,002185,华天科技,bottom_area,2024-01-29,6.99,2024-01-24,6.82,2.4926686217008784,7.038123167155417,27.292110874200432,True,-2.6462,0.455,1,2,1,50.0,19.40874035989716,19.40874035989716,12.507331378299122,2.4926686217008784,历史1/2次成功; 当前距低点2.49%; 最新日涨幅-2.65%; 状态bottom_area; 底部已确认
60,62.10620325462105,57.03768829912968,002366,融发核电,bottom_area,2024-01-29,4.22,2024-01-23,4.1,2.926829268292686,9.024390243902443,29.188255613126085,True,-3.8724,1.0913,2,5,2,40.0,20.64977973568282,25.0,12.073170731707314,2.926829268292686,历史2/5次成功; 当前距低点2.93%; 最新日涨幅-3.87%; 状态bottom_area; 底部已确认
61,61.77151462994832,57.60714285714283,002164,宁波东力,bottom_area,2024-01-29,4.98,2024-01-23,4.8,3.750000000000013,10.833333333333343,28.143712574850298,True,-3.675,2.9007,1,2,1,50.0,45.468509984639034,45.468509984639034,11.249999999999986,3.750000000000013,历史1/2次成功; 当前距低点3.75%; 最新日涨幅-3.67%; 状态bottom_area; 底部已确认
62,60.053994446648154,52.22086473621579,300661,圣邦股份,bottom_area,2024-01-29,62.1,2024-01-29,62.1,0.0,5.990338164251194,30.614525139664806,False,-4.2406,0.737,1,2,1,50.0,31.832606108687024,31.832606108687024,15.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-4.24%; 状态bottom_area; 底部未确认
63,60.034000443104816,57.30518224114549,002370,亚太药业,bottom_area,2024-01-29,3.78,2024-01-23,3.6,4.999999999999992,10.27777777777778,30.367504835589937,True,-2.8278,1.7933,2,4,2,50.0,15.619259360997129,15.633423180592995,10.000000000000007,4.999999999999992,历史2/4次成功; 当前距低点5.00%; 最新日涨幅-2.83%; 状态bottom_area; 底部已确认
64,59.66764708588821,52.1316536140806,001217,华尔泰,bottom_area,2024-01-29,11.85,2024-01-29,11.82,0.25380710659897937,9.983079526226732,30.593071051086323,False,-9.6799,21.8772,1,2,1,50.0,22.206095791001456,22.206095791001456,14.74619289340102,0.25380710659897937,历史1/2次成功; 当前距低点0.25%; 最新日涨幅-9.68%; 状态bottom_area; 底部未确认
65,58.984102614292965,51.38427768022802,688348,昱能科技,bottom_area,2024-01-29,92.22,2024-01-29,92.13,0.09768804949528212,11.364376424617388,30.452177851589042,False,-3.1404,4.5332,1,2,1,50.0,16.27422813482398,16.27422813482398,14.902311950504718,0.09768804949528212,历史1/2次成功; 当前距低点0.10%; 最新日涨幅-3.14%; 状态bottom_area; 底部未确认
