rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.47492548265019,85.84391068341522,301367,瑞迈特,bottom_area,2024-04-18,73.83,2024-04-16,73.03,1.0954402300424444,8.024099685060932,28.387919199843108,False,-2.3413,1.7643,4,4,4,100.0,22.05115273070954,32.411969715178486,8.904559769957556,1.0954402300424444,历史4/4次成功; 当前距低点1.10%; 最新日涨幅-2.34%; 状态bottom_area; 底部未确认
12,76.0311247462618,73.55750938636629,688277,天智航,bottom_area,2024-04-18,7.91,2024-04-16,7.66,3.2637075718015662,6.788511749347252,29.981718464351005,False,-1.125,0.8483,2,2,2,100.0,15.907326075665967,20.469798657718112,6.736292428198435,3.2637075718015662,历史2/2次成功; 当前距低点3.26%; 最新日涨幅-1.12%; 状态bottom_area; 底部未确认
13,74.70454795510986,69.15879548682658,688114,华大智造,bottom_area,2024-04-18,53.0,2024-04-18,52.5,0.9523809523809524,4.723809523809518,29.463925836356314,False,-1.6698,0.6044,1,1,1,100.0,20.431312141156706,20.431312141156706,9.04761904761905,0.9523809523809524,历史1/1次成功; 当前距低点0.95%; 最新日涨幅-1.67%; 状态bottom_area; 底部未确认
14,74.32607570571746,72.52825009083621,002558,巨人网络,bottom_area,2024-04-18,10.61,2024-04-16,10.23,3.714565004887576,7.038123167155414,28.109627547434997,False,-0.7484,2.0464,2,2,2,100.0,15.900313451504728,18.872870249017044,6.285434995112424,3.714565004887576,历史2/2次成功; 当前距低点3.71%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
15,73.44040807877589,67.21132548352001,301391,卡莱特,bottom_area,2024-04-18,94.66,2024-04-18,94.33,0.34983568323968867,9.021520195059901,28.823662566965975,False,-4.5766,6.8527,1,1,1,100.0,12.790058286594078,12.790058286594078,9.650164316760312,0.34983568323968867,历史1/1次成功; 当前距低点0.35%; 最新日涨幅-4.58%; 状态bottom_area; 底部未确认
16,72.57954781734023,71.78101655697246,600250,南京商旅,confirmed_rebound,2024-04-18,8.27,2024-04-17,7.92,4.419191919191915,15.151515151515143,27.73722627737227,True,-3.6131,8.5725,3,3,3,100.0,15.09018350930115,19.004524886877824,5.580808080808086,4.419191919191915,历史3/3次成功; 当前距低点4.42%; 最新日涨幅-3.61%; 状态confirmed_rebound; 底部已确认
17,71.13670335547548,70.98957470324076,002256,兆新股份,bottom_area,2024-04-18,1.93,2024-04-16,1.84,4.891304347826079,8.152173913043473,30.82706766917293,True,-1.5306,1.0462,4,5,4,80.0,22.858863528409877,31.775700934579426,5.108695652173922,4.891304347826079,历史4/5次成功; 当前距低点4.89%; 最新日涨幅-1.53%; 状态bottom_area; 底部已确认
18,71.13311755603782,69.52223646716449,000428,华天酒店,confirmed_rebound,2024-04-18,3.28,2024-04-17,3.16,3.797468354430369,11.075949367088596,28.828828828828833,True,-2.9586,4.3461,3,4,3,75.0,22.610023200353346,28.045977011494273,6.202531645569632,3.797468354430369,历史3/4次成功; 当前距低点3.80%; 最新日涨幅-2.96%; 状态confirmed_rebound; 底部已确认
19,70.22492066607818,67.78809376599347,688276,百克生物,bottom_area,2024-04-18,41.31,2024-04-15,40.05,3.1460674157303496,5.86766541822722,27.445652173913054,False,0.5109,1.2237,2,3,2,66.66666666666666,16.529359178451564,16.844155844155843,6.853932584269651,3.1460674157303496,历史2/3次成功; 当前距低点3.15%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
20,69.95440667323324,68.92345886852841,301520,万邦医药,confirmed_rebound,2024-04-18,42.72,2024-04-16,40.99,4.220541595511093,10.026835813613074,27.80908770693906,False,-0.0702,5.1411,1,1,1,100.0,29.60372960372961,29.60372960372961,5.779458404488907,4.220541595511093,历史1/1次成功; 当前距低点4.22%; 最新日涨幅-0.07%; 状态confirmed_rebound; 底部未确认
21,69.86225835161649,68.65077410274453,002638,勤上股份,confirmed_rebound,2024-04-18,2.04,2024-04-15,1.96,4.081632653061228,11.224489795918377,29.496402877697836,True,-2.3923,1.139,1,1,1,100.0,17.241379310344833,17.241379310344833,5.918367346938772,4.081632653061228,历史1/1次成功; 当前距低点4.08%; 最新日涨幅-2.39%; 状态confirmed_rebound; 底部已确认
22,69.75987125824379,69.4150526611494,301393,昊帆生物,bottom_area,2024-04-18,38.45,2024-04-16,36.71,4.739852901116867,8.96213565785889,31.38317757009346,True,-1.1822,4.2661,1,1,1,100.0,19.203856320945413,19.203856320945413,5.260147098883134,4.739852901116867,历史1/1次成功; 当前距低点4.74%; 最新日涨幅-1.18%; 状态bottom_area; 底部已确认
23,68.31303794899566,62.27556659455282,000002,万科A,bottom_area,2024-04-18,6.88,2024-04-18,6.87,0.14556040756913807,2.6200873362445374,32.647058823529406,False,-3.0986,3.1583,2,3,2,66.66666666666666,22.638589554536463,28.255902513328245,9.854439592430863,0.14556040756913807,历史2/3次成功; 当前距低点0.15%; 最新日涨幅-3.10%; 状态bottom_area; 底部未确认
24,67.25973827952554,66.75378052978873,002156,通富微电,bottom_area,2024-04-18,20.45,2024-04-16,19.55,4.603580562659839,6.803069053708431,29.166666666666668,False,-1.0165,2.6343,3,4,3,75.0,16.585721573404154,21.92170818505337,5.396419437340161,4.603580562659839,历史3/4次成功; 当前距低点4.60%; 最新日涨幅-1.02%; 状态bottom_area; 底部未确认
25,53.08989752073534,52.34215248523202,000421,南京公用,bottom_area,2024-04-18,4.41,2024-04-18,4.23,4.255319148936163,6.85579196217492,29.966887417218537,False,-3.0769,5.9854,2,5,2,40.0,20.88322658498097,30.864197530864196,5.744680851063837,4.255319148936163,历史2/5次成功; 当前距低点4.26%; 最新日涨幅-3.08%; 状态bottom_area; 底部未确认
26,51.69816960952479,50.6470053475936,000546,金圆股份,bottom_area,2024-04-18,4.77,2024-04-17,4.59,3.921568627450974,7.843137254901968,30.349013657056144,True,-3.2454,2.7954,1,2,1,50.0,10.151515151515152,10.151515151515152,6.078431372549026,3.921568627450974,历史1/2次成功; 当前距低点3.92%; 最新日涨幅-3.25%; 状态bottom_area; 底部已确认
