rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.2566703883981,81.5952514181892,688027,国盾量子,bottom_area,2022-09-22,90.68,2022-09-21,88.08,2.9518619436875664,4.961398728428707,31.1875,False,0.0221,0.7476,3,3,3,100.0,16.15858413869275,26.382393397524062,5.048138056312434,2.9518619436875664,历史3/3次成功; 当前距低点2.95%; 最新日涨幅0.02%; 状态bottom_area; 底部未确认
12,77.85994660528368,75.89921683699465,688079,美迪凯,bottom_area,2022-09-22,9.6,2022-09-21,9.35,2.6737967914438503,5.775401069518726,29.962546816479403,False,-0.8264,0.4921,2,2,2,100.0,21.265986674659317,29.007036747458958,5.326203208556151,2.6737967914438503,历史2/2次成功; 当前距低点2.67%; 最新日涨幅-0.83%; 状态bottom_area; 底部未确认
13,76.81175912981892,74.86076859654116,601686,友发集团,bottom_area,2022-09-22,6.17,2022-09-21,6.01,2.662229617304495,3.9933444259567423,29.54279015240328,False,-0.8039,0.4566,2,2,2,100.0,15.541140451588205,22.923076923076927,5.337770382695505,2.662229617304495,历史2/2次成功; 当前距低点2.66%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
14,76.30329722928487,71.89854015932696,688018,乐鑫科技,bottom_area,2022-09-22,83.26,2022-09-21,82.51,0.9089807296085323,3.38140831414373,29.47863247863247,False,-0.4186,0.4926,1,1,1,100.0,34.629119477604306,34.629119477604306,7.091019270391468,0.9089807296085323,历史1/1次成功; 当前距低点0.91%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
15,76.11928673715595,74.01889533288063,688183,生益电子,bottom_area,2022-09-22,9.67,2022-09-21,9.43,2.545068928950162,4.029692470837761,28.883861236802417,False,-0.7187,0.3649,1,1,1,100.0,26.24544349939247,26.24544349939247,5.454931071049838,2.545068928950162,历史1/1次成功; 当前距低点2.55%; 最新日涨幅-0.72%; 状态bottom_area; 底部未确认
16,75.8969681522603,73.44986057789453,600130,波导股份,bottom_area,2022-09-22,4.01,2022-09-19,3.92,2.295918367346935,4.59183673469387,27.541589648798524,False,-0.7426,3.5174,1,1,1,100.0,20.13201320132014,20.13201320132014,5.7040816326530654,2.295918367346935,历史1/1次成功; 当前距低点2.30%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
17,75.89165989809834,75.97631317182739,000591,太阳能,bottom_area,2022-09-22,7.18,2022-09-19,6.9,4.057971014492744,4.927536231884055,27.672955974842754,False,0.1395,0.9278,1,1,1,100.0,32.84132841328414,32.84132841328414,3.942028985507256,4.057971014492744,历史1/1次成功; 当前距低点4.06%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
18,75.68361272462984,73.09399683670101,603192,汇得科技,bottom_area,2022-09-22,19.6,2022-09-19,19.18,2.189781021897819,4.848800834202293,27.595318988297468,False,-1.8036,0.576,1,1,1,100.0,16.917728852838945,16.917728852838945,5.810218978102181,2.189781021897819,历史1/1次成功; 当前距低点2.19%; 最新日涨幅-1.80%; 状态bottom_area; 底部未确认
19,75.54003842616085,72.49805598558979,688312,燕麦科技,bottom_area,2022-09-22,15.31,2022-09-19,15.03,1.8629407850964812,4.191616766467071,27.46138996138996,False,-2.11,0.6178,1,1,1,100.0,9.707317073170724,9.707317073170724,6.137059214903519,1.8629407850964812,历史1/1次成功; 当前距低点1.86%; 最新日涨幅-2.11%; 状态bottom_area; 底部未确认
20,75.40345115589851,73.61922123638924,300517,海波重科,bottom_area,2022-09-22,14.92,2022-09-22,14.52,2.754820936639121,5.6473829201101955,28.047571853320118,False,-4.359,8.2408,1,1,1,100.0,36.88286544046467,36.88286544046467,5.245179063360879,2.754820936639121,历史1/1次成功; 当前距低点2.75%; 最新日涨幅-4.36%; 状态bottom_area; 底部未确认
21,75.15818597997027,73.9649836768425,688021,奥福科技,bottom_area,2022-09-22,21.82,2022-09-22,21.15,3.1678486997636015,5.390070921985819,28.498985801217042,False,-0.9982,0.7445,2,2,2,100.0,16.923003829588822,24.96392496392497,4.832151300236399,3.1678486997636015,历史2/2次成功; 当前距低点3.17%; 最新日涨幅-1.00%; 状态bottom_area; 底部未确认
22,74.57446389432252,74.1885373159695,603315,福鞍股份,bottom_area,2022-09-22,20.3,2022-09-19,19.57,3.7301992846193177,6.6428206438426205,29.324665944384254,False,-0.4902,0.3101,1,1,1,100.0,41.68490153172865,41.68490153172865,4.269800715380683,3.7301992846193177,历史1/1次成功; 当前距低点3.73%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
23,74.44537687495111,73.31914276193754,300543,朗科智能,bottom_area,2022-09-22,9.01,2022-09-19,8.73,3.2073310423825814,4.9255441008018295,30.159999999999997,False,-1.0977,0.7773,2,2,2,100.0,13.934717949300124,18.559322033898297,4.792668957617419,3.2073310423825814,历史2/2次成功; 当前距低点3.21%; 最新日涨幅-1.10%; 状态bottom_area; 底部未确认
24,74.31663277774248,72.73491792339517,002451,摩恩电气,bottom_area,2022-09-22,6.07,2022-09-19,5.9,2.8813559322033884,4.406779661016945,29.59427207637232,False,-0.6547,0.7247,1,1,1,100.0,23.464566929133863,23.464566929133863,5.118644067796612,2.8813559322033884,历史1/1次成功; 当前距低点2.88%; 最新日涨幅-0.65%; 状态bottom_area; 底部未确认
25,74.06020633234733,73.21655874190563,002516,旷达科技,bottom_area,2022-09-22,4.86,2022-09-19,4.7,3.404255319148939,5.744680851063821,28.679817905918053,False,-1.4199,0.7706,1,1,1,100.0,32.46376811594203,32.46376811594203,4.595744680851062,3.404255319148939,历史1/1次成功; 当前距低点3.40%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
26,73.97169189069507,72.96851000499674,605319,无锡振华,bottom_area,2022-09-22,13.5,2022-09-19,13.07,3.289977046671765,6.350420811017599,30.330490405117278,False,-1.4599,1.0434,2,2,2,100.0,13.062675652733196,17.248790972595383,4.7100229533282345,3.289977046671765,历史2/2次成功; 当前距低点3.29%; 最新日涨幅-1.46%; 状态bottom_area; 底部未确认
27,73.81524393944483,74.305710676584,688298,东方生物,bottom_area,2022-09-22,78.78,2022-09-21,75.5,4.344370860927154,7.311258278145689,32.408236347359,True,1.7698,2.9173,4,5,4,80.0,11.510087309128625,15.470039788586028,3.655629139072846,4.344370860927154,历史4/5次成功; 当前距低点4.34%; 最新日涨幅1.77%; 状态bottom_area; 底部已确认
28,73.27630771213126,73.3032822410148,603186,华正新材,bottom_area,2022-09-22,21.74,2022-09-19,20.9,4.019138755980861,5.119617224880384,29.795095733960363,False,0.6481,1.0223,1,1,1,100.0,17.994186046511643,17.994186046511643,3.980861244019139,4.019138755980861,历史1/1次成功; 当前距低点4.02%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
29,72.91971695276074,72.5752209690005,300376,易事特,bottom_area,2022-09-22,6.91,2022-09-19,6.66,3.7537537537537538,5.105105105105103,29.14893617021277,False,0.0,0.5086,1,1,1,100.0,10.826771653543304,10.826771653543304,4.246246246246247,3.7537537537537538,历史1/1次成功; 当前距低点3.75%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
30,72.91593633616598,72.93260664625654,600215,派斯林,bottom_area,2022-09-22,7.0,2022-09-16,6.73,4.011887072808315,4.903417533432379,29.1578947368421,False,-0.1427,0.8304,2,2,2,100.0,21.718866517524237,23.993288590604024,3.9881129271916853,4.011887072808315,历史2/2次成功; 当前距低点4.01%; 最新日涨幅-0.14%; 状态bottom_area; 底部未确认
31,72.77805398677565,72.65272950626036,605358,立昂微,bottom_area,2022-09-22,49.16,2022-09-21,47.31,3.91037835552736,4.206298879729433,28.318181818181813,False,0.4701,1.073,1,1,1,100.0,13.16339869281045,13.16339869281045,4.08962164447264,3.91037835552736,历史1/1次成功; 当前距低点3.91%; 最新日涨幅0.47%; 状态bottom_area; 底部未确认
32,72.49794691425187,72.80557610907896,300484,蓝海华腾,bottom_area,2022-09-22,11.36,2022-09-19,10.9,4.220183486238524,6.23853211009174,28.52459016393442,False,-1.1314,1.3885,2,2,2,100.0,23.589217514531214,28.708133971291865,3.7798165137614763,4.220183486238524,历史2/2次成功; 当前距低点4.22%; 最新日涨幅-1.13%; 状态bottom_area; 底部未确认
33,72.22053431172792,72.05210082926989,600237,铜峰电子,bottom_area,2022-09-22,6.16,2022-09-19,5.93,3.8785834738617275,4.721753794266446,32.53697383390216,False,0.4894,1.863,1,1,1,100.0,9.544468546637733,9.544468546637733,4.1214165261382725,3.8785834738617275,历史1/1次成功; 当前距低点3.88%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
34,72.18976517385566,67.69827358707225,002693,双成药业,bottom_area,2022-09-22,4.57,2022-09-21,4.54,0.6607929515418557,2.8634361233480154,29.829984544049452,False,-1.9313,1.925,1,1,1,100.0,9.00473933649289,9.00473933649289,7.339207048458145,0.6607929515418557,历史1/1次成功; 当前距低点0.66%; 最新日涨幅-1.93%; 状态bottom_area; 底部未确认
35,72.17437038101882,67.77883360986601,000661,长春高新,bottom_area,2022-09-22,157.9,2022-09-22,156.75,0.7336523125996847,2.545454545454551,32.52260008609557,False,-0.4414,0.8534,1,1,1,100.0,10.330972487060738,10.330972487060738,7.266347687400315,0.7336523125996847,历史1/1次成功; 当前距低点0.73%; 最新日涨幅-0.44%; 状态bottom_area; 底部未确认
36,71.8634145569394,71.92734997914309,002283,天润工业,bottom_area,2022-09-22,5.4,2022-09-19,5.19,4.046242774566473,5.394990366088619,27.816411682892905,False,-0.7353,0.4413,1,1,1,100.0,33.402061855670105,33.402061855670105,3.9537572254335274,4.046242774566473,历史1/1次成功; 当前距低点4.05%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
37,71.77504612991828,67.03248196950572,600436,片仔癀,bottom_area,2022-09-22,260.85,2022-09-22,259.69,0.44668643382495477,7.582117139666525,27.82780279028403,False,-7.1972,0.9905,1,1,1,100.0,13.015736766809729,13.015736766809729,7.553313566175046,0.44668643382495477,历史1/1次成功; 当前距低点0.45%; 最新日涨幅-7.20%; 状态bottom_area; 底部未确认
38,71.16548709825597,71.17593494191716,000936,华西股份,bottom_area,2022-09-22,5.45,2022-09-19,5.24,4.007633587786259,5.152671755725183,29.284750337381915,False,-0.5474,0.6424,2,2,2,100.0,12.222255494999095,13.427561837455826,3.992366412213741,4.007633587786259,历史2/2次成功; 当前距低点4.01%; 最新日涨幅-0.55%; 状态bottom_area; 底部未确认
39,70.91467816084928,71.28150696864111,000728,国元证券,bottom_area,2022-09-22,6.84,2022-09-21,6.56,4.268292682926833,5.945121951219521,28.92741061755147,False,0.1464,1.6757,1,1,1,100.0,10.178571428571434,10.178571428571434,3.731707317073167,4.268292682926833,历史1/1次成功; 当前距低点4.27%; 最新日涨幅0.15%; 状态bottom_area; 底部未确认
40,70.91079401575963,70.8468651654653,688049,炬芯科技,bottom_area,2022-09-22,31.03,2022-09-21,29.85,3.9530988274706855,6.030150753768834,29.365830572645525,False,-0.2892,0.8882,2,2,2,100.0,9.784572538163834,11.287895076327672,4.0469011725293145,3.9530988274706855,历史2/2次成功; 当前距低点3.95%; 最新日涨幅-0.29%; 状态bottom_area; 底部未确认
41,70.36525149982663,70.44905706957482,002012,凯恩股份,bottom_area,2022-09-22,5.38,2022-09-19,5.17,4.061895551257252,5.222437137330763,31.523178807947016,False,-0.5545,1.8462,1,1,1,100.0,25.646123260437374,25.646123260437374,3.938104448742748,4.061895551257252,历史1/1次成功; 当前距低点4.06%; 最新日涨幅-0.55%; 状态bottom_area; 底部未确认
42,69.39418317571095,68.68150479954828,601222,林洋能源,bottom_area,2022-09-22,7.17,2022-09-19,6.93,3.4632034632034667,6.06060606060606,32.5875486381323,False,-1.1034,0.8934,1,1,1,100.0,8.804347826086962,8.804347826086962,4.536796536796533,3.4632034632034667,历史1/1次成功; 当前距低点3.46%; 最新日涨幅-1.10%; 状态bottom_area; 底部未确认
43,68.92632097079783,68.1297952853598,002319,乐通股份,confirmed_rebound,2022-09-22,12.18,2022-09-21,11.78,3.395585738539901,8.658743633276753,30.70588235294118,False,-0.9756,5.9016,1,1,1,100.0,15.224358974358976,15.224358974358976,4.604414261460099,3.395585738539901,历史1/1次成功; 当前距低点3.40%; 最新日涨幅-0.98%; 状态confirmed_rebound; 底部未确认
44,68.81794315390292,69.05246094579428,600126,杭钢股份,bottom_area,2022-09-22,4.24,2022-09-21,4.07,4.176904176904174,5.159705159705159,28.72154115586689,False,-0.2353,0.1922,1,1,1,100.0,19.54732510288064,19.54732510288064,3.8230958230958256,4.176904176904174,历史1/1次成功; 当前距低点4.18%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
45,67.63637557788672,65.53925762073325,688202,美迪西,bottom_area,2022-09-22,227.49,2022-09-22,222.24,2.3623110151187907,3.392728581713459,32.344972449694055,False,-0.5943,1.1518,2,3,2,66.66666666666666,17.304624024394695,23.795418261555337,5.637688984881209,2.3623110151187907,历史2/3次成功; 当前距低点2.36%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
