rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
22,80.02613756639781,75.52375959079285,000629,钒钛股份,bottom_area,2023-04-27,4.16,2023-04-25,4.08,1.960784313725492,9.803921568627459,31.08108108108108,False,-0.716,0.7931,1,1,1,100.0,27.173913043478265,27.173913043478265,8.03921568627451,1.960784313725492,历史1/1次成功; 当前距低点1.96%; 最新日涨幅-0.72%; 状态bottom_area; 底部未确认
23,79.94328539461813,74.35561492399816,000158,常山北明,bottom_area,2023-04-27,6.76,2023-04-27,6.68,1.1976047904191627,3.5928143712574885,30.705394190871377,False,-1.1696,2.8332,1,1,1,100.0,11.538461538461533,11.538461538461533,8.802395209580837,1.1976047904191627,历史1/1次成功; 当前距低点1.20%; 最新日涨幅-1.17%; 状态bottom_area; 底部未确认
24,79.58065924744231,77.48922989528235,000722,湖南发展,bottom_area,2023-04-27,10.93,2023-04-25,10.55,3.6018957345971465,4.64454976303316,27.98634812286689,False,0.0916,0.7697,2,2,2,100.0,18.7180224202357,26.619718309859163,6.398104265402854,3.6018957345971465,历史2/2次成功; 当前距低点3.60%; 最新日涨幅0.09%; 状态bottom_area; 底部未确认
25,79.23545457420533,73.95738205179684,688004,博汇科技,confirmed_rebound,2023-04-27,34.47,2023-04-26,34.0,1.3823529411764672,14.970588235294127,31.313131313131315,False,-1.4298,5.8716,1,1,1,100.0,21.87713310580205,21.87713310580205,8.617647058823533,1.3823529411764672,历史1/1次成功; 当前距低点1.38%; 最新日涨幅-1.43%; 状态confirmed_rebound; 底部未确认
26,79.11701281992639,73.04969509084943,300454,深信服,bottom_area,2023-04-27,118.99,2023-04-27,118.03,0.8133525374904632,3.3466067948826597,29.534328358208956,False,-0.643,1.3667,2,2,2,100.0,22.979241270579003,29.49391262831224,9.186647462509537,0.8133525374904632,历史2/2次成功; 当前距低点0.81%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
27,79.09247049055124,77.2949143430387,000980,众泰汽车,bottom_area,2023-04-27,3.01,2023-04-26,2.9,3.7931034482758577,6.206896551724143,32.24299065420561,False,-0.6601,1.2852,3,3,3,100.0,25.823603253266942,43.49775784753364,6.206896551724142,3.7931034482758577,历史3/3次成功; 当前距低点3.79%; 最新日涨幅-0.66%; 状态bottom_area; 底部未确认
28,78.47379806476576,75.00805582684602,002806,华锋股份,bottom_area,2023-04-27,10.54,2023-04-25,10.27,2.629016553067182,4.868549172346641,31.896551724137932,False,-0.8467,1.8369,2,2,2,100.0,15.925879396984929,20.35175879396985,7.370983446932819,2.629016553067182,历史2/2次成功; 当前距低点2.63%; 最新日涨幅-0.85%; 状态bottom_area; 底部未确认
29,78.4464666576796,71.91744283698411,688225,亚信安全,bottom_area,2023-04-27,20.51,2023-04-27,20.42,0.44074436826640473,3.7708129285014667,29.097222222222218,False,-1.3942,1.9913,2,2,2,100.0,12.324408584040366,12.640845070422536,9.559255631733595,0.44074436826640473,历史2/2次成功; 当前距低点0.44%; 最新日涨幅-1.39%; 状态bottom_area; 底部未确认
30,78.21965073660255,76.42270116371203,300661,圣邦股份,bottom_area,2023-04-27,124.1,2023-04-25,119.58,3.7798963037297177,6.790433182806494,30.20079383609619,False,0.4858,1.1657,1,1,1,100.0,31.832606108687024,31.832606108687024,6.220103696270283,3.7798963037297177,历史1/1次成功; 当前距低点3.78%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
31,78.07224555631484,76.79181142905377,001210,金房能源,bottom_area,2023-04-27,22.43,2023-04-24,21.54,4.131847725162491,5.2924791086351,27.180527383367135,False,0.8997,0.9458,1,1,1,100.0,38.131313131313135,38.131313131313135,5.8681522748375095,4.131847725162491,历史1/1次成功; 当前距低点4.13%; 最新日涨幅0.90%; 状态bottom_area; 底部未确认
