rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.71278887499794,83.40993875491813,603278,大业股份,bottom_area,2026-01-21,12.49,17.72,2026-01-21,12.26,1.8760195758564473,2.2838499184339263,30.81264108352144,29.51467268623024,False,0.2408,4.8139,2,2,2,100.0,29.393889182101233,31.206657420249666,18.123980424143554,1.8760195758564473,历史2/2次成功; 当前距低点1.88%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
12,80.92534951867134,68.34576642335767,300337,银邦股份,bottom_area,2026-01-21,15.18,21.73,2026-01-21,15.07,0.7299270072992663,5.573988055739879,30.648872526461112,30.14265991716521,False,-2.1907,10.3846,3,5,3,60.0,62.81480014603586,131.5277777777778,19.270072992700733,0.7299270072992663,历史3/5次成功; 当前距低点0.73%; 最新日涨幅-2.19%; 状态bottom_area; 底部未确认
13,80.84887156897574,72.9477708845209,003007,直真科技,bottom_area,2026-01-21,42.47,59.77,2026-01-20,40.7,4.348894348894339,8.181818181818178,31.90563828007361,28.944286431320066,False,2.9576,16.2038,1,1,1,100.0,20.124999999999993,20.124999999999993,15.651105651105663,4.348894348894339,历史1/1次成功; 当前距低点4.35%; 最新日涨幅2.96%; 状态bottom_area; 底部未确认
14,80.07667399669026,69.08014084507045,688246,嘉和美康,bottom_area,2026-01-21,27.49,39.0,2026-01-21,26.98,1.8902891030392808,6.412157153447,30.820512820512818,29.512820512820515,False,-0.0364,4.6983,2,4,2,50.0,53.820745366240445,58.0508474576271,18.10971089696072,1.8902891030392808,历史2/4次成功; 当前距低点1.89%; 最新日涨幅-0.04%; 状态bottom_area; 底部未确认
15,79.27464153969252,66.5359198059675,000901,航天科技,bottom_area,2026-01-21,25.75,35.4,2026-01-20,25.65,0.3898635477582902,10.526315789473696,27.54237288135593,27.259887005649713,False,-1.3032,6.4003,2,3,2,66.66666666666666,38.32334423757916,42.402315484804625,19.61013645224171,0.3898635477582902,历史2/3次成功; 当前距低点0.39%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
16,77.56710171685675,65.09876317638792,300455,航天智装,bottom_area,2026-01-21,28.57,41.5,2026-01-21,28.46,0.3865073787772292,2.4595924104005595,31.421686746987948,31.156626506024093,False,-1.2785,3.7036,2,4,2,50.0,59.488642441964124,65.87383660806617,19.613492621222772,0.3865073787772292,历史2/4次成功; 当前距低点0.39%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
17,75.85730098736298,64.95021028124188,688115,思林杰,bottom_area,2026-01-21,51.45,73.3,2026-01-20,50.7,1.4792899408284024,17.337278106508876,30.832196452933147,29.809004092769438,False,-3.8318,4.6274,4,8,4,50.0,32.97307175446581,53.58819584171696,18.5207100591716,1.4792899408284024,历史4/8次成功; 当前距低点1.48%; 最新日涨幅-3.83%; 状态bottom_area; 底部未确认
18,73.75604517884344,65.17078269167497,000572,海马汽车,bottom_area,2026-01-21,7.09,10.2,2026-01-21,6.87,3.2023289665211028,3.7845705967976677,32.647058823529406,30.49019607843137,False,0.0,3.7605,3,8,3,37.5,49.67522975990913,95.5116696588869,16.7976710334789,3.2023289665211028,历史3/8次成功; 当前距低点3.20%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
19,73.25631032827013,66.38449290202169,301489,思泉新材,bottom_area,2026-01-21,174.66,231.5,2026-01-20,167.0,4.586826347305387,7.341317365269455,27.861771058315334,24.55291576673866,False,3.227,6.0337,2,4,2,50.0,46.08847835418263,71.56118143459918,15.413173652694615,4.586826347305387,历史2/4次成功; 当前距低点4.59%; 最新日涨幅3.23%; 状态bottom_area; 底部未确认
20,70.60348513549907,58.836237612915895,600696,退市岩石,bottom_area,2026-01-21,2.24,3.2,2026-01-21,2.24,0.0,0.0,30.0,30.0,False,-5.0847,0.1617,2,4,2,50.0,34.06579361782736,46.45858343337334,20.0,0.0,历史2/4次成功; 当前距低点0.00%; 最新日涨幅-5.08%; 状态bottom_area; 底部未确认
21,69.92636019772185,59.56272727272724,301017,漱玉平民,bottom_area,2026-01-21,16.92,23.01,2026-01-21,16.72,1.1961722488038447,3.4688995215311116,27.33594089526294,26.46675358539765,False,-1.9699,5.7715,1,2,1,50.0,23.655913978494613,23.655913978494613,18.803827751196156,1.1961722488038447,历史1/2次成功; 当前距低点1.20%; 最新日涨幅-1.97%; 状态bottom_area; 底部未确认
22,69.60491164474703,60.222364847864405,002173,创新医疗,bottom_area,2026-01-21,28.37,38.31,2026-01-21,27.8,2.050359712230217,3.9928057553956813,27.43409031584443,25.946228138867138,False,-0.1408,9.8408,2,5,2,40.0,26.006370923383365,27.109266943291825,17.949640287769785,2.050359712230217,历史2/5次成功; 当前距低点2.05%; 最新日涨幅-0.14%; 状态bottom_area; 底部未确认
23,69.21381190585535,59.866625699913136,603069,海汽集团,bottom_area,2026-01-21,23.07,31.58,2026-01-21,22.61,2.0344980097302114,2.2998673153471896,28.404053198226727,26.947435085497144,False,-0.7742,2.0025,2,7,2,28.57142857142857,48.661265848453205,76.0375880971026,17.96550199026979,2.0344980097302114,历史2/7次成功; 当前距低点2.03%; 最新日涨幅-0.77%; 状态bottom_area; 底部未确认
24,68.3698293175266,59.75423539633214,603696,安记食品,bottom_area,2026-01-21,20.89,28.5,2026-01-21,20.36,2.6031434184675892,5.893909626719053,28.56140350877193,26.70175438596491,False,-2.8372,7.1322,1,2,1,50.0,41.93227091633467,41.93227091633467,17.39685658153241,2.6031434184675892,历史1/2次成功; 当前距低点2.60%; 最新日涨幅-2.84%; 状态bottom_area; 底部未确认
25,68.29383389964511,60.94001480534613,600325,华发股份,bottom_area,2026-01-21,4.16,5.74,2026-01-19,4.01,3.740648379052378,4.98753117206983,30.13937282229966,27.526132404181187,False,-0.4785,1.5972,2,4,2,50.0,28.917704890244938,32.553606237816766,16.259351620947623,3.740648379052378,历史2/4次成功; 当前距低点3.74%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
26,67.67119561066215,58.660921155347424,301408,华人健康,bottom_area,2026-01-21,21.81,29.76,2026-01-19,21.35,2.1545667447306664,6.088992974238862,28.259408602150536,26.713709677419363,False,-1.2228,17.664,1,3,1,33.33333333333333,63.068493150684944,63.068493150684944,17.845433255269334,2.1545667447306664,历史1/3次成功; 当前距低点2.15%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
27,66.26347094502971,55.415773770474594,002151,北斗星通,bottom_area,2026-01-21,46.6,66.9,2026-01-21,46.51,0.19350677273705313,4.149645237583315,30.47832585949179,30.343796711509718,False,-2.142,8.422,1,2,1,50.0,28.90843662534986,28.90843662534986,19.806493227262948,0.19350677273705313,历史1/2次成功; 当前距低点0.19%; 最新日涨幅-2.14%; 状态bottom_area; 底部未确认
28,66.22292418905627,55.9494479674474,603131,上海沪工,bottom_area,2026-01-21,25.52,35.18,2026-01-21,25.33,0.7500986971970047,2.8030003947887914,27.99886299033542,27.4587833996589,False,-1.0469,4.8274,2,5,2,40.0,26.933725790626717,30.158730158730158,19.249901302802996,0.7500986971970047,历史2/5次成功; 当前距低点0.75%; 最新日涨幅-1.05%; 状态bottom_area; 底部未确认
29,63.989360565983304,57.35413919342642,600161,天坛生物,bottom_area,2026-01-21,16.7,22.08,2025-12-24,16.06,3.9850560398505643,9.464508094645078,27.264492753623188,24.365942028985504,True,-1.3585,0.6398,1,2,1,50.0,36.77455357142857,36.77455357142857,16.014943960149434,3.9850560398505643,历史1/2次成功; 当前距低点3.99%; 最新日涨幅-1.36%; 状态bottom_area; 底部已确认
30,63.80341713664865,54.965079792107765,002324,普利特,bottom_area,2026-01-21,18.52,25.66,2026-01-20,18.19,1.814183617372173,5.277625068719061,29.111457521434136,27.82540919719408,False,-0.1079,4.6087,1,3,1,33.33333333333333,25.957446808510653,25.957446808510653,18.185816382627827,1.814183617372173,历史1/3次成功; 当前距低点1.81%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
31,62.28871174682442,53.57192409712304,002347,泰尔股份,bottom_area,2026-01-21,10.03,14.54,2026-01-21,9.86,1.724137931034482,2.738336713995957,32.18707015130674,31.017881705639617,False,-1.763,6.8786,1,5,1,20.0,29.585798816568047,29.585798816568047,18.27586206896552,1.724137931034482,历史1/5次成功; 当前距低点1.72%; 最新日涨幅-1.76%; 状态bottom_area; 底部未确认
32,61.93001455986526,56.345690112997474,300705,九典制药,bottom_area,2026-01-21,15.7,20.66,2025-12-30,14.98,4.8064085447262945,8.277703604806398,27.49273959341723,24.00774443368829,True,-0.1272,1.4795,1,2,1,50.0,41.42097631706138,41.42097631706138,15.193591455273706,4.8064085447262945,历史1/2次成功; 当前距低点4.81%; 最新日涨幅-0.13%; 状态bottom_area; 底部已确认
33,61.53801398601399,51.28167832167833,001255,博菲电气,bottom_area,2026-01-21,40.25,58.97,2026-01-21,40.25,0.0,4.968944099378882,31.74495506189588,31.74495506189588,False,-9.9955,16.4488,1,2,1,50.0,26.78321678321677,26.78321678321677,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态bottom_area; 底部未确认
34,61.36147348427425,51.656793509492296,300418,昆仑万维,bottom_area,2026-01-21,52.59,72.09,2026-01-21,52.3,0.5544933078394001,3.824091778202677,27.45179636565405,27.049521431543905,False,-1.2394,5.3384,1,3,1,33.33333333333333,32.568306010928964,32.568306010928964,19.445506692160603,0.5544933078394001,历史1/3次成功; 当前距低点0.55%; 最新日涨幅-1.24%; 状态bottom_area; 底部未确认
35,61.328109628666645,53.08458699080432,300364,中文在线,bottom_area,2026-01-21,31.0,42.5,2026-01-21,30.37,2.0744155416529435,4.609812314784321,28.54117647058823,27.058823529411764,False,-0.5135,8.1479,2,8,2,25.0,20.42609906329583,20.7773851590106,17.925584458347057,2.0744155416529435,历史2/8次成功; 当前距低点2.07%; 最新日涨幅-0.51%; 状态bottom_area; 底部未确认
36,60.23789854012693,50.26459273833731,600990,四创电子,bottom_area,2026-01-21,27.78,38.28,2026-01-21,27.76,0.07204610951008492,2.089337175792501,27.481713688610238,27.429467084639498,False,-2.3207,3.4866,1,4,1,25.0,20.55837563451777,20.55837563451777,19.927953890489917,0.07204610951008492,历史1/4次成功; 当前距低点0.07%; 最新日涨幅-2.32%; 状态bottom_area; 底部未确认
