rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.3036252955194,76.94196099610076,002639,雪人集团,bottom_area,2026-01-20,20.88,29.21,2026-01-20,20.63,1.211827435773146,9.306834706737769,29.373502225265323,28.517630948305378,False,-5.2202,20.7786,3,4,3,75.0,39.999610482062025,63.25301204819277,18.788172564226855,1.211827435773146,历史3/4次成功; 当前距低点1.21%; 最新日涨幅-5.22%; 状态bottom_area; 底部未确认
14,80.26749653855238,69.02369758374527,000901,航天科技,bottom_area,2026-01-20,26.09,35.4,2026-01-20,25.65,1.7153996101364575,10.526315789473696,27.54237288135593,26.299435028248585,False,-6.9544,11.8548,2,3,2,66.66666666666666,38.32334423757916,42.402315484804625,18.28460038986354,1.7153996101364575,历史2/3次成功; 当前距低点1.72%; 最新日涨幅-6.95%; 状态bottom_area; 底部未确认
15,79.372381066278,67.75886415950674,301489,思泉新材,bottom_area,2026-01-20,169.2,231.5,2026-01-20,167.0,1.317365269461071,7.341317365269455,27.861771058315334,26.911447084233263,False,-5.3056,7.4018,2,4,2,50.0,46.08847835418263,71.56118143459918,18.68263473053893,1.317365269461071,历史2/4次成功; 当前距低点1.32%; 最新日涨幅-5.31%; 状态bottom_area; 底部未确认
16,79.29050449205252,67.97,300455,航天智装,bottom_area,2026-01-20,28.94,41.5,2026-01-20,28.5,1.5438596491228114,9.824561403508774,31.32530120481928,30.265060240963855,False,-6.0999,6.1639,2,4,2,50.0,59.488642441964124,65.87383660806617,18.456140350877188,1.5438596491228114,历史2/4次成功; 当前距低点1.54%; 最新日涨幅-6.10%; 状态bottom_area; 底部未确认
17,78.44068652803008,70.64343209964944,603178,圣龙股份,bottom_area,2026-01-20,18.41,24.59,2025-12-05,17.66,4.246885617214043,10.135900339750844,28.182187881252542,25.132167547783652,True,-1.5508,1.5008,5,7,5,71.42857142857143,31.669983984855786,47.51869476546566,15.753114382785958,4.246885617214043,历史5/7次成功; 当前距低点4.25%; 最新日涨幅-1.55%; 状态bottom_area; 底部已确认
18,71.05464723316898,63.98285769811424,600325,华发股份,bottom_area,2026-01-20,4.18,5.74,2026-01-19,4.01,4.23940149625935,4.98753117206983,30.13937282229966,27.177700348432065,False,2.9557,2.0858,2,4,2,50.0,28.917704890244938,32.553606237816766,15.760598503740653,4.23940149625935,历史2/4次成功; 当前距低点4.24%; 最新日涨幅2.96%; 状态bottom_area; 底部未确认
19,70.24708294159227,60.03288054422641,603131,上海沪工,bottom_area,2026-01-20,25.79,35.18,2026-01-20,25.44,1.3757861635220041,12.303459119496852,27.686185332575324,26.69130187606595,False,-8.708,11.1691,2,5,2,40.0,26.933725790626717,30.158730158730158,18.624213836477995,1.3757861635220041,历史2/5次成功; 当前距低点1.38%; 最新日涨幅-8.71%; 状态bottom_area; 底部未确认
20,69.50879230062078,59.42342333392532,603069,海汽集团,bottom_area,2026-01-20,23.25,31.58,2026-01-16,22.93,1.395551679023115,5.800261665939825,27.390753641545277,26.37745408486383,False,-3.0442,3.2988,2,7,2,28.57142857142857,48.661265848453205,76.0375880971026,18.604448320976886,1.395551679023115,历史2/7次成功; 当前距低点1.40%; 最新日涨幅-3.04%; 状态bottom_area; 底部未确认
21,68.51015028384202,57.6884757140665,000572,海马汽车,bottom_area,2026-01-20,7.09,10.2,2026-01-20,7.05,0.5673758865248233,4.539007092198586,30.882352941176467,30.49019607843137,False,-4.576,6.6536,3,8,3,37.5,49.67522975990913,95.5116696588869,19.43262411347518,0.5673758865248233,历史3/8次成功; 当前距低点0.57%; 最新日涨幅-4.58%; 状态bottom_area; 底部未确认
22,67.58801582351882,59.95754879000784,301408,华人健康,bottom_area,2026-01-20,22.08,29.76,2026-01-19,21.35,3.4192037470725847,5.948477751756438,28.259408602150536,25.806451612903235,False,1.3774,21.2878,1,3,1,33.33333333333333,63.068493150684944,63.068493150684944,16.580796252927417,3.4192037470725847,历史1/3次成功; 当前距低点3.42%; 最新日涨幅1.38%; 状态bottom_area; 底部未确认
23,66.27004775200024,56.809299120931335,300418,昆仑万维,bottom_area,2026-01-20,53.25,72.09,2026-01-20,52.44,1.544622425629295,5.835240274599547,27.25759467332502,26.133999167707035,False,-1.9337,6.1304,1,3,1,33.33333333333333,32.568306010928964,32.568306010928964,18.455377574370708,1.544622425629295,历史1/3次成功; 当前距低点1.54%; 最新日涨幅-1.93%; 状态bottom_area; 底部未确认
24,66.02888391442454,60.22128423849813,300705,九典制药,bottom_area,2026-01-20,15.72,20.66,2025-12-30,14.98,4.939919893190922,8.277703604806398,27.49273959341723,23.910939012584702,True,0.3191,1.3013,1,2,1,50.0,41.42097631706138,41.42097631706138,15.060080106809078,4.939919893190922,历史1/2次成功; 当前距低点4.94%; 最新日涨幅0.32%; 状态bottom_area; 底部已确认
25,65.74911407338499,56.82552564838276,002151,北斗星通,bottom_area,2026-01-20,47.62,66.9,2026-01-20,46.69,1.9918612122510166,6.982223174127233,30.209267563527664,28.81913303437968,False,-3.6617,13.4491,1,2,1,50.0,28.90843662534986,28.90843662534986,18.008138787748983,1.9918612122510166,历史1/2次成功; 当前距低点1.99%; 最新日涨幅-3.66%; 状态bottom_area; 底部未确认
26,64.14353478807631,54.77425442577303,300364,中文在线,bottom_area,2026-01-20,31.16,42.5,2026-01-20,30.75,1.3333333333333337,6.926829268292692,27.647058823529413,26.682352941176468,False,-2.7466,11.3434,2,8,2,25.0,20.42609906329583,20.7773851590106,18.666666666666668,1.3333333333333337,历史2/8次成功; 当前距低点1.33%; 最新日涨幅-2.75%; 状态bottom_area; 底部未确认
27,63.384882647878015,54.71439260134361,002324,普利特,bottom_area,2026-01-20,18.54,25.66,2026-01-20,18.19,1.9241341396371514,5.277625068719061,29.111457521434136,27.747466874512867,False,-2.4211,7.4006,1,3,1,33.33333333333333,25.957446808510653,25.957446808510653,18.07586586036285,1.9241341396371514,历史1/3次成功; 当前距低点1.92%; 最新日涨幅-2.42%; 状态bottom_area; 底部未确认
28,62.48468962382271,53.11979026304995,002347,泰尔股份,bottom_area,2026-01-20,10.21,14.54,2026-01-20,10.1,1.0891089108911012,6.237623762376245,30.536451169188446,29.779917469050883,False,-4.7575,12.3624,1,5,1,20.0,29.585798816568047,29.585798816568047,18.9108910891089,1.0891089108911012,历史1/5次成功; 当前距低点1.09%; 最新日涨幅-4.76%; 状态bottom_area; 底部未确认
29,60.641556430986086,52.67380932433097,600990,四创电子,bottom_area,2026-01-20,28.44,38.28,2026-01-20,27.81,2.2653721682847987,5.2499101042790395,27.351097178683393,25.705329153605017,False,-1.8634,4.7562,1,4,1,25.0,20.55837563451777,20.55837563451777,17.7346278317152,2.2653721682847987,历史1/4次成功; 当前距低点2.27%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
30,59.88216383724191,52.35570892578664,002342,巨力索具,bottom_area,2026-01-20,10.17,14.62,2026-01-20,9.91,2.6236125126135197,12.916246215943486,32.21614227086183,30.437756497948016,False,-5.7461,17.8058,1,4,1,25.0,33.45454545454545,33.45454545454545,17.37638748738648,2.6236125126135197,历史1/4次成功; 当前距低点2.62%; 最新日涨幅-5.75%; 状态bottom_area; 底部未确认
31,53.116864864864866,44.26405405405406,002115,三维通信,bottom_area,2026-01-20,14.25,21.0,2026-01-20,14.25,0.0,6.877192982456143,32.142857142857146,32.142857142857146,False,-9.981,42.4413,1,5,1,20.0,20.720720720720706,20.720720720720706,20.0,0.0,历史1/5次成功; 当前距低点0.00%; 最新日涨幅-9.98%; 状态bottom_area; 底部未确认
