rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
70,62.227593882326744,52.00506868131869,605228,神通科技,bottom_area,2022-04-26,6.41,2022-04-26,6.4,0.15624999999999667,7.9687499999999964,27.189988623435713,False,-7.1014,1.265,1,2,1,50.0,20.32967032967033,20.32967032967033,19.843750000000004,0.15624999999999667,历史1/2次成功; 当前距低点0.16%; 最新日涨幅-7.10%; 状态bottom_area; 底部未确认
71,61.36620290054766,51.58960388190923,603169,兰石重装,bottom_area,2022-04-26,6.29,2022-04-26,6.26,0.47923322683706465,8.46645367412141,27.79700115340254,False,-5.4135,1.9961,1,2,1,50.0,22.055137844611526,22.055137844611526,19.520766773162936,0.47923322683706465,历史1/2次成功; 当前距低点0.48%; 最新日涨幅-5.41%; 状态bottom_area; 底部未确认
72,61.3565251087872,53.678866700288964,603197,保隆科技,bottom_area,2022-04-26,28.19,2022-04-26,27.46,2.658412235979608,11.034231609613974,29.007238883143742,False,-7.6041,2.7453,1,2,1,50.0,20.16154085119603,20.16154085119603,17.341587764020396,2.658412235979608,历史1/2次成功; 当前距低点2.66%; 最新日涨幅-7.60%; 状态bottom_area; 底部未确认
73,61.29137953915918,51.4838692427988,001267,汇绿生态,bottom_area,2022-04-26,4.63,2022-04-26,4.61,0.43383947939261547,6.073752711496732,27.856025039123622,False,-3.7422,3.6848,1,2,1,50.0,20.930232558139547,20.930232558139547,19.566160520607387,0.43383947939261547,历史1/2次成功; 当前距低点0.43%; 最新日涨幅-3.74%; 状态bottom_area; 底部未确认
74,61.10055893315648,51.5607643184493,002326,永太科技,bottom_area,2022-04-26,22.03,2022-04-26,21.88,0.6855575868373041,10.05484460694698,31.086614173228348,False,-9.3416,7.5211,1,2,1,50.0,24.42922374429224,24.42922374429224,19.3144424131627,0.6855575868373041,历史1/2次成功; 当前距低点0.69%; 最新日涨幅-9.34%; 状态bottom_area; 底部未确认
75,60.93831325301205,50.78192771084338,002114,罗平锌电,bottom_area,2022-04-26,6.2,2022-04-26,6.2,0.0,7.5806451612903185,28.817451205510913,False,-10.0145,5.953,1,2,1,50.0,24.096385542168683,24.096385542168683,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-10.01%; 状态bottom_area; 底部未确认
76,60.89299792885159,50.92510037485805,000037,深南电A,bottom_area,2022-04-26,5.16,2022-04-26,5.15,0.19417475728154926,7.961165048543674,27.871148459383743,False,-5.3211,0.8084,1,3,1,33.33333333333333,34.43271767810025,34.43271767810025,19.805825242718452,0.19417475728154926,历史1/3次成功; 当前距低点0.19%; 最新日涨幅-5.32%; 状态bottom_area; 底部未确认
77,60.228869380759775,50.89709343141229,300752,隆利科技,bottom_area,2022-04-26,13.21,2022-04-26,13.11,0.7627765064836112,10.068649885583527,29.70509383378016,False,-5.8446,3.6192,1,2,1,50.0,21.807655194596325,21.807655194596325,19.23722349351639,0.7627765064836112,历史1/2次成功; 当前距低点0.76%; 最新日涨幅-5.84%; 状态bottom_area; 底部未确认
78,60.19652383745343,50.631398227688585,605162,新中港,bottom_area,2022-04-26,7.94,2022-04-26,7.9,0.5063291139240511,6.075949367088613,31.542461005199296,False,-2.934,2.0816,1,3,1,33.33333333333333,26.46502835538753,26.46502835538753,19.49367088607595,0.5063291139240511,历史1/3次成功; 当前距低点0.51%; 最新日涨幅-2.93%; 状态bottom_area; 底部未确认
79,60.062914072229134,50.05242839352428,000695,滨海能源,bottom_area,2022-04-26,7.35,2022-04-26,7.35,0.0,6.938775510204091,30.39772727272728,False,-5.0388,0.826,1,2,1,50.0,20.174346201743475,20.174346201743475,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-5.04%; 状态bottom_area; 底部未确认
80,59.458032511908144,49.960270533880916,300546,雄帝科技,bottom_area,2022-04-26,24.46,2022-04-26,24.35,0.45174537987679436,7.3100616016427,28.96732788798133,False,-3.6629,11.0539,1,4,1,25.0,33.791666666666664,33.791666666666664,19.548254620123206,0.45174537987679436,历史1/4次成功; 当前距低点0.45%; 最新日涨幅-3.66%; 状态bottom_area; 底部未确认
81,59.29370367920501,50.27558887450607,603208,江山欧派,bottom_area,2022-04-26,50.13,2022-04-26,49.66,0.946435763189702,6.121627064035454,27.503649635036503,False,-5.5932,1.1895,1,2,1,50.0,20.717539863325737,20.717539863325737,19.0535642368103,0.946435763189702,历史1/2次成功; 当前距低点0.95%; 最新日涨幅-5.59%; 状态bottom_area; 底部未确认
82,59.157689546341835,53.24730590709649,300658,延江股份,bottom_area,2022-04-26,7.91,2022-04-26,7.59,4.216073781291176,14.361001317523057,29.72222222222223,False,-2.706,2.5551,1,2,1,50.0,26.72018348623853,26.72018348623853,15.783926218708825,4.216073781291176,历史1/2次成功; 当前距低点4.22%; 最新日涨幅-2.71%; 状态bottom_area; 底部未确认
83,57.67325932175825,48.25527116285981,603113,金能科技,bottom_area,2022-04-26,9.11,2022-04-26,9.09,0.22002200220021534,5.3905390539053935,30.927051671732524,False,-6.2757,2.1641,1,3,1,33.33333333333333,20.395634379263292,20.395634379263292,19.779977997799786,0.22002200220021534,历史1/3次成功; 当前距低点0.22%; 最新日涨幅-6.28%; 状态bottom_area; 底部未确认
