rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.83238530666769,86.82083441845265,605136,丽人丽妆,bottom_area,2025-06-26,10.54,2025-06-26,10.27,2.629016553067182,4.67380720545278,29.318651066758434,False,0.7648,7.0042,4,4,4,100.0,23.62899010454739,52.667814113597245,7.370983446932819,2.629016553067182,历史4/4次成功; 当前距低点2.63%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
12,77.73310754533864,73.14403153990267,300871,回盛生物,bottom_area,2025-06-26,20.29,2025-06-23,19.93,1.8063221274460584,4.66633216256899,29.301170627882232,False,-1.5526,4.2058,1,1,1,100.0,12.486268766019775,12.486268766019775,8.193677872553943,1.8063221274460584,历史1/1次成功; 当前距低点1.81%; 最新日涨幅-1.55%; 状态bottom_area; 底部未确认
13,76.29862622827852,72.52135352687854,688114,华大智造,bottom_area,2025-06-26,63.55,2025-06-23,62.1,2.3349436392914584,5.024154589371976,28.20809248554913,False,-2.0499,1.5682,3,4,3,75.0,19.785080776683152,27.745919717688572,7.665056360708541,2.3349436392914584,历史3/4次成功; 当前距低点2.33%; 最新日涨幅-2.05%; 状态bottom_area; 底部未确认
14,76.23839036758227,73.33862884326138,600770,综艺股份,bottom_area,2025-06-26,5.21,2025-06-23,5.06,2.964426877470363,4.545454545454554,32.980132450331126,False,-0.9506,2.2972,1,1,1,100.0,27.72861356932153,27.72861356932153,7.035573122529637,2.964426877470363,历史1/1次成功; 当前距低点2.96%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
15,76.17729442970823,74.88615384615385,001230,劲旅环境,bottom_area,2025-06-26,20.3,2025-06-23,19.5,4.102564102564106,6.9230769230769305,30.629669156883672,False,-1.1203,6.2329,1,1,1,100.0,84.69119579500656,84.69119579500656,5.897435897435894,4.102564102564106,历史1/1次成功; 当前距低点4.10%; 最新日涨幅-1.12%; 状态bottom_area; 底部未确认
16,75.94225636679444,73.49022668788147,002811,郑中设计,bottom_area,2025-06-26,10.4,2025-06-23,10.07,3.277060575968223,5.56107249255214,31.728813559322035,False,-0.7634,2.4628,2,2,2,100.0,15.709273124134537,16.78832116788322,6.722939424031778,3.277060575968223,历史2/2次成功; 当前距低点3.28%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
17,75.58655175731793,72.60483373927778,603681,永冠新材,bottom_area,2025-06-26,14.61,2025-06-20,14.2,2.887323943661973,5.492957746478881,29.000000000000004,False,-0.8147,3.5774,1,1,1,100.0,22.83834586466165,22.83834586466165,7.112676056338027,2.887323943661973,历史1/1次成功; 当前距低点2.89%; 最新日涨幅-0.81%; 状态bottom_area; 底部未确认
18,75.34401904495168,74.38054054054054,301260,格力博,bottom_area,2025-06-26,19.3,2025-06-23,18.5,4.324324324324328,5.999999999999997,29.3353705118411,False,-0.924,2.941,1,1,1,100.0,58.71313672922254,58.71313672922254,5.675675675675673,4.324324324324328,历史1/1次成功; 当前距低点4.32%; 最新日涨幅-0.92%; 状态bottom_area; 底部未确认
19,75.33682863813725,69.58592568866112,600980,北矿科技,bottom_area,2025-06-26,21.78,2025-06-20,21.6,0.8333333333333319,4.675925925925917,28.66578599735799,False,-1.5816,9.4414,1,1,1,100.0,21.268417680973737,21.268417680973737,9.16666666666667,0.8333333333333319,历史1/1次成功; 当前距低点0.83%; 最新日涨幅-1.58%; 状态bottom_area; 底部未确认
20,74.74727380471177,73.50337060977708,000999,华润三九,bottom_area,2025-06-26,31.85,2025-06-23,30.59,4.118993135011447,4.347826086956528,29.645814167433297,False,0.315,0.4035,1,1,1,100.0,20.293951384963254,20.293951384963254,5.881006864988554,4.118993135011447,历史1/1次成功; 当前距低点4.12%; 最新日涨幅0.32%; 状态bottom_area; 底部未确认
21,73.55025286168245,68.04480920761202,603139,康惠股份,bottom_area,2025-06-26,20.9,2025-06-20,20.71,0.9174311926605394,5.5528730082085875,31.42384105960264,False,-0.5709,2.9326,3,4,3,75.0,18.180388854183054,29.315476190476186,9.082568807339461,0.9174311926605394,历史3/4次成功; 当前距低点0.92%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
22,72.44492105279777,71.2859772508665,300640,德艺文创,bottom_area,2025-06-26,6.52,2025-06-23,6.26,4.153354632587856,6.230031948881798,27.880184331797235,False,-0.3058,6.8301,2,2,2,100.0,14.600138780466654,17.724867724867735,5.846645367412145,4.153354632587856,历史2/2次成功; 当前距低点4.15%; 最新日涨幅-0.31%; 状态bottom_area; 底部未确认
23,72.32872845880553,69.57837892536818,002172,澳洋健康,bottom_area,2025-06-26,3.82,2025-06-23,3.71,2.9649595687331503,7.277628032345014,27.11198428290766,True,-0.7792,5.8364,4,6,4,66.66666666666666,20.54741976028543,29.824561403508774,7.035040431266851,2.9649595687331503,历史4/6次成功; 当前距低点2.96%; 最新日涨幅-0.78%; 状态bottom_area; 底部已确认
24,71.14700498115793,70.48776687370601,000605,渤海股份,bottom_area,2025-06-26,6.95,2025-06-20,6.65,4.5112781954887184,6.46616541353383,29.25531914893617,False,-0.5722,2.6305,3,4,3,75.0,35.52946859903381,56.66666666666668,5.4887218045112816,4.5112781954887184,历史3/4次成功; 当前距低点4.51%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
25,67.93962099305247,67.80686658558069,003025,思进智能,bottom_area,2025-06-26,13.28,2025-06-23,12.66,4.897314375987356,6.161137440758289,27.98634812286689,False,-0.8955,1.3884,1,1,1,100.0,21.681415929203535,21.681415929203535,5.102685624012645,4.897314375987356,历史1/1次成功; 当前距低点4.90%; 最新日涨幅-0.90%; 状态bottom_area; 底部未确认
26,66.37564944604847,65.18980780377123,300346,南大光电,bottom_area,2025-06-26,31.06,2025-06-13,29.85,4.053601340033492,5.862646566164154,27.513355998057303,False,-1.0198,2.2795,2,3,2,66.66666666666666,36.15780748591896,46.69811320754715,5.946398659966509,4.053601340033492,历史2/3次成功; 当前距低点4.05%; 最新日涨幅-1.02%; 状态bottom_area; 底部未确认
27,65.81811507557086,62.34707726478719,603011,合锻智能,bottom_area,2025-06-26,15.16,2025-06-20,14.84,2.156334231805932,7.614555256064695,28.170377541142305,True,-2.0672,8.0694,1,2,1,50.0,41.201716738197426,41.201716738197426,7.843665768194069,2.156334231805932,历史1/2次成功; 当前距低点2.16%; 最新日涨幅-2.07%; 状态bottom_area; 底部已确认
28,65.11305099520095,63.84094363132944,002615,哈尔斯,bottom_area,2025-06-26,8.13,2025-06-23,7.82,3.964194373401541,5.1150895140665,30.673758865248217,False,-0.4896,10.048,2,3,2,66.66666666666666,27.80989320439935,28.84012539184954,6.035805626598459,3.964194373401541,历史2/3次成功; 当前距低点3.96%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
29,61.47914105137832,56.387074608395494,688059,华锐精密,bottom_area,2025-06-26,45.49,2025-06-26,45.28,0.4637809187279171,4.350706713780916,31.87904317737325,False,-0.8932,2.0916,2,5,2,40.0,25.7768553929846,38.29213483146067,9.536219081272083,0.4637809187279171,历史2/5次成功; 当前距低点0.46%; 最新日涨幅-0.89%; 状态bottom_area; 底部未确认
30,60.905186690443074,56.02081001641408,001282,三联锻造,bottom_area,2025-06-26,19.67,2025-06-26,19.55,0.6138107416879846,2.3529411764705923,30.62455642299503,False,-1.0065,5.2548,1,2,1,50.0,37.31343283582089,37.31343283582089,9.386189258312017,0.6138107416879846,历史1/2次成功; 当前距低点0.61%; 最新日涨幅-1.01%; 状态bottom_area; 底部未确认
