rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
13,83.8490019007426,82.51260148406811,600973,宝胜股份,bottom_area,2024-07-22,3.26,2024-07-18,3.16,3.164556962025305,4.113924050632908,31.749460043196542,False,0.3077,0.438,2,2,2,100.0,40.36446966390223,46.551724137931025,4.835443037974695,3.164556962025305,历史2/2次成功; 当前距低点3.16%; 最新日涨幅0.31%; 状态bottom_area; 底部未确认
14,83.63177261104104,83.8714051973191,603229,奥翔药业,bottom_area,2024-07-22,7.28,2024-07-17,6.99,4.148783977110158,4.864091559370527,32.52895752895753,False,0.6916,0.5423,4,4,4,100.0,26.40125088779702,43.052109181141425,3.8512160228898424,4.148783977110158,历史4/4次成功; 当前距低点4.15%; 最新日涨幅0.69%; 状态bottom_area; 底部未确认
15,83.52236603891008,78.56064132372731,603113,金能科技,bottom_area,2024-07-22,4.94,2024-07-22,4.9,0.8163265306122455,3.061224489795907,32.32044198895027,False,-1.5936,1.1403,5,5,5,100.0,19.31110652431836,31.03448275862069,7.183673469387755,0.8163265306122455,历史5/5次成功; 当前距低点0.82%; 最新日涨幅-1.59%; 状态bottom_area; 底部未确认
16,83.34855825561439,81.17906435057242,605099,共创草坪,confirmed_rebound,2024-07-22,18.35,2024-07-09,17.88,2.6286353467561656,9.060402684563766,28.96305125148988,True,0.1091,0.0693,1,1,1,100.0,44.31372549019606,44.31372549019606,5.371364653243835,2.6286353467561656,历史1/1次成功; 当前距低点2.63%; 最新日涨幅0.11%; 状态confirmed_rebound; 底部已确认
17,83.14950796580644,81.81139666568346,002346,柘中股份,bottom_area,2024-07-22,7.19,2024-07-18,6.97,3.1563845050215305,3.4433285509325713,29.381965552178315,False,0.8415,0.2183,3,3,3,100.0,19.827706113615825,34.89010989010989,4.8436154949784695,3.1563845050215305,历史3/3次成功; 当前距低点3.16%; 最新日涨幅0.84%; 状态bottom_area; 底部未确认
18,83.1062843941144,79.65757976431803,600186,莲花控股,confirmed_rebound,2024-07-22,3.4,2024-06-24,3.34,1.7964071856287442,8.083832335329342,27.074235807860266,True,-1.4493,1.3346,2,2,2,100.0,31.7386459545783,53.49544072948328,6.203592814371256,1.7964071856287442,历史2/2次成功; 当前距低点1.80%; 最新日涨幅-1.45%; 状态confirmed_rebound; 底部已确认
19,82.24875164455445,79.18917007353161,002044,美年健康,bottom_area,2024-07-22,3.52,2024-07-17,3.45,2.028985507246372,4.057971014492744,29.447852760736186,False,-1.1236,0.5878,3,3,3,100.0,14.383102312114746,18.108108108108105,5.9710144927536275,2.028985507246372,历史3/3次成功; 当前距低点2.03%; 最新日涨幅-1.12%; 状态bottom_area; 底部未确认
20,81.84783079478842,80.49184669762954,601666,平煤股份,bottom_area,2024-07-22,10.21,2024-07-22,9.9,3.1313131313131364,4.141414141414143,27.47252747252747,False,-1.1617,1.0813,4,4,4,100.0,18.23247654313697,27.30923694779115,4.868686868686864,3.1313131313131364,历史4/4次成功; 当前距低点3.13%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
21,81.28946821750286,80.97999054662407,603209,兴通股份,bottom_area,2024-07-22,12.56,2024-07-18,12.1,3.801652892561991,4.132231404958678,27.674835624626425,False,0.641,0.5136,3,3,3,100.0,23.267522267018258,26.115859449192786,4.19834710743801,3.801652892561991,历史3/3次成功; 当前距低点3.80%; 最新日涨幅0.64%; 状态bottom_area; 底部未确认
22,80.75799221475435,80.89485359848592,002853,皮阿诺,bottom_area,2024-07-22,6.62,2024-07-18,6.36,4.088050314465405,4.716981132075468,31.019522776572668,False,0.761,2.2886,4,4,4,100.0,9.653808147672265,10.012836970474972,3.911949685534595,4.088050314465405,历史4/4次成功; 当前距低点4.09%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
23,80.16559594263687,75.00318549523148,002043,兔宝宝,bottom_area,2024-07-22,9.31,2024-07-22,9.26,0.5399568034557313,2.3758099352051905,28.76923076923077,False,-1.4815,1.1683,3,3,3,100.0,13.463908640379232,15.96638655462185,7.4600431965442695,0.5399568034557313,历史3/3次成功; 当前距低点0.54%; 最新日涨幅-1.48%; 状态bottom_area; 底部未确认
24,80.12483629119077,79.88813071869096,603060,国检集团,confirmed_rebound,2024-07-22,5.67,2024-07-09,5.46,3.846153846153846,9.157509157509157,31.835205992509362,True,0.354,0.1298,3,3,3,100.0,18.964309074848,36.2098138747885,4.153846153846154,3.846153846153846,历史3/3次成功; 当前距低点3.85%; 最新日涨幅0.35%; 状态confirmed_rebound; 底部已确认
25,79.91520011663707,75.90277994575187,600389,江山股份,bottom_area,2024-07-22,13.03,2024-07-18,12.86,1.3219284603421457,4.276827371695185,29.726775956284158,False,-0.7616,0.718,1,1,1,100.0,21.380520620064356,21.380520620064356,6.678071539657854,1.3219284603421457,历史1/1次成功; 当前距低点1.32%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
26,79.69823406066892,77.41729483683183,603282,亚光股份,bottom_area,2024-07-22,15.64,2024-07-09,15.26,2.490170380078642,7.7326343381389355,27.848699763593377,True,-0.6984,0.4448,1,1,1,100.0,34.64991023339317,34.64991023339317,5.509829619921359,2.490170380078642,历史1/1次成功; 当前距低点2.49%; 最新日涨幅-0.70%; 状态bottom_area; 底部已确认
27,79.03830267839882,76.88280961224024,001218,丽臣实业,bottom_area,2024-07-22,14.41,2024-07-18,14.05,2.56227758007117,3.70106761565836,29.040404040404038,False,-0.7576,0.8391,2,2,2,100.0,25.18711018711019,29.999999999999993,5.437722419928829,2.56227758007117,历史2/2次成功; 当前距低点2.56%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
28,78.73728894606411,78.02794400060408,000789,万年青,bottom_area,2024-07-22,4.4,2024-07-09,4.25,3.5294117647058907,7.2941176470588145,29.752066115702476,True,-0.6772,0.4849,2,2,2,100.0,34.00539152759949,47.599999999999994,4.47058823529411,3.5294117647058907,历史2/2次成功; 当前距低点3.53%; 最新日涨幅-0.68%; 状态bottom_area; 底部已确认
29,78.65519675512269,77.81238329238332,603012,创力集团,bottom_area,2024-07-22,4.21,2024-07-09,4.07,3.4398034398034314,6.633906633906624,27.19141323792486,False,1.2019,0.8485,1,1,1,100.0,35.13513513513512,35.13513513513512,4.560196560196569,3.4398034398034314,历史1/1次成功; 当前距低点3.44%; 最新日涨幅1.20%; 状态bottom_area; 底部未确认
30,78.51382652682409,75.14608553908252,600970,中材国际,bottom_area,2024-07-22,10.05,2024-07-12,9.88,1.7206477732793515,6.983805668016188,27.03101920236336,False,-0.9852,0.4622,1,1,1,100.0,22.19979818365287,22.19979818365287,6.279352226720649,1.7206477732793515,历史1/1次成功; 当前距低点1.72%; 最新日涨幅-0.99%; 状态bottom_area; 底部未确认
31,78.33320815072383,73.87402988719468,601717,中创智领,bottom_area,2024-07-22,12.71,2024-07-22,12.59,0.9531374106433756,2.0651310563939616,30.44198895027625,False,-1.1664,1.3809,2,2,2,100.0,29.124640771298786,35.43478260869567,7.046862589356624,0.9531374106433756,历史2/2次成功; 当前距低点0.95%; 最新日涨幅-1.17%; 状态bottom_area; 底部未确认
32,78.2800743743281,74.33172675601199,600997,开滦股份,bottom_area,2024-07-22,6.19,2024-07-22,6.11,1.3093289689034382,2.1276595744680833,28.117647058823525,False,-1.1182,0.4507,1,1,1,100.0,12.77955271565495,12.77955271565495,6.690671031096562,1.3093289689034382,历史1/1次成功; 当前距低点1.31%; 最新日涨幅-1.12%; 状态bottom_area; 底部未确认
33,78.05726633736657,75.7252542077849,603036,如通股份,bottom_area,2024-07-22,9.3,2024-07-18,9.08,2.422907488986791,3.6343612334801767,29.062500000000004,False,0.2155,0.547,1,1,1,100.0,11.448834853090181,11.448834853090181,5.57709251101321,2.422907488986791,历史1/1次成功; 当前距低点2.42%; 最新日涨幅0.22%; 状态bottom_area; 底部未确认
34,77.89853774283074,75.14328399629974,000629,钒钛股份,bottom_area,2024-07-22,2.4,2024-07-18,2.35,2.1276595744680775,3.8297872340425467,28.78787878787878,False,-0.4149,0.3564,1,1,1,100.0,27.173913043478265,27.173913043478265,5.872340425531923,2.1276595744680775,历史1/1次成功; 当前距低点2.13%; 最新日涨幅-0.41%; 状态bottom_area; 底部未确认
35,77.5474748072805,77.15516043220151,605337,李子园,confirmed_rebound,2024-07-22,9.44,2024-07-09,9.1,3.736263736263735,8.35164835164835,31.00833965125095,True,-0.7361,0.3619,3,3,3,100.0,25.39699866066034,37.98882681564246,4.2637362637362655,3.736263736263735,历史3/3次成功; 当前距低点3.74%; 最新日涨幅-0.74%; 状态confirmed_rebound; 底部已确认
36,77.18761643879787,75.15642263456192,603320,迪贝电气,bottom_area,2024-07-22,13.35,2024-07-18,13.01,2.6133743274404297,6.072252113758654,28.516483516483515,False,-0.5216,3.0271,2,2,2,100.0,16.531806995301665,23.71541501976285,5.38662567255957,2.6133743274404297,历史2/2次成功; 当前距低点2.61%; 最新日涨幅-0.52%; 状态bottom_area; 底部未确认
37,77.06561946888417,73.88587347384536,002557,洽洽食品,bottom_area,2024-07-22,27.01,2024-07-09,26.53,1.8092725216735785,5.767056162834518,31.001300390117038,False,-2.8417,1.536,1,1,1,100.0,16.510832383124292,16.510832383124292,6.190727478326422,1.8092725216735785,历史1/1次成功; 当前距低点1.81%; 最新日涨幅-2.84%; 状态bottom_area; 底部未确认
