rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
28,79.09936675656162,79.1942137208815,688023,安恒信息,bottom_area,2025-04-02,52.77,2025-03-31,50.71,4.062315125221854,6.487872214553341,29.451864218141345,False,-0.5653,1.3223,4,4,4,100.0,22.668237668749086,39.261744966442954,3.937684874778146,4.062315125221854,历史4/4次成功; 当前距低点4.06%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
29,78.83764407884772,75.47443216080403,600579,中化装备,bottom_area,2025-04-02,7.63,2025-04-01,7.5,1.7333333333333318,6.666666666666667,27.466150870406185,False,-2.0539,3.1975,1,1,1,100.0,24.120603015075385,24.120603015075385,6.2666666666666675,1.7333333333333318,历史1/1次成功; 当前距低点1.73%; 最新日涨幅-2.05%; 状态bottom_area; 底部未确认
30,78.80674743990822,79.94512461894826,605069,正和生态,bottom_area,2025-04-02,9.27,2025-04-02,8.85,4.745762711864407,6.666666666666665,31.448489542989932,False,2.7716,25.5507,5,5,5,100.0,12.610019365586558,18.036809815950903,3.2542372881355934,4.745762711864407,历史5/5次成功; 当前距低点4.75%; 最新日涨幅2.77%; 状态bottom_area; 底部未确认
31,78.7445372568976,78.98720147032408,002279,久其软件,bottom_area,2025-04-02,6.51,2025-03-31,6.25,4.159999999999997,6.079999999999998,28.977272727272734,False,0.6182,1.8595,3,3,3,100.0,16.94624446410791,25.915492957746476,3.840000000000004,4.159999999999997,历史3/3次成功; 当前距低点4.16%; 最新日涨幅0.62%; 状态bottom_area; 底部未确认
32,78.53047670672993,77.78669950035204,002342,巨力索具,bottom_area,2025-04-02,5.02,2025-04-02,4.85,3.5051546391752564,7.628865979381446,29.093567251461995,False,-6.8646,23.5065,4,4,4,100.0,18.48630149285812,33.45454545454545,4.494845360824744,3.5051546391752564,历史4/4次成功; 当前距低点3.51%; 最新日涨幅-6.86%; 状态bottom_area; 底部未确认
33,78.13301933831724,76.94166453265042,002401,中远海科,bottom_area,2025-04-02,16.12,2025-03-31,15.62,3.201024327784903,5.953905249679908,28.414298808432637,False,-0.1858,2.2922,1,1,1,100.0,68.49925705794946,68.49925705794946,4.798975672215097,3.201024327784903,历史1/1次成功; 当前距低点3.20%; 最新日涨幅-0.19%; 状态bottom_area; 底部未确认
34,78.00141170725121,78.84169822783736,300746,汉嘉数智,bottom_area,2025-04-02,12.16,2025-03-31,11.63,4.557179707652616,5.4170249355115985,27.584059775840586,False,1.5025,1.6352,3,3,3,100.0,21.03262344777049,36.90896259703598,3.442820292347384,4.557179707652616,历史3/3次成功; 当前距低点4.56%; 最新日涨幅1.50%; 状态bottom_area; 底部未确认
35,77.55117324379398,76.56326020884117,002682,龙洲股份,confirmed_rebound,2025-04-02,4.34,2025-04-01,4.2,3.3333333333333255,16.66666666666667,29.76588628762542,True,-7.265,10.8751,3,3,3,100.0,27.49064628409217,42.121212121212146,4.666666666666675,3.3333333333333255,历史3/3次成功; 当前距低点3.33%; 最新日涨幅-7.26%; 状态confirmed_rebound; 底部已确认
36,76.93293402161844,75.55518165024631,603280,南方路机,bottom_area,2025-04-02,23.91,2025-03-31,23.2,3.0603448275862104,5.6896551724137945,28.240024744819053,False,0.3357,13.5804,1,1,1,100.0,18.348214285714302,18.348214285714302,4.93965517241379,3.0603448275862104,历史1/1次成功; 当前距低点3.06%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
37,75.9722155715582,76.03386465100496,300676,华大基因,bottom_area,2025-04-02,53.28,2025-03-31,51.21,4.042179261862918,6.22925209919937,27.155049786628734,False,0.6993,0.9139,2,2,2,100.0,16.290501978776426,23.258538343696497,3.957820738137082,4.042179261862918,历史2/2次成功; 当前距低点4.04%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
