rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,102.2071378290655,90.69908223380814,002246,北化股份,bottom_area,2025-01-13,9.3,2025-01-06,9.2,1.086956521739146,4.347826086956526,27.38752959747435,False,0.7584,2.047,4,4,4,100.0,25.577113458996685,31.992687385740403,13.913043478260853,1.086956521739146,历史4/4次成功; 当前距低点1.09%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
12,82.99811904910202,77.40534093819879,605208,永茂泰,bottom_area,2025-01-13,7.19,2025-01-13,6.93,3.7518037518037617,5.6277056277056365,29.501525940996952,False,-2.1769,6.2174,3,3,3,100.0,25.911040281243864,46.887631366208595,11.248196248196237,3.7518037518037617,历史3/3次成功; 当前距低点3.75%; 最新日涨幅-2.18%; 状态bottom_area; 底部未确认
13,82.93499188257786,77.20637764393344,688197,首药控股,bottom_area,2025-01-13,28.08,2025-01-13,27.09,3.6544850498338812,4.724990771502403,27.216550241805482,False,2.407,0.6497,2,2,2,100.0,17.841954610509095,19.863013698630137,11.34551495016612,3.6544850498338812,历史2/2次成功; 当前距低点3.65%; 最新日涨幅2.41%; 状态bottom_area; 底部未确认
14,82.1724448444023,76.65590593190595,300456,赛微电子,bottom_area,2025-01-13,15.98,2025-01-13,15.4,3.766233766233767,3.896103896103894,30.94170403587444,False,0.8838,1.6353,1,1,1,100.0,32.91891891891892,32.91891891891892,11.233766233766232,3.766233766233767,历史1/1次成功; 当前距低点3.77%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
15,81.90485596259431,77.28218816386641,600185,珠免集团,bottom_area,2025-01-13,5.96,2025-01-13,5.71,4.378283712784588,4.5534150612959685,27.53807106598985,False,0.5059,1.5915,2,2,2,100.0,27.12190875814659,38.80903490759753,10.62171628721541,4.378283712784588,历史2/2次成功; 当前距低点4.38%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
16,81.87193845807555,75.41430624654505,300450,先导智能,bottom_area,2025-01-13,18.37,2025-01-13,17.82,3.0864197530864237,4.657687991021315,27.235606369946915,False,0.768,1.0617,1,1,1,100.0,17.91044776119403,17.91044776119403,11.913580246913575,3.0864197530864237,历史1/1次成功; 当前距低点3.09%; 最新日涨幅0.77%; 状态bottom_area; 底部未确认
17,81.3669997757719,76.08836916495325,300393,中来股份,bottom_area,2025-01-13,5.6,2025-01-13,5.39,3.896103896103896,4.823747680890551,29.357798165137616,False,0.7194,1.3461,4,5,4,80.0,24.792935742312604,36.516853932584276,11.103896103896103,3.896103896103896,历史4/5次成功; 当前距低点3.90%; 最新日涨幅0.72%; 状态bottom_area; 底部未确认
18,81.1676799282419,73.32905663299113,002459,晶澳科技,bottom_area,2025-01-13,12.47,2025-01-13,12.22,2.0458265139116203,3.1096563011456544,30.882352941176467,False,-0.24,1.3063,3,4,3,75.0,20.58355421886888,26.683937823834192,12.95417348608838,2.0458265139116203,历史3/4次成功; 当前距低点2.05%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
19,80.82419009590075,73.33626681357417,002641,公元股份,bottom_area,2025-01-13,4.04,2025-01-13,3.95,2.278481012658224,3.5443037974683462,28.44202898550724,False,-0.2469,0.7708,3,4,3,75.0,23.4742124862093,38.33780160857909,12.721518987341776,2.278481012658224,历史3/4次成功; 当前距低点2.28%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
20,80.2619321826063,75.25062948621806,000926,福星股份,bottom_area,2025-01-13,2.32,2025-01-13,2.23,4.035874439461877,4.48430493273543,30.312500000000004,False,0.4329,1.8302,1,1,1,100.0,28.668941979522177,28.668941979522177,10.964125560538122,4.035874439461877,历史1/1次成功; 当前距低点4.04%; 最新日涨幅0.43%; 状态bottom_area; 底部未确认
21,80.15440306704622,75.86630742971452,688310,迈得医疗,bottom_area,2025-01-13,10.35,2025-01-06,9.9,4.545454545454538,6.3636363636363535,27.631578947368418,False,1.5702,0.5129,2,2,2,100.0,21.558837598660606,23.648648648648653,10.45454545454546,4.545454545454538,历史2/2次成功; 当前距低点4.55%; 最新日涨幅1.57%; 状态bottom_area; 底部未确认
