rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.9760941176471,79.12470588235297,600708,光明地产,bottom_area,2025-12-18,3.15,2025-12-17,3.06,2.9411764705882306,3.921568627450984,27.65957446808511,False,0.9615,0.6387,1,1,1,100.0,36.07843137254903,36.07843137254903,17.05882352941177,2.9411764705882306,历史1/1次成功; 当前距低点2.94%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
25,71.41003937274508,62.816957263155395,688005,容百科技,bottom_area,2025-12-18,27.15,2025-12-16,26.37,2.9579067121729143,5.536594615092898,28.864310763420555,False,-1.6304,2.0435,3,6,3,50.0,29.41389552101958,38.76758854924795,17.042093287827086,2.9579067121729143,历史3/6次成功; 当前距低点2.96%; 最新日涨幅-1.63%; 状态bottom_area; 底部未确认
26,70.946917156077,61.65860209664632,002184,海得控制,bottom_area,2025-12-18,12.48,2025-12-17,12.2,2.2950819672131244,3.688524590163943,29.357266936884773,False,-0.6369,2.2058,2,5,2,40.0,36.72789775210886,50.27203482045704,17.704918032786875,2.2950819672131244,历史2/5次成功; 当前距低点2.30%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
27,70.74988962468315,59.014828096324145,002317,众生药业,bottom_area,2025-12-18,19.12,2025-12-18,19.11,0.05232862375720336,3.5060177917320865,29.74264705882353,False,-3.2389,6.1647,2,5,2,40.0,45.076007303712714,58.31999999999999,19.9476713762428,0.05232862375720336,历史2/5次成功; 当前距低点0.05%; 最新日涨幅-3.24%; 状态bottom_area; 底部未确认
28,69.457368287846,60.403408377093015,002176,江特电机,bottom_area,2025-12-18,9.22,2025-12-16,9.01,2.3307436182020074,4.994450610432864,29.99222999222999,False,-2.2269,2.9905,2,5,2,40.0,30.416687239750484,39.01808785529715,17.669256381797993,2.3307436182020074,历史2/5次成功; 当前距低点2.33%; 最新日涨幅-2.23%; 状态bottom_area; 底部未确认
29,68.76450428764855,58.79568561872909,600375,汉马科技,bottom_area,2025-12-18,5.78,2025-12-17,5.7,1.4035087719298258,2.8070175438596516,28.571428571428577,False,-0.6873,1.1991,1,2,1,50.0,22.073578595317713,22.073578595317713,18.596491228070175,1.4035087719298258,历史1/2次成功; 当前距低点1.40%; 最新日涨幅-0.69%; 状态bottom_area; 底部未确认
30,68.58835922057288,60.02599234264609,000665,湖北广电,bottom_area,2025-12-18,5.37,2025-12-17,5.23,2.6768642447418673,4.3977055449330695,27.46185852981969,False,0.5618,1.6788,2,7,2,28.57142857142857,34.919124227805554,43.606557377049185,17.323135755258136,2.6768642447418673,历史2/7次成功; 当前距低点2.68%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
31,68.55767407805203,57.262457702314585,603322,超讯通信,bottom_area,2025-12-18,40.05,2025-12-18,40.0,0.1249999999999929,3.000000000000007,27.68034713433376,False,-4.8241,9.7395,3,7,3,42.857142857142854,30.354995327344025,39.45833333333333,19.87500000000001,0.1249999999999929,历史3/7次成功; 当前距低点0.12%; 最新日涨幅-4.82%; 状态bottom_area; 底部未确认
32,67.52006862357418,59.15511867610839,001282,三联锻造,bottom_area,2025-12-18,19.9,2025-12-17,19.37,2.7361899845121194,4.078471863706758,27.992565055762075,False,0.2014,2.8543,1,3,1,33.33333333333333,37.31343283582089,37.31343283582089,17.26381001548788,2.7361899845121194,历史1/3次成功; 当前距低点2.74%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
33,67.27436704283096,58.310741700518285,002453,华软科技,bottom_area,2025-12-18,6.18,2025-12-17,6.05,2.1487603305785106,6.115702479338845,28.31753554502369,False,-0.8026,3.1956,1,2,1,50.0,28.60169491525425,28.60169491525425,17.85123966942149,2.1487603305785106,历史1/2次成功; 当前距低点2.15%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
34,67.07594998780287,58.581615709871514,002679,福建金森,bottom_area,2025-12-18,12.0,2025-12-18,11.7,2.56410256410257,3.931623931623939,28.308823529411768,False,0.7557,4.1561,1,4,1,25.0,33.50951374207188,33.50951374207188,17.43589743589743,2.56410256410257,历史1/4次成功; 当前距低点2.56%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
35,66.90027437297535,57.75650731945344,300681,英搏尔,bottom_area,2025-12-18,23.75,2025-12-17,23.3,1.9313304721030013,4.206008583690989,28.593319031566043,False,-1.1241,3.1262,2,6,2,33.33333333333333,25.734448723198668,27.487589035182385,18.068669527897,1.9313304721030013,历史2/6次成功; 当前距低点1.93%; 最新日涨幅-1.12%; 状态bottom_area; 底部未确认
