rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.80071711642282,86.94781577106129,002551,尚荣医疗,bottom_area,2024-06-04,2.58,2024-06-04,2.55,1.176470588235304,2.745098039215698,27.142857142857146,False,-1.5267,2.12,4,4,4,100.0,28.9794016786977,52.61780104712043,6.823529411764697,1.176470588235304,历史4/4次成功; 当前距低点1.18%; 最新日涨幅-1.53%; 状态bottom_area; 底部未确认
12,78.68075062903618,76.83667053616817,000679,大连友谊,confirmed_rebound,2024-06-04,2.6,2024-06-04,2.53,2.7667984189723436,11.067193675889339,27.507163323782247,False,-7.4733,3.8706,6,6,6,100.0,14.54285447002747,24.94061757719715,5.233201581027656,2.7667984189723436,历史6/6次成功; 当前距低点2.77%; 最新日涨幅-7.47%; 状态confirmed_rebound; 底部未确认
13,78.37007391961296,77.30046902024729,605108,同庆楼,bottom_area,2024-06-04,25.15,2024-05-31,24.35,3.28542094455851,3.4496919917864464,29.725829725829715,False,0.2791,0.5328,2,2,2,100.0,13.82381061204675,17.52165223184544,4.71457905544149,3.28542094455851,历史2/2次成功; 当前距低点3.29%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
14,77.9137000708832,74.45782792247253,688357,建龙微纳,bottom_area,2024-06-04,26.63,2024-06-04,26.2,1.6412213740458006,5.038167938931299,29.871520342612424,False,-3.2692,1.4041,4,5,4,80.0,21.074261587618047,31.65083135391925,6.3587786259542,1.6412213740458006,历史4/5次成功; 当前距低点1.64%; 最新日涨幅-3.27%; 状态bottom_area; 底部未确认
15,77.625,71.875,002269,美邦服饰,bottom_area,2024-06-04,1.19,2024-06-04,1.19,0.0,0.0,30.813953488372096,False,-9.8485,0.4933,3,4,3,75.0,67.6633252638804,173.50993377483442,8.0,0.0,历史3/4次成功; 当前距低点0.00%; 最新日涨幅-9.85%; 状态bottom_area; 底部未确认
16,77.38604989498776,74.13691884308224,000886,海南高速,bottom_area,2024-06-04,4.6,2024-06-04,4.52,1.7699115044247804,1.9911504424778927,27.447833065810606,False,-0.4329,1.8052,1,1,1,100.0,17.378048780487816,17.378048780487816,6.23008849557522,1.7699115044247804,历史1/1次成功; 当前距低点1.77%; 最新日涨幅-0.43%; 状态bottom_area; 底部未确认
17,77.26924463067773,71.54559688025715,002374,中锐股份,bottom_area,2024-06-04,1.91,2024-06-04,1.91,0.0,0.0,29.520295202952028,False,-9.9057,0.9226,3,3,3,100.0,10.729015485253505,12.068965517241388,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-9.91%; 状态bottom_area; 底部未确认
18,76.88019516819878,73.77780943688244,300683,海特生物,bottom_area,2024-06-04,23.02,2024-06-04,22.6,1.8584070796460093,3.4513274336283075,27.610506085842403,False,-0.6903,0.8634,1,1,1,100.0,16.532137518684582,16.532137518684582,6.1415929203539905,1.8584070796460093,历史1/1次成功; 当前距低点1.86%; 最新日涨幅-0.69%; 状态bottom_area; 底部未确认
19,76.76493708930232,74.29943805170241,002329,皇氏集团,bottom_area,2024-06-04,3.11,2024-06-04,3.04,2.3026315789473633,7.565789473684211,28.971962616822434,False,-5.1829,4.7022,2,2,2,100.0,18.330312105926858,27.644230769230756,5.697368421052637,2.3026315789473633,历史2/2次成功; 当前距低点2.30%; 最新日涨幅-5.18%; 状态bottom_area; 底部未确认
20,75.86847337662029,74.955965964874,002285,世联行,bottom_area,2024-06-04,1.84,2024-06-04,1.78,3.3707865168539355,5.056179775280904,30.73929961089494,False,0.0,2.5494,1,1,1,100.0,18.932038834951463,18.932038834951463,4.6292134831460645,3.3707865168539355,历史1/1次成功; 当前距低点3.37%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
21,75.82981430160713,74.55965401607239,002670,国盛证券,bottom_area,2024-06-04,9.58,2024-06-03,9.29,3.1216361679225075,3.3369214208826747,30.671641791044784,False,1.2685,1.8305,1,1,1,100.0,13.747228381374727,13.747228381374727,4.8783638320774925,3.1216361679225075,历史1/1次成功; 当前距低点3.12%; 最新日涨幅1.27%; 状态bottom_area; 底部未确认
22,75.16441638410909,69.59668183713804,002742,三圣股份,bottom_area,2024-06-04,1.4,2024-06-04,1.4,0.0,0.0,29.292929292929298,False,-4.7619,0.2222,2,2,2,100.0,16.91764428568838,24.809160305343507,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-4.76%; 状态bottom_area; 底部未确认
23,74.63116797239863,72.68906874221906,688205,德科立,bottom_area,2024-06-04,31.23,2024-06-04,30.43,2.628984554715743,5.718041406506743,29.034514925373138,False,-2.922,3.7483,1,1,1,100.0,20.12448132780082,20.12448132780082,5.371015445284257,2.628984554715743,历史1/1次成功; 当前距低点2.63%; 最新日涨幅-2.92%; 状态bottom_area; 底部未确认
24,74.59598386117878,69.07035542701739,002607,中公教育,bottom_area,2024-06-04,1.91,2024-06-04,1.91,0.0,0.0,32.74647887323944,False,-9.9057,1.0093,6,7,6,85.71428571428571,11.706980022366963,18.337408312958438,8.0,0.0,历史6/7次成功; 当前距低点0.00%; 最新日涨幅-9.91%; 状态bottom_area; 底部未确认
25,68.28038866848208,64.04287237312829,688236,春立医疗,bottom_area,2024-06-04,16.54,2024-06-04,16.43,0.6695069993913538,4.077906269020096,31.541666666666668,False,-3.7813,5.3433,2,3,2,66.66666666666666,38.562804650935014,48.33672776646301,7.330493000608647,0.6695069993913538,历史2/3次成功; 当前距低点0.67%; 最新日涨幅-3.78%; 状态bottom_area; 底部未确认
26,65.0820293008564,65.92969683154774,000882,华联股份,confirmed_rebound,2024-06-04,1.12,2024-06-04,1.07,4.672897196261686,8.411214953271013,29.13907284768212,False,-5.8824,4.6284,1,1,1,100.0,29.268292682926838,29.268292682926838,3.3271028037383146,4.672897196261686,历史1/1次成功; 当前距低点4.67%; 最新日涨幅-5.88%; 状态confirmed_rebound; 底部未确认
27,60.788410804091626,59.704056056259034,000514,渝开发,bottom_area,2024-06-04,3.7,2024-06-04,3.59,3.064066852367697,5.013927576601676,28.62823061630219,False,0.0,5.3625,1,2,1,50.0,24.839400428265527,24.839400428265527,4.935933147632303,3.064066852367697,历史1/2次成功; 当前距低点3.06%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
