rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
27,65.34027879386967,54.56015204846889,300423,昇辉科技,bottom_area,2023-08-25,9.1,2023-08-25,9.09,0.11001100110010767,2.5302530253025353,29.37062937062937,False,-2.4652,1.7564,1,2,1,50.0,23.28482328482329,23.28482328482329,19.889988998899895,0.11001100110010767,历史1/2次成功; 当前距低点0.11%; 最新日涨幅-2.47%; 状态bottom_area; 底部未确认
28,64.37714029093068,54.34433920662979,002386,天原股份,bottom_area,2023-08-25,5.72,2023-08-25,5.68,0.7042253521126767,2.6408450704225417,31.48371531966224,False,-1.5491,0.9604,1,3,1,33.33333333333333,48.85290148448042,48.85290148448042,19.295774647887324,0.7042253521126767,历史1/3次成功; 当前距低点0.70%; 最新日涨幅-1.55%; 状态bottom_area; 底部未确认
29,64.19444675956122,54.30166186359272,688107,安路科技,bottom_area,2023-08-25,41.98,2023-08-25,41.64,0.8165225744476377,3.6743515850144117,28.157349896480333,False,-2.8915,0.5304,1,3,1,33.33333333333333,67.95615731785945,67.95615731785945,19.183477425552365,0.8165225744476377,历史1/3次成功; 当前距低点0.82%; 最新日涨幅-2.89%; 状态bottom_area; 底部未确认
30,63.34871680631738,53.288088510775644,300473,德尔股份,bottom_area,2023-08-25,15.71,2023-08-25,15.63,0.5118362124120286,2.8150991682661513,30.37861915367483,False,-1.0082,1.6938,1,2,1,50.0,21.37137137137137,21.37137137137137,19.488163787587972,0.5118362124120286,历史1/2次成功; 当前距低点0.51%; 最新日涨幅-1.01%; 状态bottom_area; 底部未确认
31,62.96140395026842,52.980340492494506,603236,移远通信,bottom_area,2023-08-25,43.59,2023-08-25,43.36,0.5304428044280535,2.3985239852398506,30.30059475968494,False,-2.3959,1.4463,1,3,1,33.33333333333333,39.389337383102855,39.389337383102855,19.469557195571948,0.5304428044280535,历史1/3次成功; 当前距低点0.53%; 最新日涨幅-2.40%; 状态bottom_area; 底部未确认
32,62.91567875444174,53.11877298264297,000572,海马汽车,bottom_area,2023-08-25,4.24,2023-08-25,4.21,0.7125890736342102,3.8004750593824266,31.096563011456634,False,-2.9748,2.6827,1,2,1,50.0,22.92191435768261,22.92191435768261,19.28741092636579,0.7125890736342102,历史1/2次成功; 当前距低点0.71%; 最新日涨幅-2.97%; 状态bottom_area; 底部未确认
33,62.36662868107026,52.2282112107485,601778,晶科科技,bottom_area,2023-08-25,3.74,2023-08-25,3.73,0.26809651474531454,3.7533512064343197,27.43190661478599,False,-4.1026,2.736,1,3,1,33.33333333333333,42.344827586206904,42.344827586206904,19.731903485254687,0.26809651474531454,历史1/3次成功; 当前距低点0.27%; 最新日涨幅-4.10%; 状态bottom_area; 底部未确认
34,61.961612783877314,51.94692660550461,002265,建设工业,bottom_area,2023-08-25,12.2,2023-08-25,12.16,0.3289473684210456,2.796052631578946,28.344136711844424,False,-2.7113,1.1968,1,4,1,25.0,32.75229357798165,32.75229357798165,19.671052631578956,0.3289473684210456,历史1/4次成功; 当前距低点0.33%; 最新日涨幅-2.71%; 状态bottom_area; 底部未确认
35,61.65500512331671,52.062983253456096,605111,新洁能,bottom_area,2023-08-25,33.5,2023-08-25,33.26,0.7215874924834697,3.728202044497902,27.616974972796527,False,-2.4745,2.1583,1,3,1,33.33333333333333,36.800373134328346,36.800373134328346,19.27841250751653,0.7215874924834697,历史1/3次成功; 当前距低点0.72%; 最新日涨幅-2.47%; 状态bottom_area; 底部未确认
36,60.69266301480186,51.02194292877693,002765,蓝黛科技,bottom_area,2023-08-25,6.31,2023-08-25,6.28,0.4777070063694166,3.184713375796181,29.675251959686445,False,-2.7735,2.0555,1,3,1,33.33333333333333,28.213879408418663,28.213879408418663,19.522292993630586,0.4777070063694166,历史1/3次成功; 当前距低点0.48%; 最新日涨幅-2.77%; 状态bottom_area; 底部未确认
