rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.01942265471583,90.15892306212403,002862,实丰文化,bottom_area,2024-12-20,32.35,2024-12-19,31.64,2.24399494310999,9.608091024020226,28.09090909090909,True,2.244,16.4803,5,5,5,100.0,27.66253512050972,45.40647719762062,7.756005056890011,2.24399494310999,历史5/5次成功; 当前距低点2.24%; 最新日涨幅2.24%; 状态bottom_area; 底部已确认
12,78.7981900216929,73.74655126035836,000892,欢瑞世纪,bottom_area,2024-12-20,4.0,2024-12-19,3.94,1.52284263959391,7.360406091370571,27.17190388170056,False,-1.2346,7.2815,1,1,1,100.0,12.250712250712256,12.250712250712256,8.47715736040609,1.52284263959391,历史1/1次成功; 当前距低点1.52%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
13,75.90850928806033,70.48233500417712,000716,黑芝麻,bottom_area,2024-12-20,7.3,2024-12-19,7.22,1.1080332409972309,7.894736842105267,27.217741935483875,False,-0.1368,9.6325,2,3,2,66.66666666666666,28.50529100529101,40.211640211640216,8.89196675900277,1.1080332409972309,历史2/3次成功; 当前距低点1.11%; 最新日涨幅-0.14%; 状态bottom_area; 底部未确认
14,74.46544143524693,74.00560080886179,002530,金财互联,bottom_area,2024-12-20,10.3,2024-12-19,9.84,4.674796747967489,6.707317073170733,30.06396588486141,False,3.4137,17.0844,3,4,3,75.0,33.97385695821315,54.814814814814795,5.325203252032512,4.674796747967489,历史3/4次成功; 当前距低点4.67%; 最新日涨幅3.41%; 状态bottom_area; 底部未确认
15,72.49178873707511,67.1652892746023,688196,卓越新能,bottom_area,2024-12-20,34.5,2024-12-20,34.16,0.9953161592505956,4.537470725995329,28.62515670706227,False,-2.3493,1.6749,3,4,3,75.0,14.406506009105732,19.41979522184301,9.004683840749406,0.9953161592505956,历史3/4次成功; 当前距低点1.00%; 最新日涨幅-2.35%; 状态bottom_area; 底部未确认
16,72.35519148721873,67.78144363154996,300497,富祥股份,bottom_area,2024-12-20,9.04,2024-12-19,8.9,1.5730337078651548,3.4831460674157357,31.274131274131268,False,-0.9858,2.0522,2,3,2,66.66666666666666,19.68437536997772,24.094025465230157,8.426966292134846,1.5730337078651548,历史2/3次成功; 当前距低点1.57%; 最新日涨幅-0.99%; 状态bottom_area; 底部未确认
17,71.61073690939664,71.53583028083031,002775,文科股份,bottom_area,2024-12-20,3.82,2024-12-18,3.64,4.945054945054937,7.967032967032968,27.34530938123752,True,0.2625,3.9368,1,1,1,100.0,10.648148148148147,10.648148148148147,5.054945054945064,4.945054945054937,历史1/1次成功; 当前距低点4.95%; 最新日涨幅0.26%; 状态bottom_area; 底部已确认
18,71.4622723725828,69.29102763735241,000813,德展健康,confirmed_rebound,2024-12-20,3.67,2024-12-19,3.55,3.380281690140848,11.549295774647891,30.118110236220474,False,-0.542,5.946,3,4,3,75.0,25.446612316524458,39.9103139013453,6.619718309859151,3.380281690140848,历史3/4次成功; 当前距低点3.38%; 最新日涨幅-0.54%; 状态confirmed_rebound; 底部未确认
19,71.45662305846234,70.45019174777975,000721,西安饮食,bottom_area,2024-12-20,10.78,2024-12-19,10.34,4.255319148936165,6.866537717601556,27.183098591549292,False,0.3724,12.768,5,7,5,71.42857142857143,17.45486624537592,20.485175202156327,5.744680851063836,4.255319148936165,历史5/7次成功; 当前距低点4.26%; 最新日涨幅0.37%; 状态bottom_area; 底部未确认
20,69.87793963206121,67.39056264184713,600382,广东明珠,bottom_area,2024-12-20,4.66,2024-12-19,4.52,3.0973451327433756,3.318584070796468,27.680000000000003,False,1.0846,1.2509,2,3,2,66.66666666666666,13.794854181910498,17.365269461077848,6.902654867256625,3.0973451327433756,历史2/3次成功; 当前距低点3.10%; 最新日涨幅1.08%; 状态bottom_area; 底部未确认
21,67.0258980452262,61.53507588897885,002031,巨轮智能,bottom_area,2024-12-20,5.85,2024-12-20,5.82,0.5154639175257621,3.2646048109965546,31.529411764705877,False,-0.5102,14.6164,2,3,2,66.66666666666666,12.976704055220017,15.789473684210522,9.48453608247424,0.5154639175257621,历史2/3次成功; 当前距低点0.52%; 最新日涨幅-0.51%; 状态bottom_area; 底部未确认
