rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.6338959000766,81.4542810070333,300461,田中精机,bottom_area,2026-03-19,44.35,60.65,2026-03-19,43.58,1.7668655346489288,14.479118861863247,28.14509480626546,26.8755152514427,False,-12.6969,10.6403,3,3,3,100.0,33.563088312004616,39.80283425754775,18.23313446535107,1.7668655346489288,历史3/3次成功; 当前距低点1.77%; 最新日涨幅-12.70%; 状态bottom_area; 底部未确认
21,70.60348513549907,58.836237612915895,600696,退市岩石,bottom_area,2026-03-19,1.57,2.22,2026-03-19,1.57,0.0,6.369426751592348,29.27927927927928,29.27927927927928,False,-4.8485,1.7555,2,4,2,50.0,34.06579361782736,46.45858343337334,20.0,0.0,历史2/4次成功; 当前距低点0.00%; 最新日涨幅-4.85%; 状态bottom_area; 底部未确认
22,68.34348123088915,57.476715332833905,002855,捷荣技术,bottom_area,2026-03-19,12.07,16.72,2026-03-19,12.01,0.4995836802664488,2.914238134887591,28.169856459330138,27.811004784688986,False,-3.0522,1.2954,2,4,2,50.0,20.62239851527635,21.093749999999993,19.500416319733553,0.4995836802664488,历史2/4次成功; 当前距低点0.50%; 最新日涨幅-3.05%; 状态bottom_area; 底部未确认
23,67.11064490366108,56.53387453874539,000737,北方铜业,bottom_area,2026-03-19,13.63,18.9,2026-03-19,13.55,0.5904059040590411,4.132841328413274,28.306878306878296,27.883597883597872,False,-5.4129,2.8253,1,2,1,50.0,88.19095477386935,88.19095477386935,19.40959409594096,0.5904059040590411,历史1/2次成功; 当前距低点0.59%; 最新日涨幅-5.41%; 状态bottom_area; 底部未确认
24,66.09195963375869,55.5277446910581,600415,小商品城,bottom_area,2026-03-19,13.54,19.01,2026-03-19,13.48,0.4451038575667561,1.7804154302670638,29.089952656496582,28.77432930036824,False,-2.2383,0.6736,1,2,1,50.0,32.59452411994785,32.59452411994785,19.554896142433247,0.4451038575667561,历史1/2次成功; 当前距低点0.45%; 最新日涨幅-2.24%; 状态bottom_area; 底部未确认
25,65.33242283836539,54.634264586613234,603099,长白山,bottom_area,2026-03-19,36.79,52.2,2026-03-19,36.72,0.1906318082788679,2.3692810457516464,29.655172413793107,29.52107279693487,False,-1.9195,1.22,1,2,1,50.0,24.671532846715323,24.671532846715323,19.809368191721134,0.1906318082788679,历史1/2次成功; 当前距低点0.19%; 最新日涨幅-1.92%; 状态bottom_area; 底部未确认
26,64.51337977432857,55.86069767441862,605196,华通线缆,bottom_area,2026-03-19,43.9,59.59,2026-03-19,43.0,2.0930232558139505,7.674418604651157,27.840241651283776,26.329921127705997,False,-6.3167,3.7237,1,2,1,50.0,24.961240310077525,24.961240310077525,17.90697674418605,2.0930232558139505,历史1/2次成功; 当前距低点2.09%; 最新日涨幅-6.32%; 状态bottom_area; 底部未确认
27,62.82126670259554,52.92758242020755,000681,视觉中国,bottom_area,2026-03-19,21.88,30.5,2026-03-19,21.75,0.5977011494252827,1.8390804597701083,28.688524590163933,28.262295081967213,False,-2.1029,3.1963,2,6,2,33.33333333333333,23.263482298730437,25.590062111801227,19.402298850574716,0.5977011494252827,历史2/6次成功; 当前距低点0.60%; 最新日涨幅-2.10%; 状态bottom_area; 底部未确认
28,62.61812071831768,52.70405974926646,002155,湖南黄金,bottom_area,2026-03-19,29.6,43.67,2026-03-19,29.44,0.5434782608695656,4.585597826086949,32.585298832150215,32.21891458667277,False,-6.0019,4.2046,1,2,1,50.0,28.834355828220854,28.834355828220854,19.456521739130437,0.5434782608695656,历史1/2次成功; 当前距低点0.54%; 最新日涨幅-6.00%; 状态bottom_area; 底部未确认
29,60.087595348208495,50.971015714482036,600230,沧州大化,bottom_area,2026-03-19,17.69,24.7,2026-03-19,17.52,0.9703196347032061,12.271689497716908,29.068825910931174,28.380566801619427,False,-8.1993,9.4771,1,2,1,50.0,24.749163879598647,24.749163879598647,19.029680365296795,0.9703196347032061,历史1/2次成功; 当前距低点0.97%; 最新日涨幅-8.20%; 状态bottom_area; 底部未确认
30,59.673366210436775,50.01374655379001,301459,丰茂股份,bottom_area,2026-03-19,38.48,54.99,2026-03-19,38.36,0.3128258602711091,3.4671532846715287,30.24186215675578,30.023640661938543,False,-2.7054,3.3727,1,3,1,33.33333333333333,20.772345063843044,20.772345063843044,19.687174139728892,0.3128258602711091,历史1/3次成功; 当前距低点0.31%; 最新日涨幅-2.71%; 状态bottom_area; 底部未确认
31,58.43966417232427,48.99262959221741,688111,金山办公,bottom_area,2026-03-19,260.65,363.63,2026-03-19,259.8,0.32717474980753114,2.609699769053107,28.553749690619583,28.319995599923004,False,-2.8368,1.1295,1,5,1,20.0,27.68058076225045,27.68058076225045,19.672825250192467,0.32717474980753114,历史1/5次成功; 当前距低点0.33%; 最新日涨幅-2.84%; 状态bottom_area; 底部未确认
32,56.53712265986058,47.593692525877074,300703,创源股份,bottom_area,2026-03-19,20.02,29.07,2026-03-19,19.91,0.552486187845301,3.36514314414866,31.51014791881665,31.131750945992437,False,-3.0508,2.3345,1,3,1,33.33333333333333,20.914127423822727,20.914127423822727,19.4475138121547,0.552486187845301,历史1/3次成功; 当前距低点0.55%; 最新日涨幅-3.05%; 状态bottom_area; 底部未确认
33,54.53264720338398,45.87434207690483,300612,宣亚国际,bottom_area,2026-03-19,15.63,22.05,2026-03-19,15.55,0.5144694533762062,2.250803858520898,29.47845804988662,29.115646258503403,False,-2.4345,3.3184,1,7,1,14.285714285714285,25.592417061611382,25.592417061611382,19.485530546623796,0.5144694533762062,历史1/7次成功; 当前距低点0.51%; 最新日涨幅-2.43%; 状态bottom_area; 底部未确认
34,51.69129059941227,43.743764786256975,000301,东方盛虹,bottom_area,2026-03-19,10.81,14.7,2026-03-19,10.72,0.8395522388059687,6.996268656716417,27.074829931972783,26.462585034013596,False,-5.8362,0.5734,1,7,1,14.285714285714285,28.337639965546952,28.337639965546952,19.160447761194032,0.8395522388059687,历史1/7次成功; 当前距低点0.84%; 最新日涨幅-5.84%; 状态bottom_area; 底部未确认
