rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.4494527360182,81.79157669663624,300473,德尔股份,bottom_area,2023-08-14,16.35,2023-08-14,16.11,1.4897579143389323,1.8001241464928561,28.24053452115813,False,0.0,1.3984,2,2,2,100.0,15.958197534026922,21.37137137137137,8.51024208566107,1.4897579143389323,历史2/2次成功; 当前距低点1.49%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
12,81.43751323236805,77.51941249226964,002519,银河电子,bottom_area,2023-08-14,5.52,2023-08-14,5.39,2.4118738404452675,2.7829313543599326,27.35849056603774,False,0.9141,1.34,1,1,1,100.0,20.959595959595962,20.959595959595962,7.588126159554733,2.4118738404452675,历史1/1次成功; 当前距低点2.41%; 最新日涨幅0.91%; 状态bottom_area; 底部未确认
13,81.21319068746351,78.83778511004363,688300,联瑞新材,bottom_area,2023-08-14,42.98,2023-08-14,41.55,3.4416365824308057,3.6823104693140825,28.974358974358978,False,1.6076,0.3881,2,2,2,100.0,24.003852247235756,26.809910956252438,6.558363417569195,3.4416365824308057,历史2/2次成功; 当前距低点3.44%; 最新日涨幅1.61%; 状态bottom_area; 底部未确认
14,80.69793524825913,77.45519387777802,688143,长盈通,bottom_area,2023-08-14,29.26,2023-08-14,28.45,2.8471001757469327,3.5149384885764503,31.92151232352237,False,0.9662,1.1944,1,1,1,100.0,25.949367088607595,25.949367088607595,7.152899824253067,2.8471001757469327,历史1/1次成功; 当前距低点2.85%; 最新日涨幅0.97%; 状态bottom_area; 底部未确认
15,80.48872187325144,76.21789173303807,300565,科信技术,bottom_area,2023-08-14,16.24,2023-08-14,15.9,2.1383647798742014,2.3270440251572277,30.140597539543062,False,0.495,2.3363,1,1,1,100.0,10.60948081264109,10.60948081264109,7.8616352201258,2.1383647798742014,历史1/1次成功; 当前距低点2.14%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
16,78.66241875983872,75.41330353286213,688287,退市观典,bottom_area,2023-08-14,10.7,2023-08-14,10.41,2.785782901056668,2.8818443804034652,30.414438502673804,False,0.9434,0.5257,1,1,1,100.0,14.219830899308223,14.219830899308223,7.214217098943331,2.785782901056668,历史1/1次成功; 当前距低点2.79%; 最新日涨幅0.94%; 状态bottom_area; 底部未确认
17,78.29309978269734,75.70102256353739,605118,力鼎光电,bottom_area,2023-08-14,14.69,2023-07-28,14.23,3.2326071679550177,7.027406886858749,30.210887690044142,True,1.7313,0.38,1,1,1,100.0,12.050359712230225,12.050359712230225,6.767392832044983,3.2326071679550177,历史1/1次成功; 当前距低点3.23%; 最新日涨幅1.73%; 状态bottom_area; 底部已确认
18,75.83537918292467,70.71168037539599,002386,天原股份,bottom_area,2023-08-14,6.1,2023-08-14,6.02,1.328903654485051,2.657807308970102,27.382388419782867,False,-1.7713,1.0125,2,3,2,66.66666666666666,32.445774413737794,48.85290148448042,8.67109634551495,1.328903654485051,历史2/3次成功; 当前距低点1.33%; 最新日涨幅-1.77%; 状态bottom_area; 底部未确认
19,75.04877239342974,74.65836689320027,300635,中达安,bottom_area,2023-08-14,13.96,2023-08-14,13.33,4.7261815453863525,5.4013503375844,27.475516866158866,False,1.5273,4.585,2,2,2,100.0,17.279896863877134,23.97914856646394,5.273818454613648,4.7261815453863525,历史2/2次成功; 当前距低点4.73%; 最新日涨幅1.53%; 状态bottom_area; 底部未确认
20,74.2374799785207,72.32661848423533,002864,盘龙药业,bottom_area,2023-08-14,35.39,2023-08-08,34.15,3.631039531478776,7.349926793557827,27.340425531914896,True,-0.3379,4.4193,1,1,1,100.0,21.26553019358567,21.26553019358567,6.368960468521225,3.631039531478776,历史1/1次成功; 当前距低点3.63%; 最新日涨幅-0.34%; 状态bottom_area; 底部已确认
21,73.32432986012792,71.31621537458051,002219,新里程,bottom_area,2023-08-14,3.8,2023-08-07,3.67,3.542234332425066,6.267029972752043,29.42307692307693,False,-0.5236,0.5386,1,1,1,100.0,23.938223938223942,23.938223938223942,6.457765667574936,3.542234332425066,历史1/1次成功; 当前距低点3.54%; 最新日涨幅-0.52%; 状态bottom_area; 底部未确认
22,71.76746881469445,67.39618983540984,603033,三维股份,bottom_area,2023-08-14,14.94,2023-08-14,14.69,1.7018379850238259,2.110279101429547,31.896152063050536,False,-0.4,0.1922,2,3,2,66.66666666666666,19.192009540846744,24.922480620155024,8.298162014976175,1.7018379850238259,历史2/3次成功; 当前距低点1.70%; 最新日涨幅-0.40%; 状态bottom_area; 底部未确认
23,71.31165779046835,67.08976201170005,002829,星网宇达,bottom_area,2023-08-14,30.59,2023-08-14,30.05,1.7970049916805297,2.296173044925117,32.879160151887426,False,-0.5203,1.3873,2,3,2,66.66666666666666,18.711111430456917,21.628131021194598,8.202995008319471,1.7970049916805297,历史2/3次成功; 当前距低点1.80%; 最新日涨幅-0.52%; 状态bottom_area; 底部未确认
24,70.80653650370007,68.1378690931012,002403,爱仕达,bottom_area,2023-08-14,8.63,2023-08-14,8.38,2.983293556085919,2.983293556085919,32.852564102564095,False,0.9357,1.3023,2,3,2,66.66666666666666,16.4145792167227,21.63892445582587,7.0167064439140825,2.983293556085919,历史2/3次成功; 当前距低点2.98%; 最新日涨幅0.94%; 状态bottom_area; 底部未确认
25,62.08533908264856,58.90743783122709,000890,法尔胜,bottom_area,2023-08-14,4.56,2023-08-14,4.46,2.242152466367705,3.8116591928251107,27.47967479674797,False,-1.2987,7.1851,1,2,1,50.0,32.954545454545446,32.954545454545446,7.757847533632295,2.242152466367705,历史1/2次成功; 当前距低点2.24%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
26,61.3714053554648,58.61949344456252,300763,锦浪科技,bottom_area,2023-08-14,87.08,2023-08-14,84.88,2.5918944392082977,4.0292177191328955,27.359863072314933,False,-1.9369,2.7541,1,2,1,50.0,35.693617021276594,35.693617021276594,7.408105560791703,2.5918944392082977,历史1/2次成功; 当前距低点2.59%; 最新日涨幅-1.94%; 状态bottom_area; 底部未确认
