rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.65321826948151,89.3594493886289,300644,南京聚隆,bottom_area,2024-06-03,22.67,2024-06-03,22.23,1.979307242465143,4.408457040035989,28.01165803108808,False,0.6214,16.0959,3,3,3,100.0,45.97994570671739,78.38246409674981,8.020692757534857,1.979307242465143,历史3/3次成功; 当前距低点1.98%; 最新日涨幅0.62%; 状态bottom_area; 底部未确认
12,74.57076074582281,71.68584268648851,002031,巨轮智能,confirmed_rebound,2024-06-03,2.46,2024-05-29,2.39,2.9288702928870225,10.041841004184091,31.71428571428571,True,-3.9063,3.8275,2,2,2,100.0,12.976704055220017,15.789473684210522,7.071129707112977,2.9288702928870225,历史2/2次成功; 当前距低点2.93%; 最新日涨幅-3.91%; 状态confirmed_rebound; 底部已确认
13,73.45805591732596,67.95860485103131,605180,华生科技,bottom_area,2024-06-03,13.21,2024-06-03,13.09,0.9167303284950419,4.125286478227662,27.19688542825362,False,-2.8676,2.094,1,1,1,100.0,13.541666666666663,13.541666666666663,9.08326967150496,0.9167303284950419,历史1/1次成功; 当前距低点0.92%; 最新日涨幅-2.87%; 状态bottom_area; 底部未确认
14,72.5334642058491,70.79260957937447,300557,理工光科,bottom_area,2024-06-03,22.0,2024-05-27,21.21,3.72465818010372,8.15652993870816,30.979498861047833,True,-2.9554,1.135,1,1,1,100.0,14.165753924790064,14.165753924790064,6.27534181989628,3.72465818010372,历史1/1次成功; 当前距低点3.72%; 最新日涨幅-2.96%; 状态bottom_area; 底部已确认
15,72.5286146164974,70.95433035002922,688331,荣昌生物,confirmed_rebound,2024-06-03,44.53,2024-05-27,42.88,3.847947761194026,10.774253731343277,27.00034048348655,True,-1.4605,1.463,1,1,1,100.0,26.761565836298917,26.761565836298917,6.152052238805974,3.847947761194026,历史1/1次成功; 当前距低点3.85%; 最新日涨幅-1.46%; 状态confirmed_rebound; 底部已确认
16,72.17811299498707,67.40368528714748,000518,四环生物,bottom_area,2024-06-03,2.16,2024-06-03,2.13,1.408450704225364,4.225352112676071,30.84415584415585,False,-2.7027,1.6308,2,3,2,66.66666666666666,15.635947452229296,17.834394904458602,8.591549295774637,1.408450704225364,历史2/3次成功; 当前距低点1.41%; 最新日涨幅-2.70%; 状态bottom_area; 底部未确认
17,69.22175870008611,65.42699310027042,300511,雪榕生物,bottom_area,2024-06-03,3.5,2024-06-03,3.43,2.0408163265306074,4.956268221574342,28.39248434237995,False,-3.0471,2.9683,3,5,3,60.0,20.752980240646266,29.220779220779214,7.959183673469393,2.0408163265306074,历史3/5次成功; 当前距低点2.04%; 最新日涨幅-3.05%; 状态bottom_area; 底部未确认
18,68.9775170972714,63.697207569277225,688236,春立医疗,bottom_area,2024-06-03,17.19,2024-06-03,17.05,0.8211143695014695,6.510263929618764,28.95833333333333,False,-4.5,3.8136,2,3,2,66.66666666666666,38.562804650935014,48.33672776646301,9.178885630498531,0.8211143695014695,历史2/3次成功; 当前距低点0.82%; 最新日涨幅-4.50%; 状态bottom_area; 底部未确认
19,67.4304798758717,64.4195654058172,688287,退市观典,confirmed_rebound,2024-06-03,5.52,2024-05-30,5.38,2.6022304832713696,12.081784386617107,28.741721854304636,True,-6.2818,3.833,2,3,2,66.66666666666666,25.46228086564107,36.70473083197391,7.397769516728631,2.6022304832713696,历史2/3次成功; 当前距低点2.60%; 最新日涨幅-6.28%; 状态confirmed_rebound; 底部已确认
20,62.62633546736844,58.75188672141562,000514,渝开发,bottom_area,2024-06-03,3.7,2024-06-03,3.64,1.6483516483516498,3.296703296703287,27.634194831013918,False,-1.8568,3.9513,1,2,1,50.0,24.839400428265527,24.839400428265527,8.35164835164835,1.6483516483516498,历史1/2次成功; 当前距低点1.65%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
21,60.40712437290261,55.919995686748216,605303,园林股份,bottom_area,2024-06-03,7.44,2024-06-03,7.37,0.9497964721845357,5.834464043419263,31.696014828544943,False,-4.6154,6.956,2,4,2,50.0,17.771675501768577,23.681489141675293,9.050203527815464,0.9497964721845357,历史2/4次成功; 当前距低点0.95%; 最新日涨幅-4.62%; 状态bottom_area; 底部未确认
22,56.553890012230674,52.390806375996256,600383,金地集团,bottom_area,2024-06-03,4.09,2024-06-03,4.05,0.9876543209876552,3.9506172839506206,27.15827338129496,False,-3.3097,4.82,1,2,1,50.0,32.594936708860764,32.594936708860764,9.012345679012345,0.9876543209876552,历史1/2次成功; 当前距低点0.99%; 最新日涨幅-3.31%; 状态bottom_area; 底部未确认
23,54.39678970923338,53.28555821874203,002520,日发精机,confirmed_rebound,2024-06-03,3.98,2024-05-30,3.83,3.9164490861618773,10.96605744125326,32.092198581560275,True,-3.3981,3.6753,2,5,2,40.0,22.82291470532857,30.752212389380546,6.083550913838123,3.9164490861618773,历史2/5次成功; 当前距低点3.92%; 最新日涨幅-3.40%; 状态confirmed_rebound; 底部已确认
24,52.0797395887763,49.45914319557778,000560,我爱我家,bottom_area,2024-06-03,2.68,2024-06-03,2.62,2.2900763358778646,7.633587786259531,30.870712401055407,False,-5.6338,15.0175,1,4,1,25.0,13.793103448275875,13.793103448275875,7.709923664122136,2.2900763358778646,历史1/4次成功; 当前距低点2.29%; 最新日涨幅-5.63%; 状态bottom_area; 底部未确认
