rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
75,67.39871830971875,65.93869569646037,002043,兔宝宝,bottom_area,2024-07-15,9.71,2024-07-11,9.35,3.850267379679157,5.026737967914445,28.076923076923077,False,0.7261,1.6056,2,3,2,66.66666666666666,15.218487394957986,15.96638655462185,6.149732620320844,3.850267379679157,历史2/3次成功; 当前距低点3.85%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
76,66.4819578883747,61.4348982581054,002044,美年健康,bottom_area,2024-07-15,3.53,2024-07-15,3.5,0.8571428571428517,3.4285714285714315,28.425357873210626,False,-2.4862,0.8568,2,3,2,66.66666666666666,16.62643712755071,18.108108108108105,9.142857142857148,0.8571428571428517,历史2/3次成功; 当前距低点0.86%; 最新日涨幅-2.49%; 状态bottom_area; 底部未确认
77,66.43244955044956,61.1512087912088,002531,天顺风能,bottom_area,2024-07-15,7.7,2024-07-15,7.65,0.6535947712418277,1.9607843137254832,31.87889581478183,False,-1.2821,0.7376,2,3,2,66.66666666666666,12.606119370825263,15.128205128205142,9.346405228758172,0.6535947712418277,历史2/3次成功; 当前距低点0.65%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
78,64.69421559491339,63.101089858859105,300601,康泰生物,bottom_area,2024-07-15,15.17,2024-07-09,14.63,3.6910457963089485,7.587149692412846,32.487309644670056,True,-1.7487,0.7098,2,3,2,66.66666666666666,11.290363482671175,11.580726965342352,6.308954203691053,3.6910457963089485,历史2/3次成功; 当前距低点3.69%; 最新日涨幅-1.75%; 状态bottom_area; 底部已确认
79,64.30201230029691,61.371818181818185,600058,五矿发展,bottom_area,2024-07-15,6.43,2024-07-09,6.27,2.5518341307815016,5.263157894736844,28.91156462585035,False,-1.2289,0.269,1,2,1,50.0,99.54954954954954,99.54954954954954,7.448165869218498,2.5518341307815016,历史1/2次成功; 当前距低点2.55%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
80,63.97552082064306,63.464250153904075,603060,国检集团,bottom_area,2024-07-15,5.71,2024-07-09,5.46,4.5787545787545785,9.157509157509157,31.835205992509362,True,-2.5597,0.2033,2,3,2,66.66666666666666,24.124429713966915,36.2098138747885,5.421245421245422,4.5787545787545785,历史2/3次成功; 当前距低点4.58%; 最新日涨幅-2.56%; 状态bottom_area; 底部已确认
81,63.21178749291889,62.4170262108521,600141,兴发集团,bottom_area,2024-07-15,18.77,2024-07-08,17.99,4.335742078932747,6.7259588660366925,27.547321788159486,False,-0.1064,0.5758,2,3,2,66.66666666666666,24.70887894705429,36.58969804618119,5.664257921067254,4.335742078932747,历史2/3次成功; 当前距低点4.34%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
82,63.12778239384755,58.42327913624995,688111,金山办公,bottom_area,2024-07-15,187.62,2024-07-15,185.88,0.9360877985797338,2.58231116849581,32.081262788658286,False,-1.7696,0.6253,2,4,2,50.0,20.84709310221366,27.68058076225045,9.063912201420267,0.9360877985797338,历史2/4次成功; 当前距低点0.94%; 最新日涨幅-1.77%; 状态bottom_area; 底部未确认
83,61.57005027321209,61.26674953294996,000705,浙江震元,bottom_area,2024-07-15,7.07,2024-07-09,6.75,4.740740740740745,6.518518518518525,30.555555555555557,False,-1.1189,1.1909,2,3,2,66.66666666666666,23.48909545791496,34.04605263157895,5.259259259259256,4.740740740740745,历史2/3次成功; 当前距低点4.74%; 最新日涨幅-1.12%; 状态bottom_area; 底部未确认
84,61.33449643355369,60.281893778022486,002623,亚玛顿,bottom_area,2024-07-15,15.52,2024-07-09,14.91,4.091213950368876,9.523809523809511,27.831558567279767,True,-3.7818,0.5372,2,3,2,66.66666666666666,11.253736119337951,11.601884570082444,5.908786049631125,4.091213950368876,历史2/3次成功; 当前距低点4.09%; 最新日涨幅-3.78%; 状态bottom_area; 底部已确认
85,60.91423436540645,56.78680329653625,601636,旗滨集团,bottom_area,2024-07-15,6.15,2024-07-11,6.07,1.3179571663920933,4.612850082372312,29.088785046728972,False,-1.4423,0.6886,1,2,1,50.0,10.224438902743147,10.224438902743147,8.682042833607907,1.3179571663920933,历史1/2次成功; 当前距低点1.32%; 最新日涨幅-1.44%; 状态bottom_area; 底部未确认
86,59.574473814758804,56.26113578871771,605123,派克新材,bottom_area,2024-07-15,48.02,2024-07-09,47.08,1.99660152931182,5.947323704333059,31.649245063879206,False,-1.1934,0.4884,1,2,1,50.0,15.71713589004656,15.71713589004656,8.00339847068818,1.99660152931182,历史1/2次成功; 当前距低点2.00%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
87,59.04817726248517,55.9894920487129,002366,融发核电,bottom_area,2024-07-15,3.24,2024-07-09,3.17,2.208201892744489,7.2555205047318605,30.634573304157552,True,-3.2836,0.8173,2,6,2,33.33333333333333,20.64977973568282,25.0,7.791798107255511,2.208201892744489,历史2/6次成功; 当前距低点2.21%; 最新日涨幅-3.28%; 状态bottom_area; 底部已确认
88,55.94705259225251,55.8642906801338,300569,天能重工,bottom_area,2024-07-15,4.05,2024-07-09,3.86,4.922279792746113,8.290155440414503,27.443609022556398,True,-1.699,0.4687,1,2,1,50.0,40.25316455696202,40.25316455696202,5.077720207253888,4.922279792746113,历史1/2次成功; 当前距低点4.92%; 最新日涨幅-1.70%; 状态bottom_area; 底部已确认
89,49.9893172300082,48.996004161584274,002705,新宝股份,bottom_area,2024-07-15,13.17,2024-07-09,12.67,3.946329913180742,7.103393843725338,29.806094182825486,True,-0.5287,0.5384,1,3,1,33.33333333333333,10.808080808080812,10.808080808080812,6.053670086819259,3.946329913180742,历史1/3次成功; 当前距低点3.95%; 最新日涨幅-0.53%; 状态bottom_area; 底部已确认
90,49.77605058672926,48.5202327966971,688060,云涌科技,bottom_area,2024-07-15,28.9,2024-07-09,27.88,3.658536585365852,9.684361549497845,32.493946731234864,True,-3.1177,0.6449,1,3,1,33.33333333333333,14.937434827945786,14.937434827945786,6.341463414634149,3.658536585365852,历史1/3次成功; 当前距低点3.66%; 最新日涨幅-3.12%; 状态bottom_area; 底部已确认
