rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.68398028903543,80.42599154961346,688181,八亿时空,bottom_area,2023-05-05,34.47,2023-05-05,34.11,1.0554089709762517,2.931691586045148,27.084224027362126,False,-1.3169,0.9446,2,2,2,100.0,25.76518281418983,28.477257745550418,13.944591029023748,1.0554089709762517,历史2/2次成功; 当前距低点1.06%; 最新日涨幅-1.32%; 状态bottom_area; 底部未确认
14,84.59560478121135,75.7895399996556,688182,灿勤科技,bottom_area,2023-05-05,17.17,2023-05-05,16.9,1.5976331360946932,4.023668639053253,27.746900384779828,False,-1.6046,4.2638,1,1,1,100.0,24.15130940834142,24.15130940834142,13.402366863905307,1.5976331360946932,历史1/1次成功; 当前距低点1.60%; 最新日涨幅-1.60%; 状态bottom_area; 底部未确认
15,84.44300409879256,73.99417910447762,605133,嵘泰股份,bottom_area,2023-05-05,26.91,2023-05-05,26.8,0.41044776119402776,4.477611940298504,30.099113197704753,False,-3.3752,4.6853,1,1,1,100.0,60.01483679525222,60.01483679525222,14.589552238805972,0.41044776119402776,历史1/1次成功; 当前距低点0.41%; 最新日涨幅-3.38%; 状态bottom_area; 底部未确认
16,83.72970654633093,75.52375959079285,000629,钒钛股份,bottom_area,2023-05-05,4.16,2023-04-25,4.08,1.960784313725492,9.803921568627459,31.08108108108108,False,-1.4218,0.6015,1,1,1,100.0,27.173913043478265,27.173913043478265,13.039215686274508,1.960784313725492,历史1/1次成功; 当前距低点1.96%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
17,83.05123990134545,73.08946824706656,688075,安旭生物,bottom_area,2023-05-05,67.46,2023-05-05,67.03,0.6415038042667351,2.7897956139042286,27.81606719793237,False,-2.161,2.4193,4,5,4,80.0,31.086542584917854,40.134529147982065,14.358496195733265,0.6415038042667351,历史4/5次成功; 当前距低点0.64%; 最新日涨幅-2.16%; 状态bottom_area; 底部未确认
18,82.97041255846732,78.07831794944727,300409,道氏技术,bottom_area,2023-05-05,12.8,2023-04-26,12.28,4.234527687296428,8.55048859934854,28.811594202898554,True,-1.6897,0.9386,2,2,2,100.0,42.9195756800168,50.03460207612457,10.765472312703572,4.234527687296428,历史2/2次成功; 当前距低点4.23%; 最新日涨幅-1.69%; 状态bottom_area; 底部已确认
19,82.17881419868522,71.8342276867293,688195,腾景科技,bottom_area,2023-05-05,25.11,2023-05-05,25.04,0.2795527156549532,5.830670926517575,32.32432432432433,False,-4.3793,3.0974,5,6,5,83.33333333333334,22.893949167146577,38.77410468319559,14.720447284345045,0.2795527156549532,历史5/6次成功; 当前距低点0.28%; 最新日涨幅-4.38%; 状态bottom_area; 底部未确认
20,82.1116896226628,77.1450503210218,002363,隆基机械,bottom_area,2023-05-05,6.78,2023-04-25,6.51,4.147465437788026,7.219662058371745,28.774617067833702,True,-2.0231,0.8205,2,2,2,100.0,36.83479311386288,54.96828752642705,10.852534562211973,4.147465437788026,历史2/2次成功; 当前距低点4.15%; 最新日涨幅-2.02%; 状态bottom_area; 底部已确认
21,81.50432908906588,70.93621246650709,300671,富满微,bottom_area,2023-05-05,42.18,2023-05-05,42.16,0.04743833017078541,4.4354838709677535,32.565579014715304,False,-2.1346,1.6626,1,1,1,100.0,18.894472361809044,18.894472361809044,14.952561669829215,0.04743833017078541,历史1/1次成功; 当前距低点0.05%; 最新日涨幅-2.13%; 状态bottom_area; 底部未确认
22,80.83577516780029,73.62531841426636,002385,大北农,bottom_area,2023-05-05,7.02,2023-04-25,6.85,2.4817518248175174,4.963503649635047,30.73811931243681,False,-1.5428,1.2731,1,1,1,100.0,23.353293413173663,23.353293413173663,12.518248175182482,2.4817518248175174,历史1/1次成功; 当前距低点2.48%; 最新日涨幅-1.54%; 状态bottom_area; 底部未确认
23,78.91051749974245,69.46179487445598,001201,东瑞股份,bottom_area,2023-05-05,24.62,2023-05-05,24.46,0.6541291905151273,2.207686017988549,28.01648028251912,False,-1.0052,1.3232,1,1,1,100.0,18.4043517679057,18.4043517679057,14.345870809484873,0.6541291905151273,历史1/1次成功; 当前距低点0.65%; 最新日涨幅-1.01%; 状态bottom_area; 底部未确认
24,78.44340619907179,70.99755558308047,601138,工业富联,bottom_area,2023-05-05,14.77,2023-05-05,14.46,2.1438450899031722,6.224066390041483,27.226975339708105,False,-3.9662,1.0583,1,1,1,100.0,15.298507462686556,15.298507462686556,12.856154910096828,2.1438450899031722,历史1/1次成功; 当前距低点2.14%; 最新日涨幅-3.97%; 状态bottom_area; 底部未确认
25,78.30689520925678,74.12412439170319,002553,南方精工,bottom_area,2023-05-05,10.11,2023-04-26,9.67,4.550155118924504,7.445708376421931,28.844738778513612,True,-1.9399,1.518,2,2,2,100.0,25.52945195081221,32.14285714285715,10.449844881075496,4.550155118924504,历史2/2次成功; 当前距低点4.55%; 最新日涨幅-1.94%; 状态bottom_area; 底部已确认
26,76.76447184117315,71.00301781397994,300721,怡达股份,bottom_area,2023-05-05,15.3,2023-04-28,14.81,3.3085752869682663,9.52059419311275,31.90804597701149,True,-3.0418,1.5942,1,1,1,100.0,20.411663807890235,20.411663807890235,11.691424713031735,3.3085752869682663,历史1/1次成功; 当前距低点3.31%; 最新日涨幅-3.04%; 状态bottom_area; 底部已确认
27,75.14068437813033,69.98498572556642,002383,合众思壮,bottom_area,2023-05-05,6.76,2023-04-28,6.52,3.680981595092028,5.828220858895718,28.50877192982456,False,-1.7442,1.3117,1,1,1,100.0,18.48184818481848,18.48184818481848,11.319018404907972,3.680981595092028,历史1/1次成功; 当前距低点3.68%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
28,74.08008830124766,70.3531740064447,603363,傲农生物,bottom_area,2023-05-05,9.75,2023-04-25,9.31,4.726100966702465,9.559613319011802,29.576399394856278,True,-0.8138,1.4064,1,1,1,100.0,24.078947368421055,24.078947368421055,10.273899033297534,4.726100966702465,历史1/1次成功; 当前距低点4.73%; 最新日涨幅-0.81%; 状态bottom_area; 底部已确认
29,73.57097309994384,65.02272670166465,601369,陕鼓动力,bottom_area,2023-05-05,9.28,2023-04-27,9.2,0.8695652173913052,5.00000000000001,31.189229618548993,False,-1.7989,0.6517,2,3,2,66.66666666666666,36.068111455108365,55.572755417956664,14.130434782608695,0.8695652173913052,历史2/3次成功; 当前距低点0.87%; 最新日涨幅-1.80%; 状态bottom_area; 底部未确认
30,71.78947271337181,67.00350786581369,000980,众泰汽车,bottom_area,2023-05-05,3.01,2023-04-26,2.9,3.7931034482758577,8.965517241379318,32.24299065420561,True,-2.2727,0.9259,2,3,2,66.66666666666666,33.52213473772031,43.49775784753364,11.20689655172414,3.7931034482758577,历史2/3次成功; 当前距低点3.79%; 最新日涨幅-2.27%; 状态bottom_area; 底部已确认
31,71.20496435966578,67.17624051396594,002156,通富微电,bottom_area,2023-05-05,18.15,2023-05-04,17.39,4.370327774583082,9.660724554341574,29.879032258064512,True,2.3689,5.1641,2,3,2,66.66666666666666,19.053339641659626,21.92170818505337,10.629672225416916,4.370327774583082,历史2/3次成功; 当前距低点4.37%; 最新日涨幅2.37%; 状态bottom_area; 底部已确认
32,69.24308275881098,60.75353717085499,000721,西安饮食,bottom_area,2023-05-05,12.57,2023-05-05,12.51,0.4796163069544404,5.595523581135101,27.182770663562284,False,-4.1921,8.8741,2,3,2,66.66666666666666,18.550514430346464,20.485175202156327,14.520383693045558,0.4796163069544404,历史2/3次成功; 当前距低点0.48%; 最新日涨幅-4.19%; 状态bottom_area; 底部未确认
33,68.01084303969273,63.83635892047204,002724,海洋王,bottom_area,2023-05-05,8.64,2023-04-25,8.3,4.096385542168672,8.192771084337345,28.999144568006834,True,-1.2571,1.0122,2,3,2,66.66666666666666,20.212103709408286,25.204081632653047,10.903614457831328,4.096385542168672,历史2/3次成功; 当前距低点4.10%; 最新日涨幅-1.26%; 状态bottom_area; 底部已确认
34,65.68871497237097,59.10858469709633,688079,美迪凯,bottom_area,2023-05-05,9.45,2023-05-05,9.28,1.8318965517241375,3.663793103448275,27.044025157232713,False,-0.7353,1.7362,1,2,1,50.0,29.007036747458958,29.007036747458958,13.168103448275861,1.8318965517241375,历史1/2次成功; 当前距低点1.83%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
35,64.94582051721548,57.87436654540039,002455,百川股份,bottom_area,2023-05-05,7.73,2023-05-05,7.63,1.310615989515079,4.587155963302759,28.691588785046722,False,-2.5221,1.6279,1,3,1,33.33333333333333,35.42600896860987,35.42600896860987,13.68938401048492,1.310615989515079,历史1/3次成功; 当前距低点1.31%; 最新日涨幅-2.52%; 状态bottom_area; 底部未确认
36,64.91384612668229,60.09712705709909,688107,安路科技,bottom_area,2023-05-05,51.71,2023-05-05,50.03,3.3579852088746747,5.036977813312005,32.673933521733275,False,1.5714,1.7356,1,3,1,33.33333333333333,67.95615731785945,67.95615731785945,11.642014791125325,3.3579852088746747,历史1/3次成功; 当前距低点3.36%; 最新日涨幅1.57%; 状态bottom_area; 底部未确认
37,62.90216288897585,57.64335561686755,300552,万集科技,bottom_area,2023-05-05,17.56,2023-05-04,17.08,2.8103044496487146,7.728337236533961,31.129032258064527,True,-1.0704,4.912,1,2,1,50.0,23.929299796057098,23.929299796057098,12.189695550351285,2.8103044496487146,历史1/2次成功; 当前距低点2.81%; 最新日涨幅-1.07%; 状态bottom_area; 底部已确认
38,61.77690791303671,57.80968920187235,300758,七彩化学,bottom_area,2023-05-05,10.04,2023-04-26,9.66,3.9337474120082714,7.142857142857137,30.252707581227433,True,-1.7613,0.8371,1,2,1,50.0,38.59480269489894,38.59480269489894,11.066252587991729,3.9337474120082714,历史1/2次成功; 当前距低点3.93%; 最新日涨幅-1.76%; 状态bottom_area; 底部已确认
39,60.16729379951851,55.471114096687515,000059,华锦股份,bottom_area,2023-05-05,6.91,2023-04-25,6.7,3.134328358208954,5.522388059701494,29.916317991631804,False,-1.567,0.7186,1,2,1,50.0,25.41603630862328,25.41603630862328,11.865671641791046,3.134328358208954,历史1/2次成功; 当前距低点3.13%; 最新日涨幅-1.57%; 状态bottom_area; 底部未确认
40,60.04175544200483,55.024073442999224,002758,浙农股份,bottom_area,2023-05-05,12.43,2023-04-25,12.09,2.8122415219189403,5.789909015715462,28.249258160237396,False,-1.8167,1.5155,1,2,1,50.0,19.064430714916153,19.064430714916153,12.18775847808106,2.8122415219189403,历史1/2次成功; 当前距低点2.81%; 最新日涨幅-1.82%; 状态bottom_area; 底部未确认
41,59.924213175329875,52.51272906646933,688286,敏芯股份,bottom_area,2023-05-05,46.09,2023-05-05,45.9,0.41394335511983626,4.509803921568628,28.48239326893114,False,-2.9888,2.1404,1,2,1,50.0,16.00279524807827,16.00279524807827,14.586056644880163,0.41394335511983626,历史1/2次成功; 当前距低点0.41%; 最新日涨幅-2.99%; 状态bottom_area; 底部未确认
42,58.33367910885659,54.358207121692416,603029,天鹅股份,bottom_area,2023-05-05,19.3,2023-04-25,18.61,3.707684040838266,7.415368081676513,29.640831758034025,True,-2.0305,2.1036,1,2,1,50.0,17.26734803657881,17.26734803657881,11.292315959161733,3.707684040838266,历史1/2次成功; 当前距低点3.71%; 最新日涨幅-2.03%; 状态bottom_area; 底部已确认
43,56.79952387089816,53.017199287577114,002806,华锋股份,bottom_area,2023-05-05,10.66,2023-04-25,10.27,3.7974683544303853,6.621226874391429,31.896551724137932,False,-1.0214,1.2513,1,2,1,50.0,20.35175879396985,20.35175879396985,11.202531645569614,3.7974683544303853,历史1/2次成功; 当前距低点3.80%; 最新日涨幅-1.02%; 状态bottom_area; 底部未确认
44,55.73040995267113,51.97046965379079,001896,豫能控股,bottom_area,2023-05-05,4.43,2023-04-24,4.27,3.747072599531619,5.85480093676815,27.993254637436767,False,-1.1161,0.5521,1,4,1,25.0,34.93975903614456,34.93975903614456,11.25292740046838,3.747072599531619,历史1/4次成功; 当前距低点3.75%; 最新日涨幅-1.12%; 状态bottom_area; 底部未确认
45,55.668549644225244,51.82963154575758,000810,创维数字,bottom_area,2023-05-05,15.29,2023-05-05,14.75,3.6610169491525366,6.711864406779662,29.05242905242905,False,-2.05,2.8719,1,3,1,33.33333333333333,31.738800303720588,31.738800303720588,11.338983050847462,3.6610169491525366,历史1/3次成功; 当前距低点3.66%; 最新日涨幅-2.05%; 状态bottom_area; 底部未确认
46,55.11835813484594,52.20730841970056,002112,三变科技,bottom_area,2023-05-05,9.81,2023-04-25,9.38,4.58422174840085,8.422174840085278,29.046898638426622,True,-2.1934,4.321,1,2,1,50.0,16.44803229061553,16.44803229061553,10.41577825159915,4.58422174840085,历史1/2次成功; 当前距低点4.58%; 最新日涨幅-2.19%; 状态bottom_area; 底部已确认
47,54.4576072378476,49.10414754327952,688298,东方生物,bottom_area,2023-05-05,57.19,2023-05-05,56.1,1.9429590017825245,4.099821746880565,27.780638516992795,False,-2.3228,0.9746,1,6,1,16.666666666666664,15.470039788586028,15.470039788586028,13.057040998217476,1.9429590017825245,历史1/6次成功; 当前距低点1.94%; 最新日涨幅-2.32%; 状态bottom_area; 底部未确认
48,52.37800170068027,45.54608843537415,002157,正邦科技,bottom_area,2023-05-05,2.52,2023-05-05,2.52,0.0,0.0,30.0,False,-4.9057,0.1411,1,4,1,25.0,16.780045351473927,16.780045351473927,15.0,0.0,历史1/4次成功; 当前距低点0.00%; 最新日涨幅-4.91%; 状态bottom_area; 底部未确认
