rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
42,62.53297032392701,55.11425024342746,688101,三达膜,bottom_area,2023-10-23,12.57,2023-10-23,12.48,0.7211538461538449,4.246794871794866,27.77777777777778,False,-2.709,0.4553,1,2,1,50.0,33.755274261603375,33.755274261603375,14.278846153846155,0.7211538461538449,历史1/2次成功; 当前距低点0.72%; 最新日涨幅-2.71%; 状态bottom_area; 底部未确认
43,61.86170409020416,54.32034684622784,600328,中盐化工,bottom_area,2023-10-23,7.7,2023-10-23,7.66,0.522193211488251,3.7859007832898173,27.73584905660377,False,-3.2663,0.8227,1,2,1,50.0,37.26315789473683,37.26315789473683,14.47780678851175,0.522193211488251,历史1/2次成功; 当前距低点0.52%; 最新日涨幅-3.27%; 状态bottom_area; 底部未确认
44,61.72220931094249,54.159592416003036,300651,金陵体育,bottom_area,2023-10-23,18.67,2023-10-23,18.58,0.4843918191604059,3.8213132400430623,29.754253308128547,False,-2.659,2.3439,1,2,1,50.0,25.720461095100855,25.720461095100855,14.515608180839592,0.4843918191604059,历史1/2次成功; 当前距低点0.48%; 最新日涨幅-2.66%; 状态bottom_area; 底部未确认
45,61.01680759163965,54.75973429544511,688320,禾川科技,bottom_area,2023-10-23,33.09,2023-10-23,32.54,1.690227412415502,5.869698832206527,29.199303742384686,False,-3.7802,2.7323,1,3,1,33.33333333333333,33.54902936784469,33.54902936784469,13.309772587584497,1.690227412415502,历史1/3次成功; 当前距低点1.69%; 最新日涨幅-3.78%; 状态bottom_area; 底部未确认
46,60.08681690009552,52.84456479690521,603326,我乐家居,bottom_area,2023-10-23,9.96,2023-10-23,9.9,0.6060606060606111,2.525252525252525,30.76923076923077,False,-1.6782,2.8617,1,2,1,50.0,20.141843971631218,20.141843971631218,14.39393939393939,0.6060606060606111,历史1/2次成功; 当前距低点0.61%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
47,59.35170513516263,52.41785919980394,000014,沙河股份,bottom_area,2023-10-23,10.92,2023-10-23,10.83,0.831024930747921,2.770083102493081,31.671924290220822,False,-1.9749,2.239,1,2,1,50.0,20.605355064027936,20.605355064027936,14.16897506925208,0.831024930747921,历史1/2次成功; 当前距低点0.83%; 最新日涨幅-1.97%; 状态bottom_area; 底部未确认
48,58.45977792838227,51.38037910309754,600202,哈空调,bottom_area,2023-10-23,5.28,2023-10-23,5.25,0.5714285714285762,4.3809523809523885,30.0,False,-3.2967,3.1479,1,3,1,33.33333333333333,41.50485436893204,41.50485436893204,14.428571428571423,0.5714285714285762,历史1/3次成功; 当前距低点0.57%; 最新日涨幅-3.30%; 状态bottom_area; 底部未确认
49,57.93402746624078,50.876718830558346,000428,华天酒店,bottom_area,2023-10-23,3.81,2023-10-23,3.79,0.5277044854881272,3.43007915567282,32.32142857142857,False,-2.0566,1.1219,1,3,1,33.33333333333333,28.045977011494273,28.045977011494273,14.47229551451187,0.5277044854881272,历史1/3次成功; 当前距低点0.53%; 最新日涨幅-2.06%; 状态bottom_area; 底部未确认
50,57.60605730151172,50.83275741710295,002069,獐子岛,bottom_area,2023-10-23,3.85,2023-10-23,3.82,0.7853403141361323,2.879581151832469,32.50883392226149,False,-2.2843,0.7693,1,3,1,33.33333333333333,30.967741935483854,30.967741935483854,14.214659685863868,0.7853403141361323,历史1/3次成功; 当前距低点0.79%; 最新日涨幅-2.28%; 状态bottom_area; 底部未确认
51,54.048040932162884,47.533408419147285,601858,中国科传,bottom_area,2023-10-23,23.25,2023-10-23,23.11,0.6057983556901799,5.71181306793596,30.579753679783718,False,-4.8301,1.7214,1,3,1,33.33333333333333,21.243523316062173,21.243523316062173,14.39420164430982,0.6057983556901799,历史1/3次成功; 当前距低点0.61%; 最新日涨幅-4.83%; 状态bottom_area; 底部未确认
52,53.378483919152224,47.269930144447095,002707,众信旅游,bottom_area,2023-10-23,6.21,2023-10-23,6.15,0.9756097560975545,3.2520325203251916,28.90173410404624,False,-2.0505,1.2117,1,4,1,25.0,15.533980582524274,15.533980582524274,14.024390243902445,0.9756097560975545,历史1/4次成功; 当前距低点0.98%; 最新日涨幅-2.05%; 状态bottom_area; 底部未确认
53,52.15297906388523,46.014350205198355,002068,黑猫股份,bottom_area,2023-10-23,9.07,2023-10-23,9.0,0.777777777777781,4.33333333333334,27.594529364440866,False,-3.2017,1.1718,1,3,1,33.33333333333333,15.184678522571824,15.184678522571824,14.22222222222222,0.777777777777781,历史1/3次成功; 当前距低点0.78%; 最新日涨幅-3.20%; 状态bottom_area; 底部未确认
