rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.21923321827411,85.0679187817259,002269,美邦服饰,bottom_area,2022-12-23,2.0,2022-12-23,1.97,1.52284263959391,4.56852791878173,27.30627306273063,False,-3.3816,4.9817,3,3,3,100.0,67.6633252638804,173.50993377483442,6.47715736040609,1.52284263959391,历史3/3次成功; 当前距低点1.52%; 最新日涨幅-3.38%; 状态bottom_area; 底部未确认
19,78.49428951380385,76.17361720254834,688248,南网科技,bottom_area,2022-12-23,46.61,2022-12-23,45.5,2.4395604395604384,5.384615384615391,29.89214175654854,False,-1.3336,7.1991,2,2,2,100.0,19.869973143796457,28.835690968443974,5.560439560439562,2.4395604395604384,历史2/2次成功; 当前距低点2.44%; 最新日涨幅-1.33%; 状态bottom_area; 底部未确认
20,78.23370165410986,75.50097220270618,603212,赛伍技术,bottom_area,2022-12-23,27.54,2022-12-23,26.96,2.151335311572694,4.562314540059349,27.09572742022714,False,-1.7832,4.5107,1,1,1,100.0,29.387186629526475,29.387186629526475,5.848664688427306,2.151335311572694,历史1/1次成功; 当前距低点2.15%; 最新日涨幅-1.78%; 状态bottom_area; 底部未确认
21,77.59684800006701,74.59547704145777,000159,国际实业,bottom_area,2022-12-23,6.8,2022-12-23,6.67,1.9490254872563704,6.296851574212893,32.48987854251013,False,-3.2717,7.7242,2,2,2,100.0,15.587393292485462,19.8744769874477,6.05097451274363,1.9490254872563704,历史2/2次成功; 当前距低点1.95%; 最新日涨幅-3.27%; 状态bottom_area; 底部未确认
22,77.27225707400031,72.7448090118455,300758,七彩化学,bottom_area,2022-12-23,11.71,2022-12-23,11.61,0.8613264427218038,3.9621016365202486,27.437500000000004,False,-2.4979,2.3308,1,1,1,100.0,38.59480269489894,38.59480269489894,7.138673557278197,0.8613264427218038,历史1/1次成功; 当前距低点0.86%; 最新日涨幅-2.50%; 状态bottom_area; 底部未确认
23,77.25643578783676,72.74144928075539,002534,西子洁能,bottom_area,2022-12-23,13.92,2022-12-23,13.8,0.8695652173912987,1.8115942028985508,29.375639713408386,False,-0.1435,0.3941,2,2,2,100.0,22.01106438928788,26.532951289398277,7.1304347826087024,0.8695652173912987,历史2/2次成功; 当前距低点0.87%; 最新日涨幅-0.14%; 状态bottom_area; 底部未确认
24,77.24050537377703,75.4337099264372,002395,双象股份,bottom_area,2022-12-23,10.02,2022-12-20,9.75,2.7692307692307647,5.230769230769228,28.62371888726208,False,-0.6938,0.7031,1,1,1,100.0,36.59976387249114,36.59976387249114,5.230769230769235,2.7692307692307647,历史1/1次成功; 当前距低点2.77%; 最新日涨幅-0.69%; 状态bottom_area; 底部未确认
25,77.11106897327353,73.0063463719481,603130,云中马,confirmed_rebound,2022-12-23,27.12,2022-12-23,26.81,1.1562849682954206,11.376352107422607,30.508035251425607,False,-8.2854,19.6375,1,1,1,100.0,24.207936019686265,24.207936019686265,6.84371503170458,1.1562849682954206,历史1/1次成功; 当前距低点1.16%; 最新日涨幅-8.29%; 状态confirmed_rebound; 底部未确认
26,76.49416254794325,72.58410426778897,002729,好利科技,bottom_area,2022-12-23,27.86,2022-12-23,27.51,1.272264631043249,6.506724827335511,27.605263157894733,False,-5.0119,0.8605,1,1,1,100.0,13.144449605202036,13.144449605202036,6.727735368956751,1.272264631043249,历史1/1次成功; 当前距低点1.27%; 最新日涨幅-5.01%; 状态bottom_area; 底部未确认
27,75.46866896092268,71.8117306422307,603283,赛腾股份,bottom_area,2022-12-23,29.33,2022-12-23,28.92,1.4177040110649952,5.463347164591972,28.29159434664021,False,-3.2013,1.9512,3,4,3,75.0,14.94137520139188,18.522815158546013,6.582295988935005,1.4177040110649952,历史3/4次成功; 当前距低点1.42%; 最新日涨幅-3.20%; 状态bottom_area; 底部未确认
28,74.8794447218686,70.43310022558813,002795,永和智控,bottom_area,2022-12-23,8.63,2022-12-23,8.56,0.8177570093457976,2.3364485981308327,30.40650406504065,False,-1.2586,1.7918,1,1,1,100.0,25.632183908045985,25.632183908045985,7.182242990654203,0.8177570093457976,历史1/1次成功; 当前距低点0.82%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
29,73.77496249778349,69.11241662459506,001332,锡装股份,bottom_area,2022-12-23,56.41,2022-12-23,56.07,0.6063848760477908,4.351703228107719,32.874416377349455,False,-3.5891,4.4279,1,1,1,100.0,26.155774956903304,26.155774956903304,7.393615123952209,0.6063848760477908,历史1/1次成功; 当前距低点0.61%; 最新日涨幅-3.59%; 状态bottom_area; 底部未确认
30,73.29092326739028,69.16471531232725,000919,金陵药业,bottom_area,2022-12-23,8.18,2022-12-23,8.1,0.9876543209876552,3.4567901234568046,27.354260089686104,False,-0.6075,2.4965,1,1,1,100.0,20.8955223880597,20.8955223880597,7.012345679012346,0.9876543209876552,历史1/1次成功; 当前距低点0.99%; 最新日涨幅-0.61%; 状态bottom_area; 底部未确认
31,72.34516492546342,72.1474606540368,688068,热景生物,bottom_area,2022-12-23,69.19,2022-12-23,66.62,3.8577003902731803,5.824076853797651,32.71386728613271,False,0.3335,6.5289,1,1,1,100.0,9.80116959064327,9.80116959064327,4.14229960972682,3.8577003902731803,历史1/1次成功; 当前距低点3.86%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
32,71.85272807885711,67.69084580838323,000059,华锦股份,bottom_area,2022-12-23,6.74,2022-12-23,6.68,0.8982035928143787,3.293413173652705,27.233115468409586,False,-1.3177,1.0965,1,1,1,100.0,11.874999999999996,11.874999999999996,7.101796407185621,0.8982035928143787,历史1/1次成功; 当前距低点0.90%; 最新日涨幅-1.32%; 状态bottom_area; 底部未确认
33,71.51483837385297,67.40848653363865,603318,水发燃气,bottom_area,2022-12-23,8.72,2022-12-23,8.64,0.9259259259259267,2.4305555555555447,29.92700729927007,False,-1.1338,2.6947,1,1,1,100.0,10.696761530912658,10.696761530912658,7.074074074074073,0.9259259259259267,历史1/1次成功; 当前距低点0.93%; 最新日涨幅-1.13%; 状态bottom_area; 底部未确认
34,54.361235290023316,53.53849680800204,002786,银宝山新,bottom_area,2022-12-23,7.08,2022-12-22,6.86,3.2069970845481013,5.685131195335272,31.05527638190954,False,-1.2552,4.589,1,2,1,50.0,15.916398713826371,15.916398713826371,4.793002915451899,3.2069970845481013,历史1/2次成功; 当前距低点3.21%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
