rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
12,86.5467419470515,72.73103756765116,603325,博隆技术,bottom_area,2026-05-25,56.95,77.95,2026-05-25,56.69,0.45863467983772294,3.1222437819721347,27.27389352148814,26.940346375881973,False,-2.0805,1.9117,1,1,1,100.0,33.584541062801925,33.584541062801925,19.541365320162278,0.45863467983772294,历史1/1次成功; 当前距低点0.46%; 最新日涨幅-2.08%; 状态bottom_area; 底部未确认
13,85.84714123728236,72.04632826131459,002252,上海莱士,bottom_area,2026-05-25,5.21,7.26,2026-05-25,5.19,0.3853564547206083,1.3487475915221463,28.51239669421487,28.23691460055096,False,-0.3824,0.4616,1,1,1,100.0,29.005059021922442,29.005059021922442,19.614643545279392,0.3853564547206083,历史1/1次成功; 当前距低点0.39%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
14,85.15993950175388,71.77120089618995,002866,传艺科技,bottom_area,2026-05-25,21.26,30.0,2026-05-25,21.13,0.6152389966871867,4.353999053478475,29.56666666666667,29.13333333333333,False,-3.3636,6.7058,1,1,1,100.0,40.55884843353091,40.55884843353091,19.384761003312814,0.6152389966871867,历史1/1次成功; 当前距低点0.62%; 最新日涨幅-3.36%; 状态bottom_area; 底部未确认
15,85.03630201626676,71.86939073632868,000912,泸天化,bottom_area,2026-05-25,3.93,5.43,2026-05-25,3.9,0.7692307692307756,2.8205128205128176,28.176795580110497,27.624309392265182,False,-1.995,1.3676,4,5,4,80.0,26.092671452552917,33.20388349514563,19.230769230769226,0.7692307692307756,历史4/5次成功; 当前距低点0.77%; 最新日涨幅-2.00%; 状态bottom_area; 底部未确认
16,84.70085278030788,70.99398299299828,601186,中国铁建,bottom_area,2026-05-25,6.35,8.93,2026-05-22,6.33,0.3159557661927263,1.7377567140600365,29.11534154535274,28.891377379619264,False,-0.314,0.4802,1,1,1,100.0,22.496570644718787,22.496570644718787,19.684044233807274,0.3159557661927263,历史1/1次成功; 当前距低点0.32%; 最新日涨幅-0.31%; 状态bottom_area; 底部未确认
17,84.37219234993007,71.03476035934408,600338,西藏珠峰,bottom_area,2026-05-25,19.77,28.28,2026-05-25,19.66,0.5595116988809737,4.984740590030521,30.480905233380483,30.091937765205095,False,-3.3724,5.9832,3,4,3,75.0,40.08304856340157,59.223300970873794,19.44048830111903,0.5595116988809737,历史3/4次成功; 当前距低点0.56%; 最新日涨幅-3.37%; 状态bottom_area; 底部未确认
18,83.34327613446389,70.38252325351277,603277,银都股份,bottom_area,2026-05-25,12.49,17.69,2026-05-22,12.4,0.725806451612902,3.1451612903225707,29.903900508762014,29.39513849632561,False,-1.2648,0.1875,1,1,1,100.0,24.23312883435582,24.23312883435582,19.2741935483871,0.725806451612902,历史1/1次成功; 当前距低点0.73%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
19,82.61072604966198,70.37055624647459,002083,孚日股份,bottom_area,2026-05-25,10.13,14.53,2026-05-22,10.01,1.1988011988012086,3.3966033966033953,31.108052305574674,30.2821748107364,False,-1.3632,2.1706,2,3,2,66.66666666666666,29.01696942513269,31.79487179487179,18.801198801198794,1.1988011988012086,历史2/3次成功; 当前距低点1.20%; 最新日涨幅-1.36%; 状态bottom_area; 底部未确认
20,82.54721880447524,69.94292149364188,002773,康弘药业,bottom_area,2026-05-25,21.12,30.6,2026-05-25,20.93,0.9077878643096094,1.7677974199713378,31.60130718954249,30.980392156862745,False,-0.2833,0.7384,1,1,1,100.0,24.10041841004185,24.10041841004185,19.092212135690392,0.9077878643096094,历史1/1次成功; 当前距低点0.91%; 最新日涨幅-0.28%; 状态bottom_area; 底部未确认
21,77.79654529147705,67.24786118415811,000155,川能动力,bottom_area,2026-05-25,14.28,19.34,2026-05-25,14.0,1.9999999999999956,3.285714285714292,27.611168562564632,26.163391933815927,False,-0.1399,2.2615,2,4,2,50.0,41.493877334183324,45.280898876404486,18.000000000000004,1.9999999999999956,历史2/4次成功; 当前距低点2.00%; 最新日涨幅-0.14%; 状态bottom_area; 底部未确认
22,77.68165813698361,65.22529855628575,002749,国光股份,bottom_area,2026-05-25,9.75,13.5,2026-05-22,9.71,0.4119464469618862,3.2955715756951443,28.07407407407407,27.77777777777778,False,-1.5152,0.2578,2,3,2,66.66666666666666,31.547687035979433,38.823529411764696,19.588053553038115,0.4119464469618862,历史2/3次成功; 当前距低点0.41%; 最新日涨幅-1.52%; 状态bottom_area; 底部未确认
23,77.51746089827081,65.89337492036238,002309,中利集团,bottom_area,2026-05-25,3.73,5.34,2026-05-25,3.69,1.084010840108402,4.878048780487809,30.89887640449438,30.149812734082392,False,-2.611,8.0161,4,9,4,44.44444444444444,35.0204759392389,55.97014925373133,18.9159891598916,1.084010840108402,历史4/9次成功; 当前距低点1.08%; 最新日涨幅-2.61%; 状态bottom_area; 底部未确认
