rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
12,78.05478214147325,75.12516978567352,002012,凯恩股份,bottom_area,2022-09-06,5.58,2022-09-06,5.47,2.0109689213894026,3.2906764168190237,27.54966887417219,False,-0.3571,7.2029,1,1,1,100.0,25.646123260437374,25.646123260437374,5.989031078610598,2.0109689213894026,历史1/1次成功; 当前距低点2.01%; 最新日涨幅-0.36%; 状态bottom_area; 底部未确认
13,77.90165160286872,76.15677093234251,002196,方正电机,bottom_area,2022-09-06,8.38,2022-09-01,8.15,2.822085889570557,5.521472392638028,27.29705619982159,False,1.0856,2.4943,1,1,1,100.0,18.661971830985923,18.661971830985923,5.177914110429444,2.822085889570557,历史1/1次成功; 当前距低点2.82%; 最新日涨幅1.09%; 状态bottom_area; 底部未确认
14,77.6446727311472,77.27530648630699,002520,日发精机,bottom_area,2022-09-06,6.36,2022-09-01,6.13,3.7520391517128946,3.7520391517128946,29.62112514351321,False,2.0867,2.8494,2,2,2,100.0,19.4083642592064,30.752212389380546,4.247960848287105,3.7520391517128946,历史2/2次成功; 当前距低点3.75%; 最新日涨幅2.09%; 状态bottom_area; 底部未确认
15,77.41031319879684,73.5342235160832,300740,水羊股份,bottom_area,2022-09-06,13.72,2022-09-06,13.54,1.3293943870014882,2.3633677991137394,32.36763236763237,False,-1.0101,1.8277,1,1,1,100.0,8.73786407766991,8.73786407766991,6.670605612998512,1.3293943870014882,历史1/1次成功; 当前距低点1.33%; 最新日涨幅-1.01%; 状态bottom_area; 底部未确认
16,76.54427049855389,75.25760816540344,601828,美凯龙,bottom_area,2022-09-06,4.96,2022-08-03,4.81,3.1185031185031264,7.692307692307695,27.010622154779973,True,1.2245,0.4708,1,1,1,100.0,8.267716535433069,8.267716535433069,4.881496881496874,3.1185031185031264,历史1/1次成功; 当前距低点3.12%; 最新日涨幅1.22%; 状态bottom_area; 底部已确认
17,75.73323681551426,75.92516929384321,688058,宝兰德,bottom_area,2022-09-06,42.09,2022-08-31,40.42,4.131618010885704,7.397328055418097,31.49152542372881,True,1.0079,0.9862,1,1,1,100.0,24.27558257345491,24.27558257345491,3.868381989114296,4.131618010885704,历史1/1次成功; 当前距低点4.13%; 最新日涨幅1.01%; 状态bottom_area; 底部已确认
18,75.24438906586059,75.53783646348005,601606,长城军工,bottom_area,2022-09-06,12.15,2022-08-29,11.66,4.2024013722126945,5.488850771869645,27.033792240300375,False,1.5038,1.6548,2,2,2,100.0,15.587696731854795,18.886462882096076,3.7975986277873055,4.2024013722126945,历史2/2次成功; 当前距低点4.20%; 最新日涨幅1.50%; 状态bottom_area; 底部未确认
19,75.21508936336917,73.79205611549224,605069,正和生态,bottom_area,2022-09-06,10.62,2022-08-29,10.31,3.0067895247332563,5.237633365664395,30.66577000672494,False,0.2833,0.7438,1,1,1,100.0,8.212560386473426,8.212560386473426,4.993210475266744,3.0067895247332563,历史1/1次成功; 当前距低点3.01%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
20,75.0638219534959,74.29325640355046,002645,华宏科技,bottom_area,2022-09-06,18.82,2022-09-02,18.19,3.4634414513468883,4.452996151731713,28.27287066246056,False,1.4555,1.5718,1,1,1,100.0,16.50485436893203,16.50485436893203,4.536558548653112,3.4634414513468883,历史1/1次成功; 当前距低点3.46%; 最新日涨幅1.46%; 状态bottom_area; 底部未确认
21,75.03035553013062,73.13085285848173,688237,超卓航科,bottom_area,2022-09-06,53.9,2022-09-06,52.5,2.666666666666664,6.190476190476191,31.994818652849744,False,-2.0,10.6281,1,1,1,100.0,22.961574507966244,22.961574507966244,5.333333333333337,2.666666666666664,历史1/1次成功; 当前距低点2.67%; 最新日涨幅-2.00%; 状态bottom_area; 底部未确认
22,74.6371172081892,73.95645602004015,002346,柘中股份,bottom_area,2022-09-06,14.69,2022-09-06,14.19,3.5236081747709656,3.9464411557434853,31.44927536231884,False,2.0139,1.6046,1,1,1,100.0,15.431627196333075,15.431627196333075,4.476391825229035,3.5236081747709656,历史1/1次成功; 当前距低点3.52%; 最新日涨幅2.01%; 状态bottom_area; 底部未确认
23,74.38986452174329,71.85370373973616,000661,长春高新,bottom_area,2022-09-06,171.69,2022-09-06,168.0,2.19642857142857,5.2619047619047645,27.67972449418855,False,-2.399,2.2482,1,1,1,100.0,10.330972487060738,10.330972487060738,5.803571428571431,2.19642857142857,历史1/1次成功; 当前距低点2.20%; 最新日涨幅-2.40%; 状态bottom_area; 底部未确认
