rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,80.57186034330167,77.71285884724905,002774,快意电梯,bottom_area,2022-10-12,5.98,2022-10-11,5.8,3.103448275862079,5.51724137931035,32.00468933177022,False,2.2222,2.2001,2,2,2,100.0,13.810327506530031,15.049226441631497,6.896551724137921,3.103448275862079,历史2/2次成功; 当前距低点3.10%; 最新日涨幅2.22%; 状态bottom_area; 底部未确认
12,75.50645595320503,73.54059399969847,603228,景旺电子,bottom_area,2022-10-12,19.49,2022-10-11,18.81,3.615098351940456,4.199893673577899,31.0483870967742,False,3.1763,0.5156,1,1,1,100.0,14.317302377003868,14.317302377003868,6.384901648059545,3.615098351940456,历史1/1次成功; 当前距低点3.62%; 最新日涨幅3.18%; 状态bottom_area; 底部未确认
13,75.25640816318109,71.72868426108772,688235,百济神州,bottom_area,2022-10-12,84.3,2022-10-12,82.26,2.4799416484317915,2.565037685387794,29.967648561212318,False,-0.5192,1.4312,1,1,1,100.0,13.13414634146341,13.13414634146341,7.52005835156821,2.4799416484317915,历史1/1次成功; 当前距低点2.48%; 最新日涨幅-0.52%; 状态bottom_area; 底部未确认
14,75.22631372990013,73.64080877234605,002677,浙江美大,bottom_area,2022-10-12,11.24,2022-10-11,10.82,3.88170055452865,4.251386321626609,27.81854569713142,False,0.4468,0.5197,1,1,1,100.0,18.124118476727787,18.124118476727787,6.118299445471351,3.88170055452865,历史1/1次成功; 当前距低点3.88%; 最新日涨幅0.45%; 状态bottom_area; 底部未确认
15,75.12987058357528,74.8491861355669,000715,中兴商业,bottom_area,2022-10-12,4.8,2022-10-12,4.58,4.803493449781654,5.021834061135361,28.881987577639755,False,0.8403,3.8983,2,2,2,100.0,19.253501081016484,24.33862433862435,5.196506550218347,4.803493449781654,历史2/2次成功; 当前距低点4.80%; 最新日涨幅0.84%; 状态bottom_area; 底部未确认
16,74.79014319417459,73.27207533502354,603165,荣晟环保,bottom_area,2022-10-12,10.86,2022-10-11,10.45,3.9234449760765564,3.9234449760765564,28.668941979522188,False,2.5496,0.6591,1,1,1,100.0,16.653386454183263,16.653386454183263,6.076555023923444,3.9234449760765564,历史1/1次成功; 当前距低点3.92%; 最新日涨幅2.55%; 状态bottom_area; 底部未确认
17,74.46572133787144,72.85118163673302,001209,洪兴股份,bottom_area,2022-10-12,12.95,2022-10-11,12.47,3.8492381716118573,6.094627105052123,27.542126670540384,False,1.8883,5.5783,1,1,1,100.0,13.480885311871237,13.480885311871237,6.150761828388143,3.8492381716118573,历史1/1次成功; 当前距低点3.85%; 最新日涨幅1.89%; 状态bottom_area; 底部未确认
18,73.71190285856949,72.81734093067425,600126,杭钢股份,bottom_area,2022-10-12,4.07,2022-10-11,3.9,4.358974358974368,4.358974358974368,31.698774080560423,False,2.5189,0.2484,1,1,1,100.0,19.54732510288064,19.54732510288064,5.641025641025632,4.358974358974368,历史1/1次成功; 当前距低点4.36%; 最新日涨幅2.52%; 状态bottom_area; 底部未确认
19,73.47416490934789,73.4492668527876,002156,通富微电,bottom_area,2022-10-12,14.75,2022-10-12,14.05,4.982206405693945,5.12455516014234,27.315054319710285,False,3.8001,2.4953,2,2,2,100.0,13.917728267579548,16.184971098265883,5.017793594306056,4.982206405693945,历史2/2次成功; 当前距低点4.98%; 最新日涨幅3.80%; 状态bottom_area; 底部未确认
20,72.92880075802817,72.54230487141817,000683,博源化工,bottom_area,2022-10-12,7.32,2022-10-12,6.99,4.721030042918456,4.721030042918456,28.891149542217697,False,1.385,1.1738,1,1,1,100.0,22.50673854447439,22.50673854447439,5.278969957081545,4.721030042918456,历史1/1次成功; 当前距低点4.72%; 最新日涨幅1.39%; 状态bottom_area; 底部未确认
21,72.46020403365608,72.4534453167422,002053,云南能投,bottom_area,2022-10-12,10.72,2022-10-10,10.21,4.995102840352593,5.288932419196857,30.068493150684922,False,1.5152,0.7858,1,1,1,100.0,25.38860103626942,25.38860103626942,5.004897159647408,4.995102840352593,历史1/1次成功; 当前距低点5.00%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
22,71.82414249806848,71.12813922640204,002225,濮耐股份,bottom_area,2022-10-12,4.19,2022-10-12,4.01,4.488778054862858,4.488778054862858,29.52548330404219,False,0.7212,1.4897,1,1,1,100.0,12.056737588652476,12.056737588652476,5.511221945137143,4.488778054862858,历史1/1次成功; 当前距低点4.49%; 最新日涨幅0.72%; 状态bottom_area; 底部未确认
23,71.79622462399281,71.7235195863989,300579,数字认证,bottom_area,2022-10-12,19.73,2022-10-11,18.8,4.946808510638296,5.106382978723409,27.30085073472544,False,3.2984,0.8942,1,1,1,100.0,20.872274143302178,20.872274143302178,5.053191489361705,4.946808510638296,历史1/1次成功; 当前距低点4.95%; 最新日涨幅3.30%; 状态bottom_area; 底部未确认
24,71.57447145644707,71.10909777987719,300455,航天智装,bottom_area,2022-10-12,7.64,2022-10-11,7.3,4.657534246575341,5.068493150684933,29.672447013487485,False,3.3829,0.5378,1,1,1,100.0,14.022988505747136,14.022988505747136,5.34246575342466,4.657534246575341,历史1/1次成功; 当前距低点4.66%; 最新日涨幅3.38%; 状态bottom_area; 底部未确认
25,70.48322632897415,70.36876834532852,600262,北方股份,bottom_area,2022-10-12,15.37,2022-10-11,14.65,4.914675767918081,5.1194539249146755,27.832512315270936,False,1.6534,0.3001,1,1,1,100.0,13.19478008699855,13.19478008699855,5.08532423208192,4.914675767918081,历史1/1次成功; 当前距低点4.91%; 最新日涨幅1.65%; 状态bottom_area; 底部未确认
26,70.17419040400286,70.1622783024235,300656,民德电子,bottom_area,2022-10-12,29.45,2022-10-12,28.05,4.991087344028515,5.169340463458108,30.15438247011951,False,3.5149,1.1871,1,1,1,100.0,13.021276595744673,13.021276595744673,5.008912655971486,4.991087344028515,历史1/1次成功; 当前距低点4.99%; 最新日涨幅3.51%; 状态bottom_area; 底部未确认
27,66.68189278965019,66.01404640577849,002641,公元股份,bottom_area,2022-10-12,5.14,2022-10-12,4.92,4.471544715447149,8.536585365853657,31.380753138075313,False,-3.7453,10.9871,1,1,1,100.0,17.038539553752532,17.038539553752532,5.528455284552852,4.471544715447149,历史1/1次成功; 当前距低点4.47%; 最新日涨幅-3.75%; 状态bottom_area; 底部未确认
28,64.95087560451343,64.91670891561047,000889,中嘉博创,bottom_area,2022-10-12,1.9,2022-10-12,1.81,4.972375690607727,5.524861878453031,28.74015748031496,False,2.7027,2.1541,2,3,2,66.66666666666666,23.478810879190387,34.408602150537625,5.027624309392274,4.972375690607727,历史2/3次成功; 当前距低点4.97%; 最新日涨幅2.70%; 状态bottom_area; 底部未确认
29,61.163519820425215,60.165191835858444,601919,中远海控,bottom_area,2022-10-12,11.33,2022-10-10,10.88,4.1360294117646985,5.055147058823519,28.13738441215323,False,0.1768,0.9313,1,2,1,50.0,40.45881126173098,40.45881126173098,5.8639705882353015,4.1360294117646985,历史1/2次成功; 当前距低点4.14%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
30,57.10917379779243,55.81907615664347,000679,大连友谊,bottom_area,2022-10-12,4.37,2022-10-12,4.21,3.8004750593824266,4.2755344418052195,32.09677419354839,False,1.1574,1.528,1,2,1,50.0,12.979351032448374,12.979351032448374,6.199524940617574,3.8004750593824266,历史1/2次成功; 当前距低点3.80%; 最新日涨幅1.16%; 状态bottom_area; 底部未确认
31,56.50811468172781,56.23627768987344,688001,华兴源创,bottom_area,2022-10-12,26.48,2022-10-12,25.28,4.746835443037972,5.142405063291128,27.08393423709259,False,3.4375,0.351,1,2,1,50.0,26.82291666666668,26.82291666666668,5.253164556962029,4.746835443037972,历史1/2次成功; 当前距低点4.75%; 最新日涨幅3.44%; 状态bottom_area; 底部未确认
32,55.44450162025029,55.17778122760928,600183,生益科技,bottom_area,2022-10-12,13.24,2022-10-11,12.64,4.746835443037972,4.905063291139234,28.425821064552657,False,3.6805,0.4613,1,2,1,50.0,21.132075471698116,21.132075471698116,5.253164556962029,4.746835443037972,历史1/2次成功; 当前距低点4.75%; 最新日涨幅3.68%; 状态bottom_area; 底部未确认
33,52.44799057494147,52.25111772810443,603313,梦百合,bottom_area,2022-10-12,9.82,2022-10-11,9.37,4.802561366061911,5.229455709711849,28.144171779141107,False,3.043,0.6711,1,3,1,33.33333333333333,25.52486187845302,25.52486187845302,5.19743863393809,4.802561366061911,历史1/3次成功; 当前距低点4.80%; 最新日涨幅3.04%; 状态bottom_area; 底部未确认
34,50.50528796714431,50.24169043078135,000338,潍柴动力,bottom_area,2022-10-12,9.53,2022-10-12,9.1,4.725274725274723,4.725274725274723,31.475903614457827,False,2.4731,0.8554,1,3,1,33.33333333333333,13.774104683195592,13.774104683195592,5.274725274725278,4.725274725274723,历史1/3次成功; 当前距低点4.73%; 最新日涨幅2.47%; 状态bottom_area; 底部未确认
35,49.07337960967144,48.86392491254226,605289,罗曼股份,bottom_area,2022-10-12,18.43,2022-10-12,17.59,4.775440591245025,7.959067652075034,28.20408163265306,False,-2.0723,7.8733,1,2,1,50.0,10.0103734439834,10.0103734439834,5.224559408754975,4.775440591245025,历史1/2次成功; 当前距低点4.78%; 最新日涨幅-2.07%; 状态bottom_area; 底部未确认
36,48.603768210900554,47.59929908173321,688131,皓元医药,confirmed_rebound,2022-10-12,97.95,2022-10-12,94.27,3.9036809165163966,17.280152752731524,29.301034948252592,False,-12.1052,4.8279,1,2,1,50.0,12.955331028981659,12.955331028981659,6.096319083483604,3.9036809165163966,历史1/2次成功; 当前距低点3.90%; 最新日涨幅-12.11%; 状态confirmed_rebound; 底部未确认
