rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.10018251705527,74.25015209754606,600048,保利发展,bottom_area,2025-12-30,6.09,2025-12-30,6.09,0.0,1.4778325123152687,28.77192982456141,False,-1.6155,0.958,2,2,2,100.0,31.721247836269217,31.987577639751546,20.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
12,69.93976815159009,60.39345790575095,001330,博纳影业,bottom_area,2025-12-30,7.87,2025-12-29,7.72,1.9430051813471552,4.533678756476691,29.62625341841386,False,1.943,10.5306,1,4,1,25.0,35.637149028077765,35.637149028077765,18.056994818652846,1.9430051813471552,历史1/4次成功; 当前距低点1.94%; 最新日涨幅1.94%; 状态bottom_area; 底部未确认
13,68.7702847560623,61.45091155203899,002317,众生药业,bottom_area,2025-12-30,19.31,2025-12-23,18.6,3.817204301075254,9.408602150537634,31.617647058823522,True,-1.1771,4.1301,2,5,2,40.0,45.076007303712714,58.31999999999999,16.182795698924746,3.817204301075254,历史2/5次成功; 当前距低点3.82%; 最新日涨幅-1.18%; 状态bottom_area; 底部已确认
14,68.4154838716913,58.378800410116185,002728,特一药业,bottom_area,2025-12-30,10.97,2025-12-30,10.83,1.2927054478301068,2.585410895660197,28.039867109634553,False,-0.724,6.4135,1,4,1,25.0,39.3073593073593,39.3073593073593,18.707294552169895,1.2927054478301068,历史1/4次成功; 当前距低点1.29%; 最新日涨幅-0.72%; 状态bottom_area; 底部未确认
15,68.20845237763307,62.06339753739463,688337,普源精电,bottom_area,2025-12-30,37.47,2025-12-04,35.75,4.811188811188808,7.384615384615387,28.499999999999996,True,-0.0267,0.6437,3,6,3,50.0,38.886602295188766,54.46153846153845,15.188811188811194,4.811188811188808,历史3/6次成功; 当前距低点4.81%; 最新日涨幅-0.03%; 状态bottom_area; 底部已确认
16,67.70457507246137,59.05136210749864,600161,天坛生物,bottom_area,2025-12-30,16.46,2025-12-24,16.06,2.4906600249066138,4.794520547945203,27.264492753623188,False,-0.7836,0.2709,1,2,1,50.0,36.77455357142857,36.77455357142857,17.50933997509339,2.4906600249066138,历史1/2次成功; 当前距低点2.49%; 最新日涨幅-0.78%; 状态bottom_area; 底部未确认
17,67.48703096007087,60.13218004594416,002632,道明光学,bottom_area,2025-12-30,12.46,2025-12-19,12.02,3.6605657237936877,7.071547420965056,27.28372655777375,True,1.5485,5.6187,1,2,1,50.0,25.259515570934255,25.259515570934255,16.339434276206312,3.6605657237936877,历史1/2次成功; 当前距低点3.66%; 最新日涨幅1.55%; 状态bottom_area; 底部已确认
18,66.780500377853,60.34203827322382,603038,华立股份,bottom_area,2025-12-30,16.27,2025-12-17,15.58,4.428754813863925,11.360718870346608,29.661399548532724,True,-1.9289,5.2896,2,4,2,50.0,24.944081982976137,28.753412192902637,15.571245186136077,4.428754813863925,历史2/4次成功; 当前距低点4.43%; 最新日涨幅-1.93%; 状态bottom_area; 底部已确认
19,63.94256702899687,53.887877660614,600250,南京商旅,bottom_area,2025-12-30,11.48,2025-12-30,11.41,0.6134969325153399,2.5416301489921045,29.042288557213926,False,-2.1313,5.8898,2,7,2,28.57142857142857,38.937445980985316,53.93258426966293,19.38650306748466,0.6134969325153399,历史2/7次成功; 当前距低点0.61%; 最新日涨幅-2.13%; 状态bottom_area; 底部未确认
20,59.83741946649491,54.06147079521464,600104,上汽集团,bottom_area,2025-12-30,15.35,2025-11-21,14.7,4.421768707482996,8.299319727891161,28.74454677653902,True,-0.1301,0.2702,1,2,1,50.0,24.425287356321842,24.425287356321842,15.578231292517005,4.421768707482996,历史1/2次成功; 当前距低点4.42%; 最新日涨幅-0.13%; 状态bottom_area; 底部已确认
21,58.872608941987004,52.79879519705099,002679,福建金森,bottom_area,2025-12-30,12.17,2025-12-18,11.7,4.017094017094023,9.487179487179498,28.308823529411768,True,-1.2976,2.8098,1,4,1,25.0,33.50951374207188,33.50951374207188,15.98290598290598,4.017094017094023,历史1/4次成功; 当前距低点4.02%; 最新日涨幅-1.30%; 状态bottom_area; 底部已确认
22,52.893818895880706,47.36031168831166,002605,姚记科技,bottom_area,2025-12-30,23.28,2025-12-17,22.4,3.9285714285714404,6.517857142857148,27.71861890932559,False,-0.0858,1.1561,1,5,1,20.0,23.2121212121212,23.2121212121212,16.071428571428562,3.9285714285714404,历史1/5次成功; 当前距低点3.93%; 最新日涨幅-0.09%; 状态bottom_area; 底部未确认
