rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.33321183235567,87.5221675249846,000619,海螺新材,bottom_area,2025-11-27,6.37,2025-11-21,6.19,2.9079159935379595,6.1389337641357,27.85547785547785,False,0.0,3.0708,4,4,4,100.0,30.81836553898465,43.133047210300425,12.09208400646204,2.9079159935379595,历史4/4次成功; 当前距低点2.91%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
14,81.14636095897181,75.79907471582096,002664,信质集团,bottom_area,2025-11-27,22.73,2025-11-24,21.89,3.837368661489264,5.984467793513014,30.727848101265824,False,-0.2633,1.8738,2,2,2,100.0,34.990727225895085,52.526315789473685,11.162631338510735,3.837368661489264,历史2/2次成功; 当前距低点3.84%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
15,80.51542682926829,70.01341463414634,002321,华英农业,bottom_area,2025-11-27,2.76,2025-11-25,2.76,0.0,6.521739130434789,28.497409326424872,False,-1.7794,2.9294,1,1,1,100.0,25.609756097560986,25.609756097560986,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-1.78%; 状态bottom_area; 底部未确认
16,80.1438629512031,73.00998332189623,603197,保隆科技,bottom_area,2025-11-27,34.95,2025-11-21,34.1,2.4926686217008838,3.988269794721406,27.431368376250266,False,0.3445,0.8694,4,6,4,66.66666666666666,19.927962971546176,23.07435811937312,12.507331378299117,2.4926686217008838,历史4/6次成功; 当前距低点2.49%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
17,80.13007393700651,74.71644749021004,688766,普冉股份,bottom_area,2025-11-27,124.49,2025-11-21,120.0,3.7416666666666627,7.816666666666664,28.22966507177033,False,0.0,0.0,1,1,1,100.0,22.190577904355056,22.190577904355056,11.258333333333336,3.7416666666666627,历史1/1次成功; 当前距低点3.74%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
18,79.77423415061193,75.84248808214156,002300,太阳电缆,bottom_area,2025-11-27,6.79,2025-11-24,6.48,4.783950617283944,11.88271604938271,27.027027027027028,True,-1.0204,2.8492,2,2,2,100.0,37.633846718005124,38.41584158415842,10.216049382716056,4.783950617283944,历史2/2次成功; 当前距低点4.78%; 最新日涨幅-1.02%; 状态bottom_area; 底部已确认
19,79.54974445944069,73.06815081781642,300730,科创信息,bottom_area,2025-11-27,13.68,2025-11-24,13.29,2.934537246049666,8.803611738148998,31.84615384615385,True,-0.2915,3.7677,3,4,3,75.0,20.881159886073412,24.329896907216508,12.065462753950333,2.934537246049666,历史3/4次成功; 当前距低点2.93%; 最新日涨幅-0.29%; 状态bottom_area; 底部已确认
20,79.40383215261461,75.5430299409802,688008,澜起科技,bottom_area,2025-11-27,117.4,2025-11-24,112.0,4.8214285714285765,9.124999999999998,29.506545820745217,True,0.2476,2.6261,3,4,3,75.0,34.8434789453621,62.20095693779905,10.178571428571423,4.8214285714285765,历史3/4次成功; 当前距低点4.82%; 最新日涨幅0.25%; 状态bottom_area; 底部已确认
21,78.67655073380611,73.65853404463056,688665,四方光电,bottom_area,2025-11-27,47.53,2025-11-21,45.72,3.9588801399825075,5.424321959755039,27.715415019762844,False,0.7632,0.6971,1,1,1,100.0,19.16548797736917,19.16548797736917,11.041119860017492,3.9588801399825075,历史1/1次成功; 当前距低点3.96%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
22,78.45724303696208,74.45895241508933,688249,晶合集成,bottom_area,2025-11-27,28.8,2025-11-24,27.51,4.689203925845144,7.77898945837876,27.02917771883289,True,-0.3805,1.6775,2,2,2,100.0,29.0340718603025,34.69735720375107,10.310796074154856,4.689203925845144,历史2/2次成功; 当前距低点4.69%; 最新日涨幅-0.38%; 状态bottom_area; 底部已确认
23,77.48693180726126,71.4873983739837,600094,大名城,bottom_area,2025-11-27,4.23,2025-11-21,4.1,3.170731707317093,8.292682926829286,30.743243243243246,True,-2.0833,1.2075,2,3,2,66.66666666666666,51.71595225176342,87.28070175438596,11.829268292682906,3.170731707317093,历史2/3次成功; 当前距低点3.17%; 最新日涨幅-2.08%; 状态bottom_area; 底部已确认
24,76.95232985754849,68.84698583982099,002208,合肥城建,bottom_area,2025-11-27,10.66,2025-11-26,10.5,1.5238095238095253,5.809523809523804,27.785419532324617,False,-0.0937,6.9292,2,3,2,66.66666666666666,24.80970369591419,27.071823204419903,13.476190476190474,1.5238095238095253,历史2/3次成功; 当前距低点1.52%; 最新日涨幅-0.09%; 状态bottom_area; 底部未确认
