rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.5288133369969,75.74559796888781,002300,太阳电缆,bottom_area,2025-04-02,6.1,2025-04-02,6.05,0.8264462809917326,3.4710743801652884,31.171786120591577,False,-1.1345,8.9062,2,2,2,100.0,37.633846718005124,38.41584158415842,19.173553719008268,0.8264462809917326,历史2/2次成功; 当前距低点0.83%; 最新日涨幅-1.13%; 状态bottom_area; 底部未确认
13,71.61408466760925,62.33235431235431,002123,梦网科技,bottom_area,2025-04-02,14.64,2025-03-31,14.3,2.3776223776223766,4.055944055944057,30.141670737664867,False,0.5495,2.7981,1,3,1,33.33333333333333,54.50450450450449,54.50450450450449,17.622377622377623,2.3776223776223766,历史1/3次成功; 当前距低点2.38%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
14,71.43662357008452,62.596553395377086,301366,一博科技,bottom_area,2025-04-02,53.15,2025-03-31,51.73,2.7450222308138446,4.484825053160643,31.483443708609276,False,0.3019,4.0186,1,2,1,50.0,36.479591836734706,36.479591836734706,17.254977769186155,2.7450222308138446,历史1/2次成功; 当前距低点2.75%; 最新日涨幅0.30%; 状态bottom_area; 底部未确认
15,68.05040504478002,59.52931084786843,000665,湖北广电,bottom_area,2025-04-02,5.03,2025-03-31,4.9,2.6530612244897935,8.367346938775494,27.83505154639175,True,-0.5929,4.1207,2,6,2,33.33333333333333,34.919124227805554,43.606557377049185,17.346938775510207,2.6530612244897935,历史2/6次成功; 当前距低点2.65%; 最新日涨幅-0.59%; 状态bottom_area; 底部已确认
16,68.02715929791293,61.05921207223544,688023,安恒信息,bottom_area,2025-04-02,52.77,2025-03-31,50.71,4.062315125221854,6.487872214553341,29.451864218141345,False,-0.5653,1.3223,2,4,2,50.0,33.50156213839389,39.261744966442954,15.937684874778146,4.062315125221854,历史2/4次成功; 当前距低点4.06%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
17,67.53305828454293,59.92440002420783,600097,开创国际,bottom_area,2025-04-02,9.64,2025-03-31,9.32,3.433476394849788,4.07725321888411,27.751937984496124,False,0.4167,2.3106,1,2,1,50.0,30.552291421856637,30.552291421856637,16.566523605150213,3.433476394849788,历史1/2次成功; 当前距低点3.43%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
18,66.84276587101778,58.11043786617329,002093,国脉科技,bottom_area,2025-04-02,11.06,2025-03-28,10.81,2.3126734505087883,8.140610545790924,31.926952141057935,True,-3.3217,7.3261,1,3,1,33.33333333333333,52.409638554216855,52.409638554216855,17.68732654949121,2.3126734505087883,历史1/3次成功; 当前距低点2.31%; 最新日涨幅-3.32%; 状态bottom_area; 底部已确认
19,66.79990884192729,59.40032544378697,600960,渤海汽车,bottom_area,2025-04-02,3.5,2025-03-31,3.38,3.550295857988169,5.917159763313615,30.737704918032787,False,1.7442,2.8339,1,4,1,25.0,69.9604743083004,69.9604743083004,16.449704142011832,3.550295857988169,历史1/4次成功; 当前距低点3.55%; 最新日涨幅1.74%; 状态bottom_area; 底部未确认
20,66.23752439235093,57.10290070130257,688111,金山办公,bottom_area,2025-04-02,297.86,2025-03-31,292.44,1.8533716317877227,4.270961564765425,27.251921689594273,False,0.8055,0.584,1,5,1,20.0,27.68058076225045,27.68058076225045,18.146628368212276,1.8533716317877227,历史1/5次成功; 当前距低点1.85%; 最新日涨幅0.81%; 状态bottom_area; 底部未确认
21,65.30712649131424,57.54327609320114,300397,天和防务,bottom_area,2025-04-02,12.17,2025-03-31,11.81,3.0482641828958457,8.552074513124468,28.42424242424242,True,-1.2976,5.2317,1,3,1,33.33333333333333,45.75260804769001,45.75260804769001,16.951735817104154,3.0482641828958457,历史1/3次成功; 当前距低点3.05%; 最新日涨幅-1.30%; 状态bottom_area; 底部已确认
22,65.30479604599483,58.178343169898824,300386,飞天诚信,bottom_area,2025-04-02,14.76,2025-03-31,14.24,3.651685393258424,4.6348314606741585,30.536585365853657,False,1.304,2.6574,3,9,3,33.33333333333333,26.61748673760595,31.195335276967924,16.348314606741575,3.651685393258424,历史3/9次成功; 当前距低点3.65%; 最新日涨幅1.30%; 状态bottom_area; 底部未确认
23,64.977912672635,56.852600475016445,600203,福日电子,bottom_area,2025-04-02,9.25,2025-03-31,9.01,2.663706992230857,4.550499445061045,32.50936329588015,False,0.1082,3.2902,1,3,1,33.33333333333333,24.045801526717554,24.045801526717554,17.336293007769143,2.663706992230857,历史1/3次成功; 当前距低点2.66%; 最新日涨幅0.11%; 状态bottom_area; 底部未确认
24,64.62471054051197,56.84669931646818,600693,东百集团,bottom_area,2025-04-02,5.92,2025-03-31,5.75,2.9565217391304333,10.956521739130434,28.571428571428577,False,-1.3333,3.5529,1,2,1,50.0,30.632090761750412,30.632090761750412,17.04347826086957,2.9565217391304333,历史1/2次成功; 当前距低点2.96%; 最新日涨幅-1.33%; 状态bottom_area; 底部未确认
25,64.44816221388338,56.347992994183436,300377,赢时胜,bottom_area,2025-04-02,24.25,2025-04-01,23.63,2.6237833262801566,7.363520947947533,28.393939393939398,False,1.9336,5.062,1,3,1,33.33333333333333,20.843471208434714,20.843471208434714,17.376216673719842,2.6237833262801566,历史1/3次成功; 当前距低点2.62%; 最新日涨幅1.93%; 状态bottom_area; 底部未确认
26,63.74107330363045,56.58660397074191,301428,世纪恒通,bottom_area,2025-04-02,40.97,2025-03-31,39.6,3.4595959595959527,8.005050505050509,27.999999999999996,True,-0.4616,3.8208,1,2,1,50.0,26.206896551724135,26.206896551724135,16.54040404040405,3.4595959595959527,历史1/2次成功; 当前距低点3.46%; 最新日涨幅-0.46%; 状态bottom_area; 底部已确认
27,63.72856559111129,57.179919414880096,300676,华大基因,bottom_area,2025-04-02,53.28,2025-03-31,51.21,4.042179261862918,6.22925209919937,27.155049786628734,False,0.6993,0.9139,1,2,1,50.0,23.258538343696497,23.258538343696497,15.957820738137082,4.042179261862918,历史1/2次成功; 当前距低点4.04%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
28,63.492359124868486,56.38783659378597,000890,法尔胜,bottom_area,2025-04-02,3.27,2025-03-31,3.16,3.4810126582278436,5.379746835443036,27.853881278538807,False,0.0,2.393,1,4,1,25.0,32.954545454545446,32.954545454545446,16.518987341772156,3.4810126582278436,历史1/4次成功; 当前距低点3.48%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
29,63.246436834451124,56.81559577572429,002599,盛通股份,bottom_area,2025-04-02,9.63,2025-03-31,9.25,4.108108108108117,6.162162162162165,31.53219837157661,False,0.8377,3.9634,1,2,1,50.0,22.107969151670947,22.107969151670947,15.891891891891884,4.108108108108117,历史1/2次成功; 当前距低点4.11%; 最新日涨幅0.84%; 状态bottom_area; 底部未确认
30,62.826102599541656,55.746908462867,002730,电光科技,bottom_area,2025-04-02,15.97,2025-03-31,15.44,3.4326424870466394,5.375647668393783,31.071428571428566,False,-0.1251,1.6942,1,3,1,33.33333333333333,113.1578947368421,113.1578947368421,16.56735751295336,3.4326424870466394,历史1/3次成功; 当前距低点3.43%; 最新日涨幅-0.13%; 状态bottom_area; 底部未确认
31,62.544201709139095,57.01746812659367,300451,创业慧康,bottom_area,2025-04-02,6.19,2025-03-31,5.9,4.915254237288136,8.3050847457627,27.60736196319018,True,0.1618,3.6911,1,2,1,50.0,23.89380530973452,23.89380530973452,15.084745762711865,4.915254237288136,历史1/2次成功; 当前距低点4.92%; 最新日涨幅0.16%; 状态bottom_area; 底部已确认
32,60.646689096384264,54.928030642934054,300746,汉嘉数智,bottom_area,2025-04-02,12.16,2025-03-31,11.63,4.557179707652616,5.4170249355115985,27.584059775840586,False,1.5025,1.6352,1,3,1,33.33333333333333,36.90896259703598,36.90896259703598,15.442820292347385,4.557179707652616,历史1/3次成功; 当前距低点4.56%; 最新日涨幅1.50%; 状态bottom_area; 底部未确认
33,60.029665436347486,53.01276541820912,002178,延华智能,bottom_area,2025-04-02,6.18,2025-03-31,5.99,3.171953255425701,4.674457429048403,27.305825242718445,False,0.1621,1.4658,1,6,1,16.666666666666664,29.076086956521735,29.076086956521735,16.828046744574298,3.171953255425701,历史1/6次成功; 当前距低点3.17%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
34,59.82043329799589,53.78881502347419,002279,久其软件,bottom_area,2025-04-02,6.51,2025-03-31,6.25,4.159999999999997,6.079999999999998,28.977272727272734,False,0.6182,1.8595,1,3,1,33.33333333333333,25.915492957746476,25.915492957746476,15.840000000000003,4.159999999999997,历史1/3次成功; 当前距低点4.16%; 最新日涨幅0.62%; 状态bottom_area; 底部未确认
35,59.03159479191787,50.77061359654744,601798,蓝科高新,bottom_area,2025-04-02,6.49,2025-03-31,6.38,1.724137931034488,5.799373040752353,29.96706915477497,False,-1.6667,3.1722,1,6,1,16.666666666666664,21.74721189591078,21.74721189591078,18.275862068965512,1.724137931034488,历史1/6次成功; 当前距低点1.72%; 最新日涨幅-1.67%; 状态bottom_area; 底部未确认
36,58.68305694089513,52.43529020672303,300721,怡达股份,bottom_area,2025-04-02,14.15,2025-03-31,13.63,3.8151137197358733,9.170946441672779,31.5075376884422,True,-2.2115,13.3743,2,7,2,28.57142857142857,21.34120308298442,22.270742358078603,16.184886280264127,3.8151137197358733,历史2/7次成功; 当前距低点3.82%; 最新日涨幅-2.21%; 状态bottom_area; 底部已确认
37,56.66408959289367,50.34579287722587,002342,巨力索具,bottom_area,2025-04-02,5.02,2025-04-02,4.85,3.5051546391752564,7.628865979381446,29.093567251461995,False,-6.8646,23.5065,1,4,1,25.0,33.45454545454545,33.45454545454545,16.494845360824744,3.5051546391752564,历史1/4次成功; 当前距低点3.51%; 最新日涨幅-6.86%; 状态bottom_area; 底部未确认
38,56.26108136879303,51.21011927998265,300671,富满微,bottom_area,2025-04-02,27.78,2025-03-31,26.5,4.830188679245287,14.943396226415098,30.023765513599148,False,0.036,2.0498,1,3,1,33.33333333333333,20.266753415744958,20.266753415744958,15.169811320754715,4.830188679245287,历史1/3次成功; 当前距低点4.83%; 最新日涨幅0.04%; 状态bottom_area; 底部未确认
39,55.09555029585799,45.91295857988166,002347,泰尔股份,bottom_area,2025-04-02,6.72,2025-04-02,6.72,0.0,0.0,32.59779338014043,False,-10.0402,1.1899,1,5,1,20.0,29.585798816568047,29.585798816568047,20.0,0.0,历史1/5次成功; 当前距低点0.00%; 最新日涨幅-10.04%; 状态bottom_area; 底部未确认
