code,name,latest_date,latest_close,current_stage,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,historical_valid_event_count
000987,越秀资本,2026-03-10,9.18,bottom_area,12.24,2026-03-04,8.88,3.378378378378366,5.067567567567559,27.45098039215686,25.000000000000007,False,3
600718,东软集团,2026-03-10,9.51,bottom_area,12.67,2026-03-09,9.22,3.14533622559652,4.88069414316702,27.229676400947113,24.940805051302288,False,4
003010,若羽臣,2026-03-10,28.98,bottom_area,40.2,2026-03-04,28.05,3.3155080213903734,4.741532976827088,30.22388059701493,27.910447761194035,False,1
300612,宣亚国际,2026-03-10,16.53,bottom_area,22.05,2026-03-04,15.78,4.7528517110266275,6.844106463878327,28.43537414965987,25.034013605442173,False,4
300803,指南针,2026-03-10,108.04,bottom_area,154.41,2026-03-09,107.15,0.8306112925804952,3.9010732617825408,30.606825982773135,30.03043844310601,False,2
603579,荣泰健康,2026-03-10,22.39,bottom_area,29.85,2026-03-09,21.5,4.139534883720933,4.186046511627901,27.97319932998325,24.991624790619767,False,1
300033,同花顺,2026-03-10,321.01,bottom_area,435.0,2026-03-09,307.0,4.563517915309443,6.765472312703577,29.42528735632184,26.204597701149428,False,4
603486,科沃斯,2026-03-10,64.79,bottom_area,86.49,2026-03-09,62.01,4.483147879374308,4.886308659893579,28.303850156087407,25.089605734767012,False,1
301459,丰茂股份,2026-03-10,40.37,bottom_area,54.99,2026-03-04,38.46,4.966198647945909,4.966198647945909,30.06001091107474,26.586652118567017,False,1
002623,亚玛顿,2026-03-10,25.31,bottom_area,33.95,2026-03-09,24.23,4.457284358233587,6.438299628559631,28.630338733431522,25.44918998527247,False,1
