rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.51576566201773,86.52866795975945,600246,万通发展,bottom_area,2025-09-29,11.65,2025-09-26,11.4,2.1929824561403506,6.8421052631578885,29.28039702233251,False,2.193,4.9367,3,3,3,100.0,33.379935267523855,64.73317865429235,12.80701754385965,2.1929824561403506,历史3/3次成功; 当前距低点2.19%; 最新日涨幅2.19%; 状态bottom_area; 底部未确认
12,70.24713300492614,65.29380952380954,000718,苏宁环球,bottom_area,2025-09-29,2.61,2025-09-29,2.52,3.571428571428566,4.36507936507936,32.800000000000004,False,0.7722,3.8192,2,4,2,50.0,27.77777777777778,36.111111111111114,11.428571428571434,3.571428571428566,历史2/4次成功; 当前距低点3.57%; 最新日涨幅0.77%; 状态bottom_area; 底部未确认
13,69.01632073124252,64.1133154188461,000037,深南电A,bottom_area,2025-09-29,8.48,2025-09-23,8.19,3.5409035409035527,5.616605616605627,28.220858895705526,False,-1.0502,1.571,5,9,5,55.55555555555556,31.492938726974817,45.16765285996055,11.459096459096447,3.5409035409035527,历史5/9次成功; 当前距低点3.54%; 最新日涨幅-1.05%; 状态bottom_area; 底部未确认
14,66.292474390437,62.436770819318646,000545,金浦钛业,bottom_area,2025-09-29,2.68,2025-09-29,2.57,4.280155642023359,4.669260700389109,32.36842105263158,False,3.4749,8.6604,3,6,3,50.0,21.104976791031703,24.6875,10.71984435797664,4.280155642023359,历史3/6次成功; 当前距低点4.28%; 最新日涨幅3.47%; 状态bottom_area; 底部未确认
15,65.80075667490947,60.01432843485137,002622,皓宸医疗,bottom_area,2025-09-29,3.21,2025-09-29,3.13,2.5559105431309925,8.945686900958474,27.03962703962704,False,-6.9565,10.9239,3,6,3,50.0,19.63335738274207,20.819112627986343,12.444089456869007,2.5559105431309925,历史3/6次成功; 当前距低点2.56%; 最新日涨幅-6.96%; 状态bottom_area; 底部未确认
16,65.65650725924738,59.69259641655403,601669,中国电建,bottom_area,2025-09-29,5.58,2025-09-29,5.45,2.3853211009174293,2.568807339449535,30.484693877551017,False,1.2704,1.4588,1,2,1,50.0,16.457680250783696,16.457680250783696,12.614678899082572,2.3853211009174293,历史1/2次成功; 当前距低点2.39%; 最新日涨幅1.27%; 状态bottom_area; 底部未确认
17,64.28852246020563,60.35160755853759,603839,安正时尚,bottom_area,2025-09-29,8.37,2025-09-23,8.04,4.1044776119403,9.328358208955224,30.569948186528507,True,0.601,2.0562,1,2,1,50.0,31.88073394495412,31.88073394495412,10.8955223880597,4.1044776119403,历史1/2次成功; 当前距低点4.10%; 最新日涨幅0.60%; 状态bottom_area; 底部已确认
18,63.75511935304901,59.259566065334,000926,福星股份,bottom_area,2025-09-29,2.61,2025-09-29,2.52,3.571428571428566,3.9682539682539715,27.79369627507164,False,0.3846,2.4988,1,2,1,50.0,28.668941979522177,28.668941979522177,11.428571428571434,3.571428571428566,历史1/2次成功; 当前距低点3.57%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
19,63.73106501132688,57.51496314496317,002115,三维通信,bottom_area,2025-09-29,10.77,2025-09-29,10.56,1.9886363636363549,2.46212121212121,28.888888888888886,False,1.4124,8.4946,1,4,1,25.0,20.720720720720706,20.720720720720706,13.011363636363644,1.9886363636363549,历史1/4次成功; 当前距低点1.99%; 最新日涨幅1.41%; 状态bottom_area; 底部未确认
20,61.77345126662849,56.2324601773449,000096,广聚能源,bottom_area,2025-09-29,11.28,2025-09-23,11.01,2.452316076294274,5.812897366030886,28.039215686274517,False,-0.6167,0.7882,1,2,1,50.0,21.149144254278735,21.149144254278735,12.547683923705724,2.452316076294274,历史1/2次成功; 当前距低点2.45%; 最新日涨幅-0.62%; 状态bottom_area; 底部未确认
21,60.651240972542666,53.52924833877062,000679,大连友谊,bottom_area,2025-09-29,7.61,2025-09-29,7.55,0.7947019867549735,4.768211920529806,28.503787878787882,False,-1.8065,3.8489,3,8,3,37.5,19.88531649769868,24.94061757719715,14.205298013245027,0.7947019867549735,历史3/8次成功; 当前距低点0.79%; 最新日涨幅-1.81%; 状态bottom_area; 底部未确认
22,60.00081651401713,56.70837313931667,002059,云南旅游,bottom_area,2025-09-29,6.08,2025-09-29,5.82,4.46735395189003,6.013745704467348,28.0593325092707,False,1.3333,8.1782,1,2,1,50.0,25.935162094763093,25.935162094763093,10.532646048109969,4.46735395189003,历史1/2次成功; 当前距低点4.47%; 最新日涨幅1.33%; 状态bottom_area; 底部未确认
23,59.36861588712967,52.31859275053302,301551,无线传媒,bottom_area,2025-09-29,38.07,2025-09-29,37.8,0.7142857142857226,5.820105820105828,27.90387182910548,False,-7.5971,7.4795,1,2,1,50.0,28.855721393034813,28.855721393034813,14.285714285714276,0.7142857142857226,历史1/2次成功; 当前距低点0.71%; 最新日涨幅-7.60%; 状态bottom_area; 底部未确认
24,54.6399085501241,50.96637503556476,603057,紫燕食品,bottom_area,2025-09-29,19.59,2025-09-23,18.88,3.7605932203389876,8.050847457627116,28.267477203647424,True,-0.2546,0.5197,1,3,1,33.33333333333333,19.124700239808163,19.124700239808163,11.239406779661012,3.7605932203389876,历史1/3次成功; 当前距低点3.76%; 最新日涨幅-0.25%; 状态bottom_area; 底部已确认
