rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
22,88.8264720152212,81.64514285714286,300446,航天智造,bottom_area,2022-10-11,9.01,2022-10-10,8.75,2.971428571428569,5.028571428571423,32.69230769230769,False,2.6196,1.5044,1,1,1,100.0,51.92697768762679,51.92697768762679,12.02857142857143,2.971428571428569,历史1/1次成功; 当前距低点2.97%; 最新日涨幅2.62%; 状态bottom_area; 底部未确认
23,88.59703133646887,78.96532087582372,688008,澜起科技,bottom_area,2022-10-11,42.96,2022-10-11,42.4,1.3207547169811376,5.990566037735847,29.45091514143095,False,-2.585,1.0475,2,2,2,100.0,21.16473994914362,26.340468909276254,13.679245283018862,1.3207547169811376,历史2/2次成功; 当前距低点1.32%; 最新日涨幅-2.58%; 状态bottom_area; 底部未确认
24,88.58844554567798,79.36394511831378,300579,数字认证,bottom_area,2022-10-11,19.1,2022-10-11,18.8,1.5957446808510676,2.8191489361702,27.30085073472544,False,0.2099,0.6603,1,1,1,100.0,20.872274143302178,20.872274143302178,13.404255319148934,1.5957446808510676,历史1/1次成功; 当前距低点1.60%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
25,88.26504501842501,81.20431768860901,000816,智慧农业,bottom_area,2022-10-11,3.41,2022-10-11,3.31,3.021148036253779,3.32326283987915,28.04347826086956,False,1.4881,1.0763,1,1,1,100.0,48.23943661971832,48.23943661971832,11.978851963746221,3.021148036253779,历史1/1次成功; 当前距低点3.02%; 最新日涨幅1.49%; 状态bottom_area; 底部未确认
26,88.1877493082964,78.93056655670073,600210,紫江企业,bottom_area,2022-10-11,4.6,2022-10-11,4.53,1.5452538631346444,2.6490066225165583,28.09523809523809,False,0.2179,0.3976,1,1,1,100.0,17.92336217552533,17.92336217552533,13.454746136865356,1.5452538631346444,历史1/1次成功; 当前距低点1.55%; 最新日涨幅0.22%; 状态bottom_area; 底部未确认
27,87.74108453487304,78.56598400532233,688171,纬德信息,bottom_area,2022-10-11,18.77,2022-10-10,18.48,1.5692640692640647,2.3809523809523876,31.75775480059084,False,0.9683,0.6455,1,1,1,100.0,16.257559587335468,16.257559587335468,13.430735930735935,1.5692640692640647,历史1/1次成功; 当前距低点1.57%; 最新日涨幅0.97%; 状态bottom_area; 底部未确认
28,87.48093940546498,78.66349477682809,600126,杭钢股份,bottom_area,2022-10-11,3.97,2022-10-11,3.9,1.7948717948718023,2.051282051282053,31.698774080560423,False,1.2755,0.2487,1,1,1,100.0,19.54732510288064,19.54732510288064,13.205128205128197,1.7948717948718023,历史1/1次成功; 当前距低点1.79%; 最新日涨幅1.28%; 状态bottom_area; 底部未确认
29,87.44635539183875,79.93827896821479,002034,旺能环境,bottom_area,2022-10-11,18.02,2022-10-10,17.55,2.6780626780626715,4.216524216524207,27.419354838709676,False,0.8394,0.3291,1,1,1,100.0,37.22721437740692,37.22721437740692,12.321937321937328,2.6780626780626715,历史1/1次成功; 当前距低点2.68%; 最新日涨幅0.84%; 状态bottom_area; 底部未确认
30,87.39434912491677,79.23809828959149,300607,拓斯达,bottom_area,2022-10-11,11.42,2022-10-11,11.17,2.2381378692927485,2.5962399283795965,29.169308814204182,False,1.6014,0.8024,1,1,1,100.0,28.070175438596472,28.070175438596472,12.761862130707252,2.2381378692927485,历史1/1次成功; 当前距低点2.24%; 最新日涨幅1.60%; 状态bottom_area; 底部未确认
31,87.17796326652848,78.78381750828622,002405,四维图新,bottom_area,2022-10-11,11.38,2022-10-10,11.15,2.0627802690582997,4.21524663677129,29.47501581277672,False,1.5165,0.7323,1,1,1,100.0,23.478260869565215,23.478260869565215,12.937219730941699,2.0627802690582997,历史1/1次成功; 当前距低点2.06%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
32,87.13334976289214,79.44341245800518,000591,太阳能,bottom_area,2022-10-11,6.87,2022-10-10,6.7,2.53731343283582,4.1791044776119435,29.769392033542967,False,2.0802,0.8094,1,1,1,100.0,32.84132841328414,32.84132841328414,12.46268656716418,2.53731343283582,历史1/1次成功; 当前距低点2.54%; 最新日涨幅2.08%; 状态bottom_area; 底部未确认
33,86.97766846431783,80.61906687402798,000957,中通客车,bottom_area,2022-10-11,13.3,2022-09-30,12.86,3.4214618973561532,6.531881804043545,29.534246575342472,False,1.5267,7.0487,1,1,1,100.0,354.54545454545456,354.54545454545456,11.578538102643845,3.4214618973561532,历史1/1次成功; 当前距低点3.42%; 最新日涨幅1.53%; 状态bottom_area; 底部未确认
