rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.9792776351571,83.58510320038093,300643,万通智控,bottom_area,2026-03-27,16.59,23.66,2026-03-23,16.2,2.407407407407411,7.839506172839504,31.53000845308538,29.88165680473373,True,0.1207,2.137,2,2,2,100.0,27.655871447687197,31.090289608177173,17.59259259259259,2.407407407407411,历史2/2次成功; 当前距低点2.41%; 最新日涨幅0.12%; 状态bottom_area; 底部已确认
15,83.62583296929333,75.99926847081963,688377,迪威尔,bottom_area,2026-03-27,37.09,50.95,2026-03-27,35.41,4.744422479525578,5.930528099406952,30.500490677134458,27.203140333660446,False,2.2045,0.8537,1,1,1,100.0,41.37931034482759,41.37931034482759,15.255577520474423,4.744422479525578,历史1/1次成功; 当前距低点4.74%; 最新日涨幅2.20%; 状态bottom_area; 底部未确认
16,83.36375812256122,74.41815595584788,300542,新晨科技,bottom_area,2026-03-27,15.44,21.7,2026-03-27,14.88,3.763440860215045,4.301075268817196,31.428571428571423,28.847926267281103,False,1.6458,1.3194,5,7,5,71.42857142857143,32.75853135174146,61.233480176211465,16.236559139784955,3.763440860215045,历史5/7次成功; 当前距低点3.76%; 最新日涨幅1.65%; 状态bottom_area; 底部未确认
17,83.26592380700406,75.46526799387443,688007,光峰科技,bottom_area,2026-03-27,13.66,19.18,2026-03-23,13.06,4.5941807044410385,7.963246554364464,31.9082377476538,28.779979144942647,False,2.0927,1.1428,1,1,1,100.0,36.66666666666667,36.66666666666667,15.405819295558961,4.5941807044410385,历史1/1次成功; 当前距低点4.59%; 最新日涨幅2.09%; 状态bottom_area; 底部未确认
18,82.13575865392482,73.26373654866461,001328,登康口腔,bottom_area,2026-03-27,33.18,44.35,2026-03-23,31.99,3.7199124726477066,6.877149109096591,27.869222096956037,25.18602029312289,False,-0.0301,1.7514,1,1,1,100.0,36.58675799086758,36.58675799086758,16.280087527352293,3.7199124726477066,历史1/1次成功; 当前距低点3.72%; 最新日涨幅-0.03%; 状态bottom_area; 底部未确认
19,81.84306309931807,72.99007353506501,002639,雪人集团,bottom_area,2026-03-27,17.05,22.65,2026-03-24,16.44,3.710462287104619,7.1167883211678715,27.417218543046346,24.724061810154517,True,0.6494,4.8571,3,5,3,60.0,39.999610482062025,63.25301204819277,16.28953771289538,3.710462287104619,历史3/5次成功; 当前距低点3.71%; 最新日涨幅0.65%; 状态bottom_area; 底部已确认
20,81.6594379882271,73.72098697037171,603848,好太太,bottom_area,2026-03-27,15.49,21.38,2026-03-23,14.84,4.380053908355797,5.39083557951483,30.589335827876518,27.549111318989706,False,1.3743,0.4971,1,1,1,100.0,24.664031620553352,24.664031620553352,15.619946091644204,4.380053908355797,历史1/1次成功; 当前距低点4.38%; 最新日涨幅1.37%; 状态bottom_area; 底部未确认
21,80.56962008221433,72.24268630110842,301687,新广益,bottom_area,2026-03-27,55.82,74.4,2026-03-27,53.67,4.005962362586172,4.695360536612625,27.862903225806456,24.9731182795699,False,-0.923,9.4424,1,1,1,100.0,34.60365853658537,34.60365853658537,15.99403763741383,4.005962362586172,历史1/1次成功; 当前距低点4.01%; 最新日涨幅-0.92%; 状态bottom_area; 底部未确认
22,80.34594298400611,71.91124102875379,002681,奋达科技,bottom_area,2026-03-27,5.32,7.11,2026-03-23,5.12,3.9062500000000036,8.007812500000004,27.988748241912802,25.17580872011252,True,0.5671,1.0851,2,3,2,66.66666666666666,38.82163635530716,46.084337349397586,16.09375,3.9062500000000036,历史2/3次成功; 当前距低点3.91%; 最新日涨幅0.57%; 状态bottom_area; 底部已确认
23,79.85755134749138,70.05245633552117,001696,宗申动力,bottom_area,2026-03-27,18.69,25.86,2026-03-27,18.18,2.8052805280528137,3.630363036303631,29.698375870069604,27.72621809744779,False,0.0,1.99,2,4,2,50.0,43.97040827678273,65.16853932584267,17.194719471947188,2.8052805280528137,历史2/4次成功; 当前距低点2.81%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
24,76.56496480381024,68.3057703497549,002590,万安科技,bottom_area,2026-03-27,12.24,16.25,2026-03-23,11.8,3.7288135593220293,8.3050847457627,27.38461538461538,24.676923076923078,False,1.0735,1.132,2,3,2,66.66666666666666,26.45590644270131,30.204778156996575,16.27118644067797,3.7288135593220293,历史2/3次成功; 当前距低点3.73%; 最新日涨幅1.07%; 状态bottom_area; 底部未确认
25,75.24317871165832,65.64881040892195,688232,新点软件,bottom_area,2026-03-27,22.06,30.57,2026-03-27,21.52,2.5092936802973935,3.5315985130111596,29.60418711154727,27.837749427543347,False,1.1463,0.4722,1,2,1,50.0,51.87398153177622,51.87398153177622,17.49070631970261,2.5092936802973935,历史1/2次成功; 当前距低点2.51%; 最新日涨幅1.15%; 状态bottom_area; 底部未确认
26,75.16608808514323,63.92629921259845,000625,长安汽车,bottom_area,2026-03-27,10.01,13.84,2026-03-27,9.9,1.1111111111111052,1.313131313131303,28.468208092485547,27.673410404624278,False,0.1,0.488,1,3,1,33.33333333333333,43.0446194225722,43.0446194225722,18.888888888888896,1.1111111111111052,历史1/3次成功; 当前距低点1.11%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
27,75.07118950349295,67.87630154022872,002457,青龙管业,bottom_area,2026-03-27,11.0,15.04,2026-03-23,10.53,4.463437796771137,6.457739791073139,29.986702127659576,26.86170212765957,False,0.7326,2.2204,2,3,2,66.66666666666666,33.152005646237896,42.51290877796902,15.536562203228865,4.463437796771137,历史2/3次成功; 当前距低点4.46%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
28,74.4486162352131,66.13146837242361,002676,顺威股份,bottom_area,2026-03-27,6.52,9.14,2026-03-23,6.3,3.492063492063488,6.349206349206354,31.07221006564552,28.665207877461718,False,0.3077,1.0999,2,4,2,50.0,31.308457711442777,39.33333333333333,16.507936507936513,3.492063492063488,历史2/4次成功; 当前距低点3.49%; 最新日涨幅0.31%; 状态bottom_area; 底部未确认
29,74.34315632638672,65.13241900647951,001288,运机集团,bottom_area,2026-03-27,28.54,38.88,2026-03-27,27.78,2.735781137508992,3.239740820734336,28.549382716049383,26.594650205761322,False,1.2416,1.4885,1,2,1,50.0,50.27272727272728,50.27272727272728,17.26421886249101,2.735781137508992,历史1/2次成功; 当前距低点2.74%; 最新日涨幅1.24%; 状态bottom_area; 底部未确认
30,74.04974895543755,64.17757157082224,300593,新雷能,bottom_area,2026-03-27,22.87,30.88,2026-03-27,22.39,2.143814202769095,3.5283608753907956,27.493523316062173,25.939119170984448,False,-0.131,2.2518,2,4,2,50.0,26.74982770503102,28.000000000000007,17.856185797230907,2.143814202769095,历史2/4次成功; 当前距低点2.14%; 最新日涨幅-0.13%; 状态bottom_area; 底部未确认
31,73.59073016873626,65.7643250475011,002045,国光电器,bottom_area,2026-03-27,11.68,16.38,2026-03-23,11.25,3.8222222222222197,6.222222222222216,31.318681318681314,28.69352869352869,False,1.0381,0.9781,4,8,4,50.0,33.38167588262236,40.89958158995815,16.17777777777778,3.8222222222222197,历史4/8次成功; 当前距低点3.82%; 最新日涨幅1.04%; 状态bottom_area; 底部未确认
32,73.03064595735921,64.32980782895899,688070,纵横股份,bottom_area,2026-03-27,47.91,64.48,2026-03-23,46.5,3.032258064516122,8.387096774193544,27.88461538461539,25.69789081885857,True,-0.2706,1.1445,3,6,3,50.0,29.265356000299764,34.23295454545453,16.96774193548388,3.032258064516122,历史3/6次成功; 当前距低点3.03%; 最新日涨幅-0.27%; 状态bottom_area; 底部已确认
33,72.85921412886316,63.088573513003176,000564,供销大集,bottom_area,2026-03-27,1.95,2.78,2026-03-27,1.91,2.094240837696337,2.6178010471204214,31.294964028776977,29.856115107913666,False,0.0,1.3788,1,2,1,50.0,31.147540983606568,31.147540983606568,17.905759162303664,2.094240837696337,历史1/2次成功; 当前距低点2.09%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
34,72.7489199007867,65.97036789105206,002829,星网宇达,bottom_area,2026-03-27,22.17,29.86,2026-03-24,21.19,4.624823029731006,6.654082114204813,29.03549899531145,25.75351640991292,False,2.0249,2.7319,3,5,3,60.0,22.66109891848788,24.36974789915967,15.375176970268994,4.624823029731006,历史3/5次成功; 当前距低点4.62%; 最新日涨幅2.02%; 状态bottom_area; 底部未确认
35,71.40226084354633,64.97141655215917,603000,人民网,bottom_area,2026-03-27,19.6,27.18,2026-03-23,18.7,4.812834224598942,7.27272727272727,31.199411331861665,27.888153053715964,True,0.3584,1.1324,3,6,3,50.0,32.068164431423405,48.493150684931514,15.18716577540106,4.812834224598942,历史3/6次成功; 当前距低点4.81%; 最新日涨幅0.36%; 状态bottom_area; 底部已确认
36,70.27147644257951,61.41272132034632,002605,姚记科技,bottom_area,2026-03-27,20.52,27.66,2026-03-23,20.0,2.599999999999998,5.3999999999999915,27.69342010122921,25.813449023861175,False,1.2833,1.21,2,6,2,33.33333333333333,31.11498917748918,39.01785714285715,17.400000000000006,2.599999999999998,历史2/6次成功; 当前距低点2.60%; 最新日涨幅1.28%; 状态bottom_area; 底部未确认
37,69.6670500262506,60.63977030453926,603353,和顺石油,bottom_area,2026-03-27,33.99,49.0,2026-03-24,33.2,2.379518072289154,6.957831325301189,32.24489795918367,30.632653061224485,False,0.3839,3.2477,2,6,2,33.33333333333333,24.256656860350496,27.079174983366617,17.620481927710845,2.379518072289154,历史2/6次成功; 当前距低点2.38%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
38,69.29715208302905,61.29285369689323,688114,华大智造,bottom_area,2026-03-27,50.08,69.85,2026-03-27,48.5,3.257731958762883,4.020618556701037,30.565497494631348,28.303507516105935,False,1.3355,0.6521,2,5,2,40.0,24.08861592942264,27.745919717688572,16.742268041237118,3.257731958762883,历史2/5次成功; 当前距低点3.26%; 最新日涨幅1.34%; 状态bottom_area; 底部未确认
39,69.29381953370824,61.60256836033331,688225,亚信安全,bottom_area,2026-03-27,16.98,23.2,2026-03-27,16.4,3.53658536585367,4.390243902439039,29.31034482758621,26.810344827586203,False,1.3126,0.419,2,5,2,40.0,29.171951583224075,36.786114221724524,16.463414634146332,3.53658536585367,历史2/5次成功; 当前距低点3.54%; 最新日涨幅1.31%; 状态bottom_area; 底部未确认
40,67.9988830222389,59.28861251417775,688027,国盾量子,bottom_area,2026-03-27,552.0,746.0,2026-03-27,538.68,2.47271107150814,3.7499071805153426,27.790884718498667,26.005361930294907,False,-1.0717,3.0585,2,6,2,33.33333333333333,40.60785174130632,54.833310085088584,17.52728892849186,2.47271107150814,历史2/6次成功; 当前距低点2.47%; 最新日涨幅-1.07%; 状态bottom_area; 底部未确认
41,67.8512995685387,60.71852161036193,002765,蓝黛科技,bottom_area,2026-03-27,10.13,13.66,2026-03-23,9.75,3.8974358974359053,6.256410256410251,28.62371888726208,25.841874084919468,False,0.5958,1.2172,2,5,2,40.0,28.84234116406334,29.470802919708017,16.102564102564095,3.8974358974359053,历史2/5次成功; 当前距低点3.90%; 最新日涨幅0.60%; 状态bottom_area; 底部未确认
42,67.0711662349388,58.39824785922235,000596,古井贡酒,bottom_area,2026-03-27,104.26,140.25,2026-03-27,101.82,2.39638577882539,3.18208603417797,27.401069518716582,25.661319073083778,False,1.4005,0.5542,1,3,1,33.33333333333333,29.07889301941346,29.07889301941346,17.603614221174613,2.39638577882539,历史1/3次成功; 当前距低点2.40%; 最新日涨幅1.40%; 状态bottom_area; 底部未确认
43,67.02645234907467,59.61636783784328,002373,千方科技,bottom_area,2026-03-27,9.59,13.46,2026-03-23,9.26,3.563714902807776,7.01943844492441,31.203566121842503,28.751857355126305,False,0.6296,1.1153,1,2,1,50.0,30.49267643142478,30.49267643142478,16.436285097192226,3.563714902807776,历史1/2次成功; 当前距低点3.56%; 最新日涨幅0.63%; 状态bottom_area; 底部未确认
44,66.4974548190904,59.199207974724885,301551,无线传媒,bottom_area,2026-03-27,28.39,40.65,2026-03-27,27.4,3.6131386861313946,4.0145985401459905,32.59532595325953,30.15990159901599,False,1.6834,2.1514,1,2,1,50.0,28.855721393034813,28.855721393034813,16.386861313868607,3.6131386861313946,历史1/2次成功; 当前距低点3.61%; 最新日涨幅1.68%; 状态bottom_area; 底部未确认
45,66.1752712950647,59.02286885245902,002093,国脉科技,bottom_area,2026-03-27,9.49,12.83,2026-03-23,9.15,3.7158469945355175,6.120218579234978,28.68277474668745,26.03273577552611,False,0.7431,0.7146,1,4,1,25.0,52.409638554216855,52.409638554216855,16.284153005464482,3.7158469945355175,历史1/4次成功; 当前距低点3.72%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
46,66.00764482540833,57.851622678396886,300458,全志科技,bottom_area,2026-03-27,35.04,48.2,2026-03-27,34.1,2.7565982404692013,4.252199413489723,29.253112033195023,27.302904564315362,False,0.9507,2.0552,1,6,1,16.666666666666664,50.49354593773728,50.49354593773728,17.243401759530798,2.7565982404692013,历史1/6次成功; 当前距低点2.76%; 最新日涨幅0.95%; 状态bottom_area; 底部未确认
47,65.78012867763199,57.9090021691974,002241,歌尔股份,bottom_area,2026-03-27,22.66,31.86,2026-03-24,22.0,3.0000000000000004,6.545454545454551,30.947897049591965,28.87633396107972,False,-0.2202,1.5323,1,2,1,50.0,36.8763557483731,36.8763557483731,17.0,3.0000000000000004,历史1/2次成功; 当前距低点3.00%; 最新日涨幅-0.22%; 状态bottom_area; 底部未确认
48,64.54320575537999,58.17262983976556,600318,新力金融,bottom_area,2026-03-27,7.78,10.23,2026-03-27,7.46,4.289544235924937,4.423592493297588,27.077223851417404,23.949169110459433,False,2.3684,2.8397,1,2,1,50.0,31.627906976744185,31.627906976744185,15.710455764075066,4.289544235924937,历史1/2次成功; 当前距低点4.29%; 最新日涨幅2.37%; 状态bottom_area; 底部未确认
49,64.12457073890339,57.42157422570373,002173,创新医疗,bottom_area,2026-03-27,25.1,33.52,2026-03-27,24.15,3.9337474120082936,5.465838509316772,27.95346062052507,25.11933174224344,False,0.8842,5.6105,2,6,2,33.33333333333333,26.006370923383365,27.109266943291825,16.06625258799171,3.9337474120082936,历史2/6次成功; 当前距低点3.93%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
50,63.14181336486082,54.34235847811166,002698,博实股份,bottom_area,2026-03-27,13.29,18.45,2026-03-27,13.06,1.7611026033690556,2.450229709035224,29.214092140921405,27.967479674796753,False,-0.524,0.8769,1,4,1,25.0,23.3477011494253,23.3477011494253,18.238897396630946,1.7611026033690556,历史1/4次成功; 当前距低点1.76%; 最新日涨幅-0.52%; 状态bottom_area; 底部未确认
51,62.897175242767204,57.32118452975594,002292,奥飞娱乐,bottom_area,2026-03-27,7.71,10.88,2026-03-24,7.35,4.897959183673474,7.346938775510205,32.44485294117648,29.136029411764714,True,1.4474,2.0513,1,2,1,50.0,25.31468531468532,25.31468531468532,15.102040816326529,4.897959183673474,历史1/2次成功; 当前距低点4.90%; 最新日涨幅1.45%; 状态bottom_area; 底部已确认
52,62.41985852450922,56.72649118431566,603511,爱慕股份,bottom_area,2026-03-27,13.69,18.01,2026-03-23,13.07,4.743687834736031,6.6564651874521745,27.42920599666852,23.986674069961143,False,0.81,0.3115,1,2,1,50.0,29.419889502762413,29.419889502762413,15.256312165263969,4.743687834736031,历史1/2次成功; 当前距低点4.74%; 最新日涨幅0.81%; 状态bottom_area; 底部未确认
53,61.91967016475839,55.151123223671426,301315,威士顿,bottom_area,2026-03-27,48.4,64.35,2026-03-27,46.7,3.640256959314766,4.154175588865091,27.428127428127418,24.78632478632478,False,1.6593,2.7164,1,3,1,33.33333333333333,26.868686868686865,26.868686868686865,16.359743040685235,3.640256959314766,历史1/3次成功; 当前距低点3.64%; 最新日涨幅1.66%; 状态bottom_area; 底部未确认
54,61.66004254021938,55.671813826146476,600185,珠免集团,bottom_area,2026-03-27,5.95,8.28,2026-03-24,5.7,4.385964912280701,5.438596491228063,31.159420289855067,28.14009661835748,False,2.0583,1.3152,1,3,1,33.33333333333333,38.80903490759753,38.80903490759753,15.6140350877193,4.385964912280701,历史1/3次成功; 当前距低点4.39%; 最新日涨幅2.06%; 状态bottom_area; 底部未确认
55,61.04886586995849,55.48723805555304,603681,永冠新材,bottom_area,2026-03-27,17.2,22.83,2026-03-24,16.42,4.750304506699132,5.2375152253349535,28.077091546211115,24.660534384581688,False,3.2413,5.0231,1,2,1,50.0,22.83834586466165,22.83834586466165,15.24969549330087,4.750304506699132,历史1/2次成功; 当前距低点4.75%; 最新日涨幅3.24%; 状态bottom_area; 底部未确认
56,60.6914525983335,55.28579208791393,300676,华大基因,bottom_area,2026-03-27,40.03,55.07,2026-03-23,38.17,4.872936861409482,10.400838354728842,30.68821499909206,27.31069547848193,False,2.5884,1.2439,1,2,1,50.0,23.258538343696497,23.258538343696497,15.127063138590518,4.872936861409482,历史1/2次成功; 当前距低点4.87%; 最新日涨幅2.59%; 状态bottom_area; 底部未确认
57,57.885565017110906,52.704007360365864,603767,中马传动,bottom_area,2026-03-27,18.39,25.0,2026-03-23,17.54,4.846066134549609,6.49942987457241,29.840000000000007,26.439999999999998,False,0.6018,0.4925,1,4,1,25.0,29.881925522252505,29.881925522252505,15.153933865450393,4.846066134549609,历史1/4次成功; 当前距低点4.85%; 最新日涨幅0.60%; 状态bottom_area; 底部未确认
