rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.77423172235515,82.81615386535792,002455,百川股份,bottom_area,2023-05-31,7.75,2023-05-05,7.63,1.572739187418088,7.86369593709044,28.691588785046722,True,-1.8987,0.7795,3,3,3,100.0,19.096769960597644,35.42600896860987,6.4272608125819115,1.572739187418088,历史3/3次成功; 当前距低点1.57%; 最新日涨幅-1.90%; 状态bottom_area; 底部已确认
25,77.12056924242528,72.0987647336162,000798,中水渔业,bottom_area,2023-05-31,10.05,2023-05-26,10.0,0.5000000000000071,3.499999999999996,29.72593113141251,False,-1.3739,1.6409,2,2,2,100.0,14.025616847399025,17.3015873015873,7.499999999999993,0.5000000000000071,历史2/2次成功; 当前距低点0.50%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
26,77.01532380998223,73.52143355288648,300729,乐歌股份,bottom_area,2023-05-31,14.73,2023-05-25,14.5,1.586206896551727,6.827586206896553,30.78758949880668,False,-2.2561,1.8986,1,1,1,100.0,11.817125145292525,11.817125145292525,6.413793103448273,1.586206896551727,历史1/1次成功; 当前距低点1.59%; 最新日涨幅-2.26%; 状态bottom_area; 底部未确认
27,76.49100355526144,71.56660502933805,688238,和元生物,bottom_area,2023-05-31,13.01,2023-05-30,12.94,0.5409582689335416,4.17310664605874,28.03114571746385,False,-1.8854,1.0009,2,2,2,100.0,11.666612271540478,11.958224543080954,7.459041731066458,0.5409582689335416,历史2/2次成功; 当前距低点0.54%; 最新日涨幅-1.89%; 状态bottom_area; 底部未确认
28,75.84317031334975,74.9941796008869,000890,法尔胜,bottom_area,2023-05-31,4.24,2023-05-19,4.1,3.4146341463414775,7.56097560975611,27.689594356261026,True,-0.7026,1.6105,1,1,1,100.0,32.954545454545446,32.954545454545446,4.585365853658523,3.4146341463414775,历史1/1次成功; 当前距低点3.41%; 最新日涨幅-0.70%; 状态bottom_area; 底部已确认
29,75.32943987739772,75.61362531482257,300762,上海瀚讯,bottom_area,2023-05-31,11.92,2023-05-10,11.44,4.195804195804199,6.206293706293714,27.50316856780735,False,0.5059,1.0313,1,1,1,100.0,32.580961727183514,32.580961727183514,3.8041958041958006,4.195804195804199,历史1/1次成功; 当前距低点4.20%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
30,74.96230649000456,70.34256347810893,600256,广汇能源,bottom_area,2023-05-31,7.26,2023-05-29,7.21,0.6934812760055453,5.547850208044388,29.10521140609636,False,-2.9412,1.4761,1,1,1,100.0,23.62204724409449,23.62204724409449,7.306518723994455,0.6934812760055453,历史1/1次成功; 当前距低点0.69%; 最新日涨幅-2.94%; 状态bottom_area; 底部未确认
31,74.75970299169782,69.8505782405839,002312,川发龙蟒,bottom_area,2023-05-31,8.56,2023-05-31,8.52,0.4694835680751282,3.286384976525835,27.36572890025576,False,-2.6166,0.9392,1,1,1,100.0,18.231186966640802,18.231186966640802,7.530516431924871,0.4694835680751282,历史1/1次成功; 当前距低点0.47%; 最新日涨幅-2.62%; 状态bottom_area; 底部未确认
32,74.31739020316795,69.69941983192498,002481,双塔食品,bottom_area,2023-05-31,4.54,2023-05-30,4.51,0.6651884700665244,3.5476718403547705,27.25806451612904,False,-1.5184,0.595,1,1,1,100.0,19.817470664928287,19.817470664928287,7.334811529933476,0.6651884700665244,历史1/1次成功; 当前距低点0.67%; 最新日涨幅-1.52%; 状态bottom_area; 底部未确认
33,74.10471720196482,69.47652549100664,001201,东瑞股份,bottom_area,2023-05-31,23.31,2023-05-30,23.16,0.6476683937823773,2.0293609671847963,31.842260153031187,False,-0.6817,0.4984,1,1,1,100.0,18.4043517679057,18.4043517679057,7.352331606217623,0.6476683937823773,历史1/1次成功; 当前距低点0.65%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
34,74.06285837515715,74.30062036031013,002370,亚太药业,confirmed_rebound,2023-05-31,4.25,2023-04-25,4.08,4.166666666666665,10.04901960784314,32.56198347107438,True,-1.1628,0.8742,3,3,3,100.0,15.325915915645853,15.633423180592995,3.8333333333333353,4.166666666666665,历史3/3次成功; 当前距低点4.17%; 最新日涨幅-1.16%; 状态confirmed_rebound; 底部已确认
35,73.06955283849773,68.78442924630254,603077,和邦生物,bottom_area,2023-05-31,2.35,2023-05-30,2.33,0.858369098712447,2.5751072961373414,29.819277108433727,False,-1.6736,0.5161,1,1,1,100.0,17.26618705035971,17.26618705035971,7.141630901287553,0.858369098712447,历史1/1次成功; 当前距低点0.86%; 最新日涨幅-1.67%; 状态bottom_area; 底部未确认
36,72.44704523282273,73.7187758275093,002690,美亚光电,confirmed_rebound,2023-05-31,24.81,2023-05-15,23.65,4.904862579281185,8.668076109936578,28.765060240963862,True,-2.3613,0.5666,3,3,3,100.0,21.246572625109707,27.355278093076052,3.0951374207188147,4.904862579281185,历史3/3次成功; 当前距低点4.90%; 最新日涨幅-2.36%; 状态confirmed_rebound; 底部已确认
37,72.3249703430809,72.9425651578696,300432,富临精工,confirmed_rebound,2023-05-31,10.11,2023-04-26,9.68,4.442148760330576,11.36363636363636,32.54355400696864,True,-1.462,0.6393,3,3,3,100.0,11.40142113668444,13.323239969719907,3.5578512396694246,4.442148760330576,历史3/3次成功; 当前距低点4.44%; 最新日涨幅-1.46%; 状态confirmed_rebound; 底部已确认
38,71.53142091515582,71.60001973646021,000670,盈方微,bottom_area,2023-05-31,6.68,2023-05-30,6.42,4.049844236760122,4.8286604361370795,29.682365826944146,False,0.9063,2.297,1,1,1,100.0,9.21325051759835,9.21325051759835,3.950155763239878,4.049844236760122,历史1/1次成功; 当前距低点4.05%; 最新日涨幅0.91%; 状态bottom_area; 底部未确认
39,69.88577137188611,70.80167387650128,601598,中国外运,bottom_area,2023-05-31,4.7,2023-05-25,4.49,4.677060133630288,6.45879732739421,27.110389610389607,False,-0.4237,0.6981,2,2,2,100.0,18.41597301708783,18.82640586797067,3.322939866369712,4.677060133630288,历史2/2次成功; 当前距低点4.68%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
40,69.23412214869828,69.58392240728627,002268,电科网安,confirmed_rebound,2023-05-31,29.6,2023-05-30,28.39,4.2620641070799605,10.954561465304682,32.725118483412324,False,3.4242,3.6811,1,1,1,100.0,11.190476190476202,11.190476190476202,3.73793589292004,4.2620641070799605,历史1/1次成功; 当前距低点4.26%; 最新日涨幅3.42%; 状态confirmed_rebound; 底部未确认
41,68.22491939602692,63.44214154146008,600984,建设机械,bottom_area,2023-05-31,4.51,2023-05-31,4.5,0.2222222222222175,2.2222222222222143,28.000000000000004,False,-1.9565,0.6786,2,3,2,66.66666666666666,19.63516957774231,20.21439509954057,7.777777777777782,0.2222222222222175,历史2/3次成功; 当前距低点0.22%; 最新日涨幅-1.96%; 状态bottom_area; 底部未确认
42,63.48430591305857,63.155381594082584,300727,润禾材料,confirmed_rebound,2023-05-31,26.42,2023-05-23,25.47,3.729878288182186,10.91480172752258,31.495427649273804,True,-1.3443,1.1901,2,3,2,66.66666666666666,22.273319486404827,26.812499999999993,4.270121711817814,3.729878288182186,历史2/3次成功; 当前距低点3.73%; 最新日涨幅-1.34%; 状态confirmed_rebound; 底部已确认
