rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.90286955132032,83.20343430165681,688237,超卓航科,bottom_area,2025-12-02,46.0,2025-12-02,45.31,1.5228426395939034,8.585301258000442,27.48079385403328,False,-7.7232,5.2449,5,5,5,100.0,23.309223225435044,41.301843317972356,8.477157360406098,1.5228426395939034,历史5/5次成功; 当前距低点1.52%; 最新日涨幅-7.72%; 状态bottom_area; 底部未确认
17,75.95536615848103,69.2277912761557,301177,迪阿股份,bottom_area,2025-12-02,29.79,2025-12-02,29.75,0.13445378151260218,3.1932773109243673,27.913738793312337,False,-2.2958,0.2962,1,1,1,100.0,10.776053215077603,10.776053215077603,9.865546218487399,0.13445378151260218,历史1/1次成功; 当前距低点0.13%; 最新日涨幅-2.30%; 状态bottom_area; 底部未确认
18,75.87063744132922,72.55913176537432,603938,三孚股份,bottom_area,2025-12-02,17.77,2025-11-21,17.31,2.657423454650496,8.08781051415368,27.45180217937972,False,-0.7263,1.5186,1,1,1,100.0,19.774501300954046,19.774501300954046,7.342576545349505,2.657423454650496,历史1/1次成功; 当前距低点2.66%; 最新日涨幅-0.73%; 状态bottom_area; 底部未确认
19,75.6395696310378,69.57614094636105,301291,明阳电气,bottom_area,2025-12-02,40.85,2025-11-24,40.6,0.6157635467980295,4.926108374384236,27.0440251572327,False,-2.4827,2.8387,1,1,1,100.0,18.54882705946537,18.54882705946537,9.384236453201972,0.6157635467980295,历史1/1次成功; 当前距低点0.62%; 最新日涨幅-2.48%; 状态bottom_area; 底部未确认
20,74.44803353913215,72.57964659703036,603197,保隆科技,bottom_area,2025-12-02,35.35,2025-11-21,34.1,3.6656891495601167,4.516129032258062,27.431368376250266,False,-0.254,0.7217,5,6,5,83.33333333333334,18.355293143516597,23.07435811937312,6.334310850439884,3.6656891495601167,历史5/6次成功; 当前距低点3.67%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
21,73.98544315884303,71.8274591565287,003038,鑫铂股份,bottom_area,2025-12-02,15.91,2025-11-24,15.38,3.4460338101430383,5.7867360208062335,28.76331635016211,False,-1.1801,1.6438,1,1,1,100.0,25.507614213197975,25.507614213197975,6.553966189856962,3.4460338101430383,历史1/1次成功; 当前距低点3.45%; 最新日涨幅-1.18%; 状态bottom_area; 底部未确认
22,73.10613944164892,68.212663038041,688337,普源精电,bottom_area,2025-12-02,36.41,2025-11-21,35.92,1.3641425389754869,5.066815144766148,28.159999999999997,False,-1.2208,0.7126,3,6,3,50.0,38.886602295188766,54.46153846153845,8.635857461024514,1.3641425389754869,历史3/6次成功; 当前距低点1.36%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
23,69.59080699563219,68.68063378216338,688665,四方光电,bottom_area,2025-12-02,47.69,2025-11-21,45.72,4.308836395450566,5.599300087489069,27.715415019762844,False,-1.0581,0.5286,1,1,1,100.0,19.16548797736917,19.16548797736917,5.691163604549435,4.308836395450566,历史1/1次成功; 当前距低点4.31%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
24,69.35020764013576,63.74776024901998,000002,万科A,bottom_area,2025-12-02,5.2,2025-12-01,5.17,0.5802707930367553,3.2882011605415844,27.591036414565824,False,0.0,1.7361,2,4,2,50.0,22.638589554536463,28.255902513328245,9.419729206963245,0.5802707930367553,历史2/4次成功; 当前距低点0.58%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
25,67.98478756756923,67.80414149715709,002213,大为股份,bottom_area,2025-12-02,27.4,2025-11-28,26.13,4.860313815537695,8.687332567929582,28.68449781659389,True,-1.4743,12.8343,3,4,3,75.0,16.186327938618494,20.248254460822338,5.139686184462305,4.860313815537695,历史3/4次成功; 当前距低点4.86%; 最新日涨幅-1.47%; 状态bottom_area; 底部已确认
26,67.74035174352929,66.67707688344387,300432,富临精工,confirmed_rebound,2025-12-02,15.74,2025-11-24,15.11,4.169424222369297,10.655195234943744,27.320827320827323,True,-2.7795,2.3712,3,4,3,75.0,11.872925324977777,13.323239969719907,5.8305757776307034,4.169424222369297,历史3/4次成功; 当前距低点4.17%; 最新日涨幅-2.78%; 状态confirmed_rebound; 底部已确认
27,66.11588395508011,60.451920255468636,600383,金地集团,bottom_area,2025-12-02,3.33,2025-12-01,3.32,0.3012048192771154,4.216867469879522,27.192982456140346,False,-0.597,2.3844,2,4,2,50.0,23.971329265701364,32.594936708860764,9.698795180722886,0.3012048192771154,历史2/4次成功; 当前距低点0.30%; 最新日涨幅-0.60%; 状态bottom_area; 底部未确认
28,63.63614423147387,63.18037954584111,688027,国盾量子,confirmed_rebound,2025-12-02,443.6,2025-11-24,424.0,4.622641509433968,10.584905660377357,30.491803278688522,True,-2.0751,2.8939,3,5,3,60.0,31.129044018013737,54.833310085088584,5.377358490566033,4.622641509433968,历史3/5次成功; 当前距低点4.62%; 最新日涨幅-2.08%; 状态confirmed_rebound; 底部已确认
29,62.256434367238604,62.22507092423245,002706,良信股份,bottom_area,2025-12-02,9.92,2025-11-24,9.45,4.973544973544981,5.925925925925932,27.083333333333343,False,-0.5015,1.3561,4,6,4,66.66666666666666,14.828423641120084,19.37406855439642,5.026455026455019,4.973544973544981,历史4/6次成功; 当前距低点4.97%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
30,61.7322359067698,58.53586935638808,002017,东信和平,bottom_area,2025-12-02,21.28,2025-11-24,20.82,2.2094140249759886,5.523535062439954,27.88361621059924,False,-2.6532,2.0248,1,3,1,33.33333333333333,50.390015600624025,50.390015600624025,7.790585975024012,2.2094140249759886,历史1/3次成功; 当前距低点2.21%; 最新日涨幅-2.65%; 状态bottom_area; 底部未确认
31,60.360324640373044,57.77428580617301,300687,赛意信息,bottom_area,2025-12-02,22.81,2025-11-24,22.21,2.7014858171994502,9.14002701485816,27.251883393383558,True,-2.145,1.8732,1,2,1,50.0,23.299319727891156,23.299319727891156,7.29851418280055,2.7014858171994502,历史1/2次成功; 当前距低点2.70%; 最新日涨幅-2.15%; 状态bottom_area; 底部已确认
32,55.682758635787955,53.75476459320496,002468,申通快递,bottom_area,2025-12-02,14.08,2025-11-21,13.65,3.150183150183148,6.2271062271062245,31.988041853512705,False,-1.676,0.8056,1,2,1,50.0,16.382699868938413,16.382699868938413,6.849816849816853,3.150183150183148,历史1/2次成功; 当前距低点3.15%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
33,53.53070650159982,49.020110758776994,688348,昱能科技,bottom_area,2025-12-02,52.6,2025-12-02,52.4,0.38167938931298256,2.8625954198473282,27.504150525733262,False,-2.4481,1.1255,1,3,1,33.33333333333333,16.27422813482398,16.27422813482398,9.618320610687018,0.38167938931298256,历史1/3次成功; 当前距低点0.38%; 最新日涨幅-2.45%; 状态bottom_area; 底部未确认
