rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.5023447171771,79.6773682007968,002755,奥赛康,bottom_area,2025-09-23,20.82,2025-09-23,20.44,1.8590998043052789,5.088062622309193,28.75566399442314,False,-2.7103,0.7757,2,2,2,100.0,31.59202018609052,32.35294117647059,13.140900195694721,1.8590998043052789,历史2/2次成功; 当前距低点1.86%; 最新日涨幅-2.71%; 状态bottom_area; 底部未确认
12,76.66054857071633,70.79190855704697,002181,粤传媒,bottom_area,2025-09-23,7.69,2025-09-23,7.45,3.2214765100671174,5.637583892617449,29.31688804554079,False,-2.4112,4.4591,1,1,1,100.0,17.187499999999993,17.187499999999993,11.778523489932882,3.2214765100671174,历史1/1次成功; 当前距低点3.22%; 最新日涨幅-2.41%; 状态bottom_area; 底部未确认
13,76.36058586636422,72.29878503461025,688166,博瑞医药,bottom_area,2025-09-23,74.02,2025-09-23,70.79,4.562791354711102,14.42294109337476,29.89006635634346,False,-9.511,7.9695,2,2,2,100.0,35.27929743737403,50.993377483443716,10.437208645288898,4.562791354711102,历史2/2次成功; 当前距低点4.56%; 最新日涨幅-9.51%; 状态bottom_area; 底部未确认
14,75.10180636962147,67.73236303789375,000037,深南电A,bottom_area,2025-09-23,8.35,2025-09-23,8.19,1.9536019536019553,3.663003663003672,28.220858895705526,False,-1.533,1.9384,5,9,5,55.55555555555556,31.492938726974817,45.16765285996055,13.046398046398044,1.9536019536019553,历史5/9次成功; 当前距低点1.95%; 最新日涨幅-1.53%; 状态bottom_area; 底部未确认
15,71.30013690159181,63.82178294573644,000718,苏宁环球,bottom_area,2025-09-23,2.62,2025-09-23,2.58,1.5503875968992262,4.651162790697678,31.2,False,-3.6765,9.3972,2,4,2,50.0,27.77777777777778,36.111111111111114,13.449612403100774,1.5503875968992262,历史2/4次成功; 当前距低点1.55%; 最新日涨幅-3.68%; 状态bottom_area; 底部未确认
16,69.74733977908465,62.21674698795181,601900,南方传媒,bottom_area,2025-09-23,12.62,2025-09-23,12.45,1.3654618473895577,2.409638554216873,30.756395995550616,False,-1.0196,0.768,1,2,1,50.0,39.999999999999986,39.999999999999986,13.634538152610443,1.3654618473895577,历史1/2次成功; 当前距低点1.37%; 最新日涨幅-1.02%; 状态bottom_area; 底部未确认
17,66.5239262628731,63.3069366414182,600316,洪都航空,bottom_area,2025-09-23,35.55,2025-09-16,33.91,4.836331465644355,9.407254497198482,28.565409732462616,True,-1.0576,1.7902,3,5,3,60.0,24.213830016598457,30.462519936204153,10.163668534355645,4.836331465644355,历史3/5次成功; 当前距低点4.84%; 最新日涨幅-1.06%; 状态bottom_area; 底部已确认
18,66.41997689327754,60.3904641428623,300584,海辰药业,bottom_area,2025-09-23,57.01,2025-09-23,55.68,2.3886494252873534,6.501436781609191,31.99804592085979,False,-4.0559,10.5473,2,5,2,40.0,41.271961465147655,54.23197492163009,12.611350574712645,2.3886494252873534,历史2/5次成功; 当前距低点2.39%; 最新日涨幅-4.06%; 状态bottom_area; 底部未确认
19,65.99586175400539,60.40650081498988,002759,天际股份,bottom_area,2025-09-23,14.59,2025-09-23,14.2,2.7464788732394405,7.887323943661979,29.000000000000004,False,-3.3775,13.791,2,4,2,50.0,24.07780992460108,27.166666666666668,12.253521126760559,2.7464788732394405,历史2/4次成功; 当前距低点2.75%; 最新日涨幅-3.38%; 状态bottom_area; 底部未确认
20,65.1882291215254,58.04931034482757,601669,中国电建,bottom_area,2025-09-23,5.57,2025-09-23,5.5,1.272727272727278,2.181818181818184,29.8469387755102,False,-1.0657,1.8437,1,2,1,50.0,16.457680250783696,16.457680250783696,13.727272727272721,1.272727272727278,历史1/2次成功; 当前距低点1.27%; 最新日涨幅-1.07%; 状态bottom_area; 底部未确认
21,65.1465306538225,58.60571432311742,000679,大连友谊,bottom_area,2025-09-23,7.84,2025-09-23,7.7,1.818181818181814,3.3766233766233738,27.083333333333336,False,-1.5075,2.1665,3,8,3,37.5,19.88531649769868,24.94061757719715,13.181818181818187,1.818181818181814,历史3/8次成功; 当前距低点1.82%; 最新日涨幅-1.51%; 状态bottom_area; 底部未确认
22,64.80142760181353,58.09622039532856,000096,广聚能源,bottom_area,2025-09-23,11.19,2025-09-23,11.01,1.6348773841961828,2.0890099909173516,28.039215686274517,False,-0.4448,1.4328,1,2,1,50.0,21.149144254278735,21.149144254278735,13.365122615803818,1.6348773841961828,历史1/2次成功; 当前距低点1.63%; 最新日涨幅-0.44%; 状态bottom_area; 底部未确认
23,58.547406896589195,53.26304209073659,600322,津投城开,bottom_area,2025-09-23,2.54,2025-09-23,2.48,2.4193548387096793,10.080645161290324,31.491712707182323,False,-7.6364,8.4507,1,4,1,25.0,35.828877005347586,35.828877005347586,12.580645161290322,2.4193548387096793,历史1/4次成功; 当前距低点2.42%; 最新日涨幅-7.64%; 状态bottom_area; 底部未确认
24,55.58330600687744,50.30335402919122,301378,通达海,bottom_area,2025-09-23,29.12,2025-09-23,28.51,2.1396001403016465,5.226236408277791,28.707176794198546,False,-3.0948,6.3736,1,4,1,25.0,16.487324457413823,16.487324457413823,12.86039985969835,2.1396001403016465,历史1/4次成功; 当前距低点2.14%; 最新日涨幅-3.09%; 状态bottom_area; 底部未确认
25,54.237173410333426,49.650866560988504,603057,紫燕食品,bottom_area,2025-09-23,19.4,2025-09-23,18.88,2.754237288135591,8.050847457627116,28.267477203647424,False,-3.9128,7.4265,1,3,1,33.33333333333333,19.124700239808163,19.124700239808163,12.245762711864408,2.754237288135591,历史1/3次成功; 当前距低点2.75%; 最新日涨幅-3.91%; 状态bottom_area; 底部未确认
26,54.19684100316535,49.63572072072074,002115,三维通信,bottom_area,2025-09-23,11.1,2025-09-23,10.8,2.7777777777777675,7.499999999999988,27.272727272727266,False,-3.7294,16.3521,1,4,1,25.0,20.720720720720706,20.720720720720706,12.222222222222232,2.7777777777777675,历史1/4次成功; 当前距低点2.78%; 最新日涨幅-3.73%; 状态bottom_area; 底部未确认
