rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.32937910488015,85.43864799900118,601886,江河集团,bottom_area,2024-07-18,4.68,2024-07-18,4.58,2.18340611353711,2.18340611353711,27.64612954186414,False,0.2141,0.6552,3,3,3,100.0,27.40222547239673,33.5540838852097,12.81659388646289,2.18340611353711,历史3/3次成功; 当前距低点2.18%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
17,85.24546692056163,78.261480457955,605099,共创草坪,bottom_area,2024-07-18,18.4,2024-07-09,17.88,2.908277404921698,9.060402684563766,28.96305125148988,True,-1.1815,0.1306,1,1,1,100.0,44.31372549019606,44.31372549019606,12.0917225950783,2.908277404921698,历史1/1次成功; 当前距低点2.91%; 最新日涨幅-1.18%; 状态bottom_area; 底部已确认
18,85.13396269003239,78.51247031970156,688151,华强科技,bottom_area,2024-07-18,11.46,2024-07-09,11.11,3.150315031503163,9.36093609360937,27.051871306631654,True,-1.0363,0.5996,2,2,2,100.0,31.9633795243483,32.022471910112344,11.849684968496836,3.150315031503163,历史2/2次成功; 当前距低点3.15%; 最新日涨幅-1.04%; 状态bottom_area; 底部已确认
19,85.0935810246099,77.05674743158382,603187,海容冷链,bottom_area,2024-07-18,10.82,2024-07-18,10.59,2.1718602455146407,2.3607176581680833,31.27839065541856,False,0.3711,0.7778,1,1,1,100.0,15.530047265361235,15.530047265361235,12.82813975448536,2.1718602455146407,历史1/1次成功; 当前距低点2.17%; 最新日涨幅0.37%; 状态bottom_area; 底部未确认
20,85.06069008210072,76.27984388936568,001308,康冠科技,bottom_area,2024-07-18,21.57,2024-07-09,21.22,1.649387370405285,6.456173421300665,29.101236217841635,False,-1.1457,2.0609,1,1,1,100.0,27.421758569299566,27.421758569299566,13.350612629594716,1.649387370405285,历史1/1次成功; 当前距低点1.65%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
21,84.41567485462393,78.11599762666692,605567,春雪食品,bottom_area,2024-07-18,7.44,2024-07-09,7.2,3.333333333333336,7.638888888888887,29.961089494163417,True,-0.9321,1.2467,2,2,2,100.0,32.07525605734906,36.46616541353383,11.666666666666664,3.333333333333336,历史2/2次成功; 当前距低点3.33%; 最新日涨幅-0.93%; 状态bottom_area; 底部已确认
22,84.36112472565351,77.0687830561718,600389,江山股份,bottom_area,2024-07-18,13.2,2024-07-18,12.86,2.6438569206842915,2.954898911353039,29.726775956284158,False,1.3825,0.8657,1,1,1,100.0,21.380520620064356,21.380520620064356,12.356143079315709,2.6438569206842915,历史1/1次成功; 当前距低点2.64%; 最新日涨幅1.38%; 状态bottom_area; 底部未确认
23,82.90505898834498,76.11497216859257,002077,大港股份,bottom_area,2024-07-18,10.61,2024-07-18,10.31,2.9097963142579912,4.46168768186226,27.13780918727915,False,-1.2104,2.1756,2,2,2,100.0,25.318858952154788,26.22826908541193,12.090203685742008,2.9097963142579912,历史2/2次成功; 当前距低点2.91%; 最新日涨幅-1.21%; 状态bottom_area; 底部未确认
24,82.73913557748163,77.1679624163045,002254,泰和新材,bottom_area,2024-07-18,8.29,2024-07-09,7.99,3.7546933667083717,8.760951188986224,31.416309012875537,True,-0.2407,0.7138,2,2,2,100.0,32.14335103440648,38.58695652173914,11.245306633291626,3.7546933667083717,历史2/2次成功; 当前距低点3.75%; 最新日涨幅-0.24%; 状态bottom_area; 底部已确认
25,82.52408165951033,76.90510796254134,603325,博隆技术,bottom_area,2024-07-18,61.2,2024-07-18,59.01,3.711235383833257,4.490764277241143,31.922011998154137,False,1.6442,1.2586,1,1,1,100.0,33.584541062801925,33.584541062801925,11.288764616166743,3.711235383833257,历史1/1次成功; 当前距低点3.71%; 最新日涨幅1.64%; 状态bottom_area; 底部未确认
26,79.72111207132,74.4799316929287,600970,中材国际,bottom_area,2024-07-18,10.26,2024-07-12,9.88,3.846153846153836,6.983805668016188,27.03101920236336,False,2.3952,0.7313,1,1,1,100.0,22.19979818365287,22.19979818365287,11.153846153846164,3.846153846153836,历史1/1次成功; 当前距低点3.85%; 最新日涨幅2.40%; 状态bottom_area; 底部未确认
