rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.05499679806675,83.85799726298396,600009,上海机场,bottom_area,2023-06-29,45.42,2023-06-06,44.82,1.3386880856760406,8.366800535475234,29.83719474013776,True,-2.0276,0.4707,3,3,3,100.0,21.829065044759854,27.704918032786885,13.66131191432396,1.3386880856760406,历史3/3次成功; 当前距低点1.34%; 最新日涨幅-2.03%; 状态bottom_area; 底部已确认
12,76.33020497623342,72.6302453567508,000657,中钨高新,bottom_area,2023-06-29,9.55,2023-06-14,9.11,4.8298572996707065,8.12294182217344,27.294493216280923,True,0.9514,0.4876,1,1,1,100.0,15.120000000000006,15.120000000000006,10.170142700329293,4.8298572996707065,历史1/1次成功; 当前距低点4.83%; 最新日涨幅0.95%; 状态bottom_area; 底部已确认
13,76.15614146400364,71.01814686570596,601086,国芳集团,bottom_area,2023-06-29,4.43,2023-06-26,4.27,3.747072599531619,5.152224824355987,28.83333333333334,False,-0.8949,1.0365,1,1,1,100.0,24.846625766871185,24.846625766871185,11.25292740046838,3.747072599531619,历史1/1次成功; 当前距低点3.75%; 最新日涨幅-0.89%; 状态bottom_area; 底部未确认
14,74.33300896604891,67.19780703680158,601666,平煤股份,bottom_area,2023-06-29,7.36,2023-06-26,7.21,2.0804438280166484,4.85436893203883,29.10521140609636,False,-2.2576,0.9105,2,3,2,66.66666666666666,22.766410204370302,27.30923694779115,12.919556171983352,2.0804438280166484,历史2/3次成功; 当前距低点2.08%; 最新日涨幅-2.26%; 状态bottom_area; 底部未确认
15,73.8180254542987,67.26231258171885,300688,创业黑马,bottom_area,2023-06-29,32.74,2023-06-28,31.94,2.5046963055729514,10.363180964308073,29.55447728275254,False,-0.9679,7.7114,2,3,2,66.66666666666666,28.3137284503145,39.651707970529145,12.495303694427049,2.5046963055729514,历史2/3次成功; 当前距低点2.50%; 最新日涨幅-0.97%; 状态bottom_area; 底部未确认
16,68.77832815297913,61.27434607020816,000792,盐湖股份,bottom_area,2023-06-29,18.74,2023-05-30,18.5,1.297297297297289,7.5675675675675595,29.49695121951219,True,-1.056,0.2453,1,2,1,50.0,24.904214559386965,24.904214559386965,13.70270270270271,1.297297297297289,历史1/2次成功; 当前距低点1.30%; 最新日涨幅-1.06%; 状态bottom_area; 底部已确认
17,66.32398502535078,61.13663424124513,002554,惠博普,bottom_area,2023-06-29,3.63,2023-06-26,3.52,3.1249999999999964,4.261363636363634,27.27272727272727,False,-0.5479,0.8599,2,4,2,50.0,22.428141081963094,28.404669260700388,11.875000000000002,3.1249999999999964,历史2/4次成功; 当前距低点3.12%; 最新日涨幅-0.55%; 状态bottom_area; 底部未确认
18,66.15862701434875,58.31014793360115,002545,东方铁塔,bottom_area,2023-06-29,6.98,2023-06-26,6.93,0.7215007215007319,2.0202020202020283,27.58620689655173,False,0.0,0.5291,1,2,1,50.0,28.468653648509758,28.468653648509758,14.278499278499268,0.7215007215007319,历史1/2次成功; 当前距低点0.72%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
19,59.7558494655294,55.46381646076923,688228,开普云,bottom_area,2023-06-29,52.11,2023-06-29,50.35,3.495531281032767,4.32969215491559,29.7768479776848,False,-0.1533,4.3992,1,2,1,50.0,29.80445043830074,29.80445043830074,11.504468718967233,3.495531281032767,历史1/2次成功; 当前距低点3.50%; 最新日涨幅-0.15%; 状态bottom_area; 底部未确认
20,58.85734961848224,54.50303135279684,603335,迪生力,bottom_area,2023-06-29,6.44,2023-06-27,6.23,3.370786516853932,4.654895666131607,27.134502923976612,False,0.3115,4.2719,1,3,1,33.33333333333333,20.081135902636923,20.081135902636923,11.629213483146067,3.370786516853932,历史1/3次成功; 当前距低点3.37%; 最新日涨幅0.31%; 状态bottom_area; 底部未确认
21,58.83685664207868,54.754299242424246,000545,金浦钛业,bottom_area,2023-06-29,2.85,2023-06-26,2.75,3.63636363636364,4.363636363636368,29.30591259640103,False,0.3521,0.4465,1,3,1,33.33333333333333,24.6875,24.6875,11.36363636363636,3.63636363636364,历史1/3次成功; 当前距低点3.64%; 最新日涨幅0.35%; 状态bottom_area; 底部未确认
22,57.57403970206395,53.46610712577715,002414,高德红外,bottom_area,2023-06-29,7.64,2023-06-28,7.38,3.5230352303523005,4.065040650406502,27.859237536656895,False,1.3263,0.3717,1,3,1,33.33333333333333,16.372549019607842,16.372549019607842,11.476964769647699,3.5230352303523005,历史1/3次成功; 当前距低点3.52%; 最新日涨幅1.33%; 状态bottom_area; 底部未确认
23,57.570461204824824,50.69309762679028,002146,荣盛发展,bottom_area,2023-06-29,1.5,2023-06-29,1.49,0.671140939597316,3.35570469798658,28.01932367149758,False,-3.2258,3.2624,1,2,1,50.0,19.587628865979376,19.587628865979376,14.328859060402682,0.671140939597316,历史1/2次成功; 当前距低点0.67%; 最新日涨幅-3.23%; 状态bottom_area; 底部未确认
24,57.29473890851985,54.50222222222223,601388,怡球资源,bottom_area,2023-06-29,2.83,2023-06-26,2.7,4.81481481481481,5.185185185185174,28.571428571428566,False,0.7117,0.3999,1,2,1,50.0,18.333333333333325,18.333333333333325,10.185185185185189,4.81481481481481,历史1/2次成功; 当前距低点4.81%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
25,55.98087107422122,53.212475211929686,000810,创维数字,bottom_area,2023-06-29,15.8,2023-06-28,15.08,4.774535809018572,5.371352785145892,27.360308285163782,False,0.7653,1.8137,1,4,1,25.0,31.738800303720588,31.738800303720588,10.225464190981427,4.774535809018572,历史1/4次成功; 当前距低点4.77%; 最新日涨幅0.77%; 状态bottom_area; 底部未确认
26,54.55264160331508,51.403904886803666,001219,青岛食品,bottom_area,2023-06-29,18.17,2023-06-26,17.42,4.305396096440872,6.3145809414466,29.158194387962578,False,0.0,2.9579,1,4,1,25.0,16.264559068219636,16.264559068219636,10.694603903559127,4.305396096440872,历史1/4次成功; 当前距低点4.31%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
27,51.771849956967955,48.55581542858139,600409,三友化工,bottom_area,2023-06-29,5.39,2023-06-14,5.18,4.0540540540540535,6.370656370656372,30.000000000000004,False,-0.1852,0.4258,1,3,1,33.33333333333333,18.95551257253386,18.95551257253386,10.945945945945946,4.0540540540540535,历史1/3次成功; 当前距低点4.05%; 最新日涨幅-0.19%; 状态bottom_area; 底部未确认
