rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,97.36085470614415,83.31498632290753,603185,弘元绿能,bottom_area,2022-09-02,136.57,2022-09-01,134.62,1.4485217649680497,4.969543901351952,29.065233428179997,False,-1.9739,1.5827,3,3,3,100.0,29.449548102336955,43.51028702057404,18.55147823503195,1.4485217649680497,历史3/3次成功; 当前距低点1.45%; 最新日涨幅-1.97%; 状态bottom_area; 底部未确认
12,82.08735023532336,74.3498551757025,688045,必易微,bottom_area,2022-09-02,61.69,2022-09-01,59.0,4.559322033898301,7.084745762711863,28.743961352657006,True,2.9883,7.396,1,1,1,100.0,21.048975338659265,21.048975338659265,15.4406779661017,4.559322033898301,历史1/1次成功; 当前距低点4.56%; 最新日涨幅2.99%; 状态bottom_area; 底部已确认
13,79.82795407317711,72.6521455798442,300707,威唐工业,bottom_area,2022-09-02,18.69,2022-09-02,17.83,4.823331463825031,5.664610207515433,32.35963581183612,False,2.5796,2.8928,1,1,1,100.0,24.351297405189634,24.351297405189634,15.17666853617497,4.823331463825031,历史1/1次成功; 当前距低点4.82%; 最新日涨幅2.58%; 状态bottom_area; 底部未确认
14,73.31447847353436,62.71443471958686,300726,宏达电子,bottom_area,2022-09-02,46.16,2022-09-02,45.51,1.4282575258184984,2.4170511975390054,27.300319488817898,False,0.742,1.3983,1,2,1,50.0,20.972375690607738,20.972375690607738,18.5717424741815,1.4282575258184984,历史1/2次成功; 当前距低点1.43%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
15,71.85372433424246,61.52784472578371,688208,道通科技,bottom_area,2022-09-02,27.35,2022-09-02,26.95,1.4842300556586352,2.708719851576996,29.89073881373569,False,0.1098,2.2859,1,3,1,33.33333333333333,34.72341892124764,34.72341892124764,18.515769944341365,1.4842300556586352,历史1/3次成功; 当前距低点1.48%; 最新日涨幅0.11%; 状态bottom_area; 底部未确认
16,71.5504980702916,61.79636581854142,601966,玲珑轮胎,bottom_area,2022-09-02,22.44,2022-09-02,22.01,1.9536574284416162,2.226260790549743,27.359735973597353,False,0.5376,0.5869,1,2,1,50.0,22.476907287033857,22.476907287033857,18.046342571558384,1.9536574284416162,历史1/2次成功; 当前距低点1.95%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
17,70.74600522150448,61.83885114553408,002520,日发精机,bottom_area,2022-09-02,6.29,2022-09-01,6.13,2.610114192495924,3.5889070146818884,29.62112514351321,False,2.2764,2.3822,1,2,1,50.0,30.752212389380546,30.752212389380546,17.389885807504076,2.610114192495924,历史1/2次成功; 当前距低点2.61%; 最新日涨幅2.28%; 状态bottom_area; 底部未确认
18,70.50603663922081,60.865885251940185,002617,露笑科技,bottom_area,2022-09-02,11.63,2022-09-02,11.41,1.9281332164767802,3.1551270815074446,28.99813316739266,False,0.6926,3.1184,1,3,1,33.33333333333333,36.60589060308556,36.60589060308556,18.071866783523223,1.9281332164767802,历史1/3次成功; 当前距低点1.93%; 最新日涨幅0.69%; 状态bottom_area; 底部未确认
19,70.01232083113469,59.57881027560128,300340,科恒股份,bottom_area,2022-09-02,12.38,2022-09-02,12.24,1.1437908496732072,3.1862745098039262,27.999999999999996,False,-0.4023,2.5092,1,3,1,33.33333333333333,42.54473161033797,42.54473161033797,18.856209150326794,1.1437908496732072,历史1/3次成功; 当前距低点1.14%; 最新日涨幅-0.40%; 状态bottom_area; 底部未确认
20,69.7394000981672,62.897658325902505,300648,星云股份,bottom_area,2022-09-02,45.58,2022-09-02,43.69,4.325932707713437,5.241474021515219,27.509540401526472,False,0.3081,3.6205,2,4,2,50.0,24.14400483596314,26.78362573099414,15.674067292286564,4.325932707713437,历史2/4次成功; 当前距低点4.33%; 最新日涨幅0.31%; 状态bottom_area; 底部未确认
21,68.16320834854857,59.817936191487654,688288,鸿泉技术,bottom_area,2022-09-02,19.64,2022-09-01,19.1,2.8272251308900476,4.0314136125654425,30.087847730600288,False,2.666,1.0042,1,3,1,33.33333333333333,41.992882562277565,41.992882562277565,17.17277486910995,2.8272251308900476,历史1/3次成功; 当前距低点2.83%; 最新日涨幅2.67%; 状态bottom_area; 底部未确认
22,67.04740135204759,55.872834460039655,000037,深南电A,bottom_area,2022-09-02,8.47,2022-09-02,8.47,0.0,6.8476977567886665,28.28111769686706,False,-9.9894,16.6114,2,5,2,40.0,39.8001852690304,45.16765285996055,20.0,0.0,历史2/5次成功; 当前距低点0.00%; 最新日涨幅-9.99%; 状态bottom_area; 底部未确认
23,62.44801217109839,55.774070336368595,688355,明志科技,bottom_area,2022-09-02,23.55,2022-09-02,22.69,3.790215954164827,7.536359629792848,31.82091346153846,False,-0.0849,9.0927,1,2,1,50.0,35.08474576271185,35.08474576271185,16.209784045835175,3.790215954164827,历史1/2次成功; 当前距低点3.79%; 最新日涨幅-0.08%; 状态bottom_area; 底部未确认
24,62.358527470366475,56.25780047476743,688165,埃夫特,bottom_area,2022-09-02,8.41,2022-09-02,8.06,4.342431761786596,4.83870967741934,28.4826974267968,False,3.444,0.6156,1,2,1,50.0,21.98142414860681,21.98142414860681,15.657568238213404,4.342431761786596,历史1/2次成功; 当前距低点4.34%; 最新日涨幅3.44%; 状态bottom_area; 底部未确认
25,62.00375881287923,56.54115198179153,688083,中望软件,bottom_area,2022-09-02,183.64,2022-08-31,175.01,4.931146791611905,8.479515456259644,32.42074371548829,True,0.553,0.7876,1,2,1,50.0,21.52777777777778,21.52777777777778,15.068853208388097,4.931146791611905,历史1/2次成功; 当前距低点4.93%; 最新日涨幅0.55%; 状态bottom_area; 底部已确认
26,57.64181873317057,52.215663892891094,300620,光库科技,bottom_area,2022-09-02,40.07,2022-09-01,38.32,4.566805845511483,6.680584551148232,29.77826644676562,False,4.0779,0.9031,1,3,1,33.33333333333333,22.444343480236245,22.444343480236245,15.43319415448852,4.566805845511483,历史1/3次成功; 当前距低点4.57%; 最新日涨幅4.08%; 状态bottom_area; 底部未确认
