rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.90014252414139,77.05667126704661,002355,兴民智通,bottom_area,2024-01-17,4.83,2024-01-17,4.78,1.0460251046025069,3.7656903765690317,31.024531024531015,False,-2.621,1.7274,4,5,4,80.0,17.535529599679155,21.138211382113823,13.953974895397492,1.0460251046025069,历史4/5次成功; 当前距低点1.05%; 最新日涨幅-2.62%; 状态bottom_area; 底部未确认
20,64.31181357388314,55.92331615120274,002146,荣盛发展,bottom_area,2024-01-17,1.6,2024-01-10,1.6,0.0,6.874999999999992,27.927927927927932,False,-3.0303,1.4519,2,4,2,50.0,18.404925544100795,19.587628865979376,15.0,0.0,历史2/4次成功; 当前距低点0.00%; 最新日涨幅-3.03%; 状态bottom_area; 底部未确认
21,64.15111971403643,55.840881025714516,603037,凯众股份,bottom_area,2024-01-17,18.22,2024-01-17,18.21,0.05491488193299292,2.9654036243822026,27.101681345076056,False,-3.0335,2.1608,1,2,1,50.0,39.71014492753625,39.71014492753625,14.945085118067006,0.05491488193299292,历史1/2次成功; 当前距低点0.05%; 最新日涨幅-3.03%; 状态bottom_area; 底部未确认
22,63.005399035996895,55.14279680229092,601011,宝泰隆,bottom_area,2024-01-17,2.9,2024-01-16,2.89,0.34602076124566733,5.8823529411764675,28.817733990147776,False,-2.6846,1.8852,1,2,1,50.0,29.31034482758621,29.31034482758621,14.653979238754333,0.34602076124566733,历史1/2次成功; 当前距低点0.35%; 最新日涨幅-2.68%; 状态bottom_area; 底部未确认
23,62.874676316016554,54.98609385425159,601777,千里科技,bottom_area,2024-01-17,3.29,2024-01-17,3.28,0.3048780487804949,2.1341463414634236,28.850325379609554,False,-2.0833,0.2977,1,2,1,50.0,27.96352583586626,27.96352583586626,14.695121951219505,0.3048780487804949,历史1/2次成功; 当前距低点0.30%; 最新日涨幅-2.08%; 状态bottom_area; 底部未确认
24,62.05886569005099,54.009128139046766,603306,华懋科技,bottom_area,2024-01-17,22.49,2024-01-17,22.48,0.044483985765115704,3.247330960854095,28.17891373801917,False,-2.4295,1.2738,1,2,1,50.0,19.519094766619503,19.519094766619503,14.955516014234885,0.044483985765115704,历史1/2次成功; 当前距低点0.04%; 最新日涨幅-2.43%; 状态bottom_area; 底部未确认
25,60.93289541796032,53.11412140223963,603039,泛微网络,bottom_area,2024-01-17,38.49,2024-01-17,38.44,0.130072840790854,3.772112382934451,31.83188508600816,False,-3.0234,0.5195,1,2,1,50.0,25.971438060445035,25.971438060445035,14.869927159209146,0.130072840790854,历史1/2次成功; 当前距低点0.13%; 最新日涨幅-3.02%; 状态bottom_area; 底部未确认
26,60.72405655490831,53.05722036417687,002284,亚太股份,bottom_area,2024-01-17,7.82,2024-01-17,7.8,0.2564102564102623,3.205128205128217,31.33802816901408,False,-3.2178,1.2163,1,2,1,50.0,27.214170692431566,27.214170692431566,14.74358974358974,0.2564102564102623,历史1/2次成功; 当前距低点0.26%; 最新日涨幅-3.22%; 状态bottom_area; 底部未确认
27,60.19134907251265,52.34030354131535,600986,浙文互联,bottom_area,2024-01-17,4.88,2024-01-17,4.88,0.0,3.0737704918032858,31.748251748251754,False,-2.008,1.837,1,2,1,50.0,22.25969645868466,22.25969645868466,15.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-2.01%; 状态bottom_area; 底部未确认
28,60.08538286340653,53.1048237232219,688156,路德科技,bottom_area,2024-01-17,22.02,2024-01-16,21.83,0.8703618873110457,3.527256069628966,27.49916971105945,False,-1.0337,0.8468,1,3,1,33.33333333333333,44.22535211267606,44.22535211267606,14.129638112688953,0.8703618873110457,历史1/3次成功; 当前距低点0.87%; 最新日涨幅-1.03%; 状态bottom_area; 底部未确认
29,59.76952952092189,52.06760640954629,688072,拓荆科技,bottom_area,2024-01-17,186.2,2024-01-17,186.02,0.09676378883989807,5.139232340608538,31.04240806642941,False,-4.5128,1.5713,1,2,1,50.0,19.9367088607595,19.9367088607595,14.9032362111601,0.09676378883989807,历史1/2次成功; 当前距低点0.10%; 最新日涨幅-4.51%; 状态bottom_area; 底部未确认
30,59.708927809003285,52.89825423591783,688105,诺唯赞,bottom_area,2024-01-17,28.33,2024-01-17,28.05,0.9982174688056955,3.2798573975044496,27.556818181818176,False,-2.646,0.6655,1,2,1,50.0,25.237580993520524,25.237580993520524,14.001782531194303,0.9982174688056955,历史1/2次成功; 当前距低点1.00%; 最新日涨幅-2.65%; 状态bottom_area; 底部未确认
31,58.285525130601094,50.90267889542267,300678,中科信息,bottom_area,2024-01-17,26.0,2024-01-16,25.94,0.23130300693908526,3.6237471087124042,29.58740499457112,False,-1.7385,1.9222,1,3,1,33.33333333333333,24.552238805970156,24.552238805970156,14.768696993060914,0.23130300693908526,历史1/3次成功; 当前距低点0.23%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
32,57.47866207335455,50.390453555808165,600399,抚顺特钢,bottom_area,2024-01-17,6.91,2024-01-17,6.88,0.43604651162791064,8.284883720930235,32.21674876847291,False,-5.0824,4.2161,1,2,1,50.0,15.078707539353772,15.078707539353772,14.56395348837209,0.43604651162791064,历史1/2次成功; 当前距低点0.44%; 最新日涨幅-5.08%; 状态bottom_area; 底部未确认
33,56.88954361054766,49.46916835699797,002641,公元股份,bottom_area,2024-01-17,5.66,2024-01-17,5.66,0.0,9.187279151943455,28.081321473951714,False,-10.0159,12.9931,1,2,1,50.0,17.038539553752532,17.038539553752532,15.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-10.02%; 状态bottom_area; 底部未确认
34,55.13254670566392,48.23735001098629,002403,爱仕达,bottom_area,2024-01-17,9.14,2024-01-17,9.11,0.32930845225028693,8.562019758507148,32.91605301914581,False,-9.6838,12.3583,1,3,1,33.33333333333333,21.63892445582587,21.63892445582587,14.670691547749712,0.32930845225028693,历史1/3次成功; 当前距低点0.33%; 最新日涨幅-9.68%; 状态bottom_area; 底部未确认
35,54.76340034388701,47.71565531475749,603123,翠微股份,bottom_area,2024-01-17,9.36,2024-01-17,9.35,0.10695187165775173,3.101604278074876,27.35042735042735,False,-3.2058,1.6234,1,3,1,33.33333333333333,16.108452950558224,16.108452950558224,14.89304812834225,0.10695187165775173,历史1/3次成功; 当前距低点0.11%; 最新日涨幅-3.21%; 状态bottom_area; 底部未确认
36,54.43194394773039,47.332125171939474,688027,国盾量子,bottom_area,2024-01-17,103.06,2024-01-17,103.06,0.0,3.5319231515621974,28.28114126652748,False,-3.6732,0.5992,1,4,1,25.0,26.382393397524062,26.382393397524062,15.0,0.0,历史1/4次成功; 当前距低点0.00%; 最新日涨幅-3.67%; 状态bottom_area; 底部未确认
