rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
56,72.64574718911106,67.95569051580699,600058,五矿发展,bottom_area,2024-07-25,6.1,2024-07-25,6.01,1.4975041597337746,2.495840266222968,31.85941043083901,False,0.1642,0.2836,1,2,1,50.0,99.54954954954954,99.54954954954954,8.502495840266226,1.4975041597337746,历史1/2次成功; 当前距低点1.50%; 最新日涨幅0.16%; 状态bottom_area; 底部未确认
57,71.0703137304152,65.77201270681097,000039,中集集团,bottom_area,2024-07-25,7.56,2024-07-25,7.49,0.9345794392523284,4.405874499332444,30.583873957367924,False,-3.3248,1.5589,1,1,1,100.0,12.219644238205724,12.219644238205724,9.065420560747672,0.9345794392523284,历史1/1次成功; 当前距低点0.93%; 最新日涨幅-3.32%; 状态bottom_area; 底部未确认
58,67.56026092747108,61.889112106428904,688169,石头科技,bottom_area,2024-07-25,296.2,2024-07-25,295.02,0.399972883194362,4.186156870720637,30.245424882962123,False,-3.5242,1.0707,2,3,2,66.66666666666666,23.679481792717084,29.71190476190475,9.600027116805638,0.399972883194362,历史2/3次成功; 当前距低点0.40%; 最新日涨幅-3.52%; 状态bottom_area; 底部未确认
59,63.30065090450596,59.972686782472785,603128,华贸物流,bottom_area,2024-07-25,5.19,2024-07-25,5.08,2.165354330708668,2.362204724409451,29.83425414364641,False,1.7647,0.7956,1,2,1,50.0,15.267175572519085,15.267175572519085,7.8346456692913335,2.165354330708668,历史1/2次成功; 当前距低点2.17%; 最新日涨幅1.76%; 状态bottom_area; 底部未确认
60,62.111927101519484,59.64216350272808,002511,中顺洁柔,bottom_area,2024-07-25,6.81,2024-07-09,6.62,2.87009063444108,7.552870090634441,27.012127894156563,True,1.3393,0.406,1,2,1,50.0,12.93532338308459,12.93532338308459,7.1299093655589205,2.87009063444108,历史1/2次成功; 当前距低点2.87%; 最新日涨幅1.34%; 状态bottom_area; 底部已确认
61,61.79346976312446,58.754446660019966,002643,万润股份,bottom_area,2024-07-25,8.7,2024-07-25,8.5,2.35294117647058,3.8823529411764715,30.156121610517665,False,1.5169,0.6837,1,2,1,50.0,11.016949152542377,11.016949152542377,7.647058823529421,2.35294117647058,历史1/2次成功; 当前距低点2.35%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
62,59.485136801291375,55.01576424932042,002833,弘亚数控,bottom_area,2024-07-25,15.67,2024-07-25,15.53,0.9014810045074086,1.9317450096587296,30.854853072128236,False,-0.0638,0.7362,1,2,1,50.0,35.43624161073825,35.43624161073825,9.098518995492592,0.9014810045074086,历史1/2次成功; 当前距低点0.90%; 最新日涨幅-0.06%; 状态bottom_area; 底部未确认
63,59.38169463273655,56.14754281949935,002605,姚记科技,bottom_area,2024-07-25,16.84,2024-07-25,16.5,2.0606060606060597,3.454545454545456,29.396662387676507,False,1.0198,1.4251,1,3,1,33.33333333333333,12.862318840579725,12.862318840579725,7.93939393939394,2.0606060606060597,历史1/3次成功; 当前距低点2.06%; 最新日涨幅1.02%; 状态bottom_area; 底部未确认
64,59.102220910340336,57.78301524562397,603320,迪贝电气,bottom_area,2024-07-25,12.79,2024-07-25,12.32,3.8149350649350557,5.032467532467526,32.30769230769231,False,0.6294,3.9255,1,2,1,50.0,23.71541501976285,23.71541501976285,6.185064935064945,3.8149350649350557,历史1/2次成功; 当前距低点3.81%; 最新日涨幅0.63%; 状态bottom_area; 底部未确认
65,56.88503149278722,54.27608815194416,002853,皮阿诺,bottom_area,2024-07-25,6.47,2024-07-25,6.31,2.535657686212364,3.1695721077654544,31.56182212581346,False,1.5699,1.6131,1,4,1,25.0,10.012836970474972,10.012836970474972,7.464342313787636,2.535657686212364,历史1/4次成功; 当前距低点2.54%; 最新日涨幅1.57%; 状态bottom_area; 底部未确认
