rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.06073749543626,83.22666666666665,002584,西陇科学,confirmed_rebound,2022-01-26,9.13,2022-01-25,9.0,1.444444444444453,11.444444444444438,27.942353883106485,False,1.4444,11.4149,1,1,1,100.0,68.08510638297875,68.08510638297875,8.555555555555546,1.444444444444453,历史1/1次成功; 当前距低点1.44%; 最新日涨幅1.44%; 状态confirmed_rebound; 底部未确认
12,83.17839388585791,78.3307042063027,300567,精测电子,bottom_area,2022-01-26,55.1,2022-01-26,54.1,1.8484288354898335,3.807763401109048,30.64102564102564,False,0.3826,1.991,1,1,1,100.0,18.414634146341452,18.414634146341452,8.151571164510168,1.8484288354898335,历史1/1次成功; 当前距低点1.85%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
13,82.9952874372975,78.2927588173639,600032,浙江新能,bottom_area,2022-01-26,12.62,2022-01-25,12.38,1.93861066235863,6.300484652665585,32.052689352360034,False,1.7742,3.7235,1,1,1,100.0,19.31608133086876,19.31608133086876,8.06138933764137,1.93861066235863,历史1/1次成功; 当前距低点1.94%; 最新日涨幅1.77%; 状态bottom_area; 底部未确认
14,82.68518434661222,76.60638833971451,300658,延江股份,bottom_area,2022-01-26,10.17,2022-01-26,10.07,0.9930486593843062,3.7735849056603676,30.359612724757955,False,0.5935,1.718,2,2,2,100.0,21.830856360810415,26.72018348623853,9.006951340615695,0.9930486593843062,历史2/2次成功; 当前距低点0.99%; 最新日涨幅0.59%; 状态bottom_area; 底部未确认
15,81.6284542847375,77.10717021314835,000625,长安汽车,bottom_area,2022-01-26,13.2,2022-01-26,12.94,2.009273570324573,2.782071097372498,29.057017543859647,False,1.072,1.1011,1,1,1,100.0,13.808139534883724,13.808139534883724,7.990726429675426,2.009273570324573,历史1/1次成功; 当前距低点2.01%; 最新日涨幅1.07%; 状态bottom_area; 底部未确认
16,81.21872288454288,77.0100349291145,300533,冰川网络,bottom_area,2022-01-26,18.06,2022-01-26,17.67,2.207130730050917,4.244482173174872,27.87755102040816,False,0.5008,2.9161,1,1,1,100.0,15.711252653927819,15.711252653927819,7.792869269949083,2.207130730050917,历史1/1次成功; 当前距低点2.21%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
17,80.26088820223852,72.96444382021683,002316,亚联发展,bottom_area,2022-01-26,7.23,2022-01-26,7.23,0.0,0.0,28.627838104639686,False,-9.9626,0.7437,3,3,3,100.0,18.35722483987543,24.890829694323134,10.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-9.96%; 状态bottom_area; 底部未确认
18,79.79375520136374,73.43760396190252,002603,以岭药业,bottom_area,2022-01-26,20.3,2022-01-26,20.17,0.6445215666831878,5.89985126425383,27.757879656160455,False,-2.4038,2.8487,1,1,1,100.0,39.661898569570866,39.661898569570866,9.355478433316813,0.6445215666831878,历史1/1次成功; 当前距低点0.64%; 最新日涨幅-2.40%; 状态bottom_area; 底部未确认
19,79.62320596762608,74.27278517065349,688131,皓元医药,bottom_area,2022-01-26,187.0,2022-01-25,184.51,1.3495203512004819,6.72592271421603,28.172687636250394,False,-0.7062,2.8146,1,1,1,100.0,12.955331028981659,12.955331028981659,8.65047964879952,1.3495203512004819,历史1/1次成功; 当前距低点1.35%; 最新日涨幅-0.71%; 状态bottom_area; 底部未确认
20,78.59492829160241,72.48259044098229,002006,精工科技,bottom_area,2022-01-26,20.1,2022-01-25,19.95,0.751879699248131,6.416040100250632,28.648068669527905,False,0.0498,1.1962,1,1,1,100.0,13.370301910043118,13.370301910043118,9.24812030075187,0.751879699248131,历史1/1次成功; 当前距低点0.75%; 最新日涨幅0.05%; 状态bottom_area; 底部未确认
21,78.46664921486128,72.05487244261647,300463,迈克生物,bottom_area,2022-01-26,26.69,2022-01-26,26.55,0.5273069679849361,3.2015065913370915,30.57008368200837,False,-0.9647,2.2294,2,2,2,100.0,14.12436736355977,14.159515396264513,9.472693032015064,0.5273069679849361,历史2/2次成功; 当前距低点0.53%; 最新日涨幅-0.96%; 状态bottom_area; 底部未确认
22,78.01029483930904,76.16305652799569,300491,通合科技,confirmed_rebound,2022-01-26,16.08,2022-01-25,15.5,3.741935483870957,11.870967741935482,27.093132643461903,False,3.2092,5.7348,2,2,2,100.0,23.51972812484664,27.26480836236933,6.2580645161290445,3.741935483870957,历史2/2次成功; 当前距低点3.74%; 最新日涨幅3.21%; 状态confirmed_rebound; 底部未确认
23,77.4828778835709,71.5412893088824,603348,文灿股份,bottom_area,2022-01-26,50.8,2022-01-26,50.39,0.8136535026790962,5.9337170073427306,29.028169014084504,False,-1.7408,1.4038,1,1,1,100.0,31.539888682745836,31.539888682745836,9.186346497320905,0.8136535026790962,历史1/1次成功; 当前距低点0.81%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
24,77.21440551769517,75.28336543606207,600418,江淮汽车,bottom_area,2022-01-26,13.84,2022-01-26,13.35,3.670411985018728,4.119850187265923,28.72397223705286,False,0.9482,2.2145,1,1,1,100.0,24.365079365079367,24.365079365079367,6.3295880149812715,3.670411985018728,历史1/1次成功; 当前距低点3.67%; 最新日涨幅0.95%; 状态bottom_area; 底部未确认
25,77.14290589644324,74.69038576678754,000848,承德露露,bottom_area,2022-01-26,9.38,2022-01-26,9.08,3.3039647577092586,5.1762114537445,27.06827309236947,False,0.0,1.7357,1,1,1,100.0,16.685082872928174,16.685082872928174,6.696035242290741,3.3039647577092586,历史1/1次成功; 当前距低点3.30%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
26,76.87787851588477,71.97802321904759,600405,动力源,bottom_area,2022-01-26,5.92,2022-01-26,5.83,1.5437392795883338,7.375643224699823,31.41176470588235,False,-8.642,13.115,1,1,1,100.0,13.213703099510612,13.213703099510612,8.456260720411667,1.5437392795883338,历史1/1次成功; 当前距低点1.54%; 最新日涨幅-8.64%; 状态bottom_area; 底部未确认
27,75.36960960426856,72.04447976878613,300436,广生堂,bottom_area,2022-01-26,36.27,2022-01-26,35.34,2.63157894736842,7.498585172608937,29.09309791332263,False,-2.2372,4.5066,1,1,1,100.0,16.690751445086697,16.690751445086697,7.368421052631581,2.63157894736842,历史1/1次成功; 当前距低点2.63%; 最新日涨幅-2.24%; 状态bottom_area; 底部未确认
28,75.3610632220731,71.5758043387726,600171,上海贝岭,bottom_area,2022-01-26,21.84,2022-01-26,21.35,2.2950819672131075,3.9344262295081958,27.504244482173167,False,-0.3195,1.9261,1,1,1,100.0,10.046189376443415,10.046189376443415,7.704918032786893,2.2950819672131075,历史1/1次成功; 当前距低点2.30%; 最新日涨幅-0.32%; 状态bottom_area; 底部未确认
29,74.4517351931899,68.28853176097644,001296,长江材料,bottom_area,2022-01-26,34.47,2022-01-26,34.31,0.46633634508888544,6.033226464587584,31.65338645418327,False,-5.198,14.0432,1,1,1,100.0,20.009562514941443,20.009562514941443,9.533663654911114,0.46633634508888544,历史1/1次成功; 当前距低点0.47%; 最新日涨幅-5.20%; 状态bottom_area; 底部未确认
30,74.0267122507123,72.41743589743592,601218,吉鑫科技,bottom_area,2022-01-26,5.13,2022-01-24,4.94,3.846153846153836,5.263157894736838,30.324400564174887,False,2.8056,3.2058,1,1,1,100.0,11.111111111111114,11.111111111111114,6.153846153846165,3.846153846153836,历史1/1次成功; 当前距低点3.85%; 最新日涨幅2.81%; 状态bottom_area; 底部未确认
31,73.38142675455435,67.12851007393196,002374,中锐股份,bottom_area,2022-01-26,6.13,2022-01-26,6.11,0.3273322422258522,6.546644844517176,29.608294930875573,False,-3.9185,11.0047,1,1,1,100.0,12.068965517241388,12.068965517241388,9.672667757774148,0.3273322422258522,历史1/1次成功; 当前距低点0.33%; 最新日涨幅-3.92%; 状态bottom_area; 底部未确认
32,73.19434652606346,67.82508088192795,688316,青云科技,bottom_area,2022-01-26,51.4,2022-01-26,50.89,1.002161524857532,5.2073098840636645,28.121468926553668,False,-2.6515,6.3496,2,3,2,66.66666666666666,12.921196193206702,13.030303030303022,8.997838475142467,1.002161524857532,历史2/3次成功; 当前距低点1.00%; 最新日涨幅-2.65%; 状态bottom_area; 底部未确认
33,72.93129392289953,67.4186118490542,002806,华锋股份,bottom_area,2022-01-26,12.67,2022-01-26,12.56,0.8757961783439445,4.93630573248407,28.676888131743322,False,-3.1346,2.0755,1,1,1,100.0,20.35175879396985,20.35175879396985,9.124203821656057,0.8757961783439445,历史1/1次成功; 当前距低点0.88%; 最新日涨幅-3.13%; 状态bottom_area; 底部未确认
34,72.9122761616232,70.14126329087269,002178,延华智能,bottom_area,2022-01-26,4.86,2022-01-26,4.72,2.9661016949152663,6.567796610169502,31.3953488372093,False,-2.994,9.712,1,1,1,100.0,10.559006211180119,10.559006211180119,7.033898305084735,2.9661016949152663,历史1/1次成功; 当前距低点2.97%; 最新日涨幅-2.99%; 状态bottom_area; 底部未确认
35,71.42459586318864,66.74077049022029,300608,思特奇,bottom_area,2022-01-26,13.38,2022-01-26,13.19,1.4404852160727921,7.20242608036392,28.702702702702705,False,-1.6176,7.6572,2,3,2,66.66666666666666,12.464570517202096,14.718614718614711,8.559514783927208,1.4404852160727921,历史2/3次成功; 当前距低点1.44%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
36,70.23790825878923,64.6188755980861,600272,开开实业,confirmed_rebound,2022-01-26,9.66,2022-01-26,9.6,0.6250000000000052,10.000000000000009,31.914893617021278,False,-9.4658,17.5563,1,1,1,100.0,12.440191387559814,12.440191387559814,9.374999999999996,0.6250000000000052,历史1/1次成功; 当前距低点0.63%; 最新日涨幅-9.47%; 状态confirmed_rebound; 底部未确认
37,66.84043848735946,62.30241379310346,605299,舒华体育,bottom_area,2022-01-26,14.69,2022-01-26,14.5,1.3103448275862035,6.827586206896553,30.522280785816964,False,-3.9869,2.5533,1,2,1,50.0,56.12903225806454,56.12903225806454,8.689655172413797,1.3103448275862035,历史1/2次成功; 当前距低点1.31%; 最新日涨幅-3.99%; 状态bottom_area; 底部未确认
38,63.23799952310554,59.808141921852354,600211,西藏药业,bottom_area,2022-01-26,41.85,2022-01-24,41.0,2.0731707317073207,6.780487804878052,27.56183745583039,False,0.892,0.6211,1,2,1,50.0,13.252533280349695,13.252533280349695,7.92682926829268,2.0731707317073207,历史1/2次成功; 当前距低点2.07%; 最新日涨幅0.89%; 状态bottom_area; 底部未确认
39,58.997369798251995,55.57646967614103,600316,洪都航空,bottom_area,2022-01-26,31.68,2022-01-26,31.1,1.8649517684887404,3.1511254019292503,29.076396807297606,False,-0.4713,0.8779,1,2,1,50.0,10.422364023093307,10.422364023093307,8.135048231511261,1.8649517684887404,历史1/2次成功; 当前距低点1.86%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
40,52.58019573025979,48.60531428042863,000860,顺鑫农业,bottom_area,2022-01-26,27.66,2022-01-26,27.42,0.8752735229759242,8.935083880379283,32.562715199212974,False,-7.4297,5.8731,1,2,1,50.0,10.865257595772784,10.865257595772784,9.124726477024076,0.8752735229759242,历史1/2次成功; 当前距低点0.88%; 最新日涨幅-7.43%; 状态bottom_area; 底部未确认
