rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.31994514069835,84.5672527269676,300699,光威复材,bottom_area,2023-04-03,51.38,2023-04-03,50.5,1.7425742574257477,1.9405940594059343,31.067431067431073,False,0.6267,2.1763,2,2,2,100.0,33.98022598870056,49.6271186440678,6.257425742574252,1.7425742574257477,历史2/2次成功; 当前距低点1.74%; 最新日涨幅0.63%; 状态bottom_area; 底部未确认
12,74.74018990685997,71.30716736283313,601958,金钼股份,bottom_area,2023-04-03,11.1,2023-03-30,10.93,1.5553522415370533,6.770356816102472,29.11802853437095,False,-4.8027,1.9912,1,1,1,100.0,9.749303621169918,9.749303621169918,6.444647758462947,1.5553522415370533,历史1/1次成功; 当前距低点1.56%; 最新日涨幅-4.80%; 状态bottom_area; 底部未确认
13,74.52251007407321,73.00160440806235,688348,昱能科技,bottom_area,2023-04-03,328.35,2023-03-29,319.01,2.927807905708295,7.661201843202408,32.018497208370626,True,-1.1202,6.3071,1,1,1,100.0,16.27422813482398,16.27422813482398,5.072192094291705,2.927807905708295,历史1/1次成功; 当前距低点2.93%; 最新日涨幅-1.12%; 状态bottom_area; 底部已确认
14,74.26128857800398,72.91082211905012,603032,德新科技,confirmed_rebound,2023-04-03,66.99,2023-03-20,65.01,3.0456852791878015,9.829257037378865,27.363128491620103,True,-2.9271,0.9092,2,2,2,100.0,10.7794868580554,12.354085603112855,4.9543147208121985,3.0456852791878015,历史2/2次成功; 当前距低点3.05%; 最新日涨幅-2.93%; 状态confirmed_rebound; 底部已确认
15,72.08880533302556,71.05567482882674,601702,华峰铝业,confirmed_rebound,2023-04-03,12.71,2023-03-20,12.31,3.2493907392363957,9.098294069861893,29.212190914318576,True,-0.9353,2.4606,1,1,1,100.0,19.96927803379416,19.96927803379416,4.750609260763604,3.2493907392363957,历史1/1次成功; 当前距低点3.25%; 最新日涨幅-0.94%; 状态confirmed_rebound; 底部已确认
16,71.60843363148477,71.39688729874776,603030,全筑股份,bottom_area,2023-04-03,2.16,2023-04-03,2.08,3.8461538461538494,7.211538461538456,27.017543859649123,False,-4.0,6.5703,2,2,2,100.0,21.645796064400706,27.906976744186036,4.153846153846151,3.8461538461538494,历史2/2次成功; 当前距低点3.85%; 最新日涨幅-4.00%; 状态bottom_area; 底部未确认
17,71.40694303979888,71.41109183235268,002767,先锋电子,confirmed_rebound,2023-04-03,13.77,2023-03-20,13.24,4.0030211480362485,9.063444108761324,30.279094260136908,True,0.3644,1.6591,1,1,1,100.0,8.645054031587705,8.645054031587705,3.996978851963752,4.0030211480362485,历史1/1次成功; 当前距低点4.00%; 最新日涨幅0.36%; 状态confirmed_rebound; 底部已确认
18,70.88953707890661,66.75644254892123,605128,上海沿浦,bottom_area,2023-04-03,40.25,2023-04-03,39.9,0.877192982456144,4.235588972431089,32.94117647058824,False,-3.2452,4.48,1,1,1,100.0,16.80883090817863,16.80883090817863,7.122807017543856,0.877192982456144,历史1/1次成功; 当前距低点0.88%; 最新日涨幅-3.25%; 状态bottom_area; 底部未确认
19,69.86227497384714,68.53599525101073,688357,建龙微纳,bottom_area,2023-04-03,95.0,2023-03-30,92.23,3.0033611623116077,4.065922151143879,27.108195684817826,False,0.9994,1.3887,2,3,2,66.66666666666666,18.801032443088825,26.291618828932272,4.996638837688392,3.0033611623116077,历史2/3次成功; 当前距低点3.00%; 最新日涨幅1.00%; 状态bottom_area; 底部未确认
20,69.63070423192815,70.57842396747246,000887,中鼎股份,bottom_area,2023-04-03,12.69,2023-03-20,12.12,4.702970297029705,6.600660066006607,28.45336481700119,False,-0.1574,1.0737,2,2,2,100.0,17.53331314354936,23.84615384615385,3.297029702970295,4.702970297029705,历史2/2次成功; 当前距低点4.70%; 最新日涨幅-0.16%; 状态bottom_area; 底部未确认
21,69.49472560775868,68.77897418198879,000661,长春高新,confirmed_rebound,2023-04-03,162.59,2023-03-20,157.15,3.4616608335984713,9.436843779828179,28.379363777230875,True,-0.4348,1.4527,1,1,1,100.0,10.330972487060738,10.330972487060738,4.538339166401529,3.4616608335984713,历史1/1次成功; 当前距低点3.46%; 最新日涨幅-0.43%; 状态confirmed_rebound; 底部已确认
22,57.84054065634437,56.583137598597744,605333,沪光股份,confirmed_rebound,2023-04-03,18.36,2023-03-20,17.85,2.8571428571428457,8.403361344537814,30.409356725146193,True,-2.8057,3.6191,1,2,1,50.0,29.01840490797546,29.01840490797546,5.142857142857155,2.8571428571428457,历史1/2次成功; 当前距低点2.86%; 最新日涨幅-2.81%; 状态confirmed_rebound; 底部已确认
