rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
35,71.99710242494018,69.13629040805513,601368,绿城水务,confirmed_rebound,2024-02-07,3.77,2024-02-07,3.7,1.8918918918918874,8.108108108108103,30.188679245283012,False,-5.75,1.9541,1,1,1,100.0,12.418300653594768,12.418300653594768,6.108108108108112,1.8918918918918874,历史1/1次成功; 当前距低点1.89%; 最新日涨幅-5.75%; 状态confirmed_rebound; 底部未确认
36,71.9230808127566,69.13651002693804,002593,日上集团,confirmed_rebound,2024-02-07,2.62,2024-02-07,2.57,1.9455252918288042,12.062256809338525,31.830238726790455,False,-8.0702,6.0901,1,1,1,100.0,13.076923076923084,13.076923076923084,6.054474708171196,1.9455252918288042,历史1/1次成功; 当前距低点1.95%; 最新日涨幅-8.07%; 状态confirmed_rebound; 底部未确认
37,71.56098466495871,72.52802499826896,000153,丰原药业,confirmed_rebound,2024-02-07,6.24,2024-02-06,5.96,4.697986577181212,13.422818791946305,31.729667812142043,True,-5.0228,5.4652,3,3,3,100.0,22.52384082925873,39.18305597579423,3.3020134228187876,4.697986577181212,历史3/3次成功; 当前距低点4.70%; 最新日涨幅-5.02%; 状态confirmed_rebound; 底部已确认
38,71.2726246232531,70.83424660311177,605068,明新旭腾,confirmed_rebound,2024-02-07,14.09,2024-02-06,13.59,3.679175864606328,19.205298013245027,30.733944954128447,True,-4.9899,1.2298,1,1,1,100.0,34.262191260291324,34.262191260291324,4.320824135393672,3.679175864606328,历史1/1次成功; 当前距低点3.68%; 最新日涨幅-4.99%; 状态confirmed_rebound; 底部已确认
39,71.21887673377327,69.57918129852132,002562,兄弟科技,confirmed_rebound,2024-02-07,2.58,2024-02-06,2.51,2.7888446215139555,12.749003984063759,31.793478260869573,True,-6.1818,2.1049,1,1,1,100.0,16.600790513834006,16.600790513834006,5.211155378486045,2.7888446215139555,历史1/1次成功; 当前距低点2.79%; 最新日涨幅-6.18%; 状态confirmed_rebound; 底部已确认
40,71.11908827701214,70.25388399848264,605567,春雪食品,confirmed_rebound,2024-02-07,7.99,2024-02-06,7.73,3.3635187580853785,10.090556274256137,30.796777081468214,False,-3.034,3.0341,1,1,1,100.0,36.46616541353383,36.46616541353383,4.6364812419146215,3.3635187580853785,历史1/1次成功; 当前距低点3.36%; 最新日涨幅-3.03%; 状态confirmed_rebound; 底部未确认
41,70.64436809723631,69.95270094185615,002225,濮耐股份,confirmed_rebound,2024-02-07,2.67,2024-02-06,2.58,3.48837209302325,10.465116279069768,29.700272479564028,True,-3.2609,3.4,2,2,2,100.0,10.517146849189086,12.056737588652476,4.5116279069767495,3.48837209302325,历史2/2次成功; 当前距低点3.49%; 最新日涨幅-3.26%; 状态confirmed_rebound; 底部已确认
42,70.43828634103767,71.63431727637415,603239,浙江仙通,confirmed_rebound,2024-02-07,10.11,2024-02-06,9.64,4.875518672199158,12.240663900414935,29.48061448427212,True,-2.7885,1.5521,2,2,2,100.0,26.346773381657112,40.42081949058694,3.124481327800842,4.875518672199158,历史2/2次成功; 当前距低点4.88%; 最新日涨幅-2.79%; 状态confirmed_rebound; 底部已确认
43,70.38960687682923,68.88912118386764,600222,太龙药业,confirmed_rebound,2024-02-07,3.93,2024-02-06,3.82,2.879581151832469,14.136125654450273,32.864674868189816,True,-5.3012,6.3264,1,1,1,100.0,14.00304414003044,14.00304414003044,5.120418848167531,2.879581151832469,历史1/1次成功; 当前距低点2.88%; 最新日涨幅-5.30%; 状态confirmed_rebound; 底部已确认
44,70.23259482453028,69.33791208791207,600327,大东方,confirmed_rebound,2024-02-07,3.41,2024-02-06,3.3,3.333333333333343,13.333333333333346,29.93630573248408,True,-4.7486,2.7232,1,1,1,100.0,21.978021978021978,21.978021978021978,4.666666666666657,3.333333333333343,历史1/1次成功; 当前距低点3.33%; 最新日涨幅-4.75%; 状态confirmed_rebound; 底部已确认
45,70.14349721791014,69.52693758274243,601133,柏诚股份,confirmed_rebound,2024-02-07,8.48,2024-02-06,8.19,3.5409035409035527,13.431013431013428,31.4070351758794,True,-5.1454,4.9491,2,2,2,100.0,8.872030408615773,9.198606271777006,4.459096459096448,3.5409035409035527,历史2/2次成功; 当前距低点3.54%; 最新日涨幅-5.15%; 状态confirmed_rebound; 底部已确认
46,70.07959422742861,70.07959422742861,002793,罗欣药业,confirmed_rebound,2024-02-07,3.64,2024-02-06,3.5,4.0000000000000036,15.42857142857143,32.69230769230769,True,-9.2269,2.3942,2,2,2,100.0,17.470936706605496,20.419580419580406,3.9999999999999964,4.0000000000000036,历史2/2次成功; 当前距低点4.00%; 最新日涨幅-9.23%; 状态confirmed_rebound; 底部已确认
47,69.91985557084921,70.90799276028284,688055,龙腾光电,confirmed_rebound,2024-02-07,3.1,2024-02-06,2.96,4.729729729729734,14.527027027027032,29.85781990521327,True,-3.7267,0.563,2,2,2,100.0,30.869766365949573,45.45454545454546,3.270270270270266,4.729729729729734,历史2/2次成功; 当前距低点4.73%; 最新日涨幅-3.73%; 状态confirmed_rebound; 底部已确认
48,69.42426923076924,64.28173076923078,002319,乐通股份,confirmed_rebound,2024-02-07,9.64,2024-02-07,9.64,0.0,8.713692946058089,31.534090909090907,False,-9.9907,3.0909,1,1,1,100.0,15.224358974358976,15.224358974358976,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.99%; 状态confirmed_rebound; 底部未确认
49,69.13372089231278,69.6165103136832,002022,科华生物,confirmed_rebound,2024-02-07,6.46,2024-02-06,6.19,4.36187399030694,10.339256865912756,27.686915887850468,True,-2.7108,2.3302,2,2,2,100.0,9.202059202059198,9.920634920634921,3.6381260096930608,4.36187399030694,历史2/2次成功; 当前距低点4.36%; 最新日涨幅-2.71%; 状态confirmed_rebound; 底部已确认
50,68.13331286626045,68.38484332446538,603095,越剑智能,confirmed_rebound,2024-02-07,10.44,2024-02-06,10.02,4.191616766467066,14.27145708582834,31.60409556313994,True,-5.2632,1.1814,2,2,2,100.0,10.708223397904737,11.431461810824489,3.8083832335329344,4.191616766467066,历史2/2次成功; 当前距低点4.19%; 最新日涨幅-5.26%; 状态confirmed_rebound; 底部已确认
