rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.25139679860881,75.37902693681619,301468,博盈特焊,bottom_area,2026-03-20,48.91,68.0,2026-03-20,48.85,0.12282497441145376,6.366427840327532,28.16176470588235,28.07352941176471,False,-4.0416,7.5097,2,2,2,100.0,37.25305311007689,37.58639021796917,19.87717502558855,0.12282497441145376,历史2/2次成功; 当前距低点0.12%; 最新日涨幅-4.04%; 状态bottom_area; 底部未确认
12,85.57872055613302,71.38077215116517,600592,龙溪股份,bottom_area,2026-03-20,20.08,28.09,2026-03-20,20.07,0.04982561036371704,4.6337817638266054,28.551085795656817,28.51548593805625,False,-3.8314,2.0844,1,1,1,100.0,31.52889539136796,31.52889539136796,19.950174389636285,0.04982561036371704,历史1/1次成功; 当前距低点0.05%; 最新日涨幅-3.83%; 状态bottom_area; 底部未确认
13,85.18781249999999,70.98984374999999,002345,潮宏基,bottom_area,2026-03-20,10.07,14.25,2026-03-20,10.07,0.0,2.780536246276061,29.333333333333332,29.333333333333332,False,-1.4677,1.5874,1,1,1,100.0,30.859375,30.859375,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-1.47%; 状态bottom_area; 底部未确认
14,84.82879679785717,70.6906639982143,688236,春立医疗,bottom_area,2026-03-20,19.04,27.56,2026-03-20,19.04,0.0,3.203781512605039,30.914368650217703,30.914368650217703,False,-1.5003,0.6083,3,4,3,75.0,33.4175483774963,48.33672776646301,20.0,0.0,历史3/4次成功; 当前距低点0.00%; 最新日涨幅-1.50%; 状态bottom_area; 底部未确认
15,84.82761378086435,71.047967894625,603950,长源东谷,bottom_area,2026-03-20,39.99,55.49,2026-03-20,39.88,0.2758274824473406,6.318956870611824,28.131194809875655,27.932960893854748,False,-2.8426,2.1858,1,1,1,100.0,22.29491696024157,22.29491696024157,19.72417251755266,0.2758274824473406,历史1/1次成功; 当前距低点0.28%; 最新日涨幅-2.84%; 状态bottom_area; 底部未确认
16,84.75128807782741,70.99949972872996,605089,味知香,bottom_area,2026-03-20,24.4,33.37,2026-03-20,24.33,0.2877106452938771,4.315659679408141,27.090200779142943,26.880431525322145,False,-2.8276,0.6471,1,1,1,100.0,22.180000000000007,22.180000000000007,19.712289354706126,0.2877106452938771,历史1/1次成功; 当前距低点0.29%; 最新日涨幅-2.83%; 状态bottom_area; 底部未确认
17,83.60166270783849,69.66805225653208,002264,新华都,bottom_area,2026-03-20,8.33,12.29,2026-03-20,8.33,0.0,3.4813925570227986,32.22131814483319,32.22131814483319,False,-2.6869,2.4203,1,1,1,100.0,23.752969121140143,23.752969121140143,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-2.69%; 状态bottom_area; 底部未确认
18,83.3832395179917,69.82771659828839,002809,红墙股份,bottom_area,2026-03-20,11.24,15.55,2026-03-20,11.21,0.2676181980374608,6.690454950936663,27.90996784565916,27.717041800643088,False,-6.9536,15.7839,1,1,1,100.0,25.84884994523548,25.84884994523548,19.73238180196254,0.2676181980374608,历史1/1次成功; 当前距低点0.27%; 最新日涨幅-6.95%; 状态bottom_area; 底部未确认
19,83.37755710234208,70.49899968040909,600108,亚盛集团,bottom_area,2026-03-20,5.08,7.17,2026-03-20,5.04,0.7936507936507943,5.952380952380949,29.707112970711297,29.14923291492329,False,-3.9698,7.7192,1,1,1,100.0,35.906040268456366,35.906040268456366,19.20634920634921,0.7936507936507943,历史1/1次成功; 当前距低点0.79%; 最新日涨幅-3.97%; 状态bottom_area; 底部未确认
20,79.836452085183,66.62048855878115,301367,瑞迈特,bottom_area,2026-03-20,67.77,97.33,2026-03-20,67.72,0.07383343177790484,3.765505020673357,30.422274735436144,30.370903113120317,False,-3.0056,1.7492,4,6,4,66.66666666666666,28.452484497677933,32.411969715178486,19.926166568222094,0.07383343177790484,历史4/6次成功; 当前距低点0.07%; 最新日涨幅-3.01%; 状态bottom_area; 底部未确认
21,78.50000000000001,65.41666666666669,300725,药石科技,bottom_area,2026-03-20,35.41,51.15,2026-03-20,35.41,0.0,4.659700649534047,30.772238514174006,30.772238514174006,False,-3.5413,3.3755,2,3,2,66.66666666666666,51.70433867208061,60.139860139860126,20.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-3.54%; 状态bottom_area; 底部未确认
22,78.04374042069195,65.36476652949187,603809,豪能股份,bottom_area,2026-03-20,10.95,15.52,2026-03-20,10.92,0.27472527472526886,3.388278388278381,29.63917525773196,29.445876288659793,False,-2.2321,1.5113,2,3,2,66.66666666666666,30.615448866660387,31.661442006269603,19.725274725274733,0.27472527472526886,历史2/3次成功; 当前距低点0.27%; 最新日涨幅-2.23%; 状态bottom_area; 底部未确认
23,75.2941108650308,62.78399201082854,300153,科泰电源,bottom_area,2026-03-20,29.59,41.4,2026-03-20,29.58,0.033806626098720635,5.983772819472628,28.550724637681164,28.526570048309175,False,-4.2395,4.6364,2,3,2,66.66666666666666,24.002174471327702,26.1835396941005,19.96619337390128,0.033806626098720635,历史2/3次成功; 当前距低点0.03%; 最新日涨幅-4.24%; 状态bottom_area; 底部未确认
24,74.97707906725304,62.83756237343726,300437,清水源,bottom_area,2026-03-20,16.15,23.0,2026-03-20,16.1,0.31055900621116245,6.58385093167701,29.999999999999993,29.78260869565218,False,-3.5821,13.3106,6,10,6,60.0,25.46041348171349,30.330330330330323,19.68944099378884,0.31055900621116245,历史6/10次成功; 当前距低点0.31%; 最新日涨幅-3.58%; 状态bottom_area; 底部未确认
25,73.1089799969851,61.21115884115883,600327,大东方,bottom_area,2026-03-20,3.91,5.38,2026-03-20,3.9,0.2564102564102623,3.8461538461538445,27.509293680297397,27.323420074349436,False,-2.7363,1.6336,2,4,2,50.0,27.5041625041625,33.030303030303024,19.74358974358974,0.2564102564102623,历史2/4次成功; 当前距低点0.26%; 最新日涨幅-2.74%; 状态bottom_area; 底部未确认
26,72.99770119058668,61.10199816599855,000607,华媒控股,bottom_area,2026-03-20,4.14,5.67,2026-03-20,4.13,0.24213075060532172,3.6319612590799117,27.160493827160494,26.984126984126988,False,-2.5882,1.9431,2,5,2,40.0,48.408904717089726,59.82721382289418,19.75786924939468,0.24213075060532172,历史2/5次成功; 当前距低点0.24%; 最新日涨幅-2.59%; 状态bottom_area; 底部未确认
27,72.26804776119401,60.22337313432835,002676,顺威股份,bottom_area,2026-03-20,6.67,9.14,2026-03-20,6.67,0.0,3.8980509745127407,27.02407002188184,27.02407002188184,False,-2.9112,1.754,2,4,2,50.0,31.308457711442777,39.33333333333333,20.0,0.0,历史2/4次成功; 当前距低点0.00%; 最新日涨幅-2.91%; 状态bottom_area; 底部未确认
28,71.23694193941012,59.736944603773104,002855,捷荣技术,bottom_area,2026-03-20,11.75,16.72,2026-03-20,11.71,0.3415883859948689,4.184457728437219,29.964114832535877,29.724880382775115,False,-2.6512,1.7431,2,4,2,50.0,20.62239851527635,21.093749999999993,19.658411614005132,0.3415883859948689,历史2/4次成功; 当前距低点0.34%; 最新日涨幅-2.65%; 状态bottom_area; 底部未确认
29,70.87107475217807,59.26658661050321,000566,海南海药,bottom_area,2026-03-20,5.24,7.27,2026-03-20,5.23,0.19120458891012976,3.632887189292533,28.06052269601099,27.922971114167805,False,-2.6022,1.7619,2,5,2,40.0,37.916844479668356,38.29787234042554,19.80879541108987,0.19120458891012976,历史2/5次成功; 当前距低点0.19%; 最新日涨幅-2.60%; 状态bottom_area; 底部未确认
30,70.5358889359898,59.10142857142856,000737,北方铜业,bottom_area,2026-03-20,13.48,18.9,2026-03-20,13.44,0.2976190476190545,3.2738095238095335,28.888888888888886,28.677248677248667,False,-1.1005,2.3534,1,2,1,50.0,88.19095477386935,88.19095477386935,19.702380952380945,0.2976190476190545,历史1/2次成功; 当前距低点0.30%; 最新日涨幅-1.10%; 状态bottom_area; 底部未确认
31,70.34160495275849,58.85103558570144,002162,悦心健康,bottom_area,2026-03-20,4.63,6.45,2026-03-20,4.62,0.2164502164502118,4.545454545454545,28.37209302325581,28.217054263565895,False,-2.935,2.3071,2,5,2,40.0,35.99216171617162,43.23432343234324,19.783549783549788,0.2164502164502118,历史2/5次成功; 当前距低点0.22%; 最新日涨幅-2.94%; 状态bottom_area; 底部未确认
32,70.1576143010937,58.46467858424476,603000,人民网,bottom_area,2026-03-20,19.7,27.18,2026-03-20,19.7,0.0,5.329949238578684,27.52023546725534,27.52023546725534,False,-5.1517,2.7939,3,6,3,50.0,32.068164431423405,48.493150684931514,20.0,0.0,历史3/6次成功; 当前距低点0.00%; 最新日涨幅-5.15%; 状态bottom_area; 底部未确认
33,69.92667487684733,59.89500000000003,600094,大名城,bottom_area,2026-03-20,4.06,5.63,2026-03-20,4.0,1.4999999999999902,4.499999999999993,28.95204262877442,27.88632326820604,False,-1.9324,0.9098,1,4,1,25.0,87.28070175438596,87.28070175438596,18.50000000000001,1.4999999999999902,历史1/4次成功; 当前距低点1.50%; 最新日涨幅-1.93%; 状态bottom_area; 底部未确认
34,69.70033359795829,58.083611331631914,603236,移远通信,bottom_area,2026-03-20,76.51,107.04,2026-03-20,76.51,0.0,1.947457848647229,28.52204783258595,28.52204783258595,False,-0.3776,1.713,2,5,2,40.0,41.47102866468776,43.55271994627266,20.0,0.0,历史2/5次成功; 当前距低点0.00%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
35,69.56773215886062,58.37962406373741,603099,长白山,bottom_area,2026-03-20,36.86,52.2,2026-03-19,36.72,0.3812636165577358,2.3692810457516464,29.655172413793107,29.38697318007663,False,0.1903,1.497,1,2,1,50.0,24.671532846715323,24.671532846715323,19.618736383442265,0.3812636165577358,历史1/2次成功; 当前距低点0.38%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
36,68.79249480209074,57.663756988404955,002343,慈文传媒,bottom_area,2026-03-20,6.28,8.74,2026-03-20,6.26,0.3194888178913812,5.111821086261985,28.375286041189934,28.14645308924485,False,-3.681,2.1112,2,5,2,40.0,41.087051038695236,41.842610364683296,19.68051118210862,0.3194888178913812,历史2/5次成功; 当前距低点0.32%; 最新日涨幅-3.68%; 状态bottom_area; 底部未确认
37,68.74853747016701,58.35061719910435,605196,华通线缆,bottom_area,2026-03-20,42.38,59.59,2026-03-20,41.96,1.0009532888465245,5.9818875119161055,29.585500922973658,28.88068467863735,False,-3.4624,3.0802,1,2,1,50.0,24.961240310077525,24.961240310077525,18.99904671115348,1.0009532888465245,历史1/2次成功; 当前距低点1.00%; 最新日涨幅-3.46%; 状态bottom_area; 底部未确认
38,67.74107377820879,56.54688489756185,605337,李子园,bottom_area,2026-03-20,10.8,14.95,2026-03-20,10.79,0.09267840593143248,3.985171455050987,27.82608695652174,27.759197324414707,False,-3.139,1.2268,2,5,2,40.0,32.30210571551354,37.98882681564246,19.90732159406857,0.09267840593143248,历史2/5次成功; 当前距低点0.09%; 最新日涨幅-3.14%; 状态bottom_area; 底部未确认
39,67.55287991512468,56.37153872562013,600415,小商品城,bottom_area,2026-03-20,13.34,19.01,2026-03-20,13.33,0.07501875468867057,2.325581395348841,29.87901104681747,29.826407154129413,False,-1.4771,0.7066,1,2,1,50.0,32.59452411994785,32.59452411994785,19.92498124531133,0.07501875468867057,历史1/2次成功; 当前距低点0.08%; 最新日涨幅-1.48%; 状态bottom_area; 底部未确认
40,67.32005853627433,56.26805872756934,688588,凌志软件,bottom_area,2026-03-20,12.28,16.99,2026-03-20,12.26,0.1631321370309916,4.812398042414355,27.83990582695703,27.722189523248968,False,-3.4591,1.0213,1,2,1,50.0,43.33333333333334,43.33333333333334,19.836867862969008,0.1631321370309916,历史1/2次成功; 当前距低点0.16%; 最新日涨幅-3.46%; 状态bottom_area; 底部未确认
41,66.20368789282585,55.37693251533743,002155,湖南黄金,bottom_area,2026-03-20,29.4,43.67,2026-03-20,29.34,0.20449897750510812,5.214723926380372,32.814288985573626,32.67689489351959,False,-0.6757,4.4085,1,2,1,50.0,28.834355828220854,28.834355828220854,19.795501022494893,0.20449897750510812,历史1/2次成功; 当前距低点0.20%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
42,64.1675141476017,53.67131031570057,600714,金瑞矿业,bottom_area,2026-03-20,19.84,27.18,2026-03-20,19.8,0.20202020202019771,6.060606060606057,27.152317880794698,27.005150846210448,False,-7.0726,10.4645,1,2,1,50.0,29.84901277584205,29.84901277584205,19.797979797979803,0.20202020202019771,历史1/2次成功; 当前距低点0.20%; 最新日涨幅-7.07%; 状态bottom_area; 底部未确认
43,64.12793917481021,53.80826976499583,603696,安记食品,bottom_area,2026-03-20,16.07,22.0,2026-03-20,16.01,0.3747657713928714,3.247970018738285,27.227272727272723,26.954545454545453,False,-1.7726,1.4848,1,3,1,33.33333333333333,41.93227091633467,41.93227091633467,19.62523422860713,0.3747657713928714,历史1/3次成功; 当前距低点0.37%; 最新日涨幅-1.77%; 状态bottom_area; 底部未确认
44,63.4449005220519,52.995472342567474,002292,奥飞娱乐,bottom_area,2026-03-20,7.79,10.88,2026-03-20,7.78,0.1285347043701772,4.75578406169666,28.492647058823533,28.400735294117652,False,-3.9457,3.1675,1,2,1,50.0,25.31468531468532,25.31468531468532,19.87146529562982,0.1285347043701772,历史1/2次成功; 当前距低点0.13%; 最新日涨幅-3.95%; 状态bottom_area; 底部未确认
45,63.36401257045813,52.916677814938694,600230,沧州大化,bottom_area,2026-03-20,17.12,24.7,2026-03-20,17.1,0.11695906432748286,5.614035087719282,30.76923076923076,30.688259109311733,False,-3.2222,5.3484,1,2,1,50.0,24.749163879598647,24.749163879598647,19.88304093567252,0.11695906432748286,历史1/2次成功; 当前距低点0.12%; 最新日涨幅-3.22%; 状态bottom_area; 底部未确认
46,62.593443723508095,52.78473411154345,605155,西大门,bottom_area,2026-03-20,15.52,21.78,2026-03-20,15.42,0.6485084306095956,8.625162127107652,29.201101928374662,28.741965105601473,False,-6.3368,2.7803,1,3,1,33.33333333333333,57.16054477919933,57.16054477919933,19.351491569390404,0.6485084306095956,历史1/3次成功; 当前距低点0.65%; 最新日涨幅-6.34%; 状态bottom_area; 底部未确认
47,62.379999999999995,51.983333333333334,002664,信质集团,bottom_area,2026-03-20,19.53,27.55,2026-03-20,19.53,0.0,4.915514592933934,29.110707803992735,29.110707803992735,False,-3.8878,1.9307,1,3,1,33.33333333333333,52.526315789473685,52.526315789473685,20.0,0.0,历史1/3次成功; 当前距低点0.00%; 最新日涨幅-3.89%; 状态bottom_area; 底部未确认
48,60.13240924907663,50.1103410408972,000681,视觉中国,bottom_area,2026-03-20,21.0,30.5,2026-03-20,21.0,0.0,5.047619047619042,31.147540983606557,31.147540983606557,False,-4.0219,3.6897,2,6,2,33.33333333333333,23.263482298730437,25.590062111801227,20.0,0.0,历史2/6次成功; 当前距低点0.00%; 最新日涨幅-4.02%; 状态bottom_area; 底部未确认
49,60.11754285696284,50.28638714783564,300703,创源股份,bottom_area,2026-03-20,19.57,29.07,2026-03-20,19.53,0.20481310803891012,3.840245775729646,32.817337461300305,32.6797385620915,False,-2.2478,3.0033,1,3,1,33.33333333333333,20.914127423822727,20.914127423822727,19.79518689196109,0.20481310803891012,历史1/3次成功; 当前距低点0.20%; 最新日涨幅-2.25%; 状态bottom_area; 底部未确认
50,59.24038016528926,49.366983471074384,002291,遥望科技,bottom_area,2026-03-20,6.45,9.0,2026-03-20,6.45,0.0,3.56589147286821,28.333333333333332,28.333333333333332,False,-2.568,3.7051,1,4,1,25.0,27.107438016528935,27.107438016528935,20.0,0.0,历史1/4次成功; 当前距低点0.00%; 最新日涨幅-2.57%; 状态bottom_area; 底部未确认
51,57.961339738453695,48.98285867901713,301459,丰茂股份,bottom_area,2026-03-20,38.2,54.99,2026-03-20,37.91,0.7649696649960599,5.196518069111069,31.060192762320433,30.53282414984542,False,-0.7277,6.2191,1,3,1,33.33333333333333,20.772345063843044,20.772345063843044,19.23503033500394,0.7649696649960599,历史1/3次成功; 当前距低点0.76%; 最新日涨幅-0.73%; 状态bottom_area; 底部未确认
52,57.209102202496595,47.965432718361946,601929,吉视传媒,bottom_area,2026-03-20,3.02,4.23,2026-03-20,3.01,0.33222591362127013,5.647840531561474,28.841607565011834,28.605200945626486,False,-4.4304,2.7762,1,3,1,33.33333333333333,20.212765957446805,20.212765957446805,19.66777408637873,0.33222591362127013,历史1/3次成功; 当前距低点0.33%; 最新日涨幅-4.43%; 状态bottom_area; 底部未确认
53,57.16002320670102,47.64121496655625,301357,北方长龙,bottom_area,2026-03-20,111.09,155.0,2026-03-20,111.08,0.009002520705802229,4.429240187252432,28.335483870967742,28.32903225806451,False,-3.3243,6.0835,1,5,1,20.0,26.72978878368535,26.72978878368535,19.990997479294197,0.009002520705802229,历史1/5次成功; 当前距低点0.01%; 最新日涨幅-3.32%; 状态bottom_area; 底部未确认
54,56.52231551679463,47.34168953512183,002554,惠博普,bottom_area,2026-03-20,3.62,5.13,2026-03-20,3.61,0.2770083102493139,4.4321329639889235,29.629629629629626,29.434697855750485,False,-6.2176,5.3829,1,5,1,20.0,28.404669260700388,28.404669260700388,19.72299168975069,0.2770083102493139,历史1/5次成功; 当前距低点0.28%; 最新日涨幅-6.22%; 状态bottom_area; 底部未确认
55,56.36005191402814,47.12896929054645,000301,东方盛虹,bottom_area,2026-03-20,10.65,14.7,2026-03-20,10.63,0.1881467544684814,2.7281279397930303,27.687074829931962,27.551020408163257,False,-1.4801,0.3597,1,7,1,14.285714285714285,28.337639965546952,28.337639965546952,19.81185324553152,0.1881467544684814,历史1/7次成功; 当前距低点0.19%; 最新日涨幅-1.48%; 状态bottom_area; 底部未确认
56,54.91268500199667,46.32179719996447,688111,金山办公,bottom_area,2026-03-20,252.7,363.63,2026-03-20,251.03,0.6652591323746117,4.170816237103135,30.965541896983197,30.506283859967553,False,-3.0501,1.1369,1,5,1,20.0,27.68058076225045,27.68058076225045,19.33474086762539,0.6652591323746117,历史1/5次成功; 当前距低点0.67%; 最新日涨幅-3.05%; 状态bottom_area; 底部未确认
57,53.92695225865185,44.99441492557239,300612,宣亚国际,bottom_area,2026-03-20,14.92,22.05,2026-03-20,14.91,0.06706908115358676,5.56673373574782,32.38095238095238,32.33560090702948,False,-4.5425,5.2766,1,7,1,14.285714285714285,25.592417061611382,25.592417061611382,19.932930918846413,0.06706908115358676,历史1/7次成功; 当前距低点0.07%; 最新日涨幅-4.54%; 状态bottom_area; 底部未确认
