rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.43031457537228,81.13005668057752,002564,天沃科技,bottom_area,2026-04-01,6.16,8.27,2026-03-27,5.99,2.8380634390651074,4.0066777963272155,27.569528415961297,25.513905683192256,False,1.6502,1.3235,2,2,2,100.0,28.92925441745143,29.903536977491967,17.161936560934894,2.8380634390651074,历史2/2次成功; 当前距低点2.84%; 最新日涨幅1.65%; 状态bottom_area; 底部未确认
12,84.06889231646866,75.77230454079891,600843,上工申贝,bottom_area,2026-04-01,9.48,12.64,2026-03-23,9.09,4.290429042904297,5.830583058305824,28.085443037974688,25.0,False,0.8511,1.133,1,1,1,100.0,34.59399332591768,34.59399332591768,15.709570957095703,4.290429042904297,历史1/1次成功; 当前距低点4.29%; 最新日涨幅0.85%; 状态bottom_area; 底部未确认
13,83.63786991434579,74.57138176229951,300542,新晨科技,bottom_area,2026-04-01,15.43,21.7,2026-03-27,14.88,3.6962365591397774,4.973118279569881,31.428571428571423,28.89400921658986,False,1.8482,1.028,5,7,5,71.42857142857143,32.75853135174146,61.233480176211465,16.303763440860227,3.6962365591397774,历史5/7次成功; 当前距低点3.70%; 最新日涨幅1.85%; 状态bottom_area; 底部未确认
14,82.25254782962489,74.88467824147821,001328,登康口腔,bottom_area,2026-04-01,32.91,44.35,2026-03-31,31.39,4.842306467027703,5.097164702134442,29.222096956031567,25.794813979706888,False,3.817,3.8284,1,1,1,100.0,36.58675799086758,36.58675799086758,15.157693532972297,4.842306467027703,历史1/1次成功; 当前距低点4.84%; 最新日涨幅3.82%; 状态bottom_area; 底部未确认
15,82.20152096130477,74.02826459840405,603848,好太太,bottom_area,2026-04-01,15.47,21.38,2026-03-23,14.84,4.24528301886793,5.929919137466313,30.589335827876518,27.64265668849391,False,1.4426,0.3982,1,1,1,100.0,24.664031620553352,24.664031620553352,15.754716981132072,4.24528301886793,历史1/1次成功; 当前距低点4.25%; 最新日涨幅1.44%; 状态bottom_area; 底部未确认
16,81.94258575773003,73.8701748931209,600611,大众交通,bottom_area,2026-04-01,4.85,6.6,2026-03-23,4.65,4.301075268817189,7.3118279569892435,29.545454545454536,26.515151515151516,False,1.6771,1.0025,1,1,1,100.0,24.497991967871478,24.497991967871478,15.698924731182812,4.301075268817189,历史1/1次成功; 当前距低点4.30%; 最新日涨幅1.68%; 状态bottom_area; 底部未确认
17,81.13199994542379,72.35655352875382,002681,奋达科技,bottom_area,2026-04-01,5.31,7.11,2026-03-23,5.12,3.7109374999999902,8.007812500000004,27.988748241912802,25.31645569620254,True,1.5296,1.0753,2,3,2,66.66666666666666,38.82163635530716,46.084337349397586,16.28906250000001,3.7109374999999902,历史2/3次成功; 当前距低点3.71%; 最新日涨幅1.53%; 状态bottom_area; 底部已确认
18,79.7582192482699,71.04420364494466,002806,华锋股份,bottom_area,2026-04-01,12.8,17.37,2026-03-31,12.35,3.643724696356284,4.6963562753036445,28.900402993667246,26.309729418537707,False,3.2258,4.0505,3,5,3,60.0,37.91341910019885,58.72442839951864,16.356275303643717,3.643724696356284,历史3/5次成功; 当前距低点3.64%; 最新日涨幅3.23%; 状态bottom_area; 底部未确认
19,76.85437748963325,66.56437939110072,688232,新点软件,bottom_area,2026-04-01,21.8,30.57,2026-03-31,21.35,2.1077283372365305,2.8103044496487017,30.16028786391887,28.688256460582267,False,2.1077,0.5578,1,2,1,50.0,51.87398153177622,51.87398153177622,17.89227166276347,2.1077283372365305,历史1/2次成功; 当前距低点2.11%; 最新日涨幅2.11%; 状态bottom_area; 底部未确认
20,75.44115072012953,68.09282575675293,002457,青龙管业,bottom_area,2026-04-01,10.99,15.04,2026-03-23,10.53,4.36847103513771,6.457739791073139,29.986702127659576,26.928191489361698,False,1.2903,1.8441,2,3,2,66.66666666666666,33.152005646237896,42.51290877796902,15.63152896486229,4.36847103513771,历史2/3次成功; 当前距低点4.37%; 最新日涨幅1.29%; 状态bottom_area; 底部未确认
21,73.91286559909302,66.76000763789047,002590,万安科技,bottom_area,2026-04-01,12.32,16.25,2026-03-23,11.8,4.406779661016945,8.3050847457627,27.38461538461538,24.184615384615384,False,1.7341,1.2448,2,3,2,66.66666666666666,26.45590644270131,30.204778156996575,15.593220338983055,4.406779661016945,历史2/3次成功; 当前距低点4.41%; 最新日涨幅1.73%; 状态bottom_area; 底部未确认
22,73.78635011502604,65.14405766778015,603232,格尔软件,bottom_area,2026-04-01,19.93,26.53,2026-03-30,19.32,3.1573498964803286,4.761904761904752,27.176781002638524,24.87749717301169,False,1.3733,2.461,3,7,3,42.857142857142854,37.37304763616524,48.01488833746897,16.842650103519674,3.1573498964803286,历史3/7次成功; 当前距低点3.16%; 最新日涨幅1.37%; 状态bottom_area; 底部未确认
23,73.75073847165723,62.86195467121689,600185,珠免集团,bottom_area,2026-04-01,5.75,8.28,2026-03-31,5.68,1.2323943661971881,4.2253521126760605,31.40096618357488,30.555555555555554,False,1.2324,1.1106,1,3,1,33.33333333333333,38.80903490759753,38.80903490759753,18.767605633802813,1.2323943661971881,历史1/3次成功; 当前距低点1.23%; 最新日涨幅1.23%; 状态bottom_area; 底部未确认
24,73.52499395333088,62.998094084393344,000625,长安汽车,bottom_area,2026-04-01,10.03,13.84,2026-03-30,9.88,1.518218623481767,3.1376518218623346,28.612716763005775,27.52890173410405,False,0.3,0.5226,1,3,1,33.33333333333333,43.0446194225722,43.0446194225722,18.48178137651823,1.518218623481767,历史1/3次成功; 当前距低点1.52%; 最新日涨幅0.30%; 状态bottom_area; 底部未确认
25,73.52104885065505,66.400218788133,002389,航天彩虹,bottom_area,2026-04-01,21.82,29.85,2026-03-23,20.9,4.401913875598094,8.612440191387563,29.98324958123954,26.901172529313232,True,-0.183,2.0675,2,3,2,66.66666666666666,37.74148256897838,49.39236111111112,15.598086124401908,4.401913875598094,历史2/3次成功; 当前距低点4.40%; 最新日涨幅-0.18%; 状态bottom_area; 底部已确认
26,71.87194476713249,64.75099171416775,002045,国光电器,bottom_area,2026-04-01,11.73,16.38,2026-03-23,11.25,4.266666666666671,6.222222222222216,31.318681318681314,28.388278388278383,False,1.4706,1.0188,4,8,4,50.0,33.38167588262236,40.89958158995815,15.733333333333329,4.266666666666671,历史4/8次成功; 当前距低点4.27%; 最新日涨幅1.47%; 状态bottom_area; 底部未确认
27,71.77687248493334,61.352236124614265,000539,粤电力A,bottom_area,2026-04-01,5.85,8.14,2026-04-01,5.77,1.3864818024263446,5.025996533795495,29.115479115479125,28.13267813267814,False,-0.6791,5.2219,1,2,1,50.0,35.60975609756098,35.60975609756098,18.613518197573654,1.3864818024263446,历史1/2次成功; 当前距低点1.39%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
28,71.49772015284057,62.96916506502659,002036,联创电子,bottom_area,2026-04-01,8.86,11.85,2026-03-30,8.6,3.0232558139534857,3.372093023255825,27.42616033755274,25.23206751054853,False,1.9563,1.5454,2,6,2,33.33333333333333,44.67126337369466,67.13178294573642,16.976744186046517,3.0232558139534857,历史2/6次成功; 当前距低点3.02%; 最新日涨幅1.96%; 状态bottom_area; 底部未确认
29,70.68757752107531,62.427887756384436,688225,亚信安全,bottom_area,2026-04-01,16.9,23.2,2026-03-30,16.38,3.174603174603172,5.067155067155079,29.396551724137932,27.155172413793103,False,2.2384,0.5132,2,5,2,40.0,29.171951583224075,36.786114221724524,16.82539682539683,3.174603174603172,历史2/5次成功; 当前距低点3.17%; 最新日涨幅2.24%; 状态bottom_area; 底部未确认
30,70.5620122780649,62.16776736599958,688027,国盾量子,bottom_area,2026-04-01,547.17,746.0,2026-03-31,531.01,3.0432571891301423,4.706126061656091,28.81903485254692,26.65281501340483,False,2.6778,2.1095,2,6,2,33.33333333333333,40.60785174130632,54.833310085088584,16.95674281086986,3.0432571891301423,历史2/6次成功; 当前距低点3.04%; 最新日涨幅2.68%; 状态bottom_area; 底部未确认
31,70.20295842209873,62.121598533438856,002765,蓝黛科技,bottom_area,2026-04-01,10.07,13.66,2026-03-23,9.75,3.2820512820512846,6.256410256410251,28.62371888726208,26.281112737920935,False,1.3078,1.3403,2,5,2,40.0,28.84234116406334,29.470802919708017,16.717948717948715,3.2820512820512846,历史2/5次成功; 当前距低点3.28%; 最新日涨幅1.31%; 状态bottom_area; 底部未确认
32,69.42028214007613,58.70901053681652,600318,新力金融,bottom_area,2026-04-01,7.52,10.23,2026-03-27,7.46,0.8042895442359197,4.423592493297588,27.077223851417404,26.49071358748779,False,0.0,3.5116,1,2,1,50.0,31.627906976744185,31.627906976744185,19.195710455764083,0.8042895442359197,历史1/2次成功; 当前距低点0.80%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
33,67.83809497840839,60.6643763581052,301518,长华化学,bottom_area,2026-04-01,39.83,52.76,2026-03-23,38.35,3.859191655801817,9.308996088657107,27.312357846853676,24.507202426080365,True,1.867,2.9238,1,3,1,33.33333333333333,55.817490494296564,55.817490494296564,16.140808344198184,3.859191655801817,历史1/3次成功; 当前距低点3.86%; 最新日涨幅1.87%; 状态bottom_area; 底部已确认
34,65.93665710273925,59.271410397924164,688114,华大智造,bottom_area,2026-04-01,50.51,69.85,2026-03-27,48.5,4.144329896907212,4.556701030927837,30.565497494631348,27.687902648532564,False,2.7044,0.6596,2,5,2,40.0,24.08861592942264,27.745919717688572,15.85567010309279,4.144329896907212,历史2/5次成功; 当前距低点4.14%; 最新日涨幅2.70%; 状态bottom_area; 底部未确认
35,65.66087532806029,57.64363789182241,300458,全志科技,bottom_area,2026-04-01,34.67,48.2,2026-03-30,33.71,2.8478196380895904,5.873628003559765,30.06224066390042,28.070539419087137,False,0.2313,2.1078,1,6,1,16.666666666666664,50.49354593773728,50.49354593773728,17.15218036191041,2.8478196380895904,历史1/6次成功; 当前距低点2.85%; 最新日涨幅0.23%; 状态bottom_area; 底部未确认
36,65.409354215788,59.01595869093654,002241,歌尔股份,bottom_area,2026-04-01,22.8,31.86,2026-03-30,21.85,4.347826086956518,5.125858123569782,31.41870684243565,28.43691148775894,False,1.9678,1.4316,1,2,1,50.0,36.8763557483731,36.8763557483731,15.652173913043482,4.347826086956518,历史1/2次成功; 当前距低点4.35%; 最新日涨幅1.97%; 状态bottom_area; 底部未确认
37,64.57095786379155,54.66633712460749,000722,湖南发展,bottom_area,2026-04-01,14.03,19.69,2026-04-01,13.91,0.8626887131559973,4.601006470165353,29.355002539360086,28.745556119857802,False,-3.9699,11.3423,2,5,2,40.0,31.63046984195248,36.6412213740458,19.137311286844003,0.8626887131559973,历史2/5次成功; 当前距低点0.86%; 最新日涨幅-3.97%; 状态bottom_area; 底部未确认
38,64.54827605923148,58.49481897722404,603069,海汽集团,bottom_area,2026-04-01,17.78,24.05,2026-03-23,17.0,4.588235294117654,7.588235294117641,29.313929313929314,26.070686070686065,True,1.2528,0.9685,2,8,2,25.0,48.661265848453205,76.0375880971026,15.411764705882348,4.588235294117654,历史2/8次成功; 当前距低点4.59%; 最新日涨幅1.25%; 状态bottom_area; 底部已确认
39,64.32019433401858,54.49349797743241,000862,银星能源,bottom_area,2026-04-01,6.71,9.44,2026-04-01,6.65,0.9022556390977385,4.060150375939843,29.555084745762706,28.919491525423723,False,-1.3235,8.2955,1,2,1,50.0,32.63785394932937,32.63785394932937,19.097744360902265,0.9022556390977385,历史1/2次成功; 当前距低点0.90%; 最新日涨幅-1.32%; 状态bottom_area; 底部未确认
40,63.6388756274774,57.45176271925043,301551,无线传媒,bottom_area,2026-04-01,28.6,40.65,2026-03-27,27.4,4.379562043795631,5.182481751824824,32.59532595325953,29.643296432964323,False,1.5986,1.6207,1,2,1,50.0,28.855721393034813,28.855721393034813,15.62043795620437,4.379562043795631,历史1/2次成功; 当前距低点4.38%; 最新日涨幅1.60%; 状态bottom_area; 底部未确认
41,63.40133446954555,57.400385116460996,002373,千方科技,bottom_area,2026-04-01,9.68,13.46,2026-03-23,9.26,4.535637149028077,7.01943844492441,31.203566121842503,28.083209509658253,False,1.1494,1.3073,1,2,1,50.0,30.49267643142478,30.49267643142478,15.464362850971924,4.535637149028077,历史1/2次成功; 当前距低点4.54%; 最新日涨幅1.15%; 状态bottom_area; 底部未确认
42,62.36217064676557,53.04099567204577,688287,退市观典,bottom_area,2026-04-01,2.72,3.81,2026-04-01,2.69,1.1152416356877417,12.639405204460964,29.39632545931759,28.608923884514432,False,-8.7248,4.4667,1,6,1,16.666666666666664,36.70473083197391,36.70473083197391,18.88475836431226,1.1152416356877417,历史1/6次成功; 当前距低点1.12%; 最新日涨幅-8.72%; 状态bottom_area; 底部未确认
43,61.73419287909841,56.28188524590166,002093,国脉科技,bottom_area,2026-04-01,9.6,12.83,2026-03-23,9.15,4.918032786885238,6.120218579234978,28.68277474668745,25.17537022603274,False,1.0526,0.7514,1,4,1,25.0,52.409638554216855,52.409638554216855,15.081967213114764,4.918032786885238,历史1/4次成功; 当前距低点4.92%; 最新日涨幅1.05%; 状态bottom_area; 底部未确认
44,59.816741037981394,53.565450191570896,002698,博实股份,bottom_area,2026-04-01,13.47,18.45,2026-03-30,12.96,3.9351851851851833,4.089506172839501,29.756097560975604,26.99186991869918,False,2.0455,0.7474,1,4,1,25.0,23.3477011494253,23.3477011494253,16.064814814814817,3.9351851851851833,历史1/4次成功; 当前距低点3.94%; 最新日涨幅2.05%; 状态bottom_area; 底部未确认
45,57.99042511004652,52.59935543901203,002554,惠博普,bottom_area,2026-04-01,3.61,5.13,2026-03-24,3.45,4.637681159420281,11.014492753623186,32.7485380116959,29.629629629629626,True,0.838,2.1051,1,5,1,20.0,28.404669260700388,28.404669260700388,15.36231884057972,4.637681159420281,历史1/5次成功; 当前距低点4.64%; 最新日涨幅0.84%; 状态bottom_area; 底部已确认
46,57.65353777507531,52.46589838427098,301315,威士顿,bottom_area,2026-04-01,48.95,64.35,2026-03-27,46.7,4.817987152034261,5.738758029978586,27.428127428127418,23.93162393162392,False,2.4059,2.5533,1,3,1,33.33333333333333,26.868686868686865,26.868686868686865,15.182012847965739,4.817987152034261,历史1/3次成功; 当前距低点4.82%; 最新日涨幅2.41%; 状态bottom_area; 底部未确认
