rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
12,70.05602355540957,59.59337253891941,605218,伟时电子,bottom_area,2024-01-12,20.71,2024-01-12,20.48,1.123046875000002,5.273437499999992,29.887024991441287,False,-2.9522,3.9121,1,3,1,33.33333333333333,42.36874236874236,42.36874236874236,18.876953125,1.123046875000002,历史1/3次成功; 当前距低点1.12%; 最新日涨幅-2.95%; 状态bottom_area; 底部未确认
13,67.99839755381335,58.360283420590996,600986,浙文互联,bottom_area,2024-01-12,5.05,2024-01-10,4.97,1.6096579476861181,4.828973843058355,30.489510489510497,False,-2.3211,2.4927,1,2,1,50.0,22.25969645868466,22.25969645868466,18.390342052313883,1.6096579476861181,历史1/2次成功; 当前距低点1.61%; 最新日涨幅-2.32%; 状态bottom_area; 底部未确认
14,67.94409871116015,58.62272182474162,002284,亚太股份,bottom_area,2024-01-12,8.05,2024-01-10,7.9,1.8987341772151944,5.69620253164556,30.457746478873233,False,-2.0681,1.3989,1,2,1,50.0,27.214170692431566,27.214170692431566,18.101265822784807,1.8987341772151944,历史1/2次成功; 当前距低点1.90%; 最新日涨幅-2.07%; 状态bottom_area; 底部未确认
15,67.81002348052877,57.7411056791993,301360,荣旗科技,bottom_area,2024-01-12,66.98,2024-01-12,66.2,1.1782477341389743,5.438066465256789,32.95523597326311,False,-4.1225,9.3946,1,2,1,50.0,23.857583403420236,23.857583403420236,18.82175226586103,1.1782477341389743,历史1/2次成功; 当前距低点1.18%; 最新日涨幅-4.12%; 状态bottom_area; 底部未确认
16,64.92585295894087,56.87303398728929,601777,千里科技,bottom_area,2024-01-12,3.39,2024-01-08,3.3,2.7272727272727364,4.242424242424246,28.41648590021693,False,-0.5865,0.2688,1,2,1,50.0,27.96352583586626,27.96352583586626,17.272727272727266,2.7272727272727364,历史1/2次成功; 当前距低点2.73%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
17,63.85580439844391,53.84408678651642,603039,泛微网络,bottom_area,2024-01-12,40.68,2024-01-10,40.42,0.6432459178624393,4.057397328055419,28.320624224153217,False,-1.3818,0.3849,1,2,1,50.0,25.971438060445035,25.971438060445035,19.356754082137563,0.6432459178624393,历史1/2次成功; 当前距低点0.64%; 最新日涨幅-1.38%; 状态bottom_area; 底部未确认
18,63.80638323453845,53.69844133599771,300451,创业慧康,bottom_area,2024-01-12,5.61,2024-01-12,5.58,0.5376344086021551,2.688172043010759,29.89949748743718,False,-2.2648,1.5421,1,2,1,50.0,23.89380530973452,23.89380530973452,19.462365591397845,0.5376344086021551,历史1/2次成功; 当前距低点0.54%; 最新日涨幅-2.26%; 状态bottom_area; 底部未确认
19,63.18240637529035,53.633320220298984,002355,兴民智通,bottom_area,2024-01-12,5.01,2024-01-10,4.96,1.0080645161290287,3.83064516129033,28.427128427128423,False,-1.9569,2.0903,1,5,1,20.0,21.138211382113823,21.138211382113823,18.99193548387097,1.0080645161290287,历史1/5次成功; 当前距低点1.01%; 最新日涨幅-1.96%; 状态bottom_area; 底部未确认
20,62.42339438912277,55.10185793978365,002095,生意宝,bottom_area,2024-01-12,17.37,2024-01-10,16.84,3.147268408551076,7.422802850356295,30.240265120132566,True,-2.251,1.6836,1,3,1,33.33333333333333,33.84030418250951,33.84030418250951,16.852731591448926,3.147268408551076,历史1/3次成功; 当前距低点3.15%; 最新日涨幅-2.25%; 状态bottom_area; 底部已确认
21,61.3507828331616,54.76600737661731,688111,金山办公,bottom_area,2024-01-12,257.33,2024-01-10,248.0,3.7620967741935423,6.346774193548391,29.541451218819255,False,0.2454,0.5149,1,4,1,25.0,27.68058076225045,27.68058076225045,16.23790322580646,3.7620967741935423,历史1/4次成功; 当前距低点3.76%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
22,59.33496883171404,53.0634445089866,002041,登海种业,bottom_area,2024-01-12,12.37,2024-01-10,11.91,3.862300587741386,5.793450881612086,29.484902309058615,False,-0.8019,0.5327,1,2,1,50.0,21.395106715252467,21.395106715252467,16.137699412258616,3.862300587741386,历史1/2次成功; 当前距低点3.86%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
23,58.978172190153174,51.94418451387779,300678,中科信息,bottom_area,2024-01-12,26.91,2024-01-10,26.12,3.024502297090349,6.8147013782542025,29.09880564603692,False,-2.6059,1.9257,1,3,1,33.33333333333333,24.552238805970156,24.552238805970156,16.975497702909653,3.024502297090349,历史1/3次成功; 当前距低点3.02%; 最新日涨幅-2.61%; 状态bottom_area; 底部未确认
24,58.69578636021219,51.96218716035161,300454,深信服,bottom_area,2024-01-12,65.3,2024-01-10,63.21,3.3064388546116064,5.995886726783736,30.52319191030996,False,-0.9556,1.0718,1,4,1,25.0,29.49391262831224,29.49391262831224,16.693561145388394,3.3064388546116064,历史1/4次成功; 当前距低点3.31%; 最新日涨幅-0.96%; 状态bottom_area; 底部未确认
25,57.9524561411339,49.18474137439408,002660,茂硕电源,bottom_area,2024-01-12,10.12,2024-01-10,10.02,0.9980039920159646,3.9920159680638756,31.275720164609055,False,-2.0329,7.5377,1,3,1,33.33333333333333,24.71428571428572,24.71428571428572,19.001996007984037,0.9980039920159646,历史1/3次成功; 当前距低点1.00%; 最新日涨幅-2.03%; 状态bottom_area; 底部未确认
