rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
35,77.08653873881005,76.50451538619282,000155,川能动力,bottom_area,2025-01-07,10.91,2025-01-02,10.43,4.602109300095882,5.656759348034514,27.569444444444446,False,-0.3653,1.3121,3,3,3,100.0,31.490992421566784,45.280898876404486,5.397890699904118,4.602109300095882,历史3/3次成功; 当前距低点4.60%; 最新日涨幅-0.37%; 状态bottom_area; 底部未确认
36,76.8152853457477,75.46616946700789,601588,北辰实业,bottom_area,2025-01-07,1.79,2025-01-06,1.72,4.069767441860469,4.651162790697678,29.795918367346946,False,1.7045,0.9601,2,2,2,100.0,13.576555023923442,15.789473684210531,5.930232558139532,4.069767441860469,历史2/2次成功; 当前距低点4.07%; 最新日涨幅1.70%; 状态bottom_area; 底部未确认
37,76.15191775938854,75.97523117526003,600231,凌钢股份,bottom_area,2025-01-07,1.72,2025-01-06,1.64,4.878048780487809,4.878048780487809,27.753303964757713,False,0.5848,0.2622,2,2,2,100.0,26.221410724581972,29.302325581395344,5.121951219512192,4.878048780487809,历史2/2次成功; 当前距低点4.88%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
38,75.64126796269144,75.13517610293077,605577,龙版传媒,bottom_area,2025-01-07,13.51,2025-01-06,12.91,4.647560030983731,5.577072037180486,32.05263157894736,False,0.297,1.0346,3,4,3,75.0,39.71297297620256,80.80939947780678,5.352439969016269,4.647560030983731,历史3/4次成功; 当前距低点4.65%; 最新日涨幅0.30%; 状态bottom_area; 底部未确认
39,75.52808947438865,75.15845771513389,000810,创维数字,bottom_area,2025-01-07,12.81,2025-01-07,12.23,4.7424366312346695,6.8683565004088285,31.52295632698768,False,2.809,6.8463,5,6,5,83.33333333333334,22.94559086567526,45.01187648456058,5.257563368765331,4.7424366312346695,历史5/6次成功; 当前距低点4.74%; 最新日涨幅2.81%; 状态bottom_area; 底部未确认
40,75.3926682762008,75.17539833880541,688310,迈得医疗,bottom_area,2025-01-07,10.38,2025-01-06,9.9,4.848484848484853,5.353535353535347,27.631578947368418,False,1.665,0.8974,2,2,2,100.0,21.558837598660606,23.648648648648653,5.151515151515147,4.848484848484853,历史2/2次成功; 当前距低点4.85%; 最新日涨幅1.67%; 状态bottom_area; 底部未确认
41,75.24909222820237,68.40826566200215,002647,仁东控股,bottom_area,2025-01-07,5.09,2025-01-07,5.09,0.0,0.0,32.93807641633729,False,-5.0373,0.0671,2,2,2,100.0,10.52831001076426,10.656620021528528,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-5.04%; 状态bottom_area; 底部未确认
42,75.24723826525901,71.03222792914463,002324,普利特,bottom_area,2025-01-07,8.78,2025-01-07,8.61,1.9744483159117299,2.787456445993034,32.78688524590165,False,0.3429,1.7247,2,3,2,66.66666666666666,19.609158186864022,25.957446808510653,8.02555168408827,1.9744483159117299,历史2/3次成功; 当前距低点1.97%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
43,74.90696467082702,73.16462567793845,001318,阳光乳业,bottom_area,2025-01-07,10.75,2025-01-06,10.36,3.76447876447877,4.633204633204638,30.51643192488263,False,1.0338,2.6873,1,1,1,100.0,14.127082048118439,14.127082048118439,6.23552123552123,3.76447876447877,历史1/1次成功; 当前距低点3.76%; 最新日涨幅1.03%; 状态bottom_area; 底部未确认
44,74.72221867676093,72.19032608088077,688121,卓然股份,bottom_area,2025-01-07,10.35,2025-01-06,10.03,3.1904287138584277,3.58923230309074,27.737752161383295,False,0.5831,1.0825,4,6,4,66.66666666666666,24.074391837695273,55.206611570247944,6.809571286141572,3.1904287138584277,历史4/6次成功; 当前距低点3.19%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
